areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E06000001,3.6,33.3,63.1
E06000002,5.9,33.1,61
E06000003,3.2,33.5,63.3
E06000004,4,31,65
E06000005,3.7,34.2,62.1
E06000006,4,31.6,64.3
E06000007,4.1,30.2,65.7
E06000008,7,29.9,63.1
E06000009,6,38,56.1
E06000010,5.9,34.2,60
E06000011,3.5,30,66.5
E06000012,4.4,32.5,63.1
E06000013,4.9,29.2,65.9
E06000014,7.6,31.2,61.2
E06000015,7.3,31.3,61.4
E06000016,13,27.6,59.3
E06000017,3.5,28.7,67.8
E06000018,11.6,33.6,54.7
E06000019,4.8,30.7,64.5
E06000020,6,27.7,66.3
E06000021,5.2,32.8,62
E06000022,8.3,29.1,62.6
E06000023,12.3,30.2,57.5
E06000024,4.8,30.7,64.5
E06000025,6.1,26,67.9
E06000026,6.4,32.6,61
E06000027,5.9,34.7,59.3
E06000030,6.7,28.4,64.9
E06000031,9.1,27.8,63.1
E06000032,11.9,26.7,61.4
E06000033,5.4,33.3,61.3
E06000034,8.4,24.4,67.2
E06000035,6.9,27.3,65.8
E06000036,6.2,26.8,67
E06000037,5.1,27,67.9
E06000038,11.9,28.5,59.7
E06000039,13.7,22.8,63.5
E06000040,6.8,27.4,65.8
E06000041,5.4,23.5,71.1
E06000042,7.8,26.3,65.9
E06000043,11.2,34.7,54.1
E06000044,9.8,32,58.1
E06000045,9.8,33,57.3
E06000046,5,34.7,60.3
E06000047,3.7,33.9,62.4
E06000049,3.8,30.4,65.8
E06000050,4.4,30.2,65.3
E06000051,4.8,29.7,65.6
E06000052,5.9,30.7,63.5
E06000053,7.6,32.6,59.8
E06000054,4.6,28.2,67.2
E06000055,6.7,28.6,64.7
E06000056,4.8,25.8,69.4
E06000057,2.7,32.8,64.5
E06000058,7.7,32.5,59.8
E06000059,4.5,30.6,64.9
E06000060,5.9,26.3,67.8
E06000061,6.2,27.3,66.5
E06000062,7.1,26.9,66
E07000008,13.1,31.7,55.1
E07000009,4.4,27.7,67.9
E07000010,6.2,29,64.8
E07000011,4.7,28.1,67.3
E07000012,4.7,26.2,69.1
E07000026,3,33.4,63.6
E07000027,3,36.2,60.8
E07000028,3.5,35.1,61.4
E07000029,3,34.3,62.6
E07000030,3.9,30.9,65.2
E07000031,4,32.5,63.5
E07000032,3.4,30.5,66.1
E07000033,4,29.9,66.1
E07000034,3.2,35.5,61.2
E07000035,3.1,30.6,66.3
E07000036,3.7,30.9,65.4
E07000037,3.5,31.7,64.7
E07000038,3.1,31.1,65.8
E07000039,3.7,27.1,69.3
E07000040,4.7,30,65.3
E07000041,10.3,32.4,57.3
E07000042,5,28.7,66.3
E07000043,5.1,30.7,64.3
E07000044,4.9,29.5,65.6
E07000045,4.9,30.8,64.3
E07000046,5.1,30.6,64.3
E07000047,4.9,29.4,65.7
E07000061,6.1,35.5,58.4
E07000062,6.8,35.7,57.5
E07000063,5.5,31,63.5
E07000064,5.3,32.6,62.1
E07000065,4.8,27.5,67.7
E07000066,5.8,28.1,66.1
E07000067,4.6,27.4,68.1
E07000068,4.5,29.1,66.4
E07000069,5.1,27.3,67.6
E07000070,4.9,28.1,67
E07000071,6.3,29,64.7
E07000072,6.2,27.2,66.6
E07000073,6.8,28.8,64.4
E07000074,4.9,26.6,68.5
E07000075,4.4,26.3,69.3
E07000076,4.8,34.2,61
E07000077,4.6,25,70.4
E07000078,5.8,34.8,59.4
E07000079,3.8,30.2,66
E07000080,4.9,28.4,66.7
E07000081,6.1,30.2,63.6
E07000082,4.4,29.1,66.5
E07000083,3.9,28.2,67.9
E07000084,5.8,26.6,67.6
E07000085,4.5,26.4,69.1
E07000086,4.9,26.5,68.6
E07000087,4.5,26.7,68.7
E07000088,5.1,31.9,63
E07000089,4.4,24.6,71
E07000090,5.4,29.8,64.8
E07000091,4.7,29.3,66
E07000092,8.4,26.7,64.9
E07000093,5,26.4,68.6
E07000094,5.8,27.7,66.5
E07000095,6.3,27.5,66.2
E07000096,5.2,28.2,66.6
E07000098,6.9,27,66.1
E07000099,4.3,29.8,65.9
E07000102,6.1,26.3,67.6
E07000103,9.3,28.1,62.6
E07000105,6.4,25.9,67.8
E07000106,9.3,29.9,60.9
E07000107,6.4,25.9,67.7
E07000108,5.4,31,63.6
E07000109,7.9,26.9,65.2
E07000110,6.3,26.4,67.3
E07000111,4.8,26.5,68.7
E07000112,5.7,32.5,61.8
E07000113,6.6,26.4,67
E07000114,6.1,33.5,60.4
E07000115,4.7,25.6,69.8
E07000116,4.4,29.4,66.2
E07000117,5.9,32.9,61.2
E07000118,3.6,29.2,67.2
E07000119,3.7,34.2,62.1
E07000120,5,32.9,62.1
E07000121,6.7,32.6,60.8
E07000122,6.9,31.1,62
E07000123,7,32.5,60.4
E07000124,3.3,29.2,67.5
E07000125,4.3,31.8,63.9
E07000126,3.6,29.8,66.5
E07000127,5.6,28.8,65.6
E07000128,4,32.2,63.8
E07000129,4.9,26.1,69.1
E07000130,6.9,28.3,64.9
E07000131,4.4,26,69.6
E07000132,4.1,28.3,67.7
E07000133,3.9,28.2,68
E07000134,4.3,27.8,67.9
E07000135,6.3,28.1,65.6
E07000136,8.1,27.5,64.4
E07000137,4.5,30.6,64.9
E07000138,9.6,33.3,57.1
E07000139,3.5,27.4,69.1
E07000140,6.7,27.1,66.2
E07000141,4,29,67
E07000142,3.7,29.9,66.4
E07000143,5.5,27.4,67.1
E07000144,3.7,28.1,68.2
E07000145,5.1,32.5,62.3
E07000146,5.2,29.4,65.4
E07000147,3.8,33.7,62.4
E07000148,9.4,38.9,51.7
E07000149,4.1,27.7,68.3
E07000163,3.2,32.4,64.5
E07000164,3.3,29.8,66.8
E07000165,3.6,30.7,65.7
E07000166,3.3,29.2,67.5
E07000167,3.6,30.6,65.8
E07000168,4,35.6,60.3
E07000169,3.6,26.7,69.7
E07000170,4.3,29.4,66.3
E07000171,3.8,30.1,66.1
E07000172,5.2,30.2,64.6
E07000173,4.1,30.1,65.8
E07000174,5.2,30.1,64.7
E07000175,4.2,29.5,66.2
E07000176,4.6,27.7,67.7
E07000177,6.7,26.3,67
E07000178,15.6,29.1,55.2
E07000179,5.2,26.2,68.7
E07000180,5.1,26.8,68
E07000181,4.7,27.5,67.8
E07000187,4.9,30.1,65
E07000188,5.6,29,65.4
E07000189,4.5,30.1,65.4
E07000192,4.1,28.9,67
E07000193,5.4,28.8,65.8
E07000194,3.8,27.7,68.5
E07000195,4.7,31.1,64.2
E07000196,3.7,27.2,69
E07000197,3.7,29.6,66.7
E07000198,3.5,29.6,66.9
E07000199,4.8,26.7,68.5
E07000200,3.9,28.3,67.7
E07000202,6,32.4,61.6
E07000203,4,27,69
E07000207,4.9,26.9,68.1
E07000208,6.9,24.3,68.7
E07000209,8.5,26.6,64.9
E07000210,4.6,29.8,65.6
E07000211,5.8,26.4,67.8
E07000212,8.4,28.5,63.1
E07000213,7.2,27.9,64.9
E07000214,6.2,25.2,68.7
E07000215,5.3,27.2,67.4
E07000216,4.7,27.9,67.4
E07000217,7,26.8,66.2
E07000218,4.9,27.7,67.4
E07000219,5.3,28.9,65.8
E07000220,5.9,27.2,66.9
E07000221,4.2,29.1,66.7
E07000222,6.8,30.3,62.8
E07000223,6.1,30.4,63.5
E07000224,5.7,31.3,62.9
E07000225,5.4,31.1,63.5
E07000226,9.9,25.3,64.8
E07000227,4.4,28.1,67.5
E07000228,4.7,27.5,67.8
E07000229,5.7,33.8,60.5
E07000234,3.8,27.4,68.8
E07000235,4.2,29.5,66.2
E07000236,5.6,27.8,66.6
E07000237,6.5,31.7,61.9
E07000238,4.4,27.6,67.9
E07000239,4.1,31.7,64.1
E07000240,4.6,26.3,69.1
