areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E02000984,98.9,1,0.1
E02000985,99.1,0.8,0.2
E02000986,96.2,3.1,0.6
E02000987,97.9,1.5,0.6
E02000988,87.6,8.7,3.7
E02000989,99.1,0.7,0.2
E02000990,97.3,2.2,0.5
E02000991,92.1,5.6,2.3
E02000992,98.9,0.9,0.2
E02000993,92.3,6,1.7
E02000994,73.1,18.6,8.3
E02000995,95.6,3.3,1.1
E02000996,93.2,5.2,1.6
E02000997,96.6,2.9,0.6
E02000998,72.5,18.3,9.1
E02000999,74.8,17.3,7.9
E02001000,90.3,7.1,2.6
E02001001,83.9,12,4.1
E02001002,96.5,2.6,0.9
E02001003,91.5,6.5,1.9
E02001004,62.9,24.7,12.4
E02001005,71.9,18.8,9.3
E02001006,71.4,19,9.5
E02001007,98.5,1.1,0.3
E02001008,71.3,20.4,8.4
E02001009,84.3,11.2,4.6
E02001010,86.3,9.6,4.1
E02001011,97.9,1.6,0.5
E02001012,83.7,12.1,4.2
E02001013,94.1,4.6,1.2
E02001014,97.9,1.7,0.4
E02001015,94.2,4.3,1.5
E02001016,91.9,5.8,2.2
E02001017,97.7,1.9,0.4
E02001018,98.3,1.3,0.4
E02001019,97.4,2.2,0.4
E02001020,99.3,0.7,0
E02001021,99.1,0.7,0.2
E02001022,94.5,3.9,1.6
E02001023,96.7,2.6,0.7
E02001024,98.7,1,0.3
E02001025,88.4,8.7,3
E02001026,76.5,16.1,7.4
E02001027,95.1,3.6,1.3
E02001028,98.5,1,0.5
E02001029,82,12.5,5.5
E02001030,98.5,1.1,0.3
E02001031,92.4,5.6,2
E02001032,96.9,2.3,0.9
E02001033,94.2,4.7,1.1
E02001034,93.6,4.5,1.9
E02001035,97.1,2.3,0.6
E02001036,95.3,3.6,1.1
E02001037,96.8,2.7,0.5
E02001038,92.9,5.5,1.6
E02001039,92.2,6.2,1.6
E02001040,94.1,4.6,1.2
E02001041,93.5,5.2,1.3
E02001042,93.2,5.2,1.5
E02001043,92.9,5.7,1.4
E02001044,91.2,6.6,2.2
E02001045,90.7,7.1,2.2
E02001046,86.1,11,2.9
E02001047,89.3,8.5,2.2
E02001048,79.7,15.3,5
E02001049,91.9,6.6,1.5
E02001050,76.6,17.5,5.9
E02001051,83.9,11.9,4.1
E02001052,63.5,26,10.5
E02001053,79.4,15.7,4.9
E02001055,87.3,10,2.7
E02001056,84.5,12.2,3.3
E02001059,77.2,17,5.8
E02001061,81.4,13.9,4.7
E02001062,68.2,26,5.7
E02001063,76.3,20.9,2.8
E02001064,72.5,19.8,7.6
E02001065,80.4,14.5,5.1
E02001066,69.1,23.4,7.5
E02001067,77,17.4,5.5
E02001068,72.4,20.7,6.9
E02001069,68.9,23.8,7.3
E02001070,74,19.6,6.3
E02001072,79.8,15.3,5
E02001073,90.8,7,2.2
E02001074,81.3,14.7,4
E02001075,73.5,19,7.5
E02001076,87.5,10.1,2.4
E02001077,90.7,7.6,1.7
E02001078,83.4,12.7,3.9
E02001079,85.7,11.6,2.7
E02001080,89,9,2
E02001081,94.6,4.5,0.9
E02001082,91.2,7.4,1.4
E02001083,89.8,8.9,1.3
E02001084,90.3,8,1.7
E02001085,85.3,11.3,3.4
E02001086,88.9,8.4,2.7
E02001087,92.7,6.4,0.9
E02001088,89.8,8.8,1.4
E02001089,90.6,7.7,1.8
E02001090,92.8,5.9,1.4
E02001091,91.9,6.8,1.2
E02001092,89.8,8.5,1.7
E02001093,88.5,9.5,2
E02001094,87.6,10.2,2.2
E02001095,89.7,8.8,1.6
E02001096,92.4,6.7,0.8
E02001097,88.2,9.9,1.9
E02001098,98.4,1,0.5
E02001099,96.6,2.5,1
E02001100,97.5,1.8,0.7
E02001101,99.1,0.6,0.3
E02001102,98.2,1.4,0.4
E02001103,99.1,0.6,0.3
E02001104,96.8,2.4,0.8
E02001105,98,1.7,0.4
E02001106,96.7,2.3,0.9
E02001107,88.4,7.5,4.2
E02001108,93.7,4.7,1.6
E02001109,93.2,5.1,1.6
E02001110,99.2,0.7,0.1
E02001111,77.7,14.4,7.9
E02001112,96.5,2.5,0.9
E02001113,71.1,14.3,14.5
E02001114,91.2,5.6,3.3
E02001115,97.5,1.8,0.6
E02001116,71.9,18.4,9.7
E02001117,99.2,0.6,0.2
E02001118,98.9,0.8,0.3
E02001119,70.9,17.4,11.7
E02001121,71.3,17.8,10.8
E02001123,89.8,7.7,2.5
E02001124,89.6,7.1,3.3
E02001125,95.8,3.1,1
E02001126,86.7,9.5,3.9
E02001127,93.2,5.1,1.7
E02001128,94.8,3.6,1.6
E02001129,93.6,4.2,2.2
E02001130,98,1.5,0.5
E02001131,97.2,2,0.8
E02001132,98.6,1.2,0.2
E02001133,98.5,1.2,0.3
E02001134,98.1,1.5,0.4
E02001135,86.5,8.8,4.7
E02001136,93.4,4.9,1.6
E02001137,96.9,2.4,0.7
E02001138,96.3,2.8,0.8
E02001139,72.7,15.5,11.8
E02001140,87.4,9.1,3.5
E02001141,74.8,16.8,8.5
E02001142,93.9,4.5,1.6
E02001143,84.3,10.4,5.3
E02001144,97.2,2.2,0.7
E02001145,98.7,1,0.3
E02001146,70.9,18,11.1
E02001147,89,8.6,2.3
E02001148,93.1,5.1,1.8
E02001149,93.7,4.8,1.5
E02001150,94.5,4.4,1.1
E02001151,97.2,2.1,0.7
E02001152,93.8,5,1.2
E02001153,89.3,8.5,2.2
E02001154,96.4,2.7,0.8
E02001155,94.5,4.4,1
E02001156,96.1,3.1,0.8
E02001157,89,8.3,2.7
E02001158,92,5.5,2.5
E02001159,93.4,5.1,1.5
E02001160,89.8,8.1,2
E02001161,92.2,6.1,1.7
E02001162,93.1,5.3,1.6
E02001163,96.4,3.1,0.6
E02001164,91.1,7.1,1.8
E02001165,93.4,5,1.6
E02001166,85.3,9.8,4.9
E02001167,83.3,13.3,3.4
E02001168,92.7,5.7,1.5
E02001169,96.1,3.3,0.5
E02001170,98.1,1.6,0.3
E02001171,96,3.3,0.7
E02001173,85,11.4,3.6
E02001174,93.3,5,1.7
E02001175,92,5.6,2.4
E02001176,92,6,1.9
E02001177,87,10.6,2.5
E02001179,84.9,12.2,2.9
E02001180,78.9,17.2,4
E02001181,88.2,9.3,2.5
E02001182,86.8,10.2,3
E02001183,87.6,9.5,2.9
E02001185,96.2,2.9,0.9
E02001186,96.2,3.1,0.6
E02001187,96.7,2.6,0.6
E02001188,94,4.9,1.2
E02001189,97,2.3,0.7
E02001190,93.1,5.3,1.6
E02001191,98.7,1.1,0.2
E02001192,94.8,4,1.2
E02001193,94.5,4.2,1.4
E02001194,95.5,3.7,0.8
E02001195,98.2,1.4,0.4
E02001196,98.6,1.3,0.2
E02001197,95.2,3.6,1.1
E02001198,97.9,1.8,0.2
E02001199,93.2,5.7,1.1
E02001200,89.2,8.5,2.3
E02001201,98.5,1.2,0.3
E02001202,92.4,6.2,1.4
E02001203,99.3,0.6,0
E02001204,96.5,2.8,0.6
E02001205,95.8,3.1,1.1
E02001206,98.2,1.6,0.2
E02001207,98.3,1.4,0.4
E02001208,96.6,2.7,0.7
E02001209,94.4,4.3,1.3
E02001210,96.5,2.8,0.7
E02001211,93.8,4.9,1.2
E02001212,93.5,5.2,1.3
E02001213,95.4,3.8,0.8
E02001214,91.9,6.7,1.3
E02001215,98.9,1,0.2
E02001216,95.8,3.3,0.9
E02001217,94.1,5.1,0.8
E02001218,95.9,3.5,0.7
E02001219,98,1.7,0.4
E02001220,95.2,4.2,0.6
E02001221,98.2,1.4,0.5
E02001222,92.2,6.3,1.5
E02001223,96,3.2,0.8
E02001224,98.5,1.3,0.2
E02001225,96.7,2.6,0.7
E02001226,92.3,5.8,1.9
E02001227,97.4,2.2,0.4
E02001228,96.8,2.6,0.6
E02001229,97.8,1.8,0.4
E02001230,91.8,6.3,1.9
E02001231,98,1.6,0.3
E02001232,88.2,8.5,3.3
E02001233,92.4,5.5,2.2
E02001234,88.8,8,3.2
E02001235,89.6,7.4,3
E02001236,94.7,3.9,1.4
E02001237,97.5,2.1,0.4
E02001238,96.1,2.6,1.2
E02001239,93,5.2,1.7
E02001240,93.8,5,1.3
E02001241,76.7,16.3,7
E02001242,95.2,3.6,1.2
E02001243,97.2,2.2,0.6
E02001244,98.3,1.4,0.3
E02001245,94.8,3.9,1.3
E02001246,96.8,2.4,0.8
E02001247,95.1,3.6,1.3
E02001248,95,3.7,1.3
E02001249,94.9,3.9,1.2
E02001250,98.3,1.4,0.3
E02001251,98.9,0.9,0.2
E02001252,98.1,1.3,0.6
E02001253,97.6,1.8,0.6
E02001254,97.7,1.7,0.5
E02001255,96.4,3.1,0.5
E02001256,88,7.1,4.9
E02001257,97.2,2.3,0.5
E02001258,98.5,1.1,0.4
E02001259,78.5,16.1,5.4
E02001260,97.3,2.3,0.5
E02001261,89.1,9.2,1.6
E02001262,84.8,11.4,3.8
E02001263,97.7,1.9,0.4
E02001264,92.2,6.5,1.3
E02001265,98.2,1.5,0.2
E02001266,94,4.9,1.1
E02001267,97,2.5,0.6
E02001268,98.2,1.6,0.2
E02001269,92.2,6.5,1.3
E02001270,93.2,5.9,0.9
E02001271,95.9,3.4,0.7
E02001272,95.6,3.9,0.5
E02001273,89.7,8.5,1.7
E02001274,92,7.2,0.9
E02001275,96.9,2.3,0.7
E02001276,92.7,6.1,1.2
E02001277,90.7,7.9,1.4
E02001278,92.2,6.8,1
E02001279,95.1,4.4,0.4
E02001280,93,6.1,0.9
E02001281,96.6,2.8,0.6
E02001282,91.3,7.7,1
E02001283,92.6,6.7,0.7
E02001284,95.7,3.7,0.6
E02001285,95.3,4.2,0.6
E02001286,92.2,6.8,0.9
E02001287,97.9,1.8,0.2
E02001288,97.6,2,0.5
E02001289,99.1,0.8,0.1
E02001290,98.4,1.2,0.4
E02001291,95.5,3.3,1.1
E02001292,94.1,4.9,1
E02001293,97.5,2.2,0.3
E02001294,94,4.8,1.3
E02001295,90,7.5,2.5
E02001296,91.3,7.1,1.6
E02001297,96.9,2.5,0.6
E02001298,92.1,6.2,1.7
E02001299,98.1,1.2,0.6
E02001300,96.7,2.7,0.6
E02001301,94.3,4.5,1.2
E02001302,98.1,1.5,0.4
E02001303,95.5,3.7,0.8
E02001304,98.9,0.8,0.3
E02001305,98,1.7,0.3
E02001306,98.6,1.1,0.3
E02001307,99.1,0.7,0.2
E02001308,97.7,2,0.4
E02001309,97.3,2.2,0.5
E02001310,94.7,4.2,1.1
E02001311,96.7,2.4,0.9
E02001312,96.6,2.6,0.8
