areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E02002985,32.7,67.3
E02002986,30.1,69.9
E02002987,32.8,67.2
E02002988,34.6,65.4
E02002989,33.9,66.1
E02002990,33.7,66.3
E02002991,31.3,68.7
E02002992,34,66
E02002993,34.9,65.1
E02002994,36.3,63.7
E02002995,38.4,61.6
E02002996,40.5,59.5
E02002997,37,63
E02002998,39.5,60.5
E02002999,35.9,64.1
E02003000,35.4,64.6
E02003001,33.3,66.7
E02003002,35.9,64.1
E02003003,37.1,62.9
E02003004,34,66
E02003005,34.5,65.5
E02003006,35.6,64.4
E02003007,32.3,67.7
E02003008,31.3,68.7
E02003009,30.9,69.1
E02003010,31.8,68.2
E02003011,32.9,67.1
E02003012,29.7,70.3
E02003013,29.9,70.1
E02003014,31.1,68.9
E02003015,28.5,71.5
E02003016,30.9,69.1
E02003017,31.1,68.9
E02003018,32.5,67.5
E02003019,26.4,73.6
E02003020,33.1,66.9
E02003021,30.3,69.7
E02003022,33.7,66.3
E02003023,34.8,65.2
E02003024,32.1,67.9
E02003025,34.3,65.7
E02003026,33.7,66.3
E02003027,31.5,68.5
E02003028,28.3,71.7
E02003029,34.4,65.6
E02003030,33.3,66.7
E02003031,30.3,69.7
E02003032,31.4,68.6
E02003033,29.1,70.9
E02003036,27.3,72.7
E02003037,26.8,73.2
E02003038,28.7,71.3
E02003039,29.5,70.5
E02003040,26.6,73.4
E02003041,23.9,76.1
E02003044,28.8,71.2
E02003045,29.2,70.8
E02003046,25,75
E02003047,25.4,74.6
E02003048,24.6,75.4
E02003049,28.4,71.6
E02003050,21.8,78.2
E02003051,28.3,71.7
E02003052,26.5,73.5
E02003053,29.9,70.1
E02003054,29.5,70.5
E02003055,32.5,67.5
E02003056,32.6,67.4
E02003057,28.7,71.3
E02003058,31.4,68.6
E02003059,28.9,71.1
E02003060,32.4,67.6
E02003061,31.3,68.7
E02003062,32.4,67.6
E02003063,32.1,67.9
E02003064,33.9,66.1
E02003065,30.4,69.6
E02003066,35.2,64.8
E02003067,30.5,69.5
E02003068,31.3,68.7
E02003070,32,68
E02003072,33.7,66.3
E02003073,34.4,65.6
E02003075,34.8,65.2
E02003077,32.5,67.5
E02003088,34.2,65.8
E02003090,28.4,71.6
E02003091,30.1,69.9
E02003092,33,67
E02003093,32.5,67.5
E02003094,28.5,71.5
E02003095,29.2,70.8
E02003096,29.5,70.5
E02003097,32.2,67.8
E02003098,24.1,75.9
E02003099,29.3,70.7
E02003101,24.9,75.1
E02003102,32.3,67.7
E02003103,29.8,70.2
E02003104,28.2,71.8
E02003105,32.1,67.9
E02003107,31.3,68.7
E02003108,28.1,71.9
E02003109,33.3,66.7
E02003110,27.5,72.5
E02003111,30.6,69.4
E02003112,33,67
E02003113,33.2,66.8
E02003114,31.6,68.4
E02003115,29.6,70.4
E02003116,29.9,70.1
E02003117,29.8,70.2
E02003118,29.9,70.1
E02003119,31.8,68.2
E02003120,31.5,68.5
E02003121,32.1,67.9
E02003172,34.4,65.6
E02003173,33,67
E02003174,35,65
E02003175,33.8,66.2
E02003176,36.1,63.9
E02003177,35,65
E02003178,33.7,66.3
E02003179,33,67
E02003180,39.4,60.6
E02003181,34.9,65.1
E02003182,32,68
E02003183,36.2,63.8
E02003194,35,65
E02003195,29.7,70.3
E02003196,36.4,63.6
E02003197,31.7,68.3
E02003198,30.3,69.7
E02003199,32.3,67.7
E02003200,33.4,66.6
E02003201,30.3,69.7
E02003214,31.6,68.4
E02003215,26.6,73.4
E02003216,24.7,75.3
E02003217,26.1,73.9
E02003218,29.9,70.1
E02003219,25.5,74.5
E02003220,26.5,73.5
E02003221,26.1,73.9
E02003222,25.9,74.1
E02003223,23.8,76.2
E02003224,26.1,73.9
E02003225,23.4,76.6
E02003226,23.8,76.2
E02003227,31.3,68.7
E02003228,26.8,73.2
E02003229,27.3,72.7
E02003230,20.4,79.6
E02003231,28.4,71.6
E02003232,24,76
E02003233,27.8,72.2
E02003234,28,72
E02003235,24.9,75.1
E02003236,26.3,73.7
E02003368,27.5,72.5
E02003376,30.2,69.8
E02003384,30.5,69.5
E02003550,28.8,71.2
E02003552,30.2,69.8
E02003554,27.7,72.3
E02003555,27.6,72.4
E02003558,27.2,72.8
E02003559,29.6,70.4
E02003560,32,68
E02003563,28.6,71.4
E02003567,30.7,69.3
E02003568,23.7,76.3
E02003569,25.8,74.2
E02003571,32.7,67.3
E02004236,35,65
E02004237,36.8,63.2
E02004238,34,66
E02004239,35.3,64.7
E02004240,35,65
E02004241,35.1,64.9
E02004243,35.8,64.2
E02004244,31.6,68.4
E02004245,35.1,64.9
E02004246,34.7,65.3
E02004247,37,63
E02004248,34.2,65.8
E02004249,35.8,64.2
E02004250,34.6,65.4
E02004251,35,65
E02004252,33,67
E02004253,35.4,64.6
E02004254,34.2,65.8
E02004255,32.4,67.6
E02004256,34.5,65.5
E02004257,30.9,69.1
E02004258,33.4,66.6
E02004259,34.6,65.4
E02004260,29.3,70.7
E02004261,33.7,66.3
E02004262,34.8,65.2
E02004263,34.4,65.6
E02004264,33.2,66.8
E02004269,32.6,67.4
E02004270,36.3,63.7
E02004271,36.6,63.4
E02004272,34.3,65.7
E02004274,40.4,59.6
E02004779,35.3,64.7
E02004780,32.3,67.7
E02004781,30.2,69.8
E02004782,30.8,69.2
E02004783,30.4,69.6
E02004784,35,65
E02004785,33.9,66.1
E02004786,30.9,69.1
E02004787,34,66
E02004788,35,65
E02004790,33.4,66.6
E02004793,37.7,62.3
E02004794,36,64
E02004795,35.8,64.2
E02004796,37.2,62.8
E02004797,34.2,65.8
E02004798,36.6,63.4
E02004799,34.7,65.3
E02004800,38.3,61.7
E02004814,28.9,71.1
E02004815,28,72
E02004817,25.8,74.2
E02004818,26.7,73.3
E02004819,25.1,74.9
E02004820,28.2,71.8
E02004821,31.7,68.3
E02004822,32.5,67.5
E02004823,32.6,67.4
E02004824,30.6,69.4
E02004825,30.9,69.1
E02004826,30.1,69.9
E02004828,31.6,68.4
E02005988,24.6,75.4
E02005991,26.9,73.1
E02006047,36,64
E02006048,34.6,65.4
E02006049,33.6,66.4
E02006050,36.1,63.9
E02006051,36.2,63.8
E02006052,33.5,66.5
E02006053,34,66
E02006054,35.9,64.1
E02006055,31.4,68.6
E02006056,35.2,64.8
E02006057,40.4,59.6
E02006058,35.9,64.1
E02006059,35.6,64.4
E02006060,33.6,66.4
E02006061,34.8,65.2
E02006075,36.5,63.5
E02006076,35.4,64.6
E02006077,32.8,67.2
E02006079,32.3,67.7
E02006080,26.4,73.6
E02006082,33.7,66.3
E02006083,32.4,67.6
E02006085,28,72
E02006086,27.3,72.7
E02006087,29,71
E02006088,29.8,70.2
E02006089,26,74
E02006090,28,72
E02006091,33.8,66.2
E02006092,27.9,72.1
E02006094,32.2,67.8
E02006095,32.6,67.4
E02006634,32,68
E02006635,33,67
E02006636,33.4,66.6
E02006637,29,71
E02006638,33.8,66.2
E02006639,32.4,67.6
E02006640,31.5,68.5
E02006641,30.4,69.6
E02006642,28.5,71.5
E02006645,31.1,68.9
E02006646,27.7,72.3
E02006647,32.2,67.8
E02006648,29.4,70.6
E02006649,27.4,72.6
E02006650,23.7,76.3
E02006651,32.1,67.9
E02006652,28.8,71.2
E02006653,29.7,70.3
E02006654,27.8,72.2
E02006655,29.4,70.6
E02006656,28.9,71.1
E02006657,26.5,73.5
E02006658,29.3,70.7
E02006659,30,70
E02006660,31.2,68.8
E02006661,22.3,77.7
E02006662,25,75
E02006663,25.2,74.8
E02006664,30.6,69.4
E02006665,34.7,65.3
E02006666,30.7,69.3
E02006667,29.8,70.2
E02006668,33.7,66.3
E02006669,32.7,67.3
E02006670,26.6,73.4
E02006671,26.9,73.1
E02006672,29.3,70.7
E02006673,31.7,68.3
E02006674,31.7,68.3
E02006675,31.7,68.3
E02006676,37.2,62.8
E02006677,35.5,64.5
E02006678,28.5,71.5
E02006679,30,70
E02006680,30.5,69.5
E02006681,35.5,64.5
E02006682,34.3,65.7
E02006683,31.3,68.7
E02006684,28.2,71.8
E02006685,28.8,71.2
E02006686,34,66
E02006687,30.5,69.5
E02006688,28.4,71.6
E02006689,32.7,67.3
E02006690,32.5,67.5
E02006692,26.6,73.4
E02006693,31.5,68.5
E02006694,30.3,69.7
E02006695,35.6,64.4
E02006847,24.3,75.7
E02006848,22.3,77.7
E02006849,24.2,75.8
E02006886,26.1,73.9
E02006887,22.7,77.3
E02006888,37.9,62.1
E02006889,40.8,59.2
E02006890,34.6,65.4
E02006949,32,68
E02006950,29,71
E02006951,31.2,68.8
E02006952,26.8,73.2
E02007023,29.6,70.4
E02007024,27.9,72.1
E02007025,22.7,77.3
E02007026,19.4,80.6
E02007064,27.6,72.4
E02007065,23.6,76.4
E02007066,31.9,68.1
E02007067,27.6,72.4
E02007076,21.2,78.8
E02007077,21.7,78.3
E02007078,25.6,74.4
W02000344,28.5,71.5
W02000345,30.1,69.9
