areacd,heating_type_3a-001,heating_type_3a-002
E02001514,0.8,99.2
E02001522,0.8,99.2
E02001528,0.4,99.6
E02001530,1.1,98.9
E02001533,0.7,99.3
E02001534,0.5,99.5
E02001539,0.7,99.3
E02001540,0.9,99.1
E02001541,0.8,99.2
E02001542,1.1,98.9
E02001543,0.7,99.3
E02001544,0.7,99.3
E02001545,0.6,99.4
E02001546,0.5,99.5
E02001547,0.5,99.5
E02001548,1.2,98.8
E02001549,0.7,99.3
E02001550,0.7,99.3
E02001551,1,99
E02001552,0.5,99.5
E02001553,1.1,98.9
E02001554,0.9,99.1
E02001555,0.5,99.5
E02001556,0.5,99.5
E02001557,1.5,98.5
E02001558,0.5,99.5
E02001559,0.5,99.5
E02001560,3,97
E02001561,1.4,98.6
E02001562,0.9,99.1
E02001563,0.3,99.7
E02001564,0.3,99.7
E02001565,0.3,99.7
E02001566,1.4,98.6
E02001567,0.7,99.3
E02001568,0.5,99.5
E02001569,1,99
E02001570,0.7,99.3
E02001571,0.7,99.3
E02001572,0.6,99.4
E02001573,0.6,99.4
E02001574,0.5,99.5
E02001575,0.9,99.1
E02001576,0.4,99.6
E02001577,0.5,99.5
E02001578,0.7,99.3
E02001579,0.6,99.4
E02001580,0.4,99.6
E02001581,0.4,99.6
E02001582,0.9,99.1
E02001583,1,99
E02001585,1,99
E02001586,0.7,99.3
E02001587,0.9,99.1
E02001588,1,99
E02001589,0.6,99.4
E02001590,0.9,99.1
E02001591,1.7,98.3
E02001592,0.9,99.1
E02001593,1.8,98.2
E02001594,2.2,97.8
E02001595,0.4,99.6
E02001596,0.5,99.5
E02001597,0.8,99.2
E02001598,0.6,99.4
E02001600,1.1,98.9
E02001602,0.9,99.1
E02001603,0.8,99.2
E02001604,0.7,99.3
E02001605,0.7,99.3
E02001606,0.5,99.5
E02001607,0.6,99.4
E02001608,0.6,99.4
E02001609,0.8,99.2
E02001610,0.4,99.6
E02001628,2,98
E02001642,1,99
E02001647,1.1,98.9
E02001654,0.8,99.2
E02001655,1.2,98.8
E02001659,1,99
E02001666,0.8,99.2
E02001671,0.9,99.1
E02001673,1.3,98.7
E02001675,0.6,99.4
E02002330,0.5,99.5
E02002331,1.1,98.9
E02002334,0.9,99.1
E02002359,0.9,99.1
E02002403,1.1,98.9
E02002406,1.4,98.6
E02002417,1.1,98.9
E02002418,1.2,98.8
E02002432,0.8,99.2
E02002438,0.8,99.2
E02002439,1.5,98.5
E02002440,0.7,99.3
E02002441,0.8,99.2
E02002442,1.2,98.8
E02002447,0.9,99.1
E02002448,1.1,98.9
E02002449,0.4,99.6
E02002450,0.5,99.5
E02002452,1,99
E02002455,1,99
E02002460,0.6,99.4
E02002461,0.8,99.2
E02002464,0.7,99.3
E02002471,0.5,99.5
E02002476,0.9,99.1
E02002478,0.5,99.5
E02002479,0.7,99.3
E02002480,0.8,99.2
E02002481,0.3,99.7
E02002482,0.6,99.4
E02002653,1.6,98.4
E02002654,1.8,98.2
E02002655,0.9,99.1
E02002656,2.3,97.7
E02002657,1.2,98.8
E02002658,1.5,98.5
