areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02002805,32.8,38.7,14.1,14.5
E02002809,31,34.6,15.9,18.5
E02002827,28,29.1,17.1,25.8
E02002828,24.3,29.1,18,28.6
E02002829,30.4,22.6,17.7,29.4
E02002830,25.6,24.9,19.7,29.8
E02002831,20.2,25.8,18.4,35.6
E02002832,24.5,23.8,15.5,36.2
E02002833,16.6,20.5,19.8,43.2
E02002834,29,30.6,17.3,23.1
E02002836,20.3,20.4,16.7,42.7
E02002837,21.2,17.4,16.4,45
E02002838,28.8,24,16.1,31.1
E02002839,26.2,25.2,17.2,31.4
E02002842,31.6,27.8,18.4,22.2
E02002843,15.8,15.9,15.5,52.9
E02002844,22.5,17.5,14.7,45.4
E02002845,30.1,20.2,15.5,34.2
E02002846,27.2,33.4,18,21.5
E02002847,12.4,20,15.2,52.4
E02002848,22.4,18.2,14.8,44.7
E02002849,37,27.7,16.1,19.2
E02002851,21.7,25.9,15.9,36.5
E02002852,27.4,23.3,16.9,32.5
E02002853,22.9,19.1,15.4,42.7
E02002854,29.3,26.2,16.9,27.6
E02002855,26.7,30.9,17.2,25.2
E02002856,37.4,31.8,12.9,17.9
E02002857,34.5,33.8,16.5,15.2
E02002858,27.7,33.8,15.5,23
E02002860,30.4,33,16.4,20.2
E02002861,23.5,24.5,17.9,34.1
E02002862,33.4,27.3,17.5,21.8
E02002863,23.4,41.7,15.1,19.7
E02002864,27.1,39.7,14.9,18.2
E02002865,33.6,39.6,13,13.7
E02002866,27.1,41.3,14,17.7
E02002867,31,42,13.3,13.8
E02002868,26.2,37.9,17.8,18.1
E02002869,34.1,32.7,15.5,17.7
E02002871,32.8,35.4,15.3,16.4
E02002872,35.1,30.5,15.5,18.9
E02002873,30.2,29.9,18.9,21
E02002874,30,31.4,17.5,21.1
E02002875,33.9,30.6,17.7,17.7
E02002876,33.9,33.5,15.9,16.7
E02002877,40.2,33.5,12.2,14.1
E02002878,20.4,25.4,20.6,33.6
E02002879,32,32.6,14.9,20.5
E02002880,23.8,26.5,21.6,28.1
E02002881,30.7,28.5,18.2,22.5
E02002882,42.3,32.2,11.7,13.8
E02002883,36.9,32.8,14.8,15.5
E02002884,30.4,25.4,12.9,31.2
E02002885,30.8,23.2,14.7,31.3
E02002886,27.4,27.3,14.6,30.7
E02002887,35.6,29.1,13.6,21.7
E02002888,37,24.8,17.2,21
E02002889,38.4,28.6,10.2,22.8
E02002890,49.7,24.2,10.1,16
E02002891,29.3,30.2,15.9,24.6
E02002892,32.1,30.2,13.9,23.8
E02002893,35.1,25,14.8,25.1
E02002895,34.5,32.9,9.5,23.2
E02002896,37,27.9,12.8,22.3
E02002897,27.9,33.6,15.1,23.4
E02002898,24.6,21.3,14.4,39.7
E02002901,30.6,36.2,16.3,16.8
E02002902,30.9,33.2,16.2,19.7
E02002903,35.2,34.1,13.9,16.8
E02002904,29.1,30.7,18.8,21.5
E02003237,26,41.8,14.5,17.7
E02003238,28.4,35.1,19,17.5
E02003239,25.1,40.2,17.7,17
E02003240,24,37.5,16,22.5
E02003241,26.8,38.1,16.4,18.7
E02003242,31.4,37.2,15.6,15.8
E02003243,29.9,28.1,18,24
E02003244,29.3,26.2,17.5,27
E02003245,26.8,25.3,19.5,28.4
E02003246,24.7,24.7,18.1,32.5
E02003247,29.5,30.3,17.1,23.1
E02003248,21.7,24.3,13.7,40.3
E02003249,30.1,29,17,23.9
E02003250,34.6,27,14.9,23.5
E02003251,25.7,36.6,14,23.7
E02003252,28.1,28.9,17.7,25.3
E02003253,33.2,33.4,16.8,16.6
E02003254,27.4,40,16.4,16.2
E02003255,25.7,33.6,19,21.7
E02003257,32.4,25.1,17.1,25.3
E02003747,29.6,37.6,16.4,16.4
E02003749,24.4,43.4,15.8,16.5
E02003753,25.1,37,17.1,20.8
E02003754,25.4,40.9,16.1,17.6
E02004029,33.2,36.5,15.3,15
E02004031,34.6,32.6,16,16.8
E02004032,28.6,40.8,16,14.6
E02004033,33.8,37,15.6,13.6
E02004036,30.9,37.3,15.3,16.5
E02004040,27.3,38,16.4,18.4
E02004041,31.2,37.3,15.8,15.7
E02004045,28,40.4,16.4,15.2
E02004046,30.2,38.9,15.9,15
E02004047,33.5,35.2,16.1,15.3
E02004048,30.2,36.8,16.5,16.4
E02004049,31.9,39.3,14.1,14.7
E02004050,28.5,33.3,18.4,19.8
E02004051,30.2,37.3,16.3,16.2
E02004052,27.4,38.5,16.7,17.3
E02004053,31.8,34.2,16.5,17.5
E02004054,28.8,38.8,16.9,15.5
E02004056,30,32.7,16.7,20.6
E02004057,35.7,33.5,15,15.7
E02004059,31.8,40.1,14.8,13.3
E02004060,30.2,36.3,15.5,17.9
E02004078,34,33.8,16.9,15.4
E02004080,36.6,34.7,15.6,13.1
E02004082,25.5,42.1,15.7,16.8
E02004083,28.1,37.5,17.4,17
E02004084,31.7,35.1,17,16.2
E02004085,28.8,37.3,16.1,17.8
E02004086,29.2,38,15.8,17
E02004087,31.1,35.7,16.5,16.7
E02004088,26.1,39.2,16.3,18.4
E02004089,42.2,33.2,14.5,10.2
E02004090,34,38.5,14.4,13.2
E02004091,29.8,38.4,16.4,15.4
E02004092,30.6,37.8,15,16.6
E02004105,27.5,38.2,16.6,17.6
E02004111,31.5,40.6,14,13.9
E02004113,34.3,34.4,15.9,15.4
E02004115,32.2,39.5,14.1,14.2
E02004117,27.7,41,14.9,16.4
E02004121,24.1,39.2,17.2,19.6
E02005334,21.3,35.3,18.9,24.5
E02005335,26.1,36.7,15.3,21.9
E02005336,24.8,31.1,20.3,23.8
E02005337,27.4,30.7,17.5,24.5
E02005338,28.2,34.6,17.4,19.8
E02005339,27.6,36.5,16.3,19.7
E02005340,29.7,37.4,15.5,17.4
E02005341,23.7,35.4,19.4,21.5
E02005342,25,39.5,16.5,19
E02005343,24.9,39.5,15.2,20.4
E02005344,24.2,40.7,16.3,18.8
E02005345,27.8,39.7,15.7,16.7
E02005346,40.3,29.3,12.7,17.6
E02005347,27.4,26.5,16.4,29.6
E02005348,32.7,37.9,15.5,13.8
E02005349,27.8,38,17,17.2
E02005350,32.2,36.3,16.4,15.1
E02005351,24.8,29.9,18,27.3
E02005352,22.6,40.2,15.3,21.9
E02005353,27.6,32.7,16.7,23
E02005354,23.8,38.2,17.3,20.7
E02005355,29,37.6,15.1,18.2
E02005356,30.1,38.6,14.1,17.3
E02005357,27.1,35.9,18.1,18.9
E02005358,27.4,37.4,16.3,18.9
E02005359,21.2,37.6,18.4,22.8
E02005360,23.9,41.1,16,18.9
E02005361,33.7,32.7,16.5,17.1
E02005362,26,35.1,17.6,21.3
E02005363,24.4,33.7,18.3,23.5
E02005364,24.9,33.4,17.9,23.7
E02005365,29.5,32.2,17.2,21.1
E02005366,28.5,37.3,16.3,18
E02005368,24.7,40.5,14.7,20.2
E02005369,26.8,35.4,16.3,21.4
E02005370,22.2,37.8,18.8,21.1
E02005371,24,39.3,16.2,20.6
E02005372,21.4,42.6,15.5,20.5
E02005377,28,38.3,15.5,18.2
E02005378,24.4,38.8,17.3,19.5
E02005379,26.7,40.3,15.6,17.4
E02005380,25.2,41.2,15.4,18.2
E02005381,25.1,39.8,15.6,19.6
E02005382,29.6,38.4,15.6,16.5
E02005383,30.7,38.4,15,15.9
E02005385,24.2,41.3,17.1,17.5
E02005386,37.7,34.2,15.4,12.8
E02005387,27.5,37.9,16.8,17.8
E02005388,32.2,35.6,16.6,15.7
E02005389,32.5,37,14.6,15.9
E02005390,26.2,40.3,16.4,17.1
E02005391,25.7,41.5,15.5,17.3
E02005392,27.7,39.4,15.6,17.3
