areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02002805,43.7,14.8,28.5,13
E02002809,44.2,16.8,24.2,14.8
E02002827,53.8,14.7,17.8,13.7
E02002828,50.8,13.9,24.2,11.2
E02002829,59.9,14.3,12,13.8
E02002830,57.9,13.7,15.7,12.7
E02002831,55.6,12.5,19.6,12.3
E02002832,58.7,18.5,13.8,8.9
E02002833,62.5,16.5,12.3,8.6
E02002834,54.2,14.3,19.5,11.9
E02002836,61.7,19.9,10,8.4
E02002837,61.6,15.8,10.7,12
E02002838,61.7,14.3,9.3,14.7
E02002839,53.5,11.8,20.6,14.1
E02002842,55.3,21.9,11.6,11.1
E02002843,64,17.1,10.1,8.9
E02002844,60.5,14.7,13.3,11.5
E02002845,60.5,12.4,15.6,11.6
E02002846,46.1,12.5,28.7,12.8
E02002847,59,11.1,18.8,11.1
E02002848,58.6,14.3,15.5,11.6
E02002849,48.2,22.4,18.3,11.1
E02002851,48.1,11.5,29.2,11.2
E02002852,61.6,13.1,9.9,15.4
E02002853,50.3,11.2,26.8,11.6
E02002854,57.5,15.6,12,14.9
E02002855,49.7,18.2,20.8,11.3
E02002856,42.4,10.6,39.8,7.2
E02002857,52.7,13.5,20.3,13.4
E02002858,39.4,9.4,42.2,8.9
E02002860,50.4,12.4,22,15.2
E02002861,56.7,12.9,13.2,17.1
E02002862,57.8,15.4,11,15.8
E02002863,30.7,20.1,34.5,14.7
E02002864,28.9,26.1,30.7,14.2
E02002865,31.9,22.9,32,13.2
E02002866,20.4,29.5,37.3,12.8
E02002867,23.8,26.8,36.1,13.3
E02002868,49.4,11.8,23,15.8
E02002869,55.8,14.5,14.1,15.5
E02002871,52.6,9.6,21,16.8
E02002872,53.6,13.2,17.2,16
E02002873,55.9,12.6,17.4,14.2
E02002874,45.2,11.9,29,13.9
E02002875,51.4,11.7,22,14.9
E02002876,49,10.8,23.9,16.3
E02002877,40.6,8.4,41,10
E02002878,58.9,12.7,12.3,16.1
E02002879,43.5,12.2,31.6,12.7
E02002880,60.2,11.9,12.4,15.5
E02002881,53.6,12.9,18.4,15.2
E02002882,37.4,11.3,42.4,9
E02002883,46.5,12.4,26.9,14.2
E02002884,46.6,12.7,25.3,15.4
E02002885,48,13,18.8,20.2
E02002886,47.8,9.9,23.5,18.8
E02002887,51.8,10.1,20.3,17.9
E02002888,55.3,14.5,17.2,13.1
E02002889,44.4,19,27,9.6
E02002890,49.7,16.6,22.4,11.3
E02002891,47.4,10.9,23.1,18.6
E02002892,48.1,13.3,23.2,15.4
E02002893,49.7,14.7,20.8,14.8
E02002895,37.2,13.8,42.5,6.4
E02002896,50.1,12.5,23.9,13.5
E02002897,39.1,11.5,40.5,8.9
E02002898,46.2,13.6,30.2,9.9
E02002901,39.4,12.4,34.3,13.9
E02002902,50.8,14.7,18.4,16.1
E02002903,50.4,15.9,18.7,15
E02002904,47.9,17.6,18.5,16
E02003237,33.1,19.1,34.8,13
E02003238,44.5,13,28.7,13.8
E02003239,42,13.6,30.3,14
E02003240,22.3,27.6,37.5,12.7
E02003241,31.4,23.8,29.9,14.8
E02003242,47.5,11.6,25.7,15.2
E02003243,55.7,14.1,15.2,15
E02003244,53.7,14.7,14.4,17.2
E02003245,60.4,14.2,11.9,13.5
E02003246,49.7,18.4,12.4,19.5
E02003247,56.8,12.5,17.4,13.3
E02003248,49.7,16,17.6,16.7
E02003249,54.6,14.2,16.4,14.8
E02003250,49,19.3,18.1,13.6
E02003251,45.1,12.6,32.9,9.4
E02003252,46.7,14.3,27,12
E02003253,47.9,12.8,25.9,13.4
E02003254,36.3,13.4,39.1,11.1
E02003255,47,14.6,24.4,14.1
E02003257,52.6,14.8,17.1,15.5
E02003747,32.3,27.4,24.5,15.8
E02003749,21.4,33.8,27,17.9
E02003753,33.2,19.8,31.9,15.2
E02003754,17.7,29,39.7,13.6
E02004029,42.5,24.9,19.8,12.7
E02004031,49.4,22.6,14,14.1
E02004032,38.7,23.7,22.7,14.9
E02004033,40.4,24.2,20.1,15.2
E02004036,42.3,24.8,17.2,15.6
E02004040,38.7,24.5,21.8,15
E02004041,38.6,25.5,21.4,14.5
E02004045,27.8,34.2,24,13.9
E02004046,31.5,33.9,18,16.6
E02004047,36.1,34.6,14.9,14.3
E02004048,38.9,26.7,17.9,16.5
E02004049,34.9,30.7,20.1,14.3
E02004050,45.9,29.5,11.3,13.3
E02004051,42.4,28.5,13.5,15.6
E02004052,34.5,28.1,22,15.4
E02004053,44.5,26.2,15.1,14.1
E02004054,37.5,26.1,20.7,15.8
E02004056,49.2,20.3,15.5,14.9
E02004057,46.9,18.7,17.9,16.5
E02004059,45.5,17.7,22.3,14.5
E02004060,47.7,19.2,18.2,14.8
E02004078,43.9,27,12.1,17
E02004080,44.8,20.6,18.1,16.5
E02004082,33.5,22.6,28.6,15.3
E02004083,42.5,20.2,21.2,16.1
E02004084,48.8,21.3,13.7,16.3
E02004085,37.1,20.3,27.7,14.9
E02004086,40.9,16.9,30,12.2
E02004087,41.1,20.2,24.7,14
E02004088,35.5,20.3,32.7,11.5
E02004089,49.2,16.5,21.8,12.6
E02004090,35.2,20.5,30.4,13.9
E02004091,40.2,20.4,27,12.4
E02004092,38.1,22.7,26.3,12.8
E02004105,29.2,32.9,21.1,16.8
E02004111,40,23.6,21.4,15
E02004113,43.8,25.6,14.6,16
E02004115,37.7,25.2,20.9,16.2
E02004117,32.4,29.5,23.2,15
E02004121,29.6,22.7,36.4,11.3
E02005334,39.6,15.5,31.3,13.6
E02005335,34.1,15.9,37.8,12.2
E02005336,41.7,16,26.4,15.9
E02005337,46.6,14.8,22.8,15.8
E02005338,38.6,15.6,30.5,15.3
E02005339,33.1,17.2,35.6,14.1
E02005340,40.8,16.6,25.9,16.6
E02005341,36,18.7,30.7,14.7
E02005342,30,24.5,29,16.5
E02005343,33.8,19.6,30.8,15.8
E02005344,23.9,27.8,33.1,15.2
E02005345,37,21,30.2,11.8
E02005346,42.3,22,23.2,12.4
E02005347,42,21.1,25.5,11.5
E02005348,39.8,21.4,27.4,11.4
E02005349,37.3,21.8,26.9,13.9
E02005350,38.8,22.2,25.6,13.4
E02005351,37.9,22,28.4,11.8
E02005352,19.8,26.6,41,12.5
E02005353,37.7,22.7,28.2,11.4
E02005354,26.8,20.7,42.4,10.1
E02005355,28.4,24.6,34.8,12.2
E02005356,26.1,21.7,40.5,11.8
E02005357,34.8,25.7,24.5,15
E02005358,34.4,19.6,33.7,12.3
E02005359,30.9,24.6,30.5,13.9
E02005360,26.4,20.1,42.9,10.6
E02005361,38.6,20,27.5,13.9
E02005362,39.8,19.7,25.8,14.7
E02005363,38.3,17.6,31.8,12.2
E02005364,42.9,16.1,26.5,14.4
E02005365,46.5,15.9,23.3,14.4
E02005366,39.8,17.6,27.3,15.3
E02005368,10.6,32.8,42.7,13.9
E02005369,25.4,27.6,35.6,11.4
E02005370,26.5,27.6,32.1,13.9
E02005371,18.4,32.3,36.4,13
E02005372,16.4,28.5,41.8,13.3
E02005377,21.7,31.4,31.8,15
E02005378,36.7,18.3,30.4,14.5
E02005379,34,19.9,30,16
E02005380,17.7,32.6,37.2,12.5
E02005381,24.2,29.9,32.9,13
E02005382,33.5,25,25.1,16.4
E02005383,34,28,22.4,15.7
E02005385,30.2,24.4,33.5,12
E02005386,38.5,23.3,24,14.2
E02005387,35.3,24.5,26.1,14.1
E02005388,35.8,24.7,26,13.5
E02005389,30.2,25.7,30.9,13.2
E02005390,25.1,27.7,35.6,11.6
E02005391,14,31.6,40,14.4
E02005392,37.3,26.1,23.8,12.8
E02005393,25,27.9,32,15.1
E02005394,43.4,25.6,17,14
E02005395,36.2,26.6,22.3,15
E02005396,19,27.6,38.5,14.9
E02005397,24.4,30.1,33.9,11.6
E02005398,24.8,27.4,34.5,13.3
E02005400,31.8,26.5,26.2,15.5
E02005403,32.9,28.7,21.9,16.6
E02005405,35.4,28.8,21,14.8
E02005406,42.2,23.2,19,15.7
E02005407,29.9,28.5,27.9,13.7
E02005409,30.5,29.2,24.6,15.6
E02005412,42.8,13.4,33.1,10.7
E02005414,51.4,12.4,22.2,14
E02005415,51.3,11.9,20,16.9
E02005416,44.8,12.9,27.6,14.8
E02005418,40.6,38.5,4.9,16
E02005419,42.1,34.2,6.6,17
E02005420,46.6,31.7,6.5,15.3
E02005422,26.6,35,21.4,17.1
E02005423,41.3,28.6,13.7,16.4
E02005430,12.2,42,29,16.7
E02005434,32.2,34.7,17.3,15.8
E02005439,34.7,32.2,19.7,13.4
E02005441,23.5,35.2,22.2,19.2
E02005442,52.7,16,13.9,17.3
E02005443,51.9,14.3,20.5,13.2
E02005444,46.3,13.6,29.7,10.4
E02005445,48.5,21.1,16.3,14.1
E02005446,47.2,18.9,24.9,9
E02005447,43.5,29.4,14.4,12.8
E02005448,52.2,14.3,15.7,17.8
E02005449,45.8,18.6,20.4,15.2
E02005450,46.3,12.7,23.8,17.2
E02005451,52.1,17.1,14.1,16.7
E02005452,48.1,13.4,21.5,17
E02005453,38.3,17.6,29.9,14.2
E02005455,27,26.7,31.6,14.7
E02005456,41,19.9,25.3,13.8
E02005457,24.2,32.9,27.3,15.6
E02005458,16.8,33.9,34.9,14.4
E02005459,22.2,37.6,23.5,16.7
E02005460,25.7,32,29.3,13
E02005461,21.4,31.6,31.7,15.3
E02005462,34.8,31.3,18.2,15.7
E02005463,28.2,33.1,24.9,13.8
E02005464,23.2,35.3,25.9,15.6
E02005465,28.1,33.1,21.4,17.4
E02005468,32.9,26.1,23.7,17.2
E02005469,35.3,29,19.9,15.8
E02005470,52,23,12.7,12.3
E02005471,52.9,22.6,11.5,13
E02005473,49.9,24.8,12.8,12.5
E02005475,16.4,41.1,26.6,15.9
E02005476,16.9,30.9,36.4,15.7
E02005477,23.2,25.4,37.8,13.7
E02005478,40.3,22.5,21.5,15.6
E02005479,34.8,23.9,27.5,13.8
E02005480,50.1,22.1,12,15.8
E02005481,42.6,23.1,19.4,14.9
E02005482,27.3,28.3,29.8,14.6
E02005483,15.9,37.9,30.8,15.5
E02005484,16.7,35.4,31.4,16.5
E02005485,24.9,34.5,27.5,13.1
E02005486,28.3,34.7,23.3,13.7
E02005487,18.6,30.3,37.5,13.6
E02005488,21.7,35.6,30.5,12.3
E02005489,22.6,33.4,30,13.9
E02005490,30.3,29.3,26.6,13.8
E02005491,23.4,28.1,35.6,12.9
E02005498,16.7,35.9,32,15.4
E02005499,26.6,30.5,29.6,13.3
E02005500,28.4,27.5,30.7,13.4
E02005501,33.5,21.1,31.7,13.7
E02005502,29.3,26.5,27.4,16.8
E02005612,40.4,22.2,23.8,13.5
E02005613,51.4,20.9,14.9,12.7
E02005614,35.5,29.6,22.6,12.3
E02005615,51.6,19.3,16.3,12.8
E02005616,56.2,16.7,14.2,12.8
E02005629,13.1,32.3,40.7,13.9
E02005630,19,31.2,38.1,11.7
E02005819,48.1,19.5,17.1,15.3
E02005820,51,19.1,15,14.9
E02005821,49.2,20.3,14.8,15.6
E02005822,53.1,18.3,14.8,13.8
E02005823,57.7,16.9,11.3,14.2
E02005824,47.6,20.2,18.4,13.8
E02005825,48,20.7,18.1,13.3
E02005826,56.1,18.9,12.9,12.2
E02005827,41.8,20.9,22.3,15
E02005828,42.2,21.5,20.6,15.8
E02005829,41.6,22.6,18.5,17.4
E02005830,38.2,22.1,22.3,17.4
E02005831,34,22.9,28.9,14.2
E02005832,40,22.5,22.9,14.6
E02005833,37.6,22.6,23.6,16.2
E02005834,40.4,20.9,22.1,16.5
E02005839,38.9,30.8,15.3,15
E02005840,38,27.8,20.6,13.5
E02005842,36.7,30.1,18.8,14.5
E02005843,39.9,26,20.6,13.5
E02005844,37.9,30.9,16.7,14.5
E02005846,58.7,21.4,7.9,12.1
E02005847,44.8,24.9,17.6,12.7
E02005848,38.1,27.4,18.7,15.8
E02005849,22.1,34.6,27.8,15.5
E02005850,34.3,25.3,23,17.4
E02005851,37.9,26.9,20,15.2
E02005852,34.5,22.2,28,15.3
E02005853,38,15.2,31.5,15.2
E02005856,35.6,13.4,42.4,8.6
E02005857,45.9,16.2,23.6,14.3
E02005858,38.6,12.4,39.5,9.5
E02005859,42.1,15,29.4,13.5
E02005860,37.1,12.1,42,8.7
E02005861,40.4,11.3,37.8,10.5
E02005862,42.8,13.8,31.5,11.9
E02005863,34.5,12.2,44.2,9.1
E02005864,35,15.7,38.8,10.5
E02005865,23.1,26.1,37.3,13.5
E02005866,30.2,24.2,28,17.6
E02005868,42.1,14,28.4,15.4
E02005869,48.5,11.8,23.5,16.2
E02005870,47.7,12.2,23.3,16.8
E02005871,41.4,13.3,30.6,14.8
E02005872,32.3,15.4,38.9,13.5
E02005873,38.3,10.9,39.1,11.7
E02005874,38.5,10.2,38.8,12.5
E02005875,43.3,12.1,28.6,15.9
E02005876,43.7,11.9,28.8,15.6
E02005877,46.8,10.5,26.7,16
E02005878,45,11.4,28.3,15.3
E02005879,45.3,13,26.8,14.8
E02005880,36.1,33.7,14.1,16.2
E02005881,39.3,28.3,15,17.5
E02005882,43,18.9,20.1,18.1
E02005883,50.4,19.8,14,15.9
E02005884,46.3,20.9,17.7,15
E02005885,48.6,20.6,14.5,16.3
E02005886,43.5,21.8,19.4,15.3
E02005887,56.5,18.4,11.3,13.7
E02005888,55.2,18.8,11.2,14.7
E02005889,53.1,17.9,13.7,15.4
E02005890,42.6,20.5,20.6,16.4
E02005891,45.2,21.6,15.2,18.1
E02005892,38.9,21,27.4,12.7
E02005893,28.7,38.1,17.1,16.1
E02005894,31.2,30.9,21.5,16.5
E02005895,16.5,33.1,35,15.4
E02005896,21.1,30,35.1,13.8
E02005897,18.3,35.2,31.4,15
E02005898,33.3,31.1,18.9,16.7
E02005899,48.8,20.4,18,12.9
E02005900,17.5,30.3,39.8,12.4
E02005901,40.6,21.1,25.2,13.1
E02005902,46.6,20.8,17.8,14.9
E02005903,40.8,22.6,21.5,15.1
