areacd,sex-001,sex-002
E02000024,51.9,48.1
E02000025,52.4,47.6
E02000026,51.5,48.5
E02000027,52.2,47.8
E02000028,51.2,48.8
E02000029,50.9,49.1
E02000030,51.3,48.7
E02000031,52.5,47.5
E02000032,50.8,49.2
E02000033,51.7,48.3
E02000034,52.3,47.7
E02000035,51.6,48.4
E02000036,51.1,48.9
E02000037,51.6,48.4
E02000277,52.2,47.8
E02000278,53.6,46.4
E02000279,53.1,46.9
E02000280,52.8,47.2
E02000281,53,47
E02000282,54,46
E02000283,52.1,47.9
E02000284,52.4,47.6
E02000285,51.8,48.2
E02000286,53.6,46.4
E02000287,51.8,48.2
E02000288,52.6,47.4
E02000289,51.6,48.4
E02000290,52.8,47.2
E02000291,52.8,47.2
E02000292,52.7,47.3
E02000293,51.2,48.8
E02000294,52.3,47.7
E02000295,52.2,47.8
E02000296,52.3,47.7
E02000297,51,49
E02000298,51,49
E02000299,52.4,47.6
E02000300,52.2,47.8
E02000301,53.9,46.1
E02000302,50.4,49.6
E02000303,52.7,47.3
E02000304,51.7,48.3
E02000305,51.3,48.7
E02000306,53.5,46.5
E02000307,52,48
E02000433,53.7,46.3
E02000895,51,49
E02000898,50.9,49.1
E02000899,51.3,48.7
E02003258,50.8,49.2
E02003259,51.9,48.1
E02003260,53.1,46.9
E02003261,51.8,48.2
E02003262,50.9,49.1
E02003263,50.5,49.5
E02003264,50.5,49.5
E02003265,50.6,49.4
E02003266,51.3,48.7
E02003267,49.8,50.2
E02003268,50,50
E02003269,50.1,49.9
E02003270,50.3,49.7
E02003271,49.4,50.6
E02003272,49.5,50.5
E02003273,50.6,49.4
E02003274,49.5,50.5
E02003276,47,53
E02003277,50,50
E02003278,48.1,51.9
E02003459,51.4,48.6
E02003460,51,49
E02003461,52.2,47.8
E02003462,51.4,48.6
E02003463,50.6,49.4
E02003464,50.7,49.3
E02003465,51.3,48.7
E02003466,49.8,50.2
E02003467,51.1,48.9
E02003468,51.8,48.2
E02003469,50.3,49.7
E02003470,51.7,48.3
E02003471,50.1,49.9
E02003472,45.8,54.2
E02003473,48.9,51.1
E02003474,49.6,50.4
E02003476,49.2,50.8
E02003478,51.6,48.4
E02003479,50.7,49.3
E02003480,50.5,49.5
E02003481,51,49
E02003482,51.4,48.6
E02003483,50.7,49.3
E02003484,52,48
E02003485,52,48
E02003486,51.2,48.8
E02003487,51.7,48.3
E02003488,50.8,49.2
E02003489,51.5,48.5
E02003490,51.7,48.3
E02003599,50.3,49.7
E02003600,50.8,49.2
E02003601,50.7,49.3
E02003602,51.4,48.6
E02003603,50.1,49.9
E02003604,50.8,49.2
E02003605,49.4,50.6
E02003606,50.9,49.1
E02003607,51.5,48.5
E02003608,51.1,48.9
E02003609,50.2,49.8
E02003610,51.1,48.9
E02003611,51,49
E02003612,51.6,48.4
E02003613,50.5,49.5
E02003614,50.2,49.8
E02003615,50.6,49.4
E02003616,51.3,48.7
E02003617,50.9,49.1
E02003618,52,48
E02003619,51.2,48.8
E02003620,50.9,49.1
E02003621,51.6,48.4
E02003622,52.3,47.7
E02003623,50.8,49.2
E02003624,49.7,50.3
E02003625,47.7,52.3
E02003626,50.8,49.2
E02003627,48.7,51.3
E02003628,49.4,50.6
E02003629,51.5,48.5
E02003630,50.9,49.1
E02003631,51.1,48.9
E02003632,51,49
E02003633,50.8,49.2
E02003635,51.7,48.3
E02003636,51.4,48.6
E02003637,50.5,49.5
E02003638,50,50
E02003639,51.3,48.7
E02003640,49.7,50.3
E02003641,50.6,49.4
E02003642,50.3,49.7
E02003643,50.6,49.4
E02003644,51.2,48.8
E02003645,49.6,50.4
E02003646,50.4,49.6
E02003647,50.7,49.3
E02003648,50.7,49.3
E02003649,50.3,49.7
E02003650,50.6,49.4
E02003651,51.7,48.3
E02003652,50.8,49.2
E02003653,51.6,48.4
E02003654,51.2,48.8
E02003655,50.9,49.1
E02003656,51.9,48.1
E02003657,51,49
E02003658,51.2,48.8
E02003659,51.5,48.5
E02003660,50.8,49.2
E02003661,46.5,53.5
E02003662,50.5,49.5
E02003663,51.2,48.8
E02003664,50.8,49.2
E02003665,48.4,51.6
E02003666,49.8,50.2
E02003667,50.5,49.5
E02003668,51.2,48.8
E02003669,49.5,50.5
E02003670,51.1,48.9
E02003671,51.2,48.8
E02003672,51.3,48.7
E02003673,51.9,48.1
E02003674,51.9,48.1
E02003675,48.6,51.4
E02003676,50.8,49.2
E02003677,51.3,48.7
E02003678,50.5,49.5
E02003679,51.9,48.1
