areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02000001,74.7,7.9,0.9,16.6
E02000038,71.2,11.9,3.8,13.1
E02000039,78,9.4,2.5,10
E02000040,77.3,11.7,3.2,7.8
E02000041,64.6,12.5,5.1,17.7
E02000042,61.7,12.5,3.6,22.2
E02000043,71.9,11.9,3.3,13
E02000044,66.5,14.3,5.6,13.6
E02000045,70.9,11.9,4.5,12.7
E02000046,64.9,12.5,3.7,18.9
E02000047,57.3,15.8,6.7,20.2
E02000048,75.2,10.7,3.3,10.8
E02000049,61.9,14.3,6.5,17.3
E02000050,70.2,12.1,3.5,14.2
E02000051,71.5,9.8,3.3,15.4
E02000052,74.7,11,3.1,11.2
E02000054,61.9,14.5,3.9,19.8
E02000055,61.3,13.1,3.6,21.9
E02000056,80,9.4,2.5,8.2
E02000057,67.9,12.1,2.7,17.3
E02000058,73.8,9.3,3.7,13.2
E02000059,57.6,15.6,4.2,22.5
E02000060,70.9,11,1.9,16.3
E02000061,66.6,10.6,2.2,20.7
E02000062,56.8,16.5,5.3,21.4
E02000063,57.5,15.5,5,22.1
E02000064,67,11.9,5.6,15.4
E02000093,50.3,20.3,5.1,24.3
E02000094,57.2,18.4,5.7,18.6
E02000095,49.7,20.4,5.6,24.3
E02000096,60,17.6,3.4,19.1
E02000097,56,17.9,5.7,20.4
E02000098,57.8,17.6,5.3,19.3
E02000099,49.6,20.9,6,23.6
E02000100,60.2,19.5,3.2,17.1
E02000101,59.2,17.4,4.8,18.6
E02000102,52.4,17.1,7.3,23.2
E02000103,60.1,17.1,4.9,17.9
E02000104,56.3,20.4,4.7,18.6
E02000105,50.5,18.4,7.2,23.9
E02000106,51.3,17.1,6.2,25.5
E02000107,59,14.9,3.7,22.4
E02000108,50.6,19.5,7.3,22.6
E02000110,65.1,14.3,2.4,18.2
E02000111,46.1,20.3,8,25.6
E02000112,49.5,20,5.5,24.9
E02000113,60.7,18.5,5.5,15.3
E02000114,60.2,14.6,3.3,21.9
E02000115,67.4,10.8,3.3,18.5
E02000116,56.2,14.9,7.1,21.7
E02000117,62.1,13.3,5.6,19
E02000118,45,21.9,5.8,27.3
E02000119,63.2,14.3,5.7,16.7
E02000120,68.8,10.2,2.6,18.4
E02000121,41.8,22.4,6.7,29.1
E02000122,71.7,13.5,2.1,12.7
E02000123,60.6,12.4,5.5,21.5
E02000124,74.4,11.9,2.5,11.2
E02000125,73.6,12.4,2.5,11.4
E02000126,67.2,14.8,3.9,14.1
E02000130,87.6,5.9,1.5,5
E02000131,83.7,6.1,1.9,8.2
E02000132,85.8,5.9,1.4,6.9
E02000135,82.1,6.8,2.9,8.2
E02000137,89.2,4.7,1.5,4.7
E02000138,88.8,4.9,1.3,5
E02000139,90,4.7,1.1,4.2
E02000141,87.8,5.9,1.6,4.7
