areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02003965,17.3,42.8,28.6,11.3
E02003966,6.5,35.3,38.8,19.4
E02003967,11.8,41.7,32.4,14.1
E02003968,18.2,40.8,31,10.1
E02003969,28.9,42.8,21.5,6.7
E02003970,12.8,40.8,34.7,11.7
E02003971,12.1,42,33.1,12.8
E02003972,22.5,41.9,27.5,8.1
E02003973,34.9,43.4,16.9,4.8
E02003974,24.6,44.6,24.6,6.3
E02003975,11.5,40.6,36.5,11.4
E02003976,18.4,44.9,27.3,9.4
E02003977,14.3,43.6,30.5,11.6
E02003987,11.9,39,32.9,16.2
E02003989,16.2,48.3,27.8,7.7
E02003990,10.8,43.3,35.7,10.3
E02003991,10.2,42.5,34.9,12.4
E02003992,37.6,41.8,16.8,3.8
E02003993,7.3,36.6,38.9,17.1
E02003994,33,45.8,17.2,4.1
E02003995,31,44.5,20,4.5
E02003996,31.7,48.2,16,4.1
E02003997,32.9,43.5,19.8,3.9
E02003998,30,44.8,20,5.3
E02003999,9.8,42.4,36.4,11.4
E02004000,19.9,41.5,27.8,10.8
E02004001,34,40.5,19.3,6.2
E02004002,16.3,43.1,30.9,9.7
E02004003,20.9,40.8,27.6,10.8
E02004004,26.1,43.5,23.6,6.8
E02004005,21.3,44.4,26.1,8.1
E02004006,9.7,42.6,35,12.7
E02004007,20.2,42.9,27.3,9.5
E02004012,7.5,37.8,36.9,17.8
E02004015,19.9,44.8,25.4,9.8
E02004016,16.3,43.7,29.2,10.8
E02004021,6.6,36.1,38.3,19
E02004022,6.6,38.7,36.9,17.8
E02004026,18.9,47.2,26.3,7.7
E02004027,12.9,45.4,29.7,12
E02004028,10.5,41.6,33.6,14.3
