areacd,country_of_birth_3a-001,country_of_birth_3a-002
E02002910,93.8,6.2
E02002924,95.4,4.6
E02003069,93.1,6.9
E02003071,93.2,6.8
E02003074,93,7
E02003076,94.8,5.2
E02003078,95.2,4.8
E02003079,94.1,5.9
E02003080,92.6,7.4
E02003081,93.7,6.3
E02003082,86.4,13.6
E02003084,79.4,20.6
E02003085,89,11
E02003086,88.1,11.9
E02003087,94.1,5.9
E02003089,90.3,9.7
E02003931,96,4
E02003932,96.4,3.6
E02004129,93.7,6.3
E02004130,93.5,6.5
E02004131,95.3,4.7
E02004132,95.2,4.8
E02004133,93.8,6.2
E02004135,94.9,5.1
E02004136,93.8,6.2
E02004149,81.9,18.1
E02004150,83.9,16.1
E02004151,91,9
E02004164,95.7,4.3
E02004165,93.9,6.1
E02004166,95.2,4.8
E02004167,92.1,7.9
E02004168,91.4,8.6
E02004169,95.1,4.9
E02004170,91.8,8.2
E02004171,94.1,5.9
E02004172,95.9,4.1
E02004173,94,6
E02004174,92.5,7.5
E02004175,95.4,4.6
E02004176,95.1,4.9
E02004177,96,4
E02004178,94.8,5.2
E02004179,93,7
E02004180,95.4,4.6
E02004181,91.8,8.2
E02004182,90.4,9.6
E02004183,92.6,7.4
E02004184,94.7,5.3
E02004185,96.3,3.7
E02004186,95.6,4.4
E02004187,95,5
E02004188,96.3,3.7
E02004220,96.1,3.9
E02004221,96,4
E02004222,95,5
E02004223,96.2,3.8
E02004224,95.3,4.7
E02004225,95.9,4.1
E02004226,96.1,3.9
E02004227,96.2,3.8
E02004228,96.5,3.5
E02004229,94.7,5.3
E02004230,93,7
E02006044,94.8,5.2
E02006062,95.7,4.3
E02006063,95.7,4.3
E02006064,94,6
E02006065,93.5,6.5
E02006066,96.3,3.7
E02006067,95,5
E02006068,88.5,11.5
E02006069,77.7,22.3
E02006070,88.8,11.2
E02006071,92.3,7.7
E02006072,96.3,3.7
E02006073,86.8,13.2
E02006074,89.6,10.4
E02006078,93.4,6.6
E02006081,95.2,4.8
E02006084,95.2,4.8
E02006093,95.7,4.3
E02006096,90.1,9.9
E02006097,86.3,13.7
E02006098,95.2,4.8
E02006099,94.1,5.9
E02006100,88.7,11.3
E02006101,94.4,5.6
E02006102,90.6,9.4
E02006103,95,5
E02006104,90.6,9.4
E02006105,81,19
E02006106,89.3,10.7
E02006107,89,11
E02006108,81.4,18.6
E02006109,89.5,10.5
E02006110,91.3,8.7
E02006111,93.5,6.5
E02006112,92.5,7.5
E02006113,92.2,7.8
E02006114,93.7,6.3
E02006115,96.4,3.6
E02006116,94.6,5.4
E02006117,95.5,4.5
E02006845,92.5,7.5
E02006846,86.1,13.9
E02007027,94.2,5.8
E02007028,90.8,9.2
W02000106,95.6,4.4
W02000107,96.2,3.8
W02000108,96.6,3.4
W02000109,92.9,7.1
W02000110,95.8,4.2
W02000111,96.1,3.9
W02000113,88.9,11.1
W02000114,94.9,5.1
W02000116,95.4,4.6
W02000117,80.9,19.1
W02000118,88.6,11.4
W02000120,96.6,3.4
W02000122,96.4,3.6
W02000123,92.2,7.8
W02000124,95.7,4.3
W02000125,96.3,3.7
W02000126,96.2,3.8
W02000127,94.8,5.2
W02000128,96.4,3.6
W02000129,95.4,4.6
W02000130,90.8,9.2
W02000131,94.3,5.7
W02000132,95.8,4.2
W02000133,95.8,4.2
W02000134,96.2,3.8
W02000135,94.7,5.3
W02000136,95,5
W02000137,96,4
W02000138,94.8,5.2
W02000139,96.3,3.7
W02000140,95.7,4.3
W02000141,94,6
W02000142,94,6
W02000143,95.5,4.5
W02000144,96,4
W02000145,95.8,4.2
W02000146,96.2,3.8
W02000147,92.9,7.1
W02000148,90.2,9.8
W02000149,92.1,7.9
W02000151,96.8,3.2
W02000152,96.5,3.5
W02000153,96.6,3.4
W02000154,95.8,4.2
W02000156,96.8,3.2
W02000157,97.3,2.7
W02000158,96.3,3.7
W02000159,97.2,2.8
W02000160,96.3,3.7
W02000161,94,6
W02000162,96.7,3.3
W02000163,92.3,7.7
W02000164,94.1,5.9
W02000165,90.7,9.3
W02000166,95.2,4.8
W02000167,88.7,11.3
W02000168,97.3,2.7
W02000169,96.2,3.8
W02000170,91.3,8.7
W02000171,95.3,4.7
W02000172,96,4
W02000173,95.2,4.8
W02000174,97.4,2.6
W02000175,90.5,9.5
W02000176,94.2,5.8
W02000177,93.8,6.2
W02000178,86.9,13.1
W02000179,96,4
W02000180,91.3,8.7
W02000181,92.6,7.4
W02000182,93.2,6.8
W02000183,82.1,17.9
W02000184,92.3,7.7
W02000185,96.7,3.3
W02000186,85.7,14.3
W02000188,84.2,15.8
W02000189,87.8,12.2
W02000191,83.6,16.4
W02000192,72.3,27.7
W02000193,80,20
W02000194,86.1,13.9
W02000195,93.5,6.5
W02000196,93.7,6.3
W02000197,95.6,4.4
W02000198,93.6,6.4
W02000200,97.9,2.1
W02000201,98.1,1.9
W02000202,97.3,2.7
W02000204,97.6,2.4
W02000205,97.4,2.6
W02000206,95.2,4.8
W02000207,97.4,2.6
W02000208,93.4,6.6
W02000210,96.3,3.7
W02000211,95.8,4.2
W02000212,98.2,1.8
W02000213,96.5,3.5
W02000214,96.4,3.6
W02000215,93.7,6.3
W02000216,94.3,5.7
W02000217,96.9,3.1
W02000218,97.5,2.5
W02000219,97.9,2.1
W02000220,97.4,2.6
W02000221,97.8,2.2
W02000222,98.1,1.9
W02000223,96.4,3.6
W02000224,95.9,4.1
W02000225,97.2,2.8
W02000226,96.7,3.3
W02000227,97,3
W02000228,92.4,7.6
W02000229,94.5,5.5
W02000230,95.3,4.7
W02000231,90.1,9.9
W02000232,94.3,5.7
W02000233,93.2,6.8
W02000234,94.4,5.6
W02000235,97.2,2.8
W02000236,96.8,3.2
W02000237,96.1,3.9
W02000238,94.8,5.2
W02000239,95.1,4.9
W02000240,91.6,8.4
W02000241,90.6,9.4
W02000242,94.6,5.4
W02000243,95.6,4.4
W02000244,93.7,6.3
W02000245,95.1,4.9
W02000246,96.2,3.8
W02000247,92.6,7.4
W02000248,94.1,5.9
W02000249,95.6,4.4
W02000250,94.8,5.2
W02000251,94.7,5.3
W02000252,97.8,2.2
W02000253,96.3,3.7
W02000254,97.1,2.9
W02000255,96.8,3.2
W02000256,96.8,3.2
W02000257,97.4,2.6
W02000258,97,3
W02000259,96.8,3.2
W02000260,98.1,1.9
W02000261,97.9,2.1
W02000262,97.8,2.2
W02000263,97.3,2.7
W02000264,96.7,3.3
W02000265,98,2
W02000266,96.8,3.2
W02000267,95.8,4.2
W02000268,97.3,2.7
W02000269,97.8,2.2
W02000270,96.1,3.9
W02000271,97.8,2.2
W02000272,94.6,5.4
W02000273,84.8,15.2
W02000274,97.2,2.8
W02000275,96.7,3.3
W02000276,96,4
W02000277,95.7,4.3
W02000278,96.3,3.7
W02000279,96.9,3.1
W02000280,96.2,3.8
W02000281,95.6,4.4
W02000282,95.9,4.1
W02000284,92.9,7.1
W02000285,94.6,5.4
W02000286,90.6,9.4
W02000287,96.4,3.6
W02000288,97,3
W02000289,97.4,2.6
W02000290,98.1,1.9
W02000291,98.5,1.5
W02000292,97.9,2.1
W02000293,96.9,3.1
W02000294,97.7,2.3
W02000295,98.1,1.9
W02000296,97.3,2.7
W02000297,98,2
W02000298,96.4,3.6
W02000299,97.6,2.4
W02000300,97.6,2.4
W02000301,97.3,2.7
W02000302,97.1,2.9
W02000303,96.8,3.2
W02000304,97,3
W02000305,95.8,4.2
W02000306,96.1,3.9
W02000307,97.1,2.9
W02000308,96.5,3.5
W02000309,97.1,2.9
W02000310,95.9,4.1
W02000311,95.9,4.1
W02000312,96.9,3.1
W02000313,95.6,4.4
W02000314,97.5,2.5
W02000315,96.8,3.2
W02000316,97.1,2.9
W02000317,97.3,2.7
W02000318,97.5,2.5
W02000319,96.9,3.1
W02000320,96.1,3.9
W02000321,95.9,4.1
W02000322,96.3,3.7
W02000323,97.7,2.3
W02000324,98.1,1.9
W02000325,97.5,2.5
W02000326,96.9,3.1
W02000327,97.6,2.4
W02000328,97.1,2.9
W02000329,96.5,3.5
W02000330,95.9,4.1
W02000331,96.2,3.8
W02000332,95.1,4.9
W02000333,96.9,3.1
W02000334,95.6,4.4
W02000335,93.2,6.8
W02000336,92.8,7.2
W02000337,93.8,6.2
W02000338,96,4
W02000340,95.4,4.6
