areacd,in_full_time_education-001,in_full_time_education-002
E02002910,13.6,86.4
E02002924,16.4,83.6
E02003069,15.2,84.8
E02003071,16.3,83.7
E02003074,16.2,83.8
E02003076,18.1,81.9
E02003078,18.9,81.1
E02003079,19.1,80.9
E02003080,16.3,83.7
E02003081,16,84
E02003082,10.6,89.4
E02003084,15,85
E02003085,21.5,78.5
E02003086,13.6,86.4
E02003087,16.8,83.2
E02003089,17.7,82.3
E02003931,16.7,83.3
E02003932,16.1,83.9
E02004129,14.3,85.7
E02004130,14.2,85.8
E02004131,14.8,85.2
E02004132,16.8,83.2
E02004133,14.9,85.1
E02004135,13,87
E02004136,18.7,81.3
E02004149,56.7,43.3
E02004150,31.4,68.6
E02004151,18.9,81.1
E02004164,14.9,85.1
E02004165,15.3,84.7
E02004166,18.4,81.6
E02004167,22.1,77.9
E02004168,17.3,82.7
E02004169,17.7,82.3
E02004170,16.9,83.1
E02004171,18.1,81.9
E02004172,16.1,83.9
E02004173,16.8,83.2
E02004174,17.2,82.8
E02004175,15.6,84.4
E02004176,13.3,86.7
E02004177,17.2,82.8
E02004178,17.2,82.8
E02004179,18.4,81.6
E02004180,17,83
E02004181,16.8,83.2
E02004182,16.3,83.7
E02004183,13.9,86.1
E02004184,19.8,80.2
E02004185,13.2,86.8
E02004186,16.7,83.3
E02004187,16.7,83.3
E02004188,14.1,85.9
E02004220,12.3,87.7
E02004221,11.8,88.2
E02004222,16.2,83.8
E02004223,19.1,80.9
E02004224,13.3,86.7
E02004225,17.2,82.8
E02004226,13,87
E02004227,15.4,84.6
E02004228,14,86
E02004229,16.3,83.7
E02004230,17.3,82.7
E02006044,12.9,87.1
E02006062,14,86
E02006063,17.3,82.7
E02006064,12.1,87.9
E02006065,17.6,82.4
E02006066,15.1,84.9
E02006067,17.3,82.7
E02006068,21.7,78.3
E02006069,16.5,83.5
E02006070,16.1,83.9
E02006071,18.2,81.8
E02006072,14.4,85.6
E02006073,20.7,79.3
E02006074,18.7,81.3
E02006078,14.5,85.5
E02006081,16.7,83.3
E02006084,14.1,85.9
E02006093,14.7,85.3
E02006096,16,84
E02006097,16.7,83.3
E02006098,13.5,86.5
E02006099,19,81
E02006100,20.7,79.3
E02006101,16.2,83.8
E02006102,18.1,81.9
E02006103,16.6,83.4
E02006104,18.4,81.6
E02006105,15.3,84.7
E02006106,18.7,81.3
E02006107,21,79
E02006108,14,86
E02006109,17.9,82.1
E02006110,17.5,82.5
E02006111,15.1,84.9
E02006112,17.5,82.5
E02006113,13.8,86.2
E02006114,11.2,88.8
E02006115,13.7,86.3
E02006116,12.3,87.7
E02006117,11,89
E02006845,21.5,78.5
E02006846,23,77
E02007027,18.5,81.5
E02007028,24.8,75.2
W02000106,14.9,85.1
W02000107,13.8,86.2
W02000108,14.3,85.7
W02000109,15.4,84.6
W02000110,15,85
W02000111,14.7,85.3
W02000113,16.9,83.1
W02000114,14.8,85.2
W02000116,17.3,82.7
W02000117,57.2,42.8
W02000118,29.3,70.7
W02000120,13.7,86.3
W02000122,13.2,86.8
W02000123,19.5,80.5
W02000124,16.3,83.7
W02000125,14.5,85.5
W02000126,16.4,83.6
W02000127,15.8,84.2
W02000128,14.1,85.9
W02000129,16.8,83.2
W02000130,20.3,79.7
W02000131,19.1,80.9
W02000132,15.9,84.1
W02000133,16,84
W02000134,16.3,83.7
W02000135,18.8,81.2
W02000136,13.9,86.1
W02000137,19.1,80.9
W02000138,18.9,81.1
W02000139,14.9,85.1
W02000140,19.2,80.8
W02000141,14.3,85.7
W02000142,15.7,84.3
W02000143,15.8,84.2
W02000144,14.6,85.4
W02000145,15.8,84.2
W02000146,15.2,84.8
W02000147,22.5,77.5
W02000148,20.5,79.5
W02000149,14.9,85.1
W02000151,17.9,82.1
W02000152,18.5,81.5
W02000153,16,84
W02000154,19.1,80.9
W02000156,18.1,81.9
W02000157,17.5,82.5
W02000158,17.6,82.4
W02000159,18.9,81.1
W02000160,18.6,81.4
W02000161,20.6,79.4
W02000162,16.4,83.6
W02000163,20.3,79.7
W02000164,16.9,83.1
W02000165,20.1,79.9
W02000166,20.5,79.5
W02000167,19.5,80.5
W02000168,21.1,78.9
W02000169,19.2,80.8
W02000170,17.9,82.1
W02000171,19.7,80.3
W02000172,20.2,79.8
W02000173,21.1,78.9
W02000174,18.4,81.6
W02000175,17.6,82.4
W02000176,18.5,81.5
W02000177,19.6,80.4
W02000178,27.6,72.4
W02000179,17.9,82.1
W02000180,23.2,76.8
W02000181,18.5,81.5
W02000182,18.3,81.7
W02000183,26.2,73.8
W02000184,18.7,81.3
W02000185,16.4,83.6
W02000186,27.4,72.6
W02000188,25.1,74.9
W02000189,19.2,80.8
W02000191,35.9,64.1
W02000192,29.5,70.5
W02000193,51.9,48.1
W02000194,32.5,67.5
W02000195,17.9,82.1
W02000196,17.7,82.3
W02000197,16.6,83.4
W02000198,17.2,82.8
W02000200,18.1,81.9
W02000201,17.7,82.3
W02000202,18.4,81.6
W02000204,16.1,83.9
W02000205,16.4,83.6
W02000206,16.4,83.6
W02000207,15.5,84.5
W02000208,32.5,67.5
W02000210,20.8,79.2
W02000211,18.4,81.6
W02000212,17.7,82.3
W02000213,16.8,83.2
W02000214,20.6,79.4
W02000215,19,81
W02000216,17.2,82.8
W02000217,19.7,80.3
W02000218,20.2,79.8
W02000219,17.9,82.1
W02000220,18.7,81.3
W02000221,19.5,80.5
W02000222,18.2,81.8
W02000223,17.4,82.6
W02000224,18.5,81.5
W02000225,19.5,80.5
W02000226,18.4,81.6
W02000227,20.3,79.7
W02000228,16.4,83.6
W02000229,18.1,81.9
W02000230,16.1,83.9
W02000231,17.6,82.4
W02000232,17,83
W02000233,20,80
W02000234,21.2,78.8
W02000235,13.5,86.5
W02000236,14.6,85.4
W02000237,17.7,82.3
W02000238,18.2,81.8
W02000239,17.2,82.8
W02000240,21.1,78.9
W02000241,18.2,81.8
W02000242,16.2,83.8
W02000243,22.3,77.7
W02000244,19.8,80.2
W02000245,20,80
W02000246,14.3,85.7
W02000247,19,81
W02000248,20.6,79.4
W02000249,19.1,80.9
W02000250,19.7,80.3
W02000251,17.7,82.3
W02000252,20.6,79.4
W02000253,17.5,82.5
W02000254,18,82
W02000255,18.3,81.7
W02000256,18.4,81.6
W02000257,18,82
W02000258,18,82
W02000259,21.6,78.4
W02000260,17.9,82.1
W02000261,17.6,82.4
W02000262,19.5,80.5
W02000263,19.4,80.6
W02000264,20.2,79.8
W02000265,19.1,80.9
W02000266,19.3,80.7
W02000267,20.2,79.8
W02000268,17.6,82.4
W02000269,19.2,80.8
W02000270,17.9,82.1
W02000271,18.5,81.5
W02000272,18.1,81.9
W02000273,38.5,61.5
W02000274,20,80
W02000275,17.7,82.3
W02000276,18.6,81.4
W02000277,16.9,83.1
W02000278,19.8,80.2
W02000279,18.7,81.3
W02000280,20.8,79.2
W02000281,18,82
W02000282,21.1,78.9
W02000284,18,82
W02000285,18.3,81.7
W02000286,19.1,80.9
W02000287,18.9,81.1
W02000288,17.1,82.9
W02000289,18,82
W02000290,17.1,82.9
W02000291,17.9,82.1
W02000292,19.8,80.2
W02000293,18.5,81.5
