areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02003184,38.9,61,0.1
E02003185,75.6,22.1,2.3
E02003186,55.1,44.9,0
E02003187,45.9,54.1,0
E02003188,8.3,91.7,0.1
E02003189,35.1,64.8,0.1
E02003190,9.9,90,0.1
E02003191,64.8,35,0.2
E02003192,9.2,90.8,0
E02003202,61.5,38.4,0
E02003203,78.6,21.4,0
E02003204,69.9,30.1,0
E02003205,87.6,12.4,0
E02003206,65.7,34.3,0
E02003207,76.9,23.1,0
E02003208,37.9,62,0.1
E02003209,73.1,26.8,0
E02003210,59.5,40.5,0
E02003211,35.8,64.2,0.1
E02003584,38.6,61.3,0.1
E02003585,91.2,7.3,1.5
E02003586,86,13.5,0.5
E02003587,74.3,25.6,0.1
E02003588,84.4,15.1,0.5
E02003589,70.7,28.9,0.4
E02003590,88.2,11.2,0.6
E02003591,84.7,14.6,0.7
E02003592,81.2,18.7,0.1
E02003593,94.6,4,1.4
E02003594,72.7,26.4,0.9
E02003595,89.4,10.1,0.5
E02003596,57.3,42.5,0.1
E02003597,93.6,5.6,0.8
E02003598,70,29.8,0.2
E02004242,87.6,12.2,0.1
E02004265,83.4,13.3,3.3
E02004266,92.4,7.1,0.6
E02004267,94.1,3.9,2
E02004268,66.2,32.1,1.6
E02004275,95.1,4.6,0.3
E02004276,70.2,29.7,0.1
E02004278,85.2,14.1,0.7
E02004279,90.9,6,3
E02004280,89.4,7.4,3.2
E02004281,82.7,17.1,0.1
E02004282,86.2,13.6,0.1
E02004283,88.2,11.8,0.1
E02004284,38.7,61.1,0.2
E02004285,70.9,29.1,0.1
E02004286,82.7,17.2,0.1
E02004287,91.1,8.9,0
E02004288,69.7,29.5,0.7
E02004289,86.8,12.6,0.5
E02004801,81,17.9,1.1
E02006574,85.4,13,1.7
E02006883,11.5,88.5,0.1
E02006885,9.8,90.1,0.1
E02007006,42.7,56.5,0.9
E02007007,71.2,28.7,0.1
