areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02003184,70.9,20.4,8.7
E02003185,82.7,6.3,10.9
E02003186,65.2,22.5,12.3
E02003187,71.7,17.2,11.1
E02003188,62.1,30.4,7.5
E02003189,81.6,8.8,9.6
E02003190,54.3,32.2,13.5
E02003191,86.8,5.1,8.1
E02003192,60.3,30.7,9
E02003202,77.4,11.8,10.8
E02003203,77.6,9.1,13.3
E02003204,79.1,6.9,14
E02003205,81.7,5.1,13.2
E02003206,84.4,7.8,7.8
E02003207,76.1,5.2,18.8
E02003208,70.5,14.3,15.3
E02003209,78.3,5.7,15.9
E02003210,87,5.6,7.4
E02003211,85.4,7.3,7.4
E02003584,73.2,5,21.8
E02003585,80.8,2.5,16.6
E02003586,76.4,2.8,20.8
E02003587,72.5,3.4,24.1
E02003588,70.3,3.2,26.5
E02003589,69.3,4.6,26.1
E02003590,84.4,2.5,13.1
E02003591,76.5,3.2,20.4
E02003592,75.4,2.4,22.2
E02003593,81.9,1.7,16.4
E02003594,75.1,3.4,21.5
E02003595,80.6,2,17.4
E02003596,75.5,3.4,21.2
E02003597,79.6,2.1,18.3
E02003598,75.7,3.1,21.2
E02004242,88.9,2.9,8.2
E02004265,80.7,2.1,17.2
E02004266,78.1,3.2,18.7
E02004267,83.5,2.6,13.9
E02004268,80.2,3.8,16.1
E02004275,82.7,2.5,14.8
E02004276,79,2.7,18.3
E02004278,79.8,2.9,17.3
E02004279,83.3,1.9,14.8
E02004280,81.4,2.3,16.2
E02004281,74.9,2.3,22.9
E02004282,85.5,2.1,12.4
E02004283,79.4,2.2,18.4
E02004284,73.2,7,19.8
E02004285,76.2,3.7,20.1
E02004286,80.8,2.5,16.7
E02004287,81.3,2.2,16.5
E02004288,71.4,3.5,25.2
E02004289,77.6,1.5,20.9
E02004801,88.2,3.1,8.7
E02006574,80.2,5.2,14.5
E02006883,68.9,20.9,10.1
E02006885,68.7,23.7,7.6
E02007006,75.6,6.2,18.2
E02007007,78.6,5.1,16.3
