areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00076314,89.5,8.4,2.1
E00076315,89.6,9.3,1.1
E00076316,80.2,10.2,9.5
E00076317,82.8,10.5,6.7
E00076318,84,12.1,3.9
E00076319,83.6,11,5.4
E00076320,83.3,12.7,4
E00076321,86.9,11.2,1.9
E00076322,91.7,6.5,1.8
E00076323,89.8,8.9,1.3
E00076324,91.3,7.5,1.2
E00076325,89,7.6,3.4
E00076326,86.5,9.5,4
E00076327,81.2,12.8,6
E00076328,84.2,12.3,3.5
E00076329,88.4,9,2.6
E00076330,83.7,10.1,6.2
E00076331,83.7,11.4,4.9
E00076332,90.5,8.6,0.8
E00076333,86,11.6,2.3
E00076334,81.6,15.1,3.3
E00076335,88.6,9.4,2
E00076336,85.3,11.6,3.2
E00076337,79.5,14.7,5.8
E00076338,85.2,10,4.8
E00076339,81.6,13.9,4.5
E00076340,84.3,12.3,3.4
E00076341,78.6,17,4.5
E00076358,78.6,16.8,4.5
E00076360,72.3,20.1,7.7
E00076361,80.9,11.4,7.7
E00076362,87.2,10.6,2.2
E00076363,79.7,12.8,7.4
E00076365,79.3,16.3,4.3
E00076366,83,11.3,5.7
E00076367,85.2,12.4,2.5
E00076368,88.9,7.8,3.3
E00076377,89.6,8.9,1.5
E00076378,85.2,11.6,3.1
E00076380,84.4,10.4,5.2
E00076398,88.9,8.1,3
E00076399,90.4,7.2,2.4
E00102028,84.2,11.5,4.3
E00102029,81.1,11.8,7.1
E00102030,89.3,9.2,1.5
E00102035,83,12,4.9
E00102037,83.4,13.4,3.1
E00102038,85.5,10.6,3.9
E00102085,79.1,14.8,6
E00102086,84.4,13,2.6
E00102087,86.4,9.1,4.4
E00102088,84.2,11.8,4
E00102089,91.3,6.9,1.7
E00102090,81.8,11.2,7.1
E00102091,74.6,18.3,7.1
E00102092,85.4,10.2,4.3
E00102093,85.9,10.5,3.6
E00102095,78.6,11.5,9.8
E00102096,78.5,16.2,5.3
E00102101,80.7,14.8,4.5
E00102102,68.8,25.4,5.8
E00102103,72.3,11.9,15.7
E00102104,83.6,12.1,4.3
E00102105,70.3,16.5,13.1
E00102106,79.8,14.6,5.6
E00102107,76.6,16.1,7.2
E00102108,85.2,7.9,7
E00102109,86.2,10.6,3.2
E00102110,85.1,11.9,3
E00102111,85.9,10.9,3.2
E00102112,71.1,18.8,10.1
E00102113,77.8,16.2,6.1
E00102114,90.1,7.1,2.7
E00102115,88.4,8.3,3.4
E00102116,89.3,8.7,1.9
E00102117,88.5,10.1,1.4
E00102118,84,10.4,5.6
E00102119,88.1,8.9,3
E00102120,86.4,9.7,3.9
E00102121,89,9.1,1.9
E00102122,84.5,11.3,4.3
E00102123,87.4,8.8,3.8
E00102124,88.8,9.6,1.6
E00102125,88.1,9.2,2.6
E00102126,77,17.2,5.8
E00102127,86.3,11.4,2.3
E00102128,80.7,15,4.3
E00102129,81.8,13.6,4.5
E00102130,83.2,11.7,5.1
E00102131,90.2,7.7,2
E00102132,85.4,11.8,2.9
E00102133,92.7,5.5,1.8
E00102134,87,9.6,3.4
E00102135,87.8,8.1,4.2
E00102136,88.6,9.5,1.9
E00102158,84.9,12,3.2
E00102159,85.4,12.2,2.4
E00102160,88.2,10.1,1.7
E00102161,83.3,11.6,5.1
E00102162,82,13.8,4.3
E00102163,78,14.9,7.1
E00102243,83.8,12.3,3.9
E00102245,76.3,13.8,9.9
E00102246,75.6,15.4,9
E00102271,86.3,9.4,4.3
E00102272,87.3,10,2.7
E00102273,77.1,16.8,6.1
E00102274,83.3,11.5,5.2
E00102275,73.8,17.8,8.4
E00102276,89.7,7,3.3
E00102277,86.8,8.6,4.7
E00172073,81.7,10.3,8
E00172075,77,15.3,7.7
E00172076,80.8,14,5.1
E00181104,85.6,11.6,2.8
E00181125,82.8,12.3,4.8
E00181135,82.5,9.7,7.8
E00181167,96.9,3.1,0
E00181170,86.3,9.2,4.6
E00181184,90.9,7.6,1.5
