areacd,disability_3a-001,disability_3a-002
W00006029,17.6,82.4
W00006030,17.8,82.2
W00006031,21.9,78.1
W00006032,21.2,78.8
W00006033,22.3,77.7
W00006034,30.5,69.5
W00006035,25.3,74.7
W00006036,18.6,81.4
W00006037,26.6,73.4
W00006038,19.2,80.8
W00006039,24.5,75.5
W00006046,22.2,77.8
W00006047,29.5,70.5
W00006048,22.9,77.1
W00006049,22.2,77.8
W00006142,20.5,79.5
W00006143,16.4,83.6
W00006144,19.4,80.6
W00006145,22.7,77.3
W00006148,19,81
W00006149,18.3,81.7
W00006220,29.8,70.2
W00006221,30.9,69.1
W00006222,23.3,76.7
W00006223,22.3,77.7
W00006224,31.7,68.3
W00006225,30.4,69.6
W00006226,23.2,76.8
W00006227,29.5,70.5
W00006229,38.7,61.3
W00006721,16.1,83.9
W00006725,16.6,83.4
W00006726,17.6,82.4
W00006756,19.3,80.7
W00006757,33.2,66.8
W00006758,26.3,73.7
W00006759,22.2,77.8
W00006760,27.5,72.5
W00006761,20.2,79.8
W00006762,18.2,81.8
W00006763,23,77
W00006765,29.5,70.5
W00006766,33.8,66.2
W00006832,20.2,79.8
W00006833,17.4,82.6
W00006838,29.2,70.8
W00006911,23,77
W00006912,19.9,80.1
W00006913,24.6,75.4
W00006914,25.8,74.2
W00006915,13.8,86.2
W00006916,24.6,75.4
W00006917,19.5,80.5
W00006918,23.6,76.4
W00006919,22.6,77.4
W00006920,21.8,78.2
W00006921,23.8,76.2
W00006922,25.7,74.3
W00006923,28.2,71.8
W00006924,25.9,74.1
W00006925,31.4,68.6
W00006926,26.2,73.8
W00006927,19.8,80.2
W00006928,18.1,81.9
W00006929,29.7,70.3
W00006930,34.9,65.1
W00006943,34.7,65.3
W00006944,17.3,82.7
W00006945,25.6,74.4
W00006946,32.2,67.8
W00006947,23.6,76.4
W00006948,25.5,74.5
W00006949,24.1,75.9
W00006950,29.2,70.8
W00006951,24.3,75.7
W00006952,26.6,73.4
W00006953,27.1,72.9
W00006954,37.8,62.2
W00006992,22.9,77.1
W00006993,20.5,79.5
W00006994,25.7,74.3
W00006995,23.5,76.5
W00006996,24.1,75.9
W00006997,22.3,77.7
W00006998,35.3,64.7
W00006999,29.3,70.7
W00007000,32.7,67.3
W00007001,25.6,74.4
W00007002,22.2,77.8
W00007003,25.2,74.8
W00007004,27.8,72.2
W00007005,27.4,72.6
W00007006,25,75
W00007007,18.6,81.4
W00007008,27,73
W00007009,21.4,78.6
W00007010,34.2,65.8
W00007011,23.6,76.4
W00007012,32.6,67.4
W00007013,26.1,73.9
W00007014,31.3,68.8
W00007015,23.8,76.2
W00007016,29.6,70.4
W00007017,35.7,64.3
W00007018,36.3,63.7
W00007019,25.3,74.7
W00007020,20.3,79.7
W00007055,19.8,80.2
W00007056,26.3,73.7
W00007057,17.1,82.9
W00007058,19.8,80.2
W00007059,32.9,67.1
W00007060,27.1,72.9
W00007061,21.1,78.9
W00007062,16.1,83.9
W00007063,19.5,80.5
W00007064,21.2,78.8
W00007065,25.1,74.9
W00007066,24.8,75.2
W00007067,17,83
W00007068,17.2,82.8
W00007069,23.3,76.7
W00007070,19.1,80.9
W00007071,29.1,70.9
W00007072,23.4,76.6
W00007073,28.9,71.1
W00007074,18,82
W00007075,26.1,73.9
W00007076,27.3,72.7
W00007077,24.2,75.8
W00007078,27.1,72.9
W00007079,30.8,69.2
W00007080,20.2,79.8
W00007081,34.4,65.6
W00007082,19.3,80.7
W00007083,31.7,68.3
W00007084,30.4,69.6
W00007085,24.3,75.7
W00007086,34.3,65.7
W00007087,34.1,65.9
W00007088,28.4,71.6
W00007089,25,75
W00007090,30.7,69.3
W00007091,35.2,64.8
W00007092,44.6,55.4
W00007110,16.1,83.9
W00007123,27.8,72.2
W00007128,23.9,76.1
W00007129,22.8,77.2
W00007130,17.8,82.2
W00007131,37.5,62.5
W00007132,28.5,71.5
W00007133,26.6,73.4
W00007134,25.7,74.3
W00007135,22.1,77.9
W00007136,31.5,68.5
W00007137,21.9,78.1
W00007138,22.8,77.2
W00007139,23.9,76.1
W00007140,31,69
W00007141,25.4,74.6
W00007142,32.7,67.3
W00007143,15.9,84.1
W00007144,26.8,73.2
W00007145,23,77
W00007147,18.8,81.2
W00007148,28.3,71.7
W00007149,27.9,72.1
W00007150,30.3,69.7
W00007151,22,78
W00007152,18.1,81.9
W00007160,17.9,82.1
W00007168,23.1,76.9
W00007169,17.6,82.4
W00007171,25.4,74.6
W00007172,21.4,78.6
W00007173,35.4,64.6
W00007174,21.5,78.5
W00007213,14.5,85.5
W00007214,35.1,64.9
W00007215,26.3,73.7
W00007216,23.9,76.1
W00007217,29.1,70.9
W00007218,24.5,75.5
W00007219,21.6,78.4
W00007220,15.9,84.1
W00007221,28,72
W00007222,27.9,72.1
W00007223,33.5,66.5
W00007224,18.6,81.4
W00007225,22.7,77.3
W00007226,23.4,76.6
W00007227,31.6,68.4
W00007228,21.3,78.7
W00007247,18.3,81.7
W00007248,23.6,76.4
W00007249,19,81
W00007250,28.1,71.9
W00007251,19,81
W00007252,25.9,74.1
W00007253,34.8,65.2
W00007254,36.1,63.9
W00007256,21,79
W00007257,64.8,35.2
W00007258,24.3,75.7
W00007259,24,76
W00007261,33,67
W00007262,17,83
W00007263,35.9,64.1
W00007264,16.5,83.5
W00007265,27.3,72.7
W00007266,30.6,69.4
W00007267,26.6,73.4
W00007268,30.2,69.8
W00007269,19.4,80.6
W00007270,23.5,76.5
W00007271,22.9,77.1
W00007272,26.8,73.2
W00007273,25,75
W00007274,19.3,80.7
W00007275,23.3,76.7
W00007276,29.3,70.7
W00007277,14.9,85.1
W00007278,25.9,74.1
W00007279,20.2,79.8
W00007280,21.6,78.4
W00007281,19.3,80.7
W00007282,21.7,78.3
W00007284,23,77
W00007285,20.7,79.3
W00007286,14.4,85.6
W00007287,26.6,73.4
W00007288,21.5,78.5
W00007289,33.7,66.3
W00007290,17.7,82.3
W00007291,21.5,78.5
W00007328,16.3,83.7
W00007329,20.5,79.5
W00007330,20.6,79.4
W00007331,22.9,77.1
W00007332,21.6,78.4
W00007333,22.3,77.7
W00007334,13.9,86.1
W00007335,22,78
W00007336,22.7,77.3
W00007337,20.3,79.7
W00007338,17.4,82.6
W00007339,29.7,70.3
W00007340,19.3,80.7
W00007341,24.8,75.2
W00007342,23.2,76.8
W00007343,24.4,75.6
W00007344,30.4,69.6
W00007345,21.8,78.2
W00007346,19.6,80.4
W00007347,21.2,78.8
W00007348,27.9,72.1
W00007349,21.7,78.3
W00007350,38.1,61.9
W00007351,22.2,77.8
W00007352,24.4,75.6
W00007353,39.7,60.3
W00007354,26,74
W00007400,20.4,79.6
W00007401,23.6,76.4
