areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00092339,23.7,26.6,25.9,23.7
E00092340,23.4,38.3,17.2,21.1
E00092341,23.6,35,13.8,27.6
E00092342,28.8,35,21.3,15
E00092343,40.5,37.3,10.3,11.9
E00092344,24.3,31.8,20.6,23.4
E00092345,28.8,28.8,17.8,24.6
E00092346,36.1,32.8,19.3,11.8
E00092347,34.4,29.5,18.9,17.2
E00092348,19.2,40,24.6,16.2
E00092349,26.7,29.6,27.4,16.3
E00092350,16.4,30.6,21.6,31.3
E00092351,39.9,23.2,15.5,21.4
E00092352,21.4,42,20.6,16
E00092353,24.6,27.7,19.2,28.5
E00092354,21.6,33.1,16.5,28.8
E00092355,31.6,39.8,11.3,17.3
E00092356,26.6,39.4,22.9,11
E00092357,22.3,29.5,19.6,28.6
E00092358,25,26.7,16.4,31.9
E00092359,26.7,35.2,19,19
E00092360,24.3,44.7,17.5,13.6
E00092361,22.1,46.6,16.8,14.5
E00092362,74.5,16.1,4.4,5.1
E00092363,32.5,26.5,24.8,16.2
E00092364,33.5,27.6,17.6,21.2
E00092365,41,32.3,12.4,14.3
E00092366,26.9,36.2,17.7,19.2
E00092367,13.9,22.1,25.4,38.5
E00092368,38.6,29,17.9,14.5
E00092369,34,26.2,18.4,21.4
E00092370,61.7,16.3,10.6,11.3
E00092371,41.2,25.2,18.5,15.1
E00092372,39.5,37.1,7.3,16.1
E00092373,19,35,22.6,23.4
E00092374,30.9,40.3,14.4,14.4
E00092375,28.9,30.5,20.3,20.3
E00092376,31,26.1,19.7,23.2
E00092377,33.1,34.7,18.6,13.6
E00092378,32.5,36.6,17.1,13.8
E00092379,22.1,29,35.1,13.7
E00092380,21,32.3,22.6,24.2
E00092381,59.3,22.1,9.7,8.8
E00092382,27.3,31.8,28.2,12.7
E00092383,49.3,28.7,14,8.1
E00092384,34.7,42.2,11.6,11.6
E00092385,26.4,34.3,18.6,20.7
E00092387,52,29.3,8.1,10.6
E00092388,62.5,31.9,3.5,2.1
E00092389,39.2,44.1,7.7,9.1
E00092392,27.7,38.7,16,17.6
E00092393,42.5,43.5,10.7,3.3
E00092394,41.3,39.4,9.2,10.1
E00092395,40.6,36.8,17.9,4.7
E00092396,60.7,29,9.3,0.9
E00092397,20.3,33.3,16.3,30.1
E00092398,32.2,29.4,16.1,22.4
E00092399,33.9,33.9,19.6,12.5
E00092400,15.3,38.7,17.7,28.2
E00092401,38.8,36.4,13.2,11.6
E00092402,25.5,36.2,14.1,24.2
E00092403,35.4,35.4,17.3,11.8
E00092404,46.8,30.6,9.7,12.9
E00092405,29,41.9,17.7,11.3
E00092406,30.1,39.8,11.5,18.6
E00092407,17.9,52.8,10.6,18.7
E00092408,26.5,42.4,11.4,19.7
E00092409,25,25,19.2,30.8
E00092410,20.6,38.9,19.8,20.6
E00092411,30.6,36.1,13,20.4
E00092412,44.5,34.5,5,16
E00092413,40.5,32.5,15.9,11.1
E00092414,27.2,26.3,17.5,28.9
E00092415,36.4,37.4,4.7,21.5
E00092416,27,42.9,6.3,23.8
E00092417,15.9,40.9,17,26.1
E00092418,23.9,28.9,18.3,28.9
E00092419,21.6,42.4,16,20
E00092420,24.1,36.5,21.2,18.2
E00092421,18.5,44.4,21.3,15.7
E00092422,19.6,44.6,15.2,20.5
E00092423,20.5,35.3,20.5,23.7
E00092424,16.2,41.9,20,21.9
E00092425,56.9,20.7,12.1,10.3
E00092426,27,31,15.1,27
E00092427,21.6,29.1,18.7,30.6
E00092428,45,41.4,7.7,5.9
E00092430,43.3,41.8,9.6,5.3
E00092431,55.9,36.2,7.1,0.8
E00092434,54.7,22.2,13.7,9.4
E00092435,69,30.3,0,0.7
E00092437,39.2,32.5,7.9,20.4
E00092438,57.5,26.7,12.2,3.6
E00092439,67.5,22,9.8,0.8
E00092440,60.1,29.8,6.7,3.4
E00092441,43.6,40.7,12.9,2.9
E00092442,22.4,26.9,20.9,29.9
E00092443,31.6,23.5,18.4,26.5
E00092444,53.5,28.4,9,9
E00092447,47.2,20.5,5.7,26.7
E00092448,47.7,33.8,12.6,6
E00092449,36.6,28.5,18,16.9
E00092450,36.1,29.3,23.3,11.3
E00092453,23.7,48.5,15.5,12.4
E00092454,72.2,15,3,9.8
E00092455,27.9,45.6,17.6,8.8
E00092456,32.8,38.7,8,20.4
E00092457,21.4,27.2,25.2,26.2
E00092458,27.3,30.1,21.7,21
E00092459,22.5,43,14.1,20.4
E00092460,31.9,39.7,13.8,14.7
E00092461,22.6,47.6,11,18.9
E00092462,24.5,46,13.7,15.8
E00092463,32,38.7,14.7,14.7
E00092464,26.8,44.6,17.2,11.5
E00092465,25.2,48,11,15.7
E00092466,27.3,47.9,9.9,14.9
E00092467,30.4,34.8,17.9,17
