areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00104463,52.6,6.2,41.2
E00104464,46.3,6.5,47.2
E00104465,44.7,11.2,44.2
E00104467,58.2,3,38.8
E00104468,46.5,6.6,46.9
E00104484,50.8,3.7,45.5
E00104486,56.7,4.1,39.2
E00104489,44.9,0,55.1
E00104490,48,0.4,51.6
E00104495,56.1,0,43.9
E00104498,54.4,3.3,42.3
E00104500,51.3,6.5,42.2
E00104503,52.6,3.7,43.7
E00104504,47.1,3.3,49.6
E00104507,56.1,1.3,42.6
E00104509,54.1,4.3,41.5
E00104510,51.2,4.9,43.8
E00104511,60.1,4.1,35.8
E00104512,50,2.8,47.2
E00104513,51.5,2.5,46
E00104514,59.9,3.1,37
E00104515,53.1,2.1,44.8
E00104516,48.1,3.5,48.4
E00104517,37.6,2.5,59.9
E00104518,39.6,3.7,56.7
E00104519,65.9,0,34.1
E00104520,53.6,3,43.5
E00104522,39.3,1.9,58.7
E00104523,71.1,0,28.9
E00104524,49.8,3.9,46.3
E00104525,40.8,6.6,52.6
E00104526,48.5,3.8,47.7
E00104527,63.6,3.8,32.6
E00104528,58.4,0,41.6
E00104529,53.2,3.2,43.6
E00104530,65.3,2.3,32.4
E00104531,57.4,1.4,41.2
E00104532,55.4,1.9,42.7
E00104533,63.1,1,35.8
E00104534,61.2,1.9,36.9
E00104535,60.6,2.3,37.2
E00104536,62.9,2.3,34.8
E00104537,35.6,1.5,62.9
E00104538,57.8,1.3,40.9
E00104539,47.4,3.4,49.2
E00104540,54.7,2.6,42.6
E00104541,53.7,3.3,43
E00104542,42.3,7.9,49.7
E00104543,49.5,2.7,47.8
E00104544,49.7,2.1,48.2
E00104545,48.6,3.4,48
E00104546,61.9,2.5,35.6
E00104547,46.5,5.1,48.4
E00104548,53.5,2.8,43.8
E00104549,54.4,5.8,39.8
E00104550,62.4,2,35.7
E00104551,38.6,4.3,57.1
E00104585,60.8,1.4,37.8
E00104586,45.4,1.9,52.8
E00104588,40.5,0,59.5
E00104589,54.1,3.2,42.7
E00104590,58.5,2.4,39.2
E00104591,64.8,0,35.2
E00104592,58.8,2.9,38.4
E00104593,45.2,10.5,44.3
E00104594,62.6,4.4,33
E00104595,66.8,2.3,30.9
E00104596,66.5,2.9,30.6
E00104597,48.9,4.9,46.2
E00104598,52.8,5,42.2
E00104600,54.7,2.9,42.4
E00104601,59.2,5.6,35.2
E00104603,53.5,3.5,43
E00104604,66.3,1.8,32
E00104605,63.7,3.8,32.5
E00104606,60.5,3.9,35.6
E00104607,73.5,0.9,25.6
E00104608,54.9,3.6,41.5
E00104609,37.6,2.7,59.7
E00104610,61.5,1.9,36.6
E00104611,55.2,2.4,42.4
E00104612,56.9,2.9,40.3
E00104613,68.9,2.8,28.3
E00104614,55.7,1.6,42.6
E00104615,51,7.6,41.4
E00104616,68.2,2.4,29.4
E00104617,55.7,1.1,43.1
E00104618,38.6,3.3,58.1
E00104619,43.9,7.4,48.7
E00104620,48.2,6.7,45.1
E00104621,58.4,3.9,37.7
E00104622,56.3,5.4,38.4
E00104623,44.7,3.4,51.9
E00104624,55.6,4.4,39.9
E00104634,51.4,1.9,46.7
E00104636,49.4,5.6,45
E00104637,32.6,5,62.4
E00104638,48,3.6,48.5
E00104639,40.1,2.4,57.5
E00104641,40.1,4.3,55.6
E00104642,56.6,3.1,40.4
E00104643,41.6,3.7,54.6
E00104644,53.5,2.6,43.9
E00104645,28.1,2,70
E00104646,42.3,2.8,54.9
E00104647,51.6,6.7,41.7
E00104648,56.8,4,39.1
E00104649,49.3,5.9,44.8
E00104650,36,4.1,59.9
E00104651,44.2,3.7,52.1
E00104684,52,2.4,45.7
E00104685,57.1,1.6,41.3
E00104686,51.6,2.5,45.9
E00104687,45.2,2.4,52.4
E00104688,45.5,0.5,53.9
E00104711,51.1,3.2,45.7
E00104712,39.4,2.7,57.9
E00104713,60.7,2.1,37.1
E00104714,61.7,4,34.3
E00104715,56.6,3.1,40.3
E00104716,37.3,2.1,60.5
E00104717,40.1,3.4,56.5
E00104718,49.1,1.4,49.5
E00104719,56.3,4,39.7
E00104720,60.1,2.1,37.8
E00104753,58.2,3.1,38.7
E00104754,60,2.9,37.1
E00104755,51.6,4,44.4
E00104756,45.1,2.8,52.1
E00104760,49.1,3.6,47.3
E00104761,54.1,5.9,40
E00104763,63.8,3.3,32.9
E00104764,29.2,4.1,66.7
E00104765,55,4.6,40.3
E00104766,55.8,3.9,40.3
E00104767,54,2.7,43.3
E00104768,71.8,2.1,26.1
E00104769,40.6,7.5,51.9
E00104770,56.5,3.5,40
E00104771,47.5,12.8,39.7
