areacd,country_of_birth_3a-001,country_of_birth_3a-002
E00130100,92.3,7.7
E00130101,96.9,3.1
E00130104,91.1,8.9
E00130107,93.7,6.3
E00130108,92,8
E00130109,90.7,9.3
E00130110,95.5,4.5
E00130111,94.4,5.6
E00130339,93.2,6.8
E00130340,94.3,5.7
E00131011,96.6,3.4
E00131013,98.1,1.9
E00131014,99.4,0.6
E00131015,98.2,1.8
E00131016,96.9,3.1
E00131017,95.2,4.8
E00131018,94.9,5.1
E00131019,96.9,3.1
E00131020,98.5,1.5
E00131021,97.1,2.9
E00131022,98.7,1.3
E00131023,93.8,6.2
E00131024,96.8,3.2
E00131103,96.1,3.9
E00131105,97.2,2.8
E00131107,97.6,2.4
E00131109,90.6,9.4
E00131111,94.6,5.4
E00131146,92.2,7.8
E00131151,94.7,5.3
E00131152,85.5,14.5
E00131153,96.4,3.6
E00131154,95.7,4.3
E00131155,91.3,8.7
E00131160,94.7,5.3
E00131262,94.2,5.8
E00131263,94.4,5.6
E00131264,93.1,6.9
E00131265,95.4,4.6
E00131267,93.2,6.8
E00131268,98.4,1.6
E00131269,92.8,7.2
E00131270,89.6,10.4
E00131272,95.7,4.3
E00131273,94.3,5.7
E00131274,89.4,10.6
E00131275,96.5,3.5
E00131276,95.3,4.7
E00131277,97.2,2.8
E00131278,97.3,2.7
E00131279,94.2,5.8
E00131280,95.7,4.3
E00131281,98.3,1.7
E00131283,95.3,4.7
E00131284,93.9,6.1
E00131285,96.6,3.4
E00131286,91.2,8.8
E00131287,97.8,2.2
E00131288,92.5,7.5
E00131289,97.3,2.7
E00131290,91.7,8.3
E00131292,95.3,4.7
E00131293,96.5,3.5
E00131294,93.6,6.4
E00131295,95.8,4.2
E00131296,96.4,3.6
E00131297,96.9,3.1
E00131298,99.1,0.9
E00131299,95.9,4.1
E00131300,95.1,4.9
E00131301,93.2,6.8
E00131302,96.3,3.7
E00131303,95.4,4.6
E00131304,96.8,3.2
E00131305,94.1,5.9
E00131306,94.6,5.4
E00131308,93.4,6.6
E00131309,99.1,0.9
E00131311,97.1,2.9
E00131312,96.4,3.6
E00131313,92.8,7.2
E00131314,96.1,3.9
E00131315,95.8,4.2
E00131316,97.7,2.3
E00131317,95.1,4.9
E00131318,95.4,4.6
E00131319,94.7,5.3
E00131320,97.5,2.5
E00131321,94,6
E00131322,96,4
E00131324,96.5,3.5
E00131325,97.2,2.8
E00131326,95,5
E00131327,97.2,2.8
E00131631,97,3
E00131632,95.9,4.1
E00131640,98.9,1.1
E00131641,93.1,6.9
E00131642,97.8,2.2
E00131643,98.8,1.2
E00131644,94.5,5.5
E00131645,98.5,1.5
E00131646,98.3,1.7
E00131647,95,5
E00131649,96.4,3.6
E00131651,95.5,4.5
E00131652,98.5,1.5
E00131653,95,5
E00131654,97.4,2.6
E00131655,94.9,5.1
E00170677,96.4,3.6
E00170678,94.6,5.4
E00170679,94.8,5.2
E00170680,97,3
E00170684,95.4,4.6
E00170703,92.5,7.5
E00170710,96.4,3.6
E00187342,93.5,6.5
E00187353,86.9,13.1
E00187354,93.5,6.5
E00187383,90.5,9.5
E00187387,86.8,13.2
E00187420,96.4,3.6
E00187462,93.9,6.1
E00187467,95.1,4.9
E00187470,95.5,4.5
E00187486,97.2,2.8
E00187487,92.8,7.2
E00187493,92.2,7.8
