areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00038588,7.9,50.8,22.2,19
E00038589,21.1,56.1,20.3,2.4
E00038590,13.9,42.6,33,10.4
E00038591,13.8,37.4,37.4,11.4
E00038595,10.2,52.8,31.5,5.5
E00038596,11.4,56.1,25.4,7
E00038598,23.2,54.4,17.6,4.8
E00038599,12.4,34.7,40.5,12.4
E00038600,15.7,59.1,22.6,2.6
E00038601,9.6,36.8,40.4,13.2
E00038602,20,49.6,24.3,6.1
E00038603,17.4,34.8,39.4,8.3
E00038604,7.8,48.1,34.1,10.1
E00038605,10.6,37.4,37.4,14.6
E00038606,12.8,30.1,42.9,14.3
E00038789,34.2,44.2,13.3,8.3
E00038790,6.1,42.1,36,15.7
E00038791,9.3,39.3,41.4,10
E00038792,25,45.1,17.4,12.5
E00038793,10.7,47.3,32.1,9.9
E00038794,7.7,50,26.9,15.4
E00038795,6.9,48.3,37.9,6.9
E00038796,18.3,35.8,36.7,9.2
E00038797,7.1,27.7,47.5,17.7
E00038798,1.6,39.3,36.1,23
E00038799,8.9,36.6,36.6,17.9
E00038800,7.2,30.3,44.1,18.4
E00038801,9.6,36,43.4,11
E00038802,11.8,34.5,40.9,12.7
E00038803,6.2,39.8,41.6,12.4
E00038804,10.4,43.4,36.8,9.4
E00038805,11.3,39.2,33,16.5
E00038806,10.6,39.8,40.7,8.9
E00038807,16.1,45.2,26.6,12.1
E00038808,18.3,40,29.6,12.2
E00038809,11.7,38.3,39.8,10.2
E00038810,24.5,37.2,26.6,11.7
E00038811,8.1,32,40.1,19.8
E00038812,46.4,40,11.2,2.4
E00038813,12.1,31.8,40.9,15.2
E00038814,18.9,42,28.7,10.5
E00038815,7.6,21.5,50,20.8
E00038816,10.7,33.3,45.3,10.7
E00038817,10.1,46,33.8,10.1
E00038818,10.8,49.2,31.7,8.3
E00038819,16.1,44.4,32.3,7.3
E00038820,10.2,34.4,39.1,16.4
E00038821,7.8,42.6,34.9,14.7
E00038822,12.2,38.8,36.7,12.2
E00038823,15.9,37.3,33.3,13.5
E00038824,14,44.7,32.5,8.8
E00038825,11.1,42.9,33.3,12.7
E00038826,11.8,30.6,39.6,18.1
E00039275,14.4,45.3,30.1,10.2
E00039276,27.7,48.6,17.9,5.8
E00039277,9.5,37.2,45.3,8.1
E00039278,11.2,40.4,37.2,11.2
E00039279,30,40.8,24.6,4.6
E00039280,30.7,43.9,17.5,7.9
E00039281,8.5,40.6,37.7,13.2
E00039282,36.4,46.3,14,3.3
E00039283,44.2,34.9,12.4,8.5
E00039284,18.1,46.6,24.1,11.2
E00039285,44.8,41,12.4,1.9
E00039286,40.2,41.7,10.6,7.6
E00039287,32.7,39.1,20.9,7.3
E00039288,57.6,40.2,2.2,0
E00039289,47.6,31.5,18.5,2.4
E00039290,16.4,34.4,35.2,14.1
E00039291,20.3,45.8,25.4,8.5
E00039292,44.1,36.4,15.3,4.2
E00039293,36.4,43.8,14.9,5
E00039294,25.5,51.8,16.4,6.4
E00039295,42.9,36.4,18.2,2.6
E00039296,38.8,39.5,19.7,2
E00039297,34.1,38.1,22.2,5.6
E00039298,50.7,34.3,14.3,0.7
E00039299,43.3,37.5,18.3,0.8
E00039300,56,34.9,9.2,0
E00039301,1.4,34.7,44.4,19.4
E00039302,12.6,34,40.8,12.6
E00039303,2.9,27.7,47.4,21.9
E00039304,1.2,42.9,42.9,13.1
E00039305,5.6,38,38,18.3
E00039306,3.9,21.1,50,25
E00039307,4,35.4,43.4,17.2
E00039308,3.5,32.7,43.4,20.4
E00039309,13.6,44.3,30.7,11.4
E00039310,13.8,57.8,22.4,6
E00039311,41.5,41.5,15.1,1.9
E00039312,10.4,24.3,51.3,13.9
E00039313,15.9,47.8,29.2,7.1
E00039314,23.3,51.7,19.2,5.8
E00039315,22.1,31.9,37.2,8.8
E00039316,11.1,36.1,32.4,20.4
E00039317,23.4,44.5,23.4,8.6
E00039318,25.7,53.1,17.7,3.5
E00039319,32.4,33.8,26.9,6.9
E00039320,25.5,38.2,19.1,17.3
E00039321,20.5,40.2,31.6,7.7
E00039322,14.2,36.3,33.6,15.9
E00039323,14.5,50.9,25.5,9.1
E00039324,28.9,36.1,29.9,5.2
E00039325,16.8,30.7,37.6,14.9
E00039326,9.6,44.8,37.6,8
E00039327,32,37.7,22.1,8.2
E00039328,12.2,40.5,31.3,16
E00039329,34.6,39.2,19.2,6.9
E00039330,23.3,40.3,29.5,7
E00039331,29.5,38.1,23.8,8.6
E00039332,38.8,45.7,9.5,6
E00039333,22.8,43,28.1,6.1
E00039434,25.9,53.1,16.8,4.2
E00039435,49.7,31.1,15.2,4
E00039436,40.6,48.1,7.5,3.8
E00039437,1.5,17.8,54.1,26.7
E00039438,3.4,22.4,57.8,16.4
E00039439,12,31.7,40.1,16.2
E00039440,21.1,44.4,25.6,8.9
E00039441,19.7,40.9,32.1,7.3
E00039442,37.8,31.6,16.3,14.3
E00039443,41.8,43.3,12.8,2.1
E00039445,25.5,31.2,29.3,14
E00039446,30.4,49.8,16.9,2.9
E00039447,37.8,37,17.6,7.6
E00039448,16,45.4,26.9,11.8
E00039449,42.1,38.6,15.2,4.1
E00039450,23.9,42.5,30.1,3.5
E00039451,47.9,31.4,17.1,3.6
E00039452,13.4,49.6,23.5,13.4
E00039453,4.2,37.8,35.3,22.7
E00039454,9.6,35.6,33,21.8
E00039455,14.3,52,22.4,11.2
E00039456,8.8,40,35.2,16
E00039457,9.5,44.4,31,15.1
E00039458,10.5,44.4,35.5,9.7
E00039459,16.8,48,29.6,5.6
E00039460,39.7,37.3,18.1,4.9
E00039461,15.3,48.9,25.2,10.7
E00039462,5.3,44.3,38.9,11.5
E00039463,5.1,33.1,39.7,22.1
E00039464,11.1,44.4,27.8,16.7
E00039465,5.2,25,39.6,30.2
E00039468,7.2,32.4,34.2,26.1
E00039469,11.3,42.6,36.2,9.9
E00039470,27.6,48.7,17.1,6.6
