areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00098642,30.1,41.7,11.7,16.5
E00098643,34.2,32,21.1,12.7
E00098650,28.5,38.5,17.7,15.4
E00098654,63.9,19.4,5.8,11
E00098655,52.8,28.9,7.7,10.6
E00098656,54.9,25.3,10.4,9.3
E00098657,54.1,21,11.2,13.7
E00098658,51.8,29.1,4.5,14.5
E00098659,55.1,23.7,5.9,15.3
E00098660,49,31.5,6.3,13.3
E00098661,40.9,33,13.6,12.5
E00098662,50.8,32.8,9,7.4
E00098663,45.3,30.2,5.8,18.6
E00098664,51.8,31.2,4.3,12.8
E00098665,53,31,8,8
E00098666,61,15.2,10.5,13.3
E00098667,44.2,37.5,6.7,11.5
E00098668,56.7,20.6,7.8,14.9
E00098669,47.1,33.7,13.5,5.8
E00098670,48.8,29.3,9.8,12.2
E00098671,53.7,25.9,3.7,16.7
E00098672,58.1,22.6,4.3,15.1
E00098673,52.9,24.2,9.8,13.1
E00098674,51.8,22,7.8,18.4
E00098675,41.8,32.8,9.6,15.8
E00098676,55.8,21.5,12.9,9.8
E00098677,63.8,20.1,4.6,11.5
E00098678,50.3,23.7,6.4,19.7
E00098679,52.5,20.9,12,14.6
E00098680,56.7,17.8,9.6,15.9
E00098681,40.7,26.5,18.6,14.2
E00098683,48.5,30.5,11.4,9.6
E00098684,37,36.4,14.1,12.5
E00098685,50,23.7,8.9,17.4
E00098686,44.6,25.7,8.8,20.9
E00098687,37.8,29.9,18.1,14.2
E00143774,33.3,19.9,33.3,13.5
E00143775,36,19.2,32,12.8
E00143776,51.6,20.5,12.3,15.5
E00143778,41.2,22.5,21.6,14.7
E00143779,35.7,18.3,33.9,12.2
E00143780,40.4,16.7,26.3,16.7
E00143781,42.7,23.6,19.1,14.6
E00143782,37.1,18.1,30.4,14.3
E00143783,36.6,20.7,25.6,17.1
E00143785,37.5,16,34.8,11.7
E00143786,33.9,22.8,28,15.3
E00143787,39.8,18.1,28.9,13.3
E00143788,30.5,21.1,38.3,10.2
E00143789,31.8,22.9,37.9,7.5
E00143790,31.1,16.7,35.6,16.7
E00143791,35.4,15.6,34.4,14.6
E00143793,38.2,20.1,27,14.7
E00143794,35.3,29.4,18.5,16.8
E00143795,48.2,13.6,16.4,21.8
E00143796,48.9,28.9,11.1,11.1
E00143797,40,25.6,13.6,20.8
E00143798,42.3,34.3,10.3,13.1
E00143799,40.9,38.4,8.8,11.9
E00143800,47.1,21,10.9,21
E00143801,37.4,23.6,15.4,23.6
E00143802,32.4,35.3,11.8,20.6
E00143803,25.7,33.7,27.7,12.9
E00143805,35.4,34.5,12.4,17.7
E00143806,35.4,33.9,15.7,15
E00143808,37.9,32,16.5,13.6
E00143809,41,27.8,13.2,18.1
E00143810,36.1,27.1,19.4,17.4
E00143811,37.7,29,14.8,18.5
E00143812,33.9,28.6,16.1,21.4
E00143813,55.7,25.5,3.8,15.1
E00143814,44.2,19.6,20.2,16
E00143815,60.8,20.6,10,8.6
E00143816,38.8,25.6,16.3,19.4
E00143817,50,5,15,30
E00143818,48.2,14.4,17.3,20.1
E00143819,46.7,15.6,22.2,15.6
E00143820,60.7,17.9,0,21.4
E00143822,38.5,17.7,18.8,25
E00143824,59.8,19.6,7.2,13.4
E00143825,50.7,16,19.4,13.9
E00143826,61.8,21.1,4.1,13
E00143827,54.7,14.2,17.6,13.5
E00143828,58.4,21.2,7.3,13.1
E00143829,53.1,17.7,9.7,19.5
E00143830,65.2,15.8,6.3,12.7
E00143831,58.7,18,8.4,15
E00143832,64.9,20.6,7.6,6.9
E00143833,58.9,13.7,13.7,13.7
E00143834,58.6,18.6,6.9,15.9
E00143835,46.9,22.8,13.1,17.2
E00143836,60.6,19.3,8.3,11.9
E00143837,63,16.4,11,9.6
E00143838,57.6,22,8.5,11.9
E00143839,57,18,7.8,17.2
E00143840,58.8,20,10,11.3
E00143841,52.7,16.4,10,20.9
E00143842,61.4,15,15,8.7
E00143843,51.7,17.8,10.2,20.3
E00143844,49.1,17.9,17.9,15.2
E00143845,41.5,23.7,18.4,16.4
E00143846,66.7,17.3,3.3,12.7
E00143847,39.2,22.2,17,21.6
E00143848,51.8,20.7,15.3,12.2
E00143849,44.2,20.5,19.5,15.8
E00143850,51,19.4,11.2,18.4
E00143851,34.2,27.2,17.7,20.9
E00143852,44.1,18,23.4,14.4
E00143853,60.6,15.2,7.9,16.4
E00143854,61.5,18.4,8,12.1
E00143855,52.5,15.6,11.3,20.6
E00143856,46.4,28.8,11.2,13.6
E00143857,47.6,20.4,18.4,13.6
E00143858,39,21.2,20.5,19.2
E00143859,43.8,20.9,24.9,10.4
E00143860,35.3,17.6,30.7,16.3
E00143861,59.2,23.7,6.6,10.5
E00143862,40,26.7,20,13.3
E00143863,41.9,23.9,20,14.2
E00143864,59,16.4,10.4,14.2
E00143865,63.7,21.4,6.6,8.2
E00143866,60.4,20.7,5.3,13.6
E00143867,48.4,21.1,12.4,18
E00143868,54.9,16.5,8.8,19.8
E00143869,35.9,17.2,23.4,23.4
E00143870,40.1,19,25.5,15.3
E00143872,41.8,19.7,21.3,17.2
E00143873,40.1,25.1,19.8,15
E00143874,46.9,22.3,9.2,21.5
E00143875,42.2,28.4,15.5,13.8
E00143876,46,24.5,10.8,18.7
E00143877,47.7,25.8,10.6,15.9
E00143878,40,29.6,8,22.4
E00143879,30,27.8,25.6,16.7
E00143880,50.6,16.7,9.6,23.1
E00143881,47.8,26.8,15.3,10
E00143882,46.5,13.8,25.8,13.8
E00143883,42.7,20.8,24.2,12.4
E00143884,51.2,20.2,13.1,15.5
E00143885,54.4,15.4,11,19.1
E00143887,43.9,18,22.4,15.6
E00143890,43.8,23,21.3,11.8
E00143891,38.9,25.9,22.2,13
E00143892,48.8,36.6,0,14.6
E00143893,42,24.4,19.3,14.3
E00143894,42.8,21,18.1,18.1
E00143895,43.5,26.1,14.8,15.7
E00143896,56,20.6,10.6,12.8
E00143897,47.2,21,17.6,14.2
E00143898,40.6,19.8,23.5,16.1
E00143899,41.3,26.3,14.4,18.1
E00143900,44.8,25.6,14.4,15.2
E00143901,40.4,20.5,28.2,10.9
E00143902,48.8,21.3,16.5,13.4
E00143903,50,17.7,23.1,9.2
E00143904,62.3,9.6,14.9,13.2
E00143905,46.3,13.7,18.9,21.1
E00143906,56.5,13,13,17.5
E00143908,47,21.7,18.3,13
E00143909,45.6,17.6,21.1,15.7
E00143910,48.1,17.6,18,16.3
E00143911,71.6,9.3,10.5,8.6
E00143912,40.5,20,25.8,13.7
E00143913,46.7,19.7,18,15.6
E00143914,55.7,17,17,10.4
E00143915,51.5,15.5,9.7,23.3
E00143916,45.4,25,16.7,13
E00143917,45.5,14.4,14.4,25.8
E00143918,53.9,15.7,12.7,17.6
E00143919,56.7,14.6,8.5,20.1
E00143920,53.8,21.1,7.6,17.5
E00143921,62.4,18.4,5.6,13.6
E00143922,41.1,21.5,18.7,18.7
E00143923,54.9,16.4,13.9,14.8
E00143924,54.3,28.6,5.7,11.4
E00143925,57.2,17,11.9,13.8
E00143926,61.2,13.4,7.8,17.5
E00143927,65.3,10.2,9.3,15.3
E00143928,44.7,24.4,11.4,19.5
E00143929,51.6,16.1,11.8,20.4
E00143930,59.3,15,12.4,13.3
E00143931,54.3,16.8,13,15.8
E00143932,61.4,15,10.2,13.4
E00143933,45.8,19.4,18.1,16.8
E00143934,40,15,26.3,18.8
E00143935,44.7,20.2,15.8,19.3
E00143936,43.1,19.5,23.6,13.8
E00143937,56.6,20.5,10.8,12
E00143938,38.8,27,19.1,15.1
E00143939,41.2,24.4,17.6,16.8
E00143940,42.6,16.8,25.9,14.7
E00143941,41.6,19.7,25.5,13.1
E00143942,33.7,14.3,24.5,27.6
E00143943,50.5,18,10.8,20.7
E00143944,48.2,26.3,3.5,21.9
E00143946,41.5,22.4,21.1,15
E00143947,42.4,18.6,19.8,19.2
E00143948,42.7,19.8,20.6,16.8
E00143949,43.8,17.5,18.2,20.4
E00143950,40.4,19.2,17.2,23.2
E00143951,46.4,19.1,16.4,18.2
E00143952,44.5,20,19.1,16.4
E00143953,30.6,27.8,27.8,13.9
E00143954,43.4,16.3,22.5,17.8
E00143955,38.6,16.5,23.6,21.3
E00143956,44.2,22.1,17.5,16.2
E00143957,35.7,34.4,11.7,18.2
E00143958,32.3,21.3,22.6,23.9
E00143960,44.2,21.1,14.2,20.5
E00143961,41.2,20.6,27.5,10.8
E00143962,37.3,22.2,19,21.4
E00143963,34.7,21,29.8,14.5
E00143964,38.3,14.9,30.9,16
E00143965,46.3,21.5,9.9,22.3
E00143966,43.4,12.1,27.3,17.2
E00143967,55.9,20.3,8.5,15.3
E00143968,51.8,21.8,11.8,14.5
E00143969,36.5,21.2,28.8,13.5
E00143970,56,14.3,17.6,12.1
E00143971,38.2,29.2,15.7,16.9
E00143972,36.5,35,13.1,15.3
E00143973,33.2,48,8.4,10.4
E00143974,36.9,30.5,17,15.6
E00143975,33.7,26.3,26.8,13.2
E00143976,48.7,20.9,15.7,14.8
E00143977,32.5,36.7,16.7,14.2
E00143978,40.8,23.2,13.6,22.4
E00143979,40.8,19.2,15,25
E00143980,27.8,37.6,15.8,18.8
E00143981,42.8,37.5,9.9,9.9
E00143982,34.3,27.9,16.4,21.4
E00143983,36.8,29.5,12.1,21.6
E00143984,9.1,54.5,18.2,18.2
E00143985,40.7,39.8,7.4,12
E00143986,32.8,29.8,19.8,17.6
E00143987,30.1,30.1,25.3,14.4
E00143988,32.9,38.2,11,17.9
E00143989,42.2,26.7,15.5,15.5
E00143991,51.1,16.8,13.1,19
E00143992,67.9,12.5,7.1,12.5
E00143993,38.9,23.3,26.1,11.7
E00143994,33.8,20.5,29.2,16.4
E00143995,49,18.6,17.9,14.5
E00143996,51.7,17.5,15.4,15.4
E00143997,40.7,20,17.9,21.4
E00143998,47.7,17.4,15.9,18.9
E00143999,45.1,17.4,14.6,22.9
E00144000,34.9,20.8,28.3,16
E00144001,49.2,18,22.7,10.2
E00144002,38.7,24,21.3,16
E00144003,45.7,21.9,18.1,14.3
E00144004,48.4,20.3,9.4,21.9
E00144005,36.7,23.4,18.4,21.5
E00144006,44.7,17,11.7,26.6
E00144007,56.3,18.8,9.4,15.6
E00144008,55.2,22.9,5.7,16.2
E00144009,58,17.9,8,16.1
E00144010,32.1,18.9,34,15.1
E00144011,57.7,18.3,5.6,18.3
E00144012,58.4,17.8,5.9,17.8
E00144013,51.3,15.4,14.1,19.2
E00144014,55.2,15.7,12.7,16.4
E00144016,46.3,15.6,12.9,25.2
E00144017,43.3,21.3,15.6,19.9
E00144019,49.6,19.8,14.5,16
E00144020,59.5,17.7,8.9,13.9
E00144023,41.7,25.8,19.9,12.6
E00144026,58,14,9.8,18.2
E00144028,41.9,23.3,24.8,10.1
E00144029,56.3,17.2,13.9,12.6
E00144031,52.5,17.5,16.3,13.8
E00144032,66.4,17.2,5.2,11.2
E00144033,52.1,23.5,11.4,13
E00144034,56.3,23.4,10.8,9.6
E00144035,55.6,20.2,10.7,13.5
E00144036,47.8,21.1,19.4,11.7
E00144037,61.3,16.2,10.6,12
E00144038,34.7,17.6,33.5,14.2
E00144039,43.3,20.4,26.1,10.2
E00144040,38.6,18.1,33.9,9.4
E00144041,35.8,19,31.4,13.9
E00144042,51.9,17.5,16.4,14.2
E00144043,41,18.1,22.3,18.7
E00144044,50.7,16,25.7,7.6
E00144045,54,20.1,10.3,15.5
E00144046,54.7,16.5,15.1,13.7
E00144047,49.1,17.9,17.9,15
E00144048,42.9,20.5,19.2,17.3
E00144049,50.3,20.4,15,14.3
E00144050,52.6,14.9,16.5,16
E00144051,46.4,23.9,14.4,15.3
E00144052,45.3,20.9,12.8,20.9
E00144053,56.1,22.2,10.4,11.3
E00144054,46.3,22.1,16.9,14.7
E00144055,44,15.4,12.1,28.6
E00144056,58.3,21.7,6.7,13.3
E00144057,57.9,15.9,4.1,22.1
E00144058,50,22.1,15.7,12.2
E00144059,64.6,11.4,6.3,17.7
E00144060,46.2,21.2,18.3,14.4
E00144061,61.2,20,3.5,15.3
E00144062,48.6,22.9,11.4,17.1
E00144063,63,12.5,12.5,12
E00144064,45.6,16.2,24.3,14
E00144065,54.2,16.9,5.4,23.5
E00144066,62.2,18.3,7.3,12.2
E00144067,58.4,16.8,9.9,14.9
E00144068,46.5,20.8,15.8,16.8
E00144069,47.4,20.4,19.9,12.3
E00144070,41.3,15.1,29.4,14.3
E00144071,55.3,24.4,3.3,17.1
E00144072,58.1,17.1,7.6,17.1
E00144073,60.7,12.5,10.7,16.1
E00144074,56.1,24.7,8.1,11.1
E00144075,35.5,23.7,23.7,17.2
E00144076,46.4,14.4,20.6,18.6
E00144077,52.8,18.6,9.9,18.6
E00144078,47.5,24.2,10.1,18.2
E00144079,50.4,17.7,14.9,17
E00144080,51.3,17.6,11.8,19.3
E00144081,51.6,21.1,11.8,15.5
E00144082,64.8,13.6,4.5,17
E00144083,58.8,13.7,7.8,19.6
E00144084,40.7,17.8,22,19.6
E00144085,50.4,19.7,16,13.9
E00144086,52.1,26,4.1,17.8
E00144087,48.7,17.4,15.7,18.3
E00144088,49,18.8,19.8,12.5
E00144089,40.8,23.7,17.1,18.4
E00144090,58.2,20.3,7.6,13.9
E00144091,62.7,13.6,13.6,10
E00144092,48,26,7,19
E00144093,40.9,18.2,13.6,27.3
