areacd,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E00069026,23.8,34.9,33.3,7.9,0
E00069027,19.4,26.2,42.9,9.4,2.1
E00069028,27,29,40,2,2
E00069029,33.3,31.9,25.5,9.2,0
E00069032,21,31.2,37,10.1,0.7
E00069033,10.1,15.8,67.6,6.5,0
E00069034,8.2,19.1,47.3,20,5.5
E00069035,20.5,32.1,42,5.4,0
E00069036,19.4,35.2,37,7.4,0.9
E00069037,16.5,41.7,32,8.7,1
E00069038,21.1,34.2,36,7.9,0.9
E00069039,14.2,38.9,38.9,8,0
E00129967,51,32.2,16.3,0.5,0
E00129968,30.7,45.3,23.4,0.7,0
E00129969,54.5,32.1,11.9,1.5,0
E00129970,39.9,41.2,18.3,0.7,0
E00129971,25.4,35.2,38.5,0,0.8
E00129972,51.3,39.7,7.7,1.3,0
E00129973,43.4,38.4,16.7,1.5,0
E00129974,61.7,30.8,6.8,0.8,0
E00129975,67.5,26.8,5.7,0,0
E00129977,47.5,31.3,21.2,0,0
E00129978,59.6,26.9,13.5,0,0
E00129979,29.7,42.2,24.2,2.3,1.6
E00129980,55.1,30.3,14.6,0,0
E00129981,30.3,38.7,30.3,0.8,0
E00129982,69.3,24.1,5.8,0.7,0
E00129983,58.5,23.2,18.3,0,0
E00129984,52.5,38.8,8.6,0,0
E00129985,64.3,27.1,8.6,0,0
E00129986,35.5,35.5,24.8,4.1,0
E00129987,37.5,36.1,22.9,3.5,0
E00129988,57.5,21.6,20.3,0.7,0
E00129989,46.8,36.7,16.5,0,0
E00129990,67.2,29.7,2.3,0,0.8
E00129991,53.3,26.3,17.5,2.9,0
E00129992,46.6,29,22.1,2.3,0
E00129994,70.6,22.9,6.5,0,0
E00129996,51.9,32.1,15.4,0.6,0
E00129997,39.1,41.7,19.2,0,0
E00129998,46.1,33.2,20.2,0.5,0
E00129999,36.4,35.7,27.9,0,0
E00130000,51.7,32.8,12.6,2.9,0
E00130001,35.5,32.3,28.2,4,0
E00130002,51.2,30.7,18.1,0,0
E00130003,22.3,36.6,39.3,1.8,0
E00130004,31.6,42.7,24.8,0.9,0
E00130005,56.4,30.2,11.6,1.2,0.6
E00130006,71.6,21.1,6.4,0.9,0
E00130007,64.3,22.9,10.8,1.3,0.6
E00130008,61.8,28.8,8.8,0.6,0
E00130011,44.2,31.3,19,3.7,1.8
E00130012,67.8,26.1,5.5,0.5,0
E00130013,49.6,32.4,17.3,0.7,0
E00130014,68.9,18.2,11.4,1.5,0
E00130015,53.7,36,9.6,0.7,0
E00130016,58.1,29.8,10.5,0,1.6
E00130042,66.7,22.2,10.1,1,0
E00130043,17.8,37.7,40.8,3.7,0
E00130044,32.7,41.6,24.3,1,0.5
E00130045,48.1,34.8,16.2,1,0
E00130046,50,35.5,13,1.4,0
E00130048,11.7,44.1,40.7,3.4,0
E00130050,48.5,31.8,18.2,1.5,0
E00130051,20.4,34.3,40.9,4.4,0
E00130052,18.8,48.7,29.2,3.2,0
E00130053,34.6,45.6,17.6,2.2,0
E00130054,32.7,38.5,24.4,3.2,1.3
E00130055,15.4,51.5,28.7,2.9,1.5
E00130114,55.1,26.5,16.9,1.5,0
E00130115,51,36.4,12.6,0,0
E00130116,41.4,36.4,19.8,2.5,0
E00130117,36.1,43.5,20.4,0,0
E00130118,33.1,34.5,31.8,0.7,0
E00130119,48.8,29.1,19.7,2.4,0
E00130120,44.9,36.2,16.5,2.4,0
E00130121,55.3,35.8,8.1,0.8,0
E00130122,24.6,60.5,14,0.9,0
E00130123,35.7,38.5,23.8,2.1,0
E00130124,44.7,35.3,16,4,0
E00130125,54.1,32.4,11.7,1.8,0
E00130126,45.9,40.4,13,0.7,0
E00130127,50,39.5,9.7,0.8,0
E00130128,38.7,42.5,18.2,0.6,0
E00130129,19.4,49.6,30.2,0.8,0
E00130130,41.6,35.4,20.5,1.9,0.6
E00130138,44,38.1,17.2,0.7,0
E00130139,35.1,38.1,23.9,3,0
E00130140,62.8,28.1,7,2,0
E00130141,28.4,47.4,24.1,0,0
E00130142,25.8,36.7,37.5,0,0
E00130143,52.7,31,14.7,1.6,0
E00130144,69.9,27.6,2.4,0,0
E00130145,52.5,33.6,13.9,0,0
E00130146,55.2,33.6,11.2,0,0
E00130147,54.9,36.3,8,0.9,0
E00130148,57.8,31,11.2,0,0
E00130149,28.9,47.3,20.5,2.1,1.3
E00130150,32.5,35.8,28.5,2.4,0.8
E00130151,33.1,34.6,30.7,1.6,0
E00130152,27.4,41.1,29.2,2.4,0
E00130153,12.6,37.1,48.3,2,0
E00130154,62,29.1,8.4,0.6,0
E00130155,63.5,30.8,4.8,1,0
E00130156,37.5,51.9,6.7,3.8,0
E00130157,56.9,34.9,7.3,0.9,0
E00130158,41.9,36.8,19.9,1.5,0
E00130159,65.5,22.7,10.9,0.8,0
E00130160,57.7,35.6,6.7,0,0
E00130161,60,35.2,3.8,1,0
E00130162,69.7,24.3,5.3,0.7,0
E00130163,46.5,34.9,18.6,0,0
E00130164,65.6,23.3,11.1,0,0
E00130165,54.6,35.4,10,0,0
E00130166,31.9,50.4,16.8,0.8,0
E00130167,40.5,47.3,12.2,0,0
E00130168,41.6,39.3,16.9,2.2,0
E00130191,23.6,37.7,37.2,1.5,0
E00130192,35.6,37.8,26.7,0,0
E00130193,36.9,43,19.5,0.7,0
E00130194,38.6,47,12.9,1.5,0
E00130195,23.8,31.3,42.2,2,0.7
E00130196,59.2,32.3,6.2,2.3,0
E00130198,65.6,22.1,10.7,1.5,0
E00130199,37.1,29.6,32.7,0.6,0
E00130200,50,31.5,14.8,3.7,0
E00130201,39.5,39.5,18.5,2.5,0
E00130203,33.3,38.4,26.1,2.2,0
E00130204,46.3,33.1,17.4,3.3,0
E00130206,40.7,39.3,18,2,0
E00130207,53.1,32.9,9.8,3.5,0.7
E00130208,25.8,31.7,38.3,4.2,0
E00130209,35.5,42.6,17,5,0
E00130210,56.3,34.4,8.6,0.8,0
E00130212,54.5,33.9,7.1,4.5,0
E00130759,22.4,54.7,22.4,0.6,0
E00130760,45.2,37.5,14.4,2.9,0
E00130761,44.9,39.5,15,0.6,0
E00130762,29.1,54.6,15.6,0.7,0
E00130763,60,26.4,12.8,0,0.8
E00130764,61,30.1,8.1,0.8,0
E00130765,54.3,29.3,13.8,2.6,0
E00130766,60.2,29.8,9.4,0.6,0
E00130767,52.9,36.4,10,0.7,0
E00130770,72.9,22.6,4.5,0,0
E00130771,62.4,28.4,7.8,0,1.4
E00130772,39.4,26.8,32.3,1.6,0
E00130774,50.4,36.1,12,1.5,0
E00130777,53.5,26.8,19.7,0,0
E00130779,61.3,26.2,10.7,1.8,0
E00130780,48.6,43.7,7,0.7,0
E00130784,61.6,31.8,5.3,0.7,0.7
E00130785,56.4,30.7,11.9,1,0
E00130786,69.4,24.1,6.5,0,0
E00130787,46,37.2,16.8,0,0
E00130788,51.9,34,14.2,0,0
E00130790,67.7,24.4,7.9,0,0
E00130791,64.8,23,5.7,4.9,1.6
E00130818,58.8,21.8,19.3,0,0
E00130945,59.1,24.8,14.8,0.7,0.7
E00130946,68.4,21.5,10.2,0,0
E00130947,57.4,33.7,8.9,0,0
E00130958,63.9,29.2,6.9,0,0
E00130959,70.7,22,6.7,0.6,0
E00130962,57.1,24.5,18.4,0,0
E00130963,63.3,25.3,5.1,6.3,0
E00130964,57,32,10,1,0
E00130965,65.4,27.6,7.1,0,0
E00131785,39.5,36.3,19.4,4,0.8
E00131786,49.6,31.8,13.2,3.9,1.6
E00131787,58.3,27.3,11.4,2.3,0.8
E00131791,53.7,35.2,8.3,2.8,0
E00131847,50.4,32.3,12.8,2.3,2.3
E00131850,50,29.3,15.5,5.2,0
E00131851,14.2,47.2,33.9,3.9,0.8
