areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00079934,93.5,0,6.5,0
E00079935,90.8,0,8.3,1
E00079936,92.2,0.4,7.4,0
E00079937,92,0,8,0
E00079938,92.7,0,7.3,0
E00079939,88.8,0,10.8,0.4
E00079940,95.7,0.4,3.5,0.4
E00079941,88,0,12,0
E00079942,93.2,0,6.8,0
E00079943,92.5,0.3,7.2,0
E00079944,94,0,6,0
E00079945,96.8,0.7,2.5,0
E00079946,90.8,0,8.5,0.7
E00079947,95.9,0,4.1,0
E00079948,94,0,6,0
E00079949,88.9,0,10.7,0.3
E00079950,86.1,0,11.9,2
E00079951,91.8,0.4,7.4,0.4
E00079952,95.4,0.3,3.6,0.7
E00079953,92.9,0,7.1,0
E00079954,93.8,0,6.2,0
E00079955,92.7,0,7.3,0
E00079956,90.4,0,9.6,0
E00079957,95.5,0,4.5,0
E00079958,95.2,0,4.8,0
E00079959,93.3,0,6.3,0.4
E00079960,88.4,0.4,11.2,0
E00079961,96.4,0,3.6,0
E00079962,92.3,0.3,6.4,1
E00079963,87.7,0,12.3,0
E00079964,93.9,0,5,1.1
E00079965,91,0,9,0
E00079966,92.2,0,7.8,0
E00079967,87.9,0.3,11.8,0
E00079968,95.9,0,3.6,0.6
E00079969,91,0.7,8.3,0
E00079970,95.2,0,4.8,0
E00079971,95.3,0,4.7,0
E00079972,92.8,0,6.9,0.3
E00079973,90.1,0.3,9.2,0.3
E00079974,90.5,0,8.8,0.8
E00079975,90.4,0,9.4,0.3
E00079976,92.7,0.3,6.2,0.8
E00079977,87.7,0,11.2,1.1
E00079978,91.2,0,8.3,0.5
E00079979,92.3,0,7.7,0
E00079980,90.9,0.3,7.5,1.4
E00079981,94.3,0,5.7,0
E00079982,88.7,0.9,9.2,1.2
E00079983,96.8,0.2,2.5,0.5
E00079984,95.8,0,4.2,0
E00079985,96.6,0,3.4,0
E00079986,93.4,0,6.6,0
E00079987,93.4,0.3,6.3,0
E00079988,88.4,0.3,11.2,0
E00079989,94.4,0.3,5,0.3
E00079990,94.6,0,5.4,0
E00079991,90.7,0.3,9,0
E00079992,94.1,0,5.9,0
E00079993,95.7,0.2,4,0
E00079994,90.9,0.6,8.6,0
E00079995,92.6,0,6.9,0.5
E00079996,93.2,0.6,6.1,0
E00079997,91.1,0.3,8.6,0
E00079998,95.1,0.9,4,0
E00079999,89.9,0.2,9.7,0.2
E00080000,92.9,0.3,6.8,0
E00080001,93.5,0,6.5,0
E00080002,77.7,0,22.3,0
E00080003,82.7,0,16.7,0.6
E00080004,82.5,0,15.8,1.7
E00080005,90.5,0,9.5,0
E00080006,89.9,0.7,9.4,0
E00080007,88.7,0.3,9.2,1.7
E00080008,85.8,0,13.8,0.4
E00080009,90,0.4,9.3,0.4
E00080010,91.1,0.4,6.9,1.6
E00080011,91,0,9,0
E00080012,88.1,0,11.9,0
E00080013,83.3,0,14.7,2
E00080014,80.6,0.4,18.3,0.8
E00080015,81.3,0,16.7,2.1
E00080016,90.2,0.3,9.5,0
E00080017,86.1,0.4,13.5,0
E00080018,92.5,0,6.9,0.6
E00080019,86.4,0,13.6,0
E00080020,85.1,0,14.9,0
E00080021,88.9,0.5,9.2,1.3
E00080022,87.1,0,12.9,0
E00080023,88.3,0,11.7,0
E00080024,89.7,0,10.3,0
E00080025,85.4,0,13.4,1.1
E00080026,90.3,0,9.5,0.2
E00080027,94.6,0,4.7,0.8
E00080028,91.1,0.5,6.3,2.1
E00080029,86.3,0.7,12.7,0.3
E00080030,90.1,0.3,9.3,0.3
E00080031,90.3,0.3,9.2,0.3
E00080032,88.3,0,11,0.7
E00080033,91.4,0.3,8.3,0
E00080034,90.7,0,9.3,0
E00080035,92.4,0.3,7,0.3
E00080036,92.5,0.3,6.9,0.3
E00080037,93,0,7,0
E00080038,93.8,0,5.8,0.4
E00080039,93.7,0,6.3,0
E00080040,90.8,0,9.2,0
E00080041,94.5,0,4.8,0.7
E00080042,93.9,0,5.8,0.3
E00080043,93.4,0.6,6,0
E00080044,97.7,0,2.3,0
E00080045,91.4,0.3,8,0.3
E00080046,94,0.4,5.5,0
E00080047,96.2,0,3.8,0
E00080048,93,0,6.6,0.3
E00080049,96.1,0.4,3.5,0
E00080050,89,0,10.7,0.3
E00080051,91.4,0,7.9,0.7
E00080052,89.9,0,9.5,0.6
E00080053,91.4,0.3,8.2,0
E00080054,87.1,0,12.5,0.4
E00080055,96.3,0,3.7,0
E00080056,94.1,0,5.9,0
E00080057,91.1,0,8.9,0
E00080058,96.9,0.4,2.7,0
E00080059,95.1,0,4.9,0
E00080060,96.2,0,3.4,0.4
E00080061,91,0,8.1,0.9
E00080062,89.8,0,10.2,0
E00080063,88.8,0,11.2,0
E00080064,94.3,0,5.7,0
E00080099,91.4,0,8.3,0.3
E00080100,86.6,0,13.4,0
E00080101,92.9,0,7.1,0
E00080102,87.4,0.6,12,0
E00080103,88.1,0,11.9,0
E00080104,84.6,0.4,14.2,0.8
E00080105,86.2,0,12.6,1.1
E00080106,89.3,0.4,9.9,0.4
E00080107,86.1,0,13.6,0.3
E00080108,86.5,0,13.2,0.3
E00080109,89.7,0,9.8,0.6
E00080110,92.5,0,7.5,0
E00080111,86.7,0.7,11.5,1.1
E00080112,91.9,0,8.1,0
E00080113,95.4,0,4.3,0.3
E00080114,91.5,0.7,7.5,0.3
E00080115,93.2,0,6.8,0
E00080116,89.3,0,10.7,0
E00080117,91.8,0.4,7.8,0
E00080118,93.1,0,3.8,3.1
E00080119,80.6,1.6,17.8,0
E00080120,92.4,0,6.8,0.8
E00080121,85.2,0,14.8,0
E00080122,85.6,0,13.4,1
E00080123,86.2,0.3,12.9,0.6
E00080124,89.2,0,10.8,0
E00080125,80.9,0,16.7,2.5
E00080126,75.3,0.4,21.3,3
E00080127,88.1,0,11.4,0.5
E00080128,84.3,0,15.7,0
E00080129,85.9,0,14.1,0
E00080130,89.7,0.3,10,0
E00080131,90.1,0,8.8,1.1
E00080132,89.2,0,9.1,1.7
E00080133,87.9,0.4,11.2,0.4
E00080134,89.4,0,10.6,0
E00080136,86.6,0.3,12.1,1
E00080137,86.9,0.5,12.6,0
E00080140,89.4,1.4,8.9,0.3
E00080141,79.2,0,20.8,0
E00080142,94.6,0,5.4,0
E00080146,81.7,0.3,16.8,1.2
E00080148,84.9,0,15.1,0
E00080149,89.2,0.5,10.4,0
E00080150,94.2,0,5.4,0.4
E00080152,80.7,0,17.4,1.9
E00080153,83.1,0,13,3.9
E00080154,92.6,0,7.4,0
E00080155,92.1,0,7.6,0.3
E00080156,90.2,0,9.8,0
E00080157,81.4,0,16,2.5
E00080159,95.4,0.8,2.9,0.8
E00080162,85.9,0,13.5,0.6
E00080163,88.8,0.3,10.3,0.6
E00080165,84.8,0,14.3,0.9
E00080166,91.1,0,8.6,0.3
E00080167,83.5,0,16.5,0
E00080169,85,0,14.1,1
E00080172,95.4,0,4.2,0.4
