areacd,heating_type_3a-001,heating_type_3a-002
E00134648,1.4,98.6
E00134649,0.8,99.2
E00134650,1.4,98.6
E00134651,0.8,99.2
E00134652,0.8,99.2
E00134653,0,100
E00134654,0,100
E00134655,2.2,97.8
E00134656,0.8,99.2
E00134657,0,100
E00134684,0,100
E00134686,0,100
E00134687,1.2,98.8
E00134688,0,100
E00134689,0,100
E00134690,0.4,99.6
E00134691,0,100
E00134692,0.7,99.3
E00134693,0,100
E00134694,0,100
E00134695,0,100
E00134696,0,100
E00134697,0,100
E00134698,1.7,98.3
E00134699,0,100
E00134700,0,100
E00134701,0.6,99.4
E00134702,0.7,99.3
E00134703,0,100
E00134704,0.7,99.3
E00134705,3.1,96.9
E00134706,1,99
E00134707,0.7,99.3
E00134708,0,100
E00134709,1.5,98.5
E00134710,0.8,99.2
E00134711,0.7,99.3
E00134713,0,100
E00134714,1.6,98.4
E00134715,1.1,98.9
E00134716,1,99
E00134717,0,100
E00134719,0,100
E00134720,0,100
E00134721,0,100
E00134722,0,100
E00134723,0,100
E00134724,0.7,99.3
E00134725,1.7,98.3
E00134726,0.7,99.3
E00134727,0,100
E00134728,0,100
E00134729,0,100
E00134850,0,100
E00134851,3,97
E00134852,2.7,97.3
E00134853,0,100
E00134854,2.5,97.5
E00134855,1.6,98.4
E00134856,1.4,98.6
E00134857,1.3,98.7
E00134858,2.1,97.9
E00134890,2.5,97.5
E00134891,0.7,99.3
E00135053,1.2,98.8
E00135054,0.7,99.3
E00135055,0.8,99.2
E00135057,0,100
E00135060,1,99
E00135065,0,100
E00135067,0,100
E00135068,4,96
E00135069,0,100
E00135070,1.6,98.4
E00135071,0,100
E00135072,0,100
E00135073,0,100
E00135074,1.1,98.9
E00135075,0.6,99.4
E00135076,0.9,99.1
E00135077,1.6,98.4
E00135078,2.1,97.9
E00135079,1.4,98.6
E00135080,3,97
E00135081,3.7,96.3
E00135082,0.8,99.2
E00135083,0.7,99.3
E00135084,0,100
E00135085,1.8,98.2
E00135088,0.8,99.2
E00135089,0.8,99.2
E00135090,1.6,98.4
E00135091,0,100
E00135092,0.9,99.1
E00135093,0,100
E00135094,1.1,98.9
E00135095,0.8,99.2
E00135096,3,97
E00135097,0,100
E00135098,0,100
E00135099,0,100
E00135100,0.9,99.1
E00135101,2.5,97.5
E00135103,3.9,96.1
E00135104,0,100
E00135105,0,100
E00135106,0.6,99.4
E00135107,0,100
E00135108,1.8,98.2
E00135109,2.2,97.8
E00135110,0,100
E00135111,0.9,99.1
E00135112,0.8,99.2
E00135113,0,100
E00135114,2.2,97.8
E00135115,0,100
E00135116,1.5,98.5
E00135117,3.7,96.3
E00135118,2.1,97.9
E00135119,0,100
E00135120,0.8,99.2
E00135121,0.8,99.2
E00135122,0,100
E00135123,1.3,98.7
E00135124,0,100
E00135125,0.9,99.1
E00135126,4.3,95.7
E00135127,0,100
E00135128,0.8,99.2
E00135129,0,100
E00135130,0.9,99.1
E00135131,0.9,99.1
E00135132,1.5,98.5
E00135133,1.6,98.4
E00135134,2.3,97.7
E00135135,0,100
E00135136,1,99
E00135138,2.2,97.8
E00135139,1.6,98.4
E00135140,4.2,95.8
E00135141,3.9,96.1
E00135142,5.7,94.3
E00135143,2.1,97.9
E00135144,1.7,98.3
E00135145,2,98
E00135146,2.7,97.3
E00135147,8.2,91.8
E00135148,1.2,98.8
E00135149,4.8,95.2
E00135150,4.4,95.6
E00135151,3,97
E00135152,2.9,97.1
E00135153,4.1,95.9
E00135154,5.9,94.1
