areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00032536,98.5,1.5,0,0,0
E00032537,94.7,4.8,0.3,0,0.2
E00032538,95.9,4.1,0,0,0
E00032539,99.4,0.6,0,0,0
E00032540,93.7,4.9,0,0,1.4
E00032541,96.4,3,0.7,0,0
E00032542,95.9,1.2,2.1,0.4,0.4
E00032543,97.5,2.5,0,0,0
E00032544,96.7,1.2,0.6,1.5,0
E00032545,93.7,4.4,0.9,0.9,0
E00032546,97.7,1.9,0.4,0,0
E00032547,93.7,5,0.9,0,0.3
E00032548,96.6,1.9,1.2,0,0.3
E00032549,96.7,2.1,0,0,1.2
E00032550,98.8,0.4,0.8,0,0
E00032551,96.5,3.5,0,0,0
E00032552,94.7,3.1,2.2,0,0
E00032553,97.9,2.1,0,0,0
E00032554,94,5.2,0.8,0,0
E00032555,98,2,0,0,0
E00032557,93.8,3.1,2.8,0,0.3
E00032558,98.6,1,0.3,0,0
E00032559,95.5,3.2,1,0,0.3
E00032560,98.5,1.2,0,0,0.3
E00032568,98,1.5,0,0.3,0.3
E00032569,96.7,2.8,0,0,0.6
E00032570,99.3,0.4,0.4,0,0
E00032571,91.7,3.9,2.3,1.6,0.5
E00032572,96.3,2.7,0.8,0.3,0
E00032573,94.7,3.3,2,0,0
E00032574,93,6.1,0.4,0.4,0
E00032575,96,2.8,0,1.2,0
E00032576,96.4,3.6,0,0,0
E00032577,96.9,1.2,1.2,0.6,0
E00032578,98.1,1.9,0,0,0
E00032579,96.5,1.8,1.1,0.4,0.4
E00032580,97.9,2.1,0,0,0
E00032581,98.7,0.8,0,0.4,0
E00032582,98.1,0.4,1.1,0.4,0
E00032583,96.2,0.5,0.5,1.4,1.4
E00032584,95.6,2.9,0.5,0.5,0.5
E00032585,93.5,4.1,0.8,1.6,0
E00032586,96.1,1.8,2.1,0,0
E00032587,93.3,2,1,2.7,1
E00032588,89.6,4.4,1.4,2.3,2.3
E00032589,88.5,3.8,3.5,2.8,1.4
E00032590,94.6,5.4,0,0,0
E00032591,92.3,2.4,1,1.2,3.1
E00032592,94.1,2.6,1.2,1.8,0.4
E00032593,94.7,2.8,0.6,0.8,1
E00032594,96.9,2,0,0,1.2
E00032595,95.7,2.9,0,0,1.4
E00032596,94.7,3,0.3,0,2
E00032597,97.9,2.1,0,0,0
E00032598,96.6,2.4,1,0,0
E00032599,94.9,2.4,1.2,0,1.6
E00032600,97.7,2,0.4,0,0
E00032601,95.9,1.7,1.7,0.3,0.3
E00032602,92.7,5.1,0.9,0,1.3
E00032603,93.1,3.4,3.4,0.2,0
E00032604,96.6,2.5,0,0.7,0.2
E00032605,96.6,3.4,0,0,0
