areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00049242,17.1,66.7,16.2
E00049243,18.8,62.5,18.8
E00049244,7.3,62.9,29.8
E00049245,11.4,62.9,25.7
E00049246,6.6,68.9,24.5
E00049247,6.3,67.1,26.6
E00049248,9.2,75.5,15.3
E00049249,7.7,73.1,19.2
E00049250,12.4,63.8,23.8
E00049251,9.4,61.3,29.2
E00049252,19.3,56.1,24.6
E00049253,12.3,56.1,31.6
E00049254,6.5,54.6,38.9
E00049255,13.9,59.4,26.7
E00049256,10.5,69.5,20
E00049257,19,56.2,24.8
E00049258,10.9,59.4,29.7
E00049259,13.6,40.1,46.3
E00049260,9.5,61.5,29.1
E00049261,15.5,42.3,42.3
E00049262,11,46.5,42.5
E00049263,3.7,57,39.3
E00049264,17.6,47.1,35.3
E00049265,8,63.5,28.5
E00049266,3.2,68.3,28.6
E00049267,8.4,43.3,48.3
E00049268,8.7,59.6,31.7
E00049269,14.9,64.9,20.2
E00049270,11.7,78.7,9.6
E00049271,9.5,62.9,27.6
E00049272,11,67,22
E00049273,12.5,73.9,13.6
E00049274,15.1,71.9,12.9
E00049275,17.8,60.7,21.5
E00049276,6,79,15
E00049277,3.7,73.9,22.4
E00049278,7.1,81.9,11
E00049279,7.8,72.8,19.4
E00049280,3.8,73.3,22.9
E00049281,8.2,61.2,30.6
E00049282,6.4,60.6,33
E00049538,12.1,65,22.9
E00049539,15.6,70.1,14.3
E00049540,7.2,74.2,18.6
E00049542,8.7,41.6,49.7
E00049543,5.2,57.4,37.4
E00049545,12.3,46.2,41.5
E00049547,13.6,63.6,22.7
E00049548,11.4,60.8,27.8
E00049549,9.6,76.9,13.5
E00049551,6.6,77.4,16
E00049552,9.7,58.3,32
E00049553,17.1,69.8,13.2
E00049554,11.2,57,31.8
E00049556,15.3,58,26.7
E00049558,15.2,56.2,28.6
E00049559,13.5,48.4,38.1
E00049560,8.4,56.1,35.5
E00049561,8.5,51.9,39.5
E00049562,11.7,51.4,36.9
E00049563,15.6,56.9,27.5
E00049564,8.2,53.6,38.2
E00049565,10,71.8,18.2
E00049566,13.3,64.4,22.2
E00049567,14.7,45.9,39.4
E00049569,4.7,62.6,32.7
E00049570,13.4,67.7,18.9
E00049572,13.7,57.8,28.4
E00049573,6.6,67.9,25.5
E00049574,11.5,57.5,31
E00049575,14.9,38.3,46.8
E00049577,11.4,74.3,14.3
E00049578,2.5,79.5,18
E00049579,10.7,79.5,9.8
E00049580,8.2,82.5,9.3
E00049581,9.4,76.4,14.2
E00049583,7.8,73.6,18.6
E00049584,8.9,75,16.1
E00049585,10.4,70.8,18.8
E00049586,9.2,73.3,17.6
E00049587,9.3,77.3,13.4
E00049588,11.4,72.4,16.2
E00049589,9.3,72,18.7
E00049590,10.3,69.6,20.1
E00049591,16.5,66,17.5
E00049592,9.8,75.9,14.3
E00049593,10.7,73.6,15.7
E00049594,10.5,77.9,11.6
E00049595,6.7,79.8,13.5
E00049596,9,73,18
E00049597,7.3,82.7,10
E00049598,2.9,80.8,16.3
E00049599,8.3,79.2,12.5
E00049601,10.2,78.3,11.5
E00049603,15.7,65.4,18.9
E00049604,8,80.8,11.2
E00049606,17.7,54.9,27.4
E00049611,7.4,72.6,20
E00049612,9.7,76.8,13.5
E00049616,6.9,74.7,18.4
E00049617,6.5,83.3,10.1
E00049618,9.4,79.5,11
E00049619,10.2,75,14.8
E00049620,10.5,63.8,25.7
E00049621,7.3,64.6,28.1
E00049622,12,62,25.9
E00049623,7,75.8,17.2
E00049624,12.1,52.1,35.7
E00049625,7.1,58.7,34.1
E00049626,10.1,73.7,16.2
E00049627,6.9,74.3,18.8
E00049628,9.1,70,20.9
E00049629,10.4,72.9,16.7
E00049630,10.9,78.2,10.9
E00049631,10.9,72.3,16.8
E00049632,10.9,77.3,11.8
E00049633,8.2,80.3,11.5
E00049634,9.8,54.1,36.1
E00049635,6.5,79.3,14.1
E00049636,5,72.7,22.3
E00049637,15.2,61.6,23.2
E00049638,2.4,76.5,21.2
E00049639,8.2,76.4,15.5
E00049640,10.3,66.4,23.3
E00049641,9.6,75.9,14.5
E00049642,12.1,71,16.9
E00049643,10,68.2,21.8
E00049644,11.6,64.2,24.2
E00049645,10,66.7,23.3
E00049646,13.2,78.5,8.3
E00049647,9.7,75,15.3
E00049648,4.5,64,31.5
E00049649,10.9,58.7,30.4
E00049650,5,76.2,18.8
E00049651,2.9,59.2,37.9
E00049652,9,51.6,39.4
E00049735,6.8,48,45.2
E00049744,10.5,49,40.6
E00049745,13.5,35.7,50.8
E00049746,10.1,61.8,28.1
E00049747,11.6,48.6,39.9
E00049749,9.6,58.4,32
E00049751,12.6,60.6,26.8
E00049763,13,37.9,49.1
E00049771,10.7,45,44.4
E00049773,9.9,46.8,43.2
E00049886,16.2,72.1,11.8
E00049887,18,70,12
E00049888,10.5,70.5,19
E00049889,11.5,60.3,28.2
E00049890,17.2,57.5,25.4
E00049891,8.5,67.8,23.7
E00049892,9.7,64.1,26.2
E00049893,8.5,55,36.4
E00049894,6.7,62,31.3
E00049895,9.4,49.3,41.3
E00049896,14.5,60.9,24.5
E00049897,6.8,57.3,35.9
E00049898,10.9,63.6,25.5
E00049899,11,62.4,26.6
E00049900,13.6,65,21.4
E00049901,12.3,58,29.6
E00049902,10.4,56.5,33
E00049903,6.2,63.6,30.2
E00049904,7.7,76.1,16.2
E00049905,12.3,66,21.7
E00049906,14.5,59.8,25.6
E00049907,19.3,50.9,29.8
E00049908,5.5,56,38.5
E00049909,10.6,66.9,22.5
E00049910,11,62.4,26.6
E00049911,8.6,74.3,17.1
E00049912,16.9,63.7,19.4
E00049913,12.1,66.4,21.6
E00049914,12.4,74.4,13.2
E00049915,14.9,64.9,20.2
E00049916,15.7,55.4,28.9
E00049917,9.4,70.8,19.8
E00049918,12.5,67.3,20.2
E00049919,9.8,67.6,22.5
E00049920,4.3,62.3,33.3
E00049921,12.9,67.1,20
E00049922,3.8,79.6,16.6
E00049923,4.2,65.3,30.5
E00049924,13.8,59.6,26.6
E00049925,12.2,56.9,30.9
E00049926,6,71.6,22.4
E00049927,8.2,82,9.8
E00049928,9.1,62.8,28.1
E00049930,9.7,56,34.3
E00049931,7,69.8,23.3
E00049932,10,75.5,14.5
E00049933,11.2,60.7,28
E00049935,10.2,61.9,28
E00049937,10.5,76.3,13.2
E00049938,12.1,59.6,28.3
E00049939,9.2,42.5,48.3
E00049940,12.7,59.9,27.5
E00049941,1.6,69.3,29.1
E00049955,3.5,76.9,19.6
E00049956,10.4,55.7,33.9
E00049957,8.2,54.4,37.4
E00049958,10.4,52,37.6
E00049959,10.6,51,38.5
E00049960,7.5,67.5,25
E00049961,8.4,76.3,15.3
E00049962,15.4,66.7,17.9
E00049963,9.1,63.6,27.3
E00049964,7.8,82.6,9.6
E00049966,12.7,68.6,18.6
E00050226,8.1,63.2,28.7
E00050236,10.9,55.5,33.6
E00050237,14.7,56.8,28.4
E00050238,9.3,51.5,39.2
E00050239,9.6,50,40.4
E00050240,11.5,57.5,31
E00050241,12.6,55.2,32.2
E00050242,15.4,49.4,35.3
E00050243,9.4,60,30.6
E00050244,5.6,57.8,36.7
E00050245,14.4,55.9,29.7
E00050246,10.8,60,29.2
E00050248,6.9,75.6,17.6
E00050249,9.2,48.5,42.3
E00050250,12.9,66.4,20.7
E00050251,11.1,69.3,19.6
E00050252,4.5,66.4,29.1
E00050253,8,49.6,42.5
E00050254,10.7,66.4,23
E00050255,15.3,43.2,41.5
E00050256,19.5,48,32.5
E00050257,5.9,62.4,31.7
E00050258,9.8,42.9,47.4
E00050259,11.8,55.3,32.9
E00050260,7.6,65.2,27.2
E00050344,4.5,80.9,14.5
E00050345,12.3,49.1,38.6
E00050347,12.3,71,16.7
E00050348,15,57.9,27.1
E00050349,7.3,42.7,50
E00050351,9.4,53.1,37.5
E00050352,7.3,66.4,26.4
E00050353,12.9,69.3,17.8
E00050354,6.4,75.2,18.3
E00050355,13.2,47.3,39.5
E00050356,15,71,14
E00050357,9.1,72.7,18.2
E00050358,3,69,28
E00050359,9,67,24
E00050360,8.7,71.7,19.7
E00050361,11.8,81.4,6.9
E00050362,12.1,64.6,23.2
E00050363,14.1,61.5,24.4
E00050364,18.3,57,24.7
E00050365,12.4,68.6,19
E00050366,14.5,67.3,18.2
E00050367,13.1,54,32.8
E00050368,12,46.3,41.7
E00050369,4.9,56.3,38.9
E00050371,5,47.1,47.9
E00050372,2.5,70.7,26.8
E00050373,17.9,48.3,33.8
E00050374,4.6,60.1,35.3
E00050375,12.6,51,36.4
E00050376,8.1,56.6,35.4
E00050377,4.3,67.5,28.2
E00050378,19.8,55.8,24.4
E00050379,6.8,58.3,34.8
E00050380,8,62.3,29.7
E00050381,11.8,45.1,43.1
E00050382,8.8,68.6,22.6
E00050383,16.4,48.2,35.5
E00050384,18.4,50.9,30.7
E00050385,14.1,32.9,52.9
E00050581,9.7,48.6,41.7
E00050585,14,63.6,22.4
E00050587,14.8,54.4,30.9
E00050618,16.9,50.8,32.3
E00050772,8.3,75.9,15.7
E00050785,16.3,61,22.8
E00050794,18.1,53.1,28.8
E00050795,6.7,67.5,25.8
E00050796,16.8,52.1,31.1
E00050797,9.2,70.8,20
E00050798,11.8,45.9,42.4
E00050799,12.1,58.6,29.3
E00050800,10.9,66.3,22.8
E00164077,7.6,52.4,40
E00168215,15,45,40
E00168226,16.9,54.2,28.8
E00168227,15.3,54.2,30.6
E00168228,10.3,51.7,37.9
E00171358,22,39,39
E00171368,16.7,48.7,34.6
E00171369,10.2,59.2,30.6
E00177383,7.8,54.9,37.3
E00177400,25.9,48.1,25.9
E00177404,8.7,46.1,45.2
E00177410,11.6,54.7,33.7
E00177417,5.5,38.6,55.9
E00181862,5.6,65.2,29.2
E00181885,18.8,51.6,29.7
E00181894,13.5,68.9,17.6
E00181900,24,48,28
E00181923,20.7,45.7,33.7
