areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E00041416,30.9,69.1
E00041417,25.2,74.8
E00041418,22.6,77.4
E00041419,28.5,71.5
E00041420,39.1,60.9
E00041421,22.2,77.8
E00041422,39,61
E00041423,34.1,65.9
E00041424,26,74
E00041425,31.7,68.3
E00041426,38.8,61.2
E00041427,33.6,66.4
E00041429,35.7,64.3
E00041430,30.3,69.7
E00041431,27.9,72.1
E00041432,17.3,82.7
E00041433,26.3,73.7
E00041434,31.4,68.6
E00041435,24.3,75.7
E00041436,28.8,71.2
E00041437,32.4,67.6
E00041438,23.1,76.9
E00041439,26.5,73.5
E00041440,26.8,73.2
E00041441,30.3,69.7
E00041442,26.2,73.8
E00041681,26.1,73.9
E00041683,38.8,61.2
E00041684,28.9,71.1
E00041685,40.6,59.4
E00041686,29.9,70.1
E00041689,30.7,69.3
E00041690,20.5,79.5
E00041691,20.8,79.2
E00041693,35.1,64.9
E00041694,32.1,67.9
E00041695,27,73
E00041698,32.4,67.6
E00041699,37.1,62.9
E00041700,31.8,68.2
E00041701,24.8,75.2
E00041702,38.8,61.2
E00041703,30.9,69.1
E00041707,20.1,79.9
E00041709,27.9,72.1
E00041714,31.7,68.3
E00041715,32.4,67.6
E00041716,24.6,75.4
E00044683,26.7,73.3
E00044684,25.9,74.1
E00044685,31.1,68.9
E00044687,28.8,71.2
E00044898,26.3,73.8
E00044899,23.9,76.1
E00044900,25.6,74.4
E00044901,23.7,76.3
E00044902,35.1,64.9
E00044903,27.5,72.5
E00044904,24,76
E00044905,18,82
E00044906,23.7,76.3
E00044907,16.4,83.6
E00044908,32.5,67.5
E00044909,32.8,67.2
E00044910,30.9,69.1
E00044911,28.2,71.8
E00044912,24.5,75.5
E00044913,24.7,75.3
E00044914,30.2,69.8
E00044915,27.5,72.5
E00044916,29.7,70.3
E00044917,33.6,66.4
E00044918,27.7,72.3
E00044919,28.8,71.2
E00044920,35.9,64.1
E00044921,31.5,68.5
E00044922,38.4,61.6
E00044923,25.2,74.8
E00044925,32.7,67.3
E00044926,34.5,65.5
E00044927,29.9,70.1
E00044928,31.3,68.8
E00044929,27.7,72.3
E00044930,22.4,77.6
E00044931,28.7,71.3
E00044932,24.1,75.9
E00044933,31,69
E00044934,42.6,57.4
E00044935,31.1,68.9
E00044936,40,60
E00044937,32.6,67.4
E00044938,33.8,66.2
E00044939,27.5,72.5
E00044940,41.9,58.1
E00044941,32.4,67.6
E00044942,26.7,73.3
E00044943,28.8,71.2
E00044944,18.5,81.5
E00044945,17.9,82.1
E00044946,25.7,74.3
E00044947,30,70
E00044948,39.1,60.9
E00044949,25.5,74.5
E00044950,22.8,77.2
E00044951,30.3,69.7
E00044952,23.5,76.5
E00044953,31.5,68.5
E00044954,30.4,69.6
E00044955,30.3,69.7
E00044956,24.6,75.4
E00044957,28.8,71.2
E00044958,28.6,71.4
E00044959,27.5,72.5
E00044960,32.5,67.5
E00044961,33.3,66.7
E00044962,27.8,72.2
E00044963,36.1,63.9
E00044964,21.1,78.9
E00044965,31.1,68.9
E00044966,31.9,68.1
E00044967,41.3,58.8
E00044968,25.4,74.6
E00044969,30.6,69.4
E00044970,23.9,76.1
E00044971,24.7,75.3
E00044972,24.5,75.5
E00044973,24,76
E00044974,31,69
E00044975,26.9,73.1
E00044976,21.6,78.4
E00044977,21.3,78.7
E00044978,27,73
E00044979,26.9,73.1
E00044980,25.5,74.5
E00044981,26.5,73.5
E00044982,29.6,70.4
E00044983,22.8,77.2
E00044984,25.6,74.4
E00044985,33.3,66.7
E00044986,19.5,80.5
E00044987,34.7,65.3
E00044988,27.8,72.2
E00044989,31.3,68.7
E00044990,22.8,77.2
E00044991,38.4,61.6
E00044992,27,73
E00044993,20.5,79.5
E00044994,40.1,59.9
E00044995,27.7,72.3
E00044996,22.5,77.5
E00044997,21.8,78.2
E00044998,32.7,67.3
E00045000,17.2,82.8
E00045001,25.2,74.8
E00045002,29.2,70.8
E00045003,22.6,77.4
E00045004,29,71
E00045005,25.7,74.3
E00045006,25.7,74.3
E00045007,22.7,77.3
E00045008,25.8,74.2
