areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00056977,92.5,3.5,0.4,3.5
E00057126,93.4,0.5,3.2,2.9
E00057128,88.6,6.8,2.1,2.5
E00057129,81.7,5.2,6.1,7
E00057130,92.3,2.8,1.3,3.6
E00057131,89.6,3.6,3.6,3.1
E00057132,93.2,2.2,1.1,3.6
E00057135,88.2,2.3,3.5,6
E00057136,92.8,3.1,1.6,2.5
E00057142,82.8,8.9,0.6,7.7
E00057144,91.6,4.8,1.5,2.1
E00057146,83.4,5.2,3.1,8.3
E00057147,90.8,2.5,2.5,4.2
E00057152,93.5,1.9,1.9,2.7
E00057153,90.1,4.8,1.8,3.3
E00057159,93.3,1,1.9,3.8
E00057160,90.7,3.6,2,3.6
E00057162,90.6,1,2.7,5.7
E00057167,93,1.6,3.3,2.1
E00057170,94.9,1.7,1.4,2
E00057180,94.1,1.8,2,2
E00057181,76.8,5.2,6.2,11.9
E00057183,90.5,3.8,3.8,1.9
E00057184,90.5,5,3.4,1.1
E00057185,90.7,3.7,2,3.7
E00057187,90.9,4.3,2,2.9
E00057488,88.1,4.8,2.4,4.8
E00057489,90.3,7.1,0.9,1.8
E00057490,91.8,4.6,1.4,2.1
E00057491,91.3,5.6,1,2.1
E00057492,92.4,2.1,2.4,3.1
E00057493,90.7,3.9,1.5,3.9
E00057494,89,8.2,1.4,1.4
E00057495,86.7,5.7,4.1,3.5
E00057503,88.6,5.4,2.7,3.3
E00057505,84.5,9.6,2,4
E00057506,88.5,4.9,2.1,4.5
E00057507,92.8,4.8,1.2,1.2
E00057508,92.7,4.1,1.2,2
E00057509,84,8,1.5,6.5
E00057510,88.2,6.3,1.4,4.1
E00057511,90.3,4.4,2,3.2
E00057512,90.8,4.4,2.6,2.2
E00057513,91,4.1,1.8,3.2
E00057514,91.7,6,1.4,0.9
E00057515,91.1,4.2,1.9,2.8
E00057516,91.3,4.8,0.5,3.4
E00057517,87.6,4,2.7,5.8
E00057518,91.6,5.3,1.8,1.4
E00057519,86.8,8,0.5,4.7
E00057520,90.4,5.4,3.1,1.2
E00057521,92.1,5.1,1.6,1.2
E00057522,93,3.3,1.8,1.8
E00057523,85.2,7.2,4.7,3
E00057524,91.6,4.6,0.4,3.4
E00057525,90.2,6,0.9,3
E00057561,92.3,2.6,0.9,4.3
E00057562,91.5,5.7,1.1,1.8
E00057563,84.8,10.1,1,4
E00057566,88.6,4.1,3.8,3.5
E00057578,88,7.2,2.1,2.7
E00057582,90.7,4.2,1.8,3.3
E00057619,88.8,5,2.1,4.1
E00057620,93,3.5,1.8,1.8
E00057621,92.6,3.3,0.5,3.5
E00057622,88.5,7.6,1.1,2.7
E00057623,89.7,3.4,1.4,5.5
E00057624,91.2,2.7,3.1,3.1
E00057625,90.7,5,0.7,3.6
E00057627,91.7,3.6,1.6,3.2
E00058589,91.3,2.8,2.5,3.4
E00058674,93.6,2.3,1.8,2.3
E00058699,91.8,4,1.5,2.7
E00058702,89.7,4.4,1.8,4.1
E00058706,93,4.3,1.2,1.6
E00058707,89,6.4,1.4,3.2
E00058712,86.9,8.3,3.4,1.5
E00058737,95.7,3.4,0,0.9
E00058741,90.7,0.7,1.3,7.3
E00058742,89.2,7.1,1.7,2
E00058743,87.5,3.3,2.2,6.9
E00058744,87.3,4.1,2.4,6.3
E00058745,90.9,2.7,1.4,4.9
E00058746,89.9,2,3.2,4.9
E00058747,89.5,4.7,3.6,2.2
E00058748,91.6,3.2,2.4,2.8
E00058749,90,4.2,2.6,3.2
E00058750,92.2,2.6,2.1,3.1
E00058751,89.2,5.1,1.3,4.5
