areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00039212,97.9,2.1,0
E00039223,97.8,2.2,0
E00039224,95.5,4.5,0
E00039229,98.4,1,0.7
E00039231,98.3,1.3,0.4
E00039747,87.2,8.4,4.4
E00039748,83.5,13.5,3
E00039750,81.5,14.5,4
E00039751,93.9,5.7,0.3
E00039752,76.3,15.1,8.6
E00039753,90.3,6.6,3.1
E00039754,92.9,4.9,2.2
E00039755,64.5,27.7,7.8
E00039756,94.3,4.1,1.6
E00039757,95.5,3,1.5
E00039758,95.4,1.8,2.9
E00039759,97.6,1.7,0.7
E00039760,94.1,4.2,1.7
E00039761,94.6,4.1,1.4
E00039762,85.7,9.5,4.8
E00039763,92.4,5.1,2.5
E00039764,81.2,13.3,5.5
E00039765,76.6,15.9,7.5
E00039766,83.8,10.4,5.8
E00039767,87.5,9.1,3.4
E00039768,97.9,1.7,0.3
E00039769,83.7,11.3,5.1
E00039770,82.1,13.1,4.8
E00039771,91.3,7,1.7
E00039772,93.3,6,0.8
E00039773,90.1,6.9,3.1
E00039774,87.3,10.7,2
E00039775,64.4,26.2,9.3
E00039776,74.3,19.2,6.5
E00039777,94.4,4.1,1.5
E00039778,96.5,1.9,1.5
E00039779,93.8,4.8,1.4
E00039780,91.7,7.6,0.7
E00039781,91.6,6.5,1.9
E00039782,93.4,6.3,0.3
E00039783,91.8,7.2,1
E00039784,95,4.6,0.4
E00039785,94.4,4.3,1.3
E00039786,94.6,4.7,0.7
E00039787,90.2,8,1.7
E00039788,81.8,13.9,4.3
E00039789,94.1,5.5,0.3
E00039791,88.3,6.7,5
E00039792,88.1,6.5,5.5
E00039793,83.7,11.7,4.7
E00039794,90.9,7,2
E00039795,94.9,2.7,2.4
E00039796,89.4,9.3,1.3
E00039797,89.8,9.6,0.6
E00039798,93.3,6.7,0
E00039799,94,4.3,1.7
E00039851,87.6,8.2,4.2
E00039852,69.4,23.1,7.5
E00039853,81.8,12.1,6.1
E00039854,69.4,20.3,10.3
E00039856,86.8,11.2,2
E00039858,62.8,27.5,9.7
E00039859,64.1,25,10.9
E00039860,63.8,25.7,10.5
E00039861,82.4,13.9,3.6
E00039862,65.7,24.9,9.3
E00039863,58.6,27.4,14
E00039864,67.3,21.2,11.4
E00039865,65.9,24.3,9.8
E00039866,60.6,25.1,14.3
E00039867,61.8,25.5,12.7
E00039868,76.1,16.5,7.4
E00039869,68.8,22.8,8.4
E00039870,65.8,24.1,10.1
E00039871,88,8.5,3.5
E00039876,80.2,16.9,2.9
E00039877,73.7,18.7,7.6
E00039878,91.8,4.3,3.9
E00039879,83.2,6.5,10.3
E00039880,66.7,25.7,7.6
E00039881,85.7,13,1.3
E00039882,78.6,14.9,6.5
E00039883,68.8,24,7.2
E00039884,67.6,21.1,11.3
E00039885,76.6,17.4,6
E00039886,79.5,15.3,5.2
E00039887,76.1,15.7,8.2
E00039888,79.8,14,6.2
E00039889,72.9,18.4,8.7
E00039890,62.2,28.7,9.1
E00039891,71.6,18.5,10
E00039892,89.7,7.4,2.8
E00039893,73.6,20.2,6.3
E00039894,70.5,21.1,8.4
E00039895,72,18.8,9.2
E00039896,64.7,23.7,11.6
E00039898,59.8,26.5,13.8
E00039906,71.9,16.7,11.3
E00039908,78.4,13.2,8.4
E00039943,77.4,10.5,12.1
E00039944,64.9,20.7,14.5
E00039945,73.7,14.7,11.7
E00039946,76.4,18.6,5
E00040031,71.7,15.7,12.5
E00040033,61.6,24.6,13.8
E00040044,72.6,16.7,10.7
E00040045,72,22.6,5.4
E00040046,71.1,19.5,9.4
E00040047,64.2,26.4,9.4
E00040048,81.3,10,8.7
E00040049,76.5,18.4,5.1
E00040050,72.4,16.4,11.2
E00040051,76.1,14.8,9.1
E00040052,65.7,19.7,14.6
E00040053,78.5,14.3,7.2
E00040054,73.8,18.3,7.9
E00040056,60.4,24.4,15.2
E00040057,57.8,31.9,10.3
E00040058,72.4,18.9,8.6
E00040059,73.2,17.4,9.3
E00040216,56.5,34.5,9
E00040217,90.2,6.1,3.7
E00040218,54.9,33.6,11.6
E00040219,91.1,7,2
E00040221,96.8,2.6,0.6
E00040222,93,5.3,1.8
E00040223,88.7,8.5,2.8
E00040224,94.8,5.2,0
E00040225,89.1,6.3,4.6
E00040226,88.9,4.7,6.4
E00040227,93.8,4.3,1.8
E00040228,94,6,0
E00040229,55.7,32.3,12
E00040230,89.3,7.4,3.3
E00040231,95.5,3.6,0.9
E00040232,68.2,21.9,10
E00040233,95.3,3.4,1.3
E00040234,87.2,9.2,3.7
E00040235,88.3,8.7,3
E00040236,69.4,22.2,8.3
E00040237,70.4,18.5,11.1
E00040238,52.5,35.4,12.1
E00040239,67.2,20.8,12
E00040240,67.4,26.7,5.9
E00040241,59.2,29.9,10.9
E00040242,53,30.6,16.4
E00040243,88.6,7.5,3.9
E00040244,87,10.7,2.4
E00040245,63.5,22.8,13.7
E00040246,90.8,7.8,1.4
E00040247,68.1,20.1,11.8
E00040248,71,18.7,10.3
E00040249,45.3,38.6,16.1
E00040250,44.1,39.7,16.2
E00040251,88.6,8.8,2.7
E00040252,52,33.8,14.2
E00040253,49.7,32,18.4
E00040254,92.4,6.8,0.8
E00040255,95.7,3.6,0.7
E00040256,96,3.6,0.3
E00040257,76.7,15.7,7.7
E00040258,75.3,13.9,10.8
E00040259,90.7,8.1,1.2
E00040260,89.6,6.1,4.3
E00040261,72.6,20.5,6.9
E00040262,95.4,3.1,1.5
E00040263,89.5,7.7,2.8
E00040264,94.5,4.8,0.7
E00040265,91.8,6.3,2
E00040266,72.1,21.3,6.7
E00040267,93.3,4.1,2.6
E00040268,94.3,4.8,0.9
E00040269,90,6.6,3.3
E00040270,77.8,15.3,6.9
E00040271,82.6,14.8,2.5
E00040589,78.5,15.6,5.9
E00040800,89.1,8.2,2.6
E00040801,81.8,13.6,4.6
E00040802,97.8,2.2,0
E00040803,84.4,10.9,4.7
E00040804,92.1,5.1,2.8
E00040805,98.4,1.6,0
E00040806,98.4,1.6,0
E00040807,97.5,1.8,0.7
E00040808,93.8,4.2,2
E00040809,92.8,5.2,2
E00040810,87.9,10.3,1.8
E00040811,75,19.7,5.3
E00040819,95.1,4.6,0.3
E00040821,93.9,4.5,1.6
E00040822,97.8,1.7,0.6
E00040823,98.7,0.9,0.4
E00040824,95.9,3.5,0.6
E00040825,92.5,6.6,0.9
E00040826,99.2,0.8,0
E00040827,97.6,2,0.4
E00040828,93.8,4.3,1.9
E00040829,91.4,7,1.7
E00040830,98.6,1.1,0.4
E00040831,98.1,1.6,0.3
E00040832,92.7,6.2,1.1
E00040833,99.4,0.6,0
E00040834,91.3,5.9,2.8
E00040835,91.9,6.5,1.6
E00040836,100,0,0
E00040837,98.3,1.7,0
E00040838,88.5,10.5,0.9
E00040839,95.5,4.2,0.3
E00040840,92.7,6.4,1
E00040841,94.3,4.5,1.2
E00040842,89.3,8.7,2
E00040843,97.3,2.7,0
E00040844,93.9,5.8,0.3
E00040845,91.9,7.5,0.6
E00040846,92.9,5.6,1.5
E00040847,91.2,7,1.8
E00040848,93.1,5.5,1.4
E00040849,94.2,3.4,2.4
E00040850,80.1,13.6,6.4
E00040851,92.1,7.2,0.7
E00040852,77,18.4,4.6
E00040853,95,4.2,0.8
E00040854,92.6,5.6,1.9
E00040855,95.5,4.2,0.3
E00040866,63.8,30.5,5.6
E00040875,75.1,21.4,3.6
E00040877,81.5,14.5,4
E00040878,76.2,18.1,5.7
E00040880,69.1,19.7,11.2
E00040882,79.9,10.5,9.6
E00040883,76.9,16.1,7
E00040886,67.3,24.3,8.5
E00040887,70.9,19.4,9.7
E00040888,70.5,19.8,9.7
E00040889,80.3,13.5,6.3
E00040891,68.9,20.3,10.8
E00040894,90.2,8.7,1.1
E00040897,66,25.3,8.7
E00040900,64.3,29,6.7
E00040904,73.1,20.1,6.8
E00040908,62.9,27.1,10
E00040967,90.1,7.5,2.4
E00040969,96.2,2.3,1.5
E00040970,98.3,0.8,0.8
E00040972,99.4,0.6,0
E00040976,94.6,4,1.3
E00040979,98.3,1,0.7
E00040994,96.2,2,1.7
E00040999,92.6,5.9,1.5
E00041000,88,7.1,4.9
E00041002,96.5,2.8,0.7
E00041003,95.6,3.7,0.7
E00041004,97.4,0.6,1.9
E00041006,97.7,1.9,0.4
E00041008,90.2,6.7,3.1
E00041011,91.5,6.5,2
E00041012,92.4,6.8,0.8
E00041013,95.1,3.6,1.2
E00041014,87.4,10.1,2.5
E00041015,91.5,6.1,2.4
E00041123,93,6.4,0.6
E00041124,94.6,5.4,0
E00041125,93.6,5.7,0.8
E00041126,93.2,5.9,0.9
E00041128,98.2,1.8,0
E00041129,97,2.6,0.4
E00041130,92.7,4.5,2.7
E00041131,93.4,3.2,3.5
E00041132,93.8,4.6,1.5
E00041133,89.6,8.5,1.9
E00041134,96,4,0
E00041135,94.4,5,0.7
E00041136,97.3,1.9,0.8
E00041138,98.2,1.8,0
E00041139,96.8,3.2,0
E00041140,99,1,0
E00041142,89.6,6.3,4.1
E00041143,97.9,1.3,0.9
E00041145,97.2,2.3,0.5
E00041146,94.6,2.9,2.4
E00041147,99.3,0.7,0
E00041148,96.4,3.3,0.3
E00041149,90.9,6.2,2.9
E00041150,93.4,4.7,1.9
E00041151,96.6,3.1,0.3
E00041152,88.6,8.9,2.4
E00041153,97.2,1.8,0.9
E00041154,87.5,9.9,2.6
E00041155,96,3.3,0.7
E00041157,88.5,9.1,2.4
E00041158,86.9,10,3.1
E00041159,93.4,4.5,2.1
E00041160,97,1.7,1.3
E00041161,93.6,5.3,1.1
E00041162,91.8,5.4,2.7
E00041163,93.2,6.8,0
E00041164,93.5,4.3,2.2
E00041165,97.5,2.5,0
E00041166,90.7,9.1,0.2
E00041167,96.9,2.7,0.4
E00041168,91.9,6.4,1.7
E00041169,94.1,4.8,1.1
E00041171,94.3,4.7,1
E00041331,93.1,5.2,1.7
E00041344,89.6,7.1,3.3
E00041350,83.3,11.9,4.8
E00041351,94.6,4.3,1.1
E00041353,87.2,11.2,1.7
E00041354,87.1,11,1.9
E00172405,80.7,17.1,2.1
E00172409,92.9,7.1,0
E00172413,54,41.4,4.6
E00172416,86.7,12.7,0.6
E00172417,82.7,16.9,0.4
E00172422,76,18.3,5.7
E00172424,72.6,17.9,9.4
E00172425,68.8,22.3,9
E00172426,47.9,34.6,17.5
E00172428,74.3,17.5,8.2
E00172429,77.7,17.4,4.9
E00172431,60.9,22.6,16.5
E00172433,90.4,8.6,1
E00172434,90.7,9.3,0
E00172453,77.5,15.7,6.7
E00172491,63.4,27.5,9.2
E00172495,76.4,22.7,0.9
E00172496,75.8,17.5,6.7
