areacd,sex-001,sex-002
E00048254,52.7,47.3
E00048255,48.5,51.5
E00048256,51,49
E00048257,48.7,51.3
E00048258,51.1,48.9
E00048259,54.9,45.1
E00048260,49.1,50.9
E00048261,51.8,48.2
E00048262,53.7,46.3
E00048263,51.9,48.1
E00048264,48.9,51.1
E00048265,57.3,42.7
E00048266,51.5,48.5
E00048267,49.5,50.5
E00048268,48.2,51.8
E00048269,47.3,52.7
E00048270,48.9,51.1
E00048271,52.4,47.6
E00048272,48.5,51.5
E00048273,51.2,48.8
E00048274,51.9,48.1
E00048275,49.4,50.6
E00048276,47.4,52.6
E00048277,48.4,51.6
E00048278,49.8,50.2
E00048279,51.2,48.8
E00048280,49.3,50.7
E00048281,50.7,49.3
E00048283,48.7,51.3
E00048284,52.5,47.5
E00048285,50.9,49.1
E00048286,56,44
E00048287,46.4,53.6
E00048288,54.7,45.3
E00048289,55.3,44.7
E00048290,55.9,44.1
E00048291,51.2,48.8
E00048292,46.4,53.6
E00048293,52.5,47.5
E00048294,52.9,47.1
E00048296,48.6,51.4
E00048297,54.5,45.5
E00048298,50.8,49.2
E00048299,52.3,47.7
E00048300,55.3,44.7
E00048301,54.4,45.6
E00048302,49.4,50.6
E00048303,51.1,48.9
E00048304,50.8,49.2
E00048306,52.9,47.1
E00048307,53.1,46.9
E00048308,50.2,49.8
E00048309,51.3,48.7
E00048311,50.8,49.2
E00048313,49.1,50.9
E00048314,51.4,48.6
E00048315,49.3,50.7
E00048316,49.5,50.5
E00048320,48.7,51.3
E00048323,47.6,52.4
E00048325,52.8,47.2
E00048328,51.8,48.2
E00048336,55.1,44.9
E00048342,51.3,48.7
E00048355,50.3,49.7
E00048357,51.2,48.8
E00048358,52.9,47.1
E00048362,49.8,50.2
E00048363,45.1,54.9
E00048364,51.9,48.1
E00048365,52.5,47.5
E00048427,53.3,46.7
E00048443,52,48
E00048450,49.1,50.9
E00048451,50.4,49.6
E00048455,48.4,51.6
E00048456,50.3,49.7
E00048457,52,48
E00048458,50.4,49.6
E00048463,46.4,53.6
E00048465,49.5,50.5
E00048475,51.3,48.7
E00048476,55,45
E00048477,51,49
E00048516,56.5,43.5
E00048518,49.1,50.9
E00048520,50.1,49.9
E00048521,53.2,46.8
E00048522,49.8,50.2
E00048523,49.8,50.2
E00048524,51.2,48.8
E00048525,53.3,46.7
E00048605,51.5,48.5
E00048643,50.7,49.3
E00048644,49.5,50.5
E00048645,50.3,49.7
E00048646,46.6,53.4
E00048647,49,51
E00048648,52.2,47.8
E00048649,56.4,43.6
E00048650,55,45
E00048651,49.4,50.6
E00048652,54.2,45.8
E00048653,49.7,50.3
E00048654,53.9,46.1
E00048656,55.8,44.2
E00048657,54,46
E00048658,49.6,50.4
E00048659,51.5,48.5
E00048660,50.7,49.3
E00048661,50.8,49.2
E00048662,53.2,46.8
E00048663,48.4,51.6
E00048664,48,52
E00048665,50.9,49.1
E00048666,53,47
E00048667,42.4,57.6
E00048668,54.6,45.4
E00048669,51.7,48.3
E00048670,50.2,49.8
E00048671,51.6,48.4
E00048672,47.1,52.9
E00048673,52.4,47.6
E00048674,49.5,50.5
E00048675,50.2,49.8
E00048677,47.8,52.2
E00048678,50,50
E00048679,53.6,46.4
E00048680,50.7,49.3
E00048681,54.1,45.9
E00048682,50,50
E00048683,51.8,48.2
E00048684,49.5,50.5
E00048685,56.3,43.7
E00048686,50.1,49.9
E00048687,57.1,42.9
E00048688,51.5,48.5
E00048689,55.3,44.7
E00048690,51.8,48.2
E00048691,68.4,31.6
E00048693,48.4,51.6
E00048752,40.1,59.9
E00048753,43.4,56.6
E00048756,48.1,51.9
E00048757,49.2,50.8
E00048759,42.9,57.1
E00048761,52,48
E00048764,48.3,51.7
E00048767,53,47
E00048768,56.6,43.4
E00048773,48,52
E00048774,49.5,50.5
E00048775,49.3,50.7
E00048778,47.1,52.9
E00048781,51.8,48.2
E00048790,44.8,55.2
E00048791,44.2,55.8
E00048793,43.1,56.9
E00048797,40.2,59.8
E00048798,34.8,65.2
E00048799,41.6,58.4
E00048857,39.8,60.2
E00048858,46,54
E00048859,51.6,48.4
E00048860,49.7,50.3
E00048861,47.4,52.6
E00048862,48.9,51.1
E00048863,51.6,48.4
E00048864,50.7,49.3
E00048865,45,55
E00048866,49.8,50.2
E00048867,50,50
E00048868,47.6,52.4
E00048869,47.9,52.1
E00048870,47.8,52.2
E00048871,49,51
E00048872,50.2,49.8
E00048873,51.7,48.3
E00048874,49.5,50.5
E00048875,52.6,47.4
E00048876,41.2,58.8
E00048877,49.6,50.4
E00048878,47.9,52.1
E00048879,48,52
E00048880,47.7,52.3
E00048881,45.2,54.8
E00048882,30.5,69.5
E00048883,47.4,52.6
E00048884,51.1,48.9
E00048885,44.1,55.9
E00048886,52.8,47.2
E00048887,49.7,50.3
E00048888,54.9,45.1
E00048889,54.4,45.6
E00048890,49.9,50.1
E00048891,48.8,51.2
E00048892,54.9,45.1
E00048893,50.6,49.4
E00048894,50.7,49.3
E00048895,44.1,55.9
E00048896,41.3,58.7
E00048899,53,47
E00048900,49.8,50.2
E00048901,52.2,47.8
E00048902,53,47
E00048903,52.9,47.1
E00048904,47.2,52.8
E00048905,51.6,48.4
E00048906,47.9,52.1
E00048907,50.2,49.8
E00048908,49.4,50.6
E00048909,50.7,49.3
E00048910,54.7,45.3
E00048911,50.8,49.2
E00048912,46.6,53.4
E00048913,53.8,46.2
E00049124,48.7,51.3
E00049125,49.8,50.2
E00049126,54.9,45.1
E00049127,51.4,48.6
E00049128,52.7,47.3
E00049129,50.7,49.3
E00049130,52.2,47.8
E00049131,52.4,47.6
E00049132,49,51
E00049133,53.4,46.6
E00049134,51.4,48.6
E00049135,48.8,51.2
E00049136,49.3,50.7
E00049137,53.1,46.9
E00049138,56.4,43.6
E00049139,54.2,45.8
E00049140,49.2,50.8
E00049141,53.6,46.4
E00049142,47.4,52.6
E00049143,44.2,55.8
E00049144,55.2,44.8
E00049145,47.5,52.5
E00049146,50.9,49.1
E00049147,38,62
E00049148,48.5,51.5
E00049149,50,50
E00049150,51.7,48.3
E00049151,55.7,44.3
E00049152,51.1,48.9
E00049153,54,46
E00049154,49.1,50.9
E00049157,51.5,48.5
E00049158,54.9,45.1
E00049159,53.2,46.8
E00049161,47.6,52.4
E00049162,50.4,49.6
E00049163,53.5,46.5
E00049164,51.6,48.4
E00049165,53.3,46.7
E00049166,46.5,53.5
E00049167,48.3,51.7
E00049168,51.9,48.1
E00049169,50.5,49.5
E00049170,51.8,48.2
E00049171,48.3,51.7
E00049172,50.2,49.8
E00049173,55.6,44.4
E00049174,54.7,45.3
E00049175,53.9,46.1
E00049176,52.4,47.6
E00049177,52.5,47.5
E00049178,56.5,43.5
E00049179,52.4,47.6
E00049180,49.7,50.3
E00049181,46.3,53.7
E00049182,51.4,48.6
E00158780,53.4,46.6
E00158781,51.5,48.5
E00158782,49.1,50.9
E00158783,48.9,51.1
E00158784,51.3,48.7
E00158785,49.8,50.2
E00158786,52.7,47.3
E00158787,49.1,50.9
E00158788,52.8,47.2
E00165739,50.8,49.2
E00165740,51.1,48.9
E00172180,50,50
E00172181,42.9,57.1
E00172186,47,53
E00172187,52.5,47.5
E00172189,50.2,49.8
E00172197,48.3,51.7
E00172206,49.9,50.1
E00172212,54.5,45.5
E00185034,50.3,49.7
E00185043,48.4,51.6
E00185049,50.1,49.9
E00185052,49.4,50.6
E00185053,54.9,45.1
E00185065,51,49
E00185066,49.8,50.2
E00185067,39.5,60.5
E00185068,57.1,42.9
E00185071,50.3,49.7
E00185074,51,49
E00185084,50.5,49.5
E00185092,56.7,43.3
E00185094,56.7,43.3
E00185099,49,51
E00185101,50.9,49.1
E00185107,51.7,48.3
E00185108,54.4,45.6
E00185109,47.5,52.5
E00185135,47.2,52.8
