areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00012174,9.8,26.8,63.4
E00012175,18.9,28.3,52.8
E00012177,20.1,26.1,53.8
E00012179,7.1,51.5,41.4
E00012181,18.1,18.7,63.2
E00012183,30.8,20.3,48.9
E00012184,20.2,23.3,56.6
E00012185,13.5,28.6,57.9
E00012188,26.5,18.7,54.8
E00012190,14.2,27,58.9
E00012191,32,9,59
E00012192,28.9,11.7,59.4
E00012194,14,27.4,58.6
E00012198,19.3,20.2,60.5
E00012202,17.8,36.2,46.1
E00012203,14.9,25.3,59.7
E00012204,8,34.8,57.1
E00012205,20,23.6,56.4
E00012206,19.3,16.8,63.9
E00012207,15.9,18.2,65.9
E00012208,5.9,20.8,73.3
E00012388,14.2,25.9,59.9
E00012389,19.2,20,60.8
E00012395,17.9,9.8,72.3
E00012566,9.3,25.6,65.1
E00012567,16.2,13.1,70.8
E00012568,7.3,37.4,55.3
E00012569,6.3,23.6,70.1
E00012570,11,22.8,66.2
E00012571,9.5,18.2,72.3
E00012572,15.3,21.4,63.4
E00012573,17.6,15.7,66.7
E00012574,12.8,18.9,68.3
E00012575,22.6,11.7,65.7
E00012576,10.3,23.8,65.9
E00012577,10.4,26.1,63.4
E00012578,12.4,22.5,65.1
E00012579,9.9,36.4,53.7
E00012580,17.4,16.5,66.1
E00012581,3.5,62.8,33.7
E00012584,19.2,20,60.8
E00012585,5.7,29.5,64.8
E00012587,12.4,23.9,63.7
E00012590,17,17.6,65.5
E00012591,6.9,23.7,69.5
E00012592,7.2,26.8,65.9
E00012593,11.2,19.8,69
E00012594,11.2,25.2,63.6
E00012595,14.8,23.9,61.3
E00012596,9.4,35.5,55.1
E00012597,6,33.6,60.4
E00012599,17.8,24.4,57.8
E00012600,8.6,35.3,56.1
E00012601,13.2,15.5,71.3
E00012602,13.9,18.2,67.9
E00012603,12.3,15.5,72.3
E00012736,16.3,15,68.6
E00083215,5,36.7,58.3
E00083216,5,31.9,63.1
E00083221,6,42.9,51.1
E00083224,8.1,45.2,46.8
E00083225,14.3,21.1,64.7
E00083226,13.7,28.8,57.5
E00083227,20.8,16.9,62.3
E00083228,8.7,36.5,54.8
E00083229,10.8,36.2,53.1
E00083230,6.9,30.2,62.9
E00089956,20.9,13.1,66
E00089958,11.1,19,69.9
E00089959,17.8,9.6,72.6
E00089960,18.9,10.5,70.6
E00089961,31.9,11.2,56.9
E00156776,9.5,42.9,47.6
E00156781,9.2,37.6,53.2
E00156782,17.5,19,63.5
E00156783,2.8,50.9,46.3
E00156784,0,84.8,15.2
E00156785,9.9,23.8,66.2
E00156786,0,75.8,24.2
E00156787,18.2,22.7,59.1
E00156788,9.7,28,62.4
E00156789,10,20,70
E00156793,8.9,16.3,74.8
E00156795,6.8,36.1,57.1
E00156796,13.9,29.8,56.3
E00156797,10.6,21.8,67.6
E00156798,12.6,30.5,57
E00156799,5.7,37.9,56.4
E00156800,12.1,26.7,61.2
E00156801,9.7,21.8,68.5
E00176471,15.6,9.2,75.2
E00176472,19.6,15.2,65.2
E00176473,8.8,12.7,78.4
E00184388,13.8,9.2,77.1
E00184396,5.3,21.2,73.5
E00184405,10.3,21.3,68.4
E00184412,2.6,23.7,73.7
E00184419,3.1,29.7,67.2
E00184423,9.7,27.4,62.9
E00184425,6.9,20.8,72.2
E00184444,13.6,21.5,64.9
E00184458,15.2,12.9,71.9
E00184463,10.4,17.9,71.6
E00184465,9.5,18.1,72.4
E00184507,16.1,12.6,71.3
E00184524,5.5,14.1,80.5
