areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00094642,95.6,0,4.4
E00094643,91.9,0.8,7.3
E00094644,97.5,1.3,1.3
E00094645,98.9,0,1.1
E00094646,92.3,0.6,7.1
E00094647,89,2.8,8.2
E00094648,100,0,0
E00094650,91.3,1.3,7.3
E00094651,97.4,0.6,2
E00094652,97.2,0,2.8
E00094653,97.4,0.7,2
E00094655,97.6,0.4,2
E00094656,97.1,0.2,2.6
E00094657,84.9,1.6,13.4
E00094658,96.6,0.7,2.7
E00094660,95,0.3,4.7
E00094661,97.5,1.1,1.4
E00094663,97,0.6,2.4
E00094665,95.6,1.3,3.2
E00094666,96.3,0.9,2.8
E00094667,95,1.5,3.6
E00094670,95.1,1.6,3.3
E00094674,97.8,1.5,0.7
E00094676,97.1,1.2,1.7
E00094677,96.9,0.5,2.6
E00094679,95.1,3.4,1.5
E00094680,96,0.9,3.1
E00094681,95.1,2.8,2.2
E00094682,93.5,2.6,3.9
E00094683,94.2,1.1,4.7
E00094684,93.2,0.8,6
E00094685,95.4,0,4.6
E00094686,99.7,0,0.3
E00094687,98.7,0.6,0.8
E00094688,98.7,0,1.3
E00094689,98.9,0.3,0.8
E00094690,95.8,1,3.2
E00094691,98.7,0,1.3
E00094692,97.7,0.7,1.7
E00094693,97.1,0.4,2.5
E00094694,96.5,0.9,2.6
E00094695,97.9,0.4,1.7
E00094696,97.1,1.7,1.2
E00094697,99.1,0.3,0.6
E00094698,97.3,0.3,2.4
E00094699,96.6,0.3,3.1
E00094700,97.3,1.5,1.2
E00094701,98.6,0,1.4
E00094702,97.7,0.6,1.7
E00094703,98.7,0.8,0.4
E00094704,95.3,1.8,2.9
E00094705,95.4,1.7,2.9
E00094706,97.1,0,2.9
E00094707,98.2,0,1.8
E00094708,94.5,3,2.4
E00094709,97.1,0.5,2.3
E00094711,99.3,0.3,0.3
E00094712,98.2,0.4,1.3
E00094713,98,0.4,1.6
E00094714,97.1,0.4,2.5
E00094715,99,0.8,0.3
E00094716,98.9,0.8,0.3
E00094717,94.8,0.6,4.6
E00094719,98,0.3,1.6
E00094720,93.9,0.5,5.7
E00094721,94.3,1.7,4
E00094722,96.5,1.7,1.7
E00094723,97.5,0,2.5
E00094724,99.2,0,0.8
E00094725,94,1.6,4.4
E00094726,97.2,1,1.8
E00094727,95.2,1,3.8
E00094728,96.3,0.7,3
E00094729,96.8,0,3.2
