areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00103760,53.8,46.2
E00103762,51.5,48.5
E00103813,51.1,48.9
E00103854,44.2,55.8
E00103856,33.2,66.8
E00103857,54.4,45.6
E00103858,52.1,47.9
E00103859,59.1,40.9
E00103860,48.9,51.1
E00103861,33.8,66.2
E00103862,43.2,56.8
E00103865,51.5,48.5
E00103866,35.7,64.3
E00103867,30.8,69.2
E00103870,51.5,48.5
E00103871,56.7,43.3
E00103872,59.6,40.4
E00103873,56.3,43.7
E00103874,52.8,47.2
E00103875,58.6,41.4
E00103876,49.8,50.2
E00103879,57.7,42.3
E00103880,55.7,44.3
E00103881,49.5,50.5
E00103882,64.8,35.2
E00103883,48.5,51.5
E00103884,45,55
E00103885,62.6,37.4
E00103886,52.7,47.3
E00103887,60.7,39.3
E00103888,53.6,46.4
E00103889,55.2,44.8
E00103890,41.4,58.6
E00103891,58.8,41.2
E00103894,53.4,46.6
E00103895,40.4,59.6
E00103918,63.2,36.8
E00103926,37.4,62.6
E00103935,45.8,54.2
E00103937,44.1,55.9
E00103938,36.5,63.5
E00103939,23,77
E00103940,56.3,43.7
E00103941,69,31
E00103942,62.1,37.9
E00103943,64.9,35.1
E00103944,58.6,41.4
E00103945,66.7,33.3
E00103946,47.6,52.4
E00103947,33.6,66.4
E00103948,39.7,60.3
E00103949,36.8,63.2
E00103950,28,72
E00103951,44.8,55.2
E00103952,42.3,57.7
E00103953,29.4,70.6
E00103954,43.1,56.9
E00103955,33.2,66.8
E00103956,63.3,36.7
E00103957,59.9,40.1
E00103958,42.9,57.1
E00103959,28.3,71.7
E00103960,55.9,44.1
E00103961,54.4,45.6
E00103962,69.8,30.2
E00103963,65.9,34.1
E00103964,61,39
E00103965,65.6,34.4
E00103972,69.4,30.6
E00103973,58.9,41.1
E00103974,51.9,48.1
E00103975,59,41
E00103976,50,50
E00103977,60.9,39.1
E00103978,59.6,40.4
E00103979,58.7,41.3
E00103987,60.9,39.1
E00103992,60.2,39.8
E00103994,46.1,53.9
E00103995,36.9,63.1
E00103996,37.7,62.3
E00104000,57,43
E00104007,42.6,57.4
E00104008,62.3,37.7
E00104009,54.9,45.1
E00104010,54.8,45.2
E00104011,62,38
E00104012,52.8,47.2
E00104013,61.3,38.7
E00104014,63.2,36.8
E00104015,57.6,42.4
E00104016,42.2,57.8
E00104017,43.3,56.7
E00104018,58.4,41.6
E00104019,56.1,43.9
E00104020,49.8,50.2
E00104021,41.2,58.8
E00104022,55,45
E00104023,54.3,45.7
E00104024,58.6,41.4
E00104025,40.1,59.9
E00104026,46,54
E00104027,40.8,59.2
E00104028,49.2,50.8
E00104029,37,63
E00104030,45,55
E00104031,54.9,45.1
E00104032,62.4,37.6
E00104037,58.3,41.7
E00104038,61.6,38.4
E00104040,51.4,48.6
E00104041,43.7,56.3
E00104042,45.1,54.9
E00104043,46.8,53.2
E00104044,47.4,52.6
E00104045,40.1,59.9
E00104046,66.2,33.8
E00104047,34.9,65.1
E00104048,33.2,66.8
E00104049,44.4,55.6
E00104050,33.2,66.8
E00104051,37.2,62.8
E00104052,38.9,61.1
E00104053,43.5,56.5
E00104054,60.4,39.6
E00104055,44.7,55.3
E00104056,51.5,48.5
E00104057,33.2,66.8
E00104058,57.6,42.4
E00104059,28.1,71.9
E00104060,30.6,69.4
E00104062,37.6,62.4
E00104063,23.3,76.7
E00104064,53.5,46.5
