areacd,in_full_time_education-001,in_full_time_education-002
E00000668,27.4,72.6
E00000669,21.8,78.2
E00000670,21.2,78.8
E00000671,18,82
E00000672,20.1,79.9
E00000674,23.6,76.4
E00000675,13.7,86.3
E00000676,20.5,79.5
E00000677,17.7,82.3
E00000678,25.2,74.8
E00000679,18.6,81.4
E00000681,24.3,75.7
E00000682,28.8,71.2
E00000683,22.9,77.1
E00000684,19.9,80.1
E00000685,14.4,85.6
E00000686,14.7,85.3
E00000715,25.5,74.5
E00000718,25.9,74.1
E00000719,17.8,82.2
E00000721,18.5,81.5
E00000722,26.6,73.4
E00002383,18.1,81.9
E00002385,24.4,75.6
E00002386,10.4,89.6
E00002388,24.7,75.3
E00002390,13,87
E00002392,17.8,82.2
E00002393,13.2,86.8
E00002398,26.3,73.7
E00002406,25.3,74.7
E00002407,15.6,84.4
E00002408,17.8,82.2
E00002409,24.7,75.3
E00002410,25,75
E00002411,19.5,80.5
E00002412,20.9,79.1
E00002414,17.6,82.4
E00002415,15,85
E00002416,10.1,89.9
E00002420,17.2,82.8
E00002421,26.1,73.9
E00002639,16.2,83.8
E00002640,16.3,83.7
E00002641,10.9,89.1
E00002642,17.3,82.7
E00002643,19.3,80.7
E00002644,20.7,79.3
E00002645,23.5,76.5
E00002646,14.5,85.5
E00002647,20.3,79.7
E00002648,21.9,78.1
E00002649,12.5,87.5
E00002650,23.7,76.3
E00002651,27.1,72.9
E00002652,20.9,79.1
E00002653,28,72
E00002654,12.4,87.6
E00002655,12.7,87.3
E00002657,19,81
E00002658,12.6,87.4
E00002659,12.6,87.4
E00002683,20.9,79.1
E00002684,17.7,82.3
E00002685,22.8,77.2
E00002686,13.7,86.3
E00002687,17.4,82.6
E00002688,19.5,80.5
E00002689,16.8,83.2
E00002690,8.8,91.2
E00002691,16.2,83.8
E00002693,20.7,79.3
E00002694,16.4,83.6
E00002696,17.9,82.1
E00002698,24.5,75.5
E00002700,19.2,80.8
E00002701,10.2,89.8
E00002703,14.6,85.4
E00002704,17.8,82.2
E00002705,33.6,66.4
E00002708,13.7,86.3
E00002710,17.1,82.9
E00002711,17.4,82.6
E00002713,23.3,76.7
E00002714,17.2,82.8
E00002716,18.6,81.4
E00002718,14,86
E00002719,32.7,67.3
E00002720,12.9,87.1
E00002721,24.7,75.3
E00002722,13.4,86.6
E00002723,18.8,81.2
E00002724,16.6,83.4
E00002725,13.5,86.5
E00002726,24.6,75.4
E00002727,22.2,77.8
E00002731,23.2,76.8
E00002734,16.3,83.7
E00002736,27.2,72.8
E00002824,32.6,67.4
E00002825,12.3,87.7
E00002826,20.6,79.4
E00002828,27.7,72.3
E00002830,26.4,73.6
E00002831,23.6,76.4
E00002833,16.2,83.8
E00002838,20.3,79.7
E00004282,14,86
E00004283,17.5,82.5
E00004284,13.9,86.1
E00004285,17.8,82.2
E00004286,17.1,82.9
E00004287,17.2,82.8
E00004288,15.3,84.7
E00004289,12.8,87.2
E00004290,17.2,82.8
E00004291,25,75
E00004292,35.6,64.4
E00004293,19.6,80.4
E00004294,10.6,89.4
E00004295,18.9,81.1
E00004296,27.4,72.6
E00004297,16.7,83.3
E00004298,23.6,76.4
E00004299,18.1,81.9
E00004300,20.1,79.9
E00004301,19.7,80.3
E00004302,12.6,87.4
E00004303,14.7,85.3
E00004304,20.8,79.2
E00004305,24.5,75.5
E00004306,15.4,84.6
E00004307,21.3,78.7
