areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E00009228,65.6,11.9,2.6,19.9
E00009229,72,8.4,1.4,18.2
E00009231,81.7,3.8,1.9,12.5
E00009232,80,10,3.3,6.7
E00009234,80.6,5.8,0.7,12.9
E00009237,71.6,10.1,1.8,16.5
E00009239,70.3,7.2,2.9,19.6
E00009241,73.2,9.8,5.4,11.6
E00009243,72,8,1.3,18.7
E00009244,72.3,7.6,3.1,17
E00009245,75.9,9.2,0,14.9
E00009246,77,11,0,12
E00009249,77.7,6.8,1.9,13.6
E00009250,64.1,10.7,1.9,23.3
E00009251,58.9,11.9,1.2,28
E00009252,70.6,7.9,2.3,19.2
E00009256,72.7,9.1,4.5,13.6
E00009258,74.6,6.9,0,18.5
E00009259,54.7,17.9,4.2,23.2
E00009260,63.3,13.3,6.1,17.3
E00009261,56.6,12.3,1.9,29.2
E00009263,72.7,7,1.4,18.9
E00009268,68.2,10.6,3.5,17.6
E00009270,67.8,10.7,0.8,20.7
E00009315,64.3,9.1,1.7,24.9
E00009316,53.6,10.1,4.2,32.1
E00009317,70.6,7.2,0.7,21.6
E00009318,71.5,8.1,4.9,15.4
E00009319,68.7,9.6,1.2,20.5
E00009320,73,9.2,2.1,15.6
E00009321,68.7,9.2,1.2,20.9
E00009322,75.7,3.6,0.9,19.8
E00009324,65.4,14.4,0.7,19.6
E00009325,70.1,13.1,2.8,14
E00009326,74.8,7.1,3.9,14.2
E00009327,73.2,7.2,0,19.6
E00009328,49.2,21.5,0,29.2
E00009329,65.4,14.4,1.9,18.3
E00009330,71.4,7.9,1.6,19
E00009331,68,5.2,2,24.8
E00009332,70.7,11.2,0,18.1
E00009333,72,5.3,1.3,21.3
E00009335,77.7,8.3,3.3,10.7
E00009336,68.5,17.7,3.8,10
E00009337,81.8,9.1,2,7.1
E00009338,81.5,9.9,1.2,7.4
E00009339,82.4,7.4,1.9,8.3
E00009340,63,14.3,1.3,21.4
E00009342,60.2,12.7,1.7,25.4
E00009343,79.4,4.9,2,13.7
E00009344,66.7,15.2,1,17.2
E00009345,66.7,11.9,1.2,20.2
E00009346,74.5,8.5,2.1,14.9
E00009348,65.7,20.6,4.9,8.8
E00009349,74.1,15.7,3.7,6.5
E00009350,63.4,6.8,1.2,28.6
E00009351,70.1,16.5,0,13.4
E00009352,69,11.5,2.3,17.2
E00009353,60.4,25,0,14.6
E00009354,63.7,12,2.3,22
E00009355,73.9,15.2,2.2,8.7
E00009356,72.2,10,1.1,16.7
E00009357,68,16.5,4.1,11.3
E00009358,64,11,2.2,22.8
E00009385,72,13.6,3,11.4
E00009386,68,16,2.7,13.3
E00009387,71.1,10.3,1.7,16.8
E00009388,65.6,11.5,0,23
E00009390,69.9,11.4,1.2,17.5
E00009392,70.1,8.7,3.8,17.4
E00009394,68.6,7.4,0,24
E00009398,77.9,3.9,2.5,15.7
E00009399,75.7,14.8,0.9,8.7
E00009400,67.4,18.2,1.5,12.9
E00009402,75.4,11.1,1.6,11.9
E00009403,77.1,3.6,2.1,17.1
E00009404,72.1,14.8,5.7,7.4
E00009405,62.6,21.1,3.4,12.9
E00009406,74.3,10.5,2.6,12.5
E00009407,73.2,15.7,3.1,7.9
E00009408,72.5,8.4,0.8,18.3
E00009409,73.8,2.3,0,23.8
E00009410,69.4,14.1,1.2,15.3
E00009411,65.8,18.9,7.2,8.1
E00009412,68.5,7.1,1.6,22.8
E00009413,69.8,9.5,1.6,19
E00009414,69.7,15.2,3,12.1
E00009415,79.9,12.7,2.2,5.2
E00009416,78,10.2,2.5,9.3
E00009417,85.8,6.7,1.5,6
E00009418,63.3,16.5,4.6,15.6
E00009419,68.1,12.8,3.7,15.4
E00009420,75.7,4.3,0.7,19.3
E00009421,79.8,11.3,1.6,7.3
E00009423,64.4,16.7,5.3,13.6
E00009425,79,8,1.4,11.6
E00009426,70,10.8,5,14.2
E00009427,67.1,16.1,3.5,13.3
E00009428,65.2,16.9,3.4,14.6
E00009431,80.2,9.5,0,10.3
E00009433,74.8,16.6,1.3,7.3
E00009434,70.8,10.8,5,13.3
E00009435,79.6,8.7,1.9,9.7
E00009436,68.5,18,1.1,12.4
E00009437,80.9,15.5,0,3.6
E00009440,57.1,12.1,2,28.7
E00009441,87.5,5.7,0,6.8
E00009442,89.5,5.3,0,5.3
E00009443,66.1,16.9,1.6,15.3
E00009444,71.6,20.3,6.8,1.4
E00009446,75.2,8.8,4.4,11.5
E00009447,68.6,12.4,2.9,16.2
E00009448,76.4,10.6,0,13
E00009450,76.8,13.8,2.2,7.2
E00009451,65.3,14.6,0.7,19.4
E00009453,61.6,16.9,1.7,19.8
E00009454,67.9,11.9,0.6,19.6
E00009456,76.7,12.4,1.6,9.3
E00009458,78.4,7.8,2.6,11.2
E00009518,77,11.2,2.2,9.6
E00009538,75.6,8.1,0.8,15.4
E00009539,52.3,20.2,7.3,20.2
E00009540,74.3,7.1,0.9,17.7
E00009541,84.6,8.5,0.9,6
E00009542,58.8,10.5,2.6,28.1
E00009543,77,13.5,0,9.5
E00009544,68.4,8.2,0,23.5
E00009545,81.1,9.8,1.6,7.4
E00009546,86.7,6.7,0.8,5.8
E00009547,61.3,14.6,0.7,23.4
E00009548,65.2,7.8,2.6,24.3
E00009549,58.2,6.6,1.6,33.6
E00009550,59.8,12,0,28.3
E00009551,72.4,13.8,0,13.8
E00009552,67.5,16.7,1.6,14.3
E00009553,73.2,6.5,0,20.3
E00009554,80.4,7.8,0,11.8
E00009555,72,4,0.7,23.3
E00009556,68.6,20.3,4.2,6.8
E00009557,73.2,9.3,1,16.5
E00009558,62.1,21.8,5.6,10.5
E00009559,67.6,4.6,0,27.8
E00009560,61,19.5,5.1,14.4
E00009561,62.1,15.2,1.5,21.2
E00009562,66.9,12.7,1.3,19.1
E00009563,73.9,6.5,2.2,17.4
E00009564,61.6,12.5,5.4,20.5
E00009565,74.5,12.8,2.1,10.6
E00009566,76.9,9.9,3.3,9.9
E00009567,74.6,10.3,0.8,14.3
E00009568,77.1,5.9,1.7,15.3
E00009569,75,7.5,0.8,16.7
E00009570,67.9,13.7,1.5,16.8
E00009571,83.4,6.9,1.4,8.3
E00009572,69.2,5.8,1.9,23.1
E00009573,71.4,13.5,3.2,11.9
E00009574,61.8,13.8,4.9,19.5
E00009575,77.6,6.3,1.4,14.7
E00009576,70.5,14.3,5.7,9.5
E00009577,82.7,10,0.9,6.4
E00009578,85.6,6.8,2.5,5.1
E00009579,80.5,12.7,0.8,5.9
E00009580,72.3,9.2,0,18.5
E00009738,74.1,6.8,3.1,16
E00009739,69,12.7,4.2,14.1
E00009740,65.9,9.1,4.3,20.7
E00009746,68.4,6.4,4.8,20.3
E00014043,68.6,7.4,1.7,22.3
E00014044,76.7,5.8,3.9,13.6
E00014045,81.1,4.7,0.9,13.2
E00014047,78.9,9.2,0.9,11
E00014048,60.4,12.5,2.1,25
E00014049,68.3,6.9,0.7,24.1
E00014050,59.1,4.5,1.1,35.2
E00014051,57.1,20.2,3.6,19
E00014052,61.1,7.6,1.5,29.8
E00014053,70.8,6.9,1.4,20.8
E00014054,65.6,10,0,24.4
E00014055,59.3,20.4,1.9,18.5
E00014056,60.8,13.4,1,24.7
E00014057,56.5,16.3,2.2,25
E00014058,59.8,10.9,3.3,26.1
E00014061,64.5,12.1,0.9,22.4
E00014062,73.5,9.2,3.1,14.3
E00014063,68.5,4,0,27.4
E00014064,76.6,8.4,0,15
E00014065,66.9,10.7,0.8,21.5
E00014066,70.2,15.5,1.2,13.1
E00014067,70.3,13.6,3.4,12.7
E00014068,70.7,9.8,3.3,16.3
E00014069,53.7,13,0.8,32.5
E00014070,79.4,11.3,0,9.3
E00014071,51.5,13.6,2.9,32
E00014072,80.5,10.6,2.7,6.2
E00014073,71.3,12.9,0,15.8
E00014074,63.1,9.7,0,27.2
E00014075,63.6,13.6,0.8,22
E00014076,85.4,7.9,0,6.7
E00014077,57.7,13.1,0.7,28.5
E00014080,71.4,7.1,3.6,17.9
E00014081,63.3,17.7,2.5,16.5
E00014101,69.2,9.9,1.1,19.8
E00014103,69.6,3.8,1.3,25.3
E00014104,53,15,3,29
E00014105,60,15,1.7,23.3
E00014116,70.8,11.5,2.1,15.6
E00014117,76.3,11.3,4.1,8.2
E00014118,75.3,8.2,2.4,14.1
E00014119,78.2,8.4,0.8,12.6
E00014120,74.2,12.9,2.2,10.8
E00014121,74.2,12.9,4.8,8.1
E00014122,67.6,7,5.6,19.7
E00014123,74.8,12.6,1.5,11.1
E00014124,64,14.8,4.9,16.3
E00014125,71.8,12.6,1.9,13.6
E00014126,72.2,13.9,4.6,9.3
E00014127,74,7,2,17
E00014128,67.6,8.6,1.9,21.9
E00014129,80,8,0,12
E00014130,70.1,9.3,5.6,15
E00014131,76.9,1.1,2.2,19.8
E00014132,68.1,5.5,2.2,24.2
E00014133,76.9,7.7,0,15.4
E00014134,75.6,7.8,0,16.7
E00014135,67.3,16.4,5,11.3
E00014136,71.8,2.6,3.8,21.8
E00014137,73.9,7.6,3.3,15.2
E00014138,71.5,8.1,0.8,19.5
E00014140,69.5,5.9,6.8,17.8
E00014141,83.2,10.5,1.1,5.3
E00014142,69.1,13.8,0.8,16.3
E00014143,73.3,3.8,5.7,17.1
E00014144,80.4,7.2,3.1,9.3
E00014145,74,9.1,0,16.9
E00014146,80,8.9,2.2,8.9
E00014147,70.2,15.5,2.4,11.9
E00014148,72.1,17.4,4.7,5.8
E00014149,75.2,5,1,18.8
E00014183,62.6,12.1,1.1,24.2
E00014184,70,3.8,0,26.2
E00014185,67.2,7.8,0,25
E00014186,63.1,8.7,1,27.2
E00014187,67.2,6.6,2.5,23.8
E00014188,58.9,8.9,1.8,30.4
E00014189,61.8,9.2,6.6,22.4
E00014190,63.5,13.5,2.1,20.8
E00014191,68.4,11.1,4.3,16.2
E00014192,66.4,10.3,3.7,19.6
E00014193,53.6,23.2,3.6,19.6
E00014194,70,8.6,1.4,20
E00014195,67.7,7.7,3.1,21.5
E00014196,53.9,19.7,0,26.3
E00014197,70,9.1,0,20.9
E00014198,75,8,1,16
E00014199,60.9,6.9,5.7,26.4
E00014200,65.8,6.3,3.8,24.1
E00014201,65.5,8.6,0.9,25
E00014202,58.3,14.6,1,26.2
E00014203,63,11,3,23
E00014204,58,16,7,19
E00014205,77.4,6.5,0,16.1
E00014206,75,7.9,0,17.1
E00014207,64.2,15.1,2.8,17.9
E00014208,72.6,6.8,0,20.5
E00014209,61,15.6,1.3,22.1
E00014210,70.9,4.5,2.7,21.8
E00014211,77,10,0,13
E00014212,70.9,5.8,0,23.3
E00014213,70.2,6,3.6,20.2
E00014214,65.6,11.1,6.7,16.7
E00014215,70.6,10.6,3.5,15.3
E00014217,57.6,17.8,4.2,20.3
E00014218,66.2,10.4,3.2,20.1
E00014219,73.6,1.1,1.1,24.2
E00014220,46.1,19.6,0,34.3
E00014237,80.8,3.8,5.8,9.6
E00014239,78.4,8,3.4,10.2
E00014241,71,6.5,4.3,18.3
E00014258,56.7,13.3,1.3,28.7
E00014260,72.4,7.6,1.9,18.1
E00014261,66.7,6.3,2.1,25
