areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00004172,10.2,8,3.2,72.7,5.9
E00004174,28.9,8.1,13.4,41.6,8.1
E00004185,41,4.3,6.6,43.4,4.7
E00004187,17.8,1.4,9.6,67.3,3.9
E00004188,36.2,3.8,2.9,48.6,8.6
E00004189,30.4,3.1,6.8,54,5.6
E00004194,17.1,3.9,5.5,69.1,4.4
E00004196,25.3,2.4,5.4,64.5,2.4
E00004198,20.5,5.4,10.9,55.2,7.9
E00004199,20,1.9,9.3,65.2,3.7
E00004200,20.7,2.8,5.6,63.7,7.3
E00004681,17.6,2,7.8,61.5,11.2
E00004682,34.9,19,8.2,24.6,13.3
E00004683,34.9,17.2,4.3,41.4,2.2
E00004684,19.7,13.1,8.8,52.8,5.6
E00004685,39.6,14.7,2.5,29.1,14
E00004686,36.9,12.9,5,36.6,8.5
E00004687,16.2,2.1,5.8,74.3,1.6
E00004688,34.4,17.9,4.3,33.9,9.5
E00004689,37.9,13,7.6,36.7,4.8
E00004690,21.6,13.7,7,55.9,1.8
E00004691,41.5,12.4,0.4,37.8,7.9
E00004692,21.8,12.8,7,48.2,10.1
E00004693,27.1,17.1,3.7,43.6,8.4
E00004694,40.4,12.8,5.3,31.7,9.8
E00004695,49.2,6,4.3,36.5,4
E00004696,28.8,20.3,4.4,36.9,9.6
E00004697,27.3,10.8,5.2,46.9,9.8
E00004699,33.4,15.5,10.2,30.7,10.2
E00004700,38.7,15.1,4.6,33.1,8.5
E00004701,20.1,18.7,7.8,45.9,7.5
E00004705,6.5,2,9.9,77.2,4.4
E00004706,25.4,10.8,6.6,53.6,3.6
E00004707,22,5.5,4.5,63.7,4.3
E00004708,10.3,4.5,9,73.1,3.2
E00004709,13.3,11.5,10.9,61.7,2.7
E00004710,19.6,18,5.6,52.8,4
E00004711,10.4,6.9,8.5,68.2,6
E00004712,9.3,1.2,2.8,77.4,9.3
E00004713,16,7.7,8.9,61.5,5.9
E00004714,14.3,7.3,5.4,65.3,7.7
E00004715,20.4,9.7,6.9,51.2,11.8
E00004717,19.6,8.9,10.3,55,6.2
E00004719,38.2,15.9,5.2,36.8,3.8
E00004720,6.4,13.6,10.9,68.2,0.9
E00004721,39.4,19.5,4.2,31.4,5.6
E00004725,39.5,25,2.8,21.7,11
E00004726,30.5,10.7,2.9,52.7,3.3
E00004747,24.8,12,7,47.5,8.6
E00004748,30.8,10,6.6,46.8,5.7
E00004749,41.1,18.7,2.9,31.1,6.2
E00004750,24.2,18.4,5.2,40.4,11.7
E00004752,22.7,10.9,6.3,55.3,4.9
E00004753,27.5,13.2,6,48.3,5
E00004754,22.9,19.1,7,48.1,2.9
E00004755,28.2,16,6.6,46.9,2.3
E00004756,21.1,13.5,6.3,43.9,15.2
E00004757,34.4,27.9,7.5,23.8,6.5
E00004758,40.6,15.1,7.3,29.7,7.3
E00004759,19.4,23,7.4,43.7,6.5
E00004760,25.5,21.6,6.9,39.2,6.9
E00004761,33.3,16.1,8.3,38.1,4.2
E00004762,35.3,23.9,6.2,27.7,6.9
E00004764,22.7,13.3,5.3,43.6,15.1
E00023418,36.4,3.9,6.5,39.4,13.9
E00023440,10.4,3.3,7.5,70.8,7.9
E00023442,16.7,1,3.9,66.5,11.8
E00023443,15.6,9.3,3.4,55.1,16.6
E00023444,41.1,6.7,2.1,36.2,13.8
E00023446,11.2,13.8,3.9,56.5,14.7
E00023449,22.3,2.9,7.2,51.1,16.5
E00023486,14.1,0,9.4,67.2,9.4
E00023487,20.4,1.5,5.5,47.8,24.9
E00023488,8.4,0.3,7.3,79,4.9
E00023489,14.9,0,6.4,67.3,11.4
E00023490,30.9,2.9,6.3,40.7,19.2
