areacd,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
W00003361,27.9,32.7,27.9,11.6,0
W00003362,36.4,27.1,22.5,14,0
W00003363,16.8,31.6,42.1,9.5,0
W00003364,41.9,40.3,15.3,2.4,0
W00003365,40.7,38.1,17.7,3.5,0
W00003366,43.8,34.6,17.7,3.8,0
W00003367,44.2,20.9,27.1,7.8,0
W00003368,24.8,34.3,30.7,10.2,0
W00003369,35,36.7,22.5,5.8,0
W00003370,45,31,23.3,0.8,0
W00003372,48.4,36,12.4,3.1,0
W00003373,53.1,35.8,9.9,1.2,0
W00003374,30.8,38.3,24.2,6.7,0
W00003375,35.7,30,27.9,6.4,0
W00003376,34.9,40.3,17.8,7,0
W00003377,49.6,30.4,14.8,5.2,0
W00003378,34.8,31.8,23.5,7.6,2.3
W00003379,28,44.1,22,5.9,0
W00003380,35.9,33.8,26.1,4.2,0
W00003381,25.3,30.3,28.3,16.2,0
W00003382,49.2,26.9,17.7,5.4,0.8
W00003383,56.9,36.7,6.4,0,0
W00003384,57.4,29.1,12.1,1.4,0
W00003385,47.7,33.8,15.4,3.1,0
W00003386,25,40.5,25.9,8.6,0
W00003387,38.9,35.4,20.1,5.6,0
W00003388,28.8,28.8,25.4,16.1,0.8
W00003389,21.7,31.8,28.7,16.3,1.6
W00003390,47.8,34.8,14.8,2.6,0
W00003391,40.3,35.5,16.1,8.1,0
W00003392,50.4,25.9,16.5,7.2,0
W00003393,40.3,32.8,20.9,6,0
W00003394,59.6,28.1,9.6,1.8,0.9
W00003395,64.3,27.8,7.1,0.8,0
W00003396,44.6,33.1,19.6,2.7,0
W00003397,44.9,38.6,11.8,4.7,0
W00003398,34.6,41.5,19.2,4.6,0
W00003414,44.4,32.5,18.8,4.3,0
W00003415,52.8,27.5,16.9,2.8,0
W00003416,50.8,30,13.1,6.2,0
W00003418,37.4,30.1,25.2,7.3,0
W00003419,30,30.8,30.8,8.5,0
W00003422,36,28,25.6,10.4,0
W00003423,52.8,38.1,8.2,0.9,0
W00003497,46.5,36.3,12.1,5.1,0
W00003498,37.1,28.4,30.2,4.3,0
W00003499,54.5,28.8,14.1,2.6,0
W00003500,40.3,38.7,18.5,2.5,0
W00003501,41.3,32.2,22.3,4.1,0
W00003502,52.3,29.7,16.4,1.6,0
W00003503,41.2,38.2,19.1,1.5,0
W00003504,39.3,38.5,20,2.2,0
W00003505,22.8,34.2,27.2,15.8,0
W00003506,33.6,40,22.7,3.6,0
W00003507,41.6,35.2,19.2,4,0
W00003508,40.7,37.2,21.2,0.9,0
W00003509,32,32,31.1,4.9,0
W00003510,49.3,36.3,10.3,4.1,0
W00003511,60.3,25.4,11.9,2.4,0
W00003512,38.4,33.3,20.1,8.2,0
W00003513,45,30.3,21.1,3.7,0
W00003514,37.2,35.8,23.6,3.4,0
W00003515,37.5,42,14.3,6.3,0
W00003516,44.6,37.5,13.4,4.5,0
W00003517,55.8,32.6,10.1,1.4,0
W00003518,64.6,25.7,8,1.8,0
W00003519,23.2,31.3,30.3,15.2,0
W00003520,36.8,35.1,20.2,7.9,0
W00003521,32,40.8,23.2,4,0
W00003522,34.6,35.5,18.7,9.3,1.9
W00003523,30.9,39.1,23.6,6.4,0
W00003524,51.3,30.8,14.5,3.4,0
W00003525,46.1,34.4,16.4,3.1,0
W00003526,51.8,24.8,16.3,7.1,0
W00003527,35.9,33.6,22.7,7.8,0
W00003528,43.9,33.5,17.3,4.6,0.6
W00003529,35.6,37,20.5,6.2,0.7
W00003530,42.6,34.1,16.3,6.2,0.8
W00003533,38.4,34.9,19.2,7.5,0
W00003534,32.9,37.9,19.3,10,0
W00003535,33.1,38.8,23,5,0
W00003536,35.6,37,23.7,3.7,0
W00003537,48.7,33.3,14.7,3.3,0
W00003538,34.3,43.6,17.9,4.3,0
W00003539,45.9,38.5,14.9,0.7,0
W00003540,26.5,28.4,34.3,9.8,1
W00003542,28.1,37.5,23.1,11.3,0
W00003543,32.3,35.4,23.6,7.9,0.8
W00003544,34.4,28.8,27.2,9.6,0
W00003545,19.8,40.6,26.7,11.9,1
W00003546,38.7,26.6,25.8,8.9,0
W00003547,40,33.8,21.5,4.6,0
W00003548,26.1,26.1,34.5,12.6,0.8
W00003549,21.4,34.2,29.9,14.5,0
W00003550,33.1,35.5,23.4,8.1,0
W00003552,23,40.2,30.3,5.7,0.8
W00003553,41.1,36.3,17.7,4.8,0
W00003554,25.6,39.3,29.1,6,0
W00003555,35.8,26.7,31.7,5,0.8
W00003556,30.6,41.4,17.1,10.8,0
W00003557,37.6,39.3,20.5,2.6,0
W00003558,14.1,39.4,34.3,12.1,0
W00003559,55.8,33.3,9.3,1.6,0
W00003560,39.3,35.6,20,5.2,0
W00003561,43.8,33.3,20.8,2.1,0
W00003562,44.3,32.1,19.8,3.8,0
W00003563,49.3,35.8,13.4,1.5,0
W00003564,42.2,36.4,16.9,4.5,0
W00003565,40.9,35,19,5.1,0
W00003566,51.5,35.9,9.7,1.9,1
W00003567,57.4,30.1,11,1.4,0
W00003568,38.6,33,23.9,4.6,0
W00003569,57.2,32.6,8.6,1.6,0
W00003571,52.1,32.9,12.1,2.9,0
W00003572,26.1,31.5,31.5,9.9,0.9
W00003573,53.8,34.4,8.9,2.8,0
W00003574,51,32.3,14.1,2.6,0
W00003575,58.7,34.1,7.2,0,0
W00003576,51.8,30.7,15.3,2.2,0
W00003577,37.4,32.4,22.3,6.7,1.1
W00003578,52.4,33.9,12.9,0.8,0
W00003579,53.2,29,12.9,4.8,0
W00003580,48.3,26.7,20.8,4.2,0
W00003581,58.2,26,13.5,2.4,0
W00003582,67.1,27.3,4.9,0.7,0
W00003583,47.8,37,12,3.3,0
W00003584,57.1,32.1,9.8,0.9,0
W00003585,49.2,35.7,12.7,2.4,0
W00003586,59.9,23.9,12.7,3.5,0
W00003587,54.8,32.3,10.3,2.6,0
W00003588,54.1,32.9,11,2.1,0
W00003589,65.8,23.9,9.4,0.9,0
W00003590,39.4,38.6,15.2,6.8,0
W00003591,54.4,31.6,13.2,0.9,0
W00003592,40.6,35.3,18.8,5.3,0
W00003594,59.1,27.8,11.4,1.7,0
W00003595,51.3,33.6,14.2,0.9,0
W00003596,36.3,35.5,21.8,4.8,1.6
W00003597,52.2,37.2,8.8,1.8,0
W00003598,49.6,35.5,11.6,3.3,0
W00003599,51.4,22.9,22.2,3.5,0
W00003600,47.8,33.6,18.6,0,0
W00003601,55.4,29.8,13.2,1.7,0
W00003632,47,37.3,13.9,1.8,0
W00003633,32.8,40.2,21.3,5.7,0
W00003634,48.7,35.3,13.4,0.8,1.7
W00003635,41.7,39.4,15.7,3.1,0
W00003657,52.8,33.1,11.3,2.8,0
W00003658,52.7,30.3,15.2,1.8,0
W00003659,27,32.8,29.5,8.2,2.5
W00003660,51.3,41.9,6.8,0,0
W00003661,53.2,31,13.5,1.6,0.8
W00003662,42.5,38.3,18.3,0,0.8
W00003665,56.1,33.9,9.4,0.6,0
W00003666,49.2,34.8,12.1,3.8,0
W00003667,55.3,25.8,13.6,5.3,0
W00003668,23.1,33.9,28.1,14.9,0
W00003669,22.1,41.2,26.7,9.9,0
W00003679,47.9,35.2,13.4,3.5,0
W00003680,50.4,33.1,13.4,3.1,0
W00003711,50.2,29.4,16.9,3.5,0
W00003712,62.1,24.2,11.1,2.6,0
W00003713,50.4,34.2,14.5,0.9,0
W00003714,47.1,43.1,9.8,0,0
W00003715,55.8,26.7,16.9,0.6,0
W00003716,49.4,30.5,19.5,0.6,0
W00003717,35.6,31.8,21.2,11.4,0
W00003718,55,23.8,15.9,4.6,0.7
W00003719,50,29.9,15.2,4.9,0
W00003720,39.5,43.9,14.9,0,1.8
W00003721,54.3,33.3,11.1,1.2,0
W00003722,59.9,28.9,7.9,3.3,0
W00003723,37.8,34.6,18.6,9,0
W00003724,34.2,34.2,17.5,14,0
W00003725,40.7,35,16.3,8.1,0
W00003743,50.3,36.2,11.4,2,0
W00003744,45.8,32.8,20.6,0.8,0
W00003745,66.4,25,7.9,0.7,0
W00003746,41.5,39,14.6,4.9,0
W00003747,50.3,38.2,8.1,2.9,0.6
W00003748,45.2,22.6,26.1,6.1,0
W00003749,46.6,36.4,12.1,4.9,0
W00003750,36.4,42.7,18.9,2.1,0
W00003751,35.8,37.2,21.9,5.1,0
W00003752,46.6,28.6,23,1.9,0
W00003753,47.8,24.3,22.6,5.2,0
W00003754,34.9,38.7,18.9,7.5,0
W00003755,47.8,33.3,18.1,0.7,0
W00003756,38.9,31.7,20.6,8.7,0
W00003757,41.5,39,16.1,3.4,0
W00003758,42.5,39.8,14.9,2.8,0
W00003759,40.2,35.9,21.4,2.6,0
W00003777,59.6,34.2,6.1,0,0
W00003778,45.8,30.5,17.6,6.1,0
W00003779,29.7,36.4,26.1,7.9,0
W00003780,41.3,36.5,18.3,4,0
W00003781,39.1,38.3,17.3,5.3,0
W00003782,44.3,35.1,17.6,3.1,0
W00003783,55,33.3,10,1.7,0
W00003784,54.5,28.9,9.9,6.6,0
W00003785,35.7,33.9,21.4,8.9,0
W00003786,47.2,37.6,12,3.2,0
W00003787,51.3,37.4,11.3,0,0
W00003788,53.4,28.8,14.4,3.4,0
W00003789,48.8,24,20.9,5.4,0.8
W00003790,48.2,28.5,20.4,2.9,0
W00003791,34.7,34.7,25.4,5.1,0
W00003792,42.6,28.7,24.3,4.3,0
W00003793,39.1,32.2,20.3,8.4,0
W00003794,49.6,28.3,17.3,4.7,0
W00003795,26.5,41.6,25.7,6.2,0
W00003796,34.4,33.1,25.3,7.1,0
W00003797,35.8,29.9,26.9,7.5,0
W00003798,41.1,44.2,10.9,3.9,0
W00003799,35.6,32.2,26.3,5.9,0
W00003800,43.6,39.7,16,0.6,0
W00003801,52.4,33.9,8.9,4.8,0
W00003802,40.3,30.6,20.2,8.9,0
W00003803,42.4,35.6,14.4,7.6,0
W00003804,45.3,32.5,17.1,5.1,0
W00003805,33,42.2,18.3,6.4,0
W00003806,35.2,25.6,26.4,12.8,0
W00003807,32,32,23.4,12.5,0
W00003808,19.5,31.9,38.1,10.6,0
W00003809,25.2,35.7,26.1,11.3,1.7
W00003830,51.7,34.7,11.9,1.7,0
W00003831,40.8,32.9,23.7,2.6,0
W00003832,38.9,36.4,19.1,5.6,0
W00003833,38.1,36.3,17.7,7.1,0.9
W00003834,53,32.2,12.1,2.7,0
W00003835,50.7,32,12.7,4.7,0
W00003836,46.9,35.8,14.6,2.7,0
W00003837,52.4,34.2,11.8,1.6,0
W00003838,51.4,39.1,8.7,0.7,0
W00003839,52.4,34.7,11.8,1.2,0
W00003840,40.3,37.2,17.1,5.4,0
W00003841,25.2,40.2,29.9,4.7,0
W00003842,30.5,36.7,19.5,13.3,0
W00003843,44.1,35.4,14.2,6.3,0
W00003844,40.7,42,14.7,2.7,0
W00003845,44.5,30.3,19.3,5.9,0
W00003846,47.6,34.1,15.9,1.6,0.8
W00003847,50.7,41.4,5.9,2,0
W00003848,50.2,29,17.4,3.4,0
W00003849,50.7,30.6,17.2,0.7,0.7
W00003850,47.6,30.6,17.7,4,0
W00003851,38.6,40.9,18.9,1.6,0
W00003852,20.2,38.7,26.6,14.5,0
W00003853,28.2,31.8,28.2,11.8,0
W00003854,53,33.3,12.8,0.9,0
W00003855,56.2,35.5,8.3,0,0
W00003858,47.2,33.1,18.3,1.4,0
W00003860,38.1,38.9,20.6,2.4,0
W00003861,38.7,35.2,19,7,0
W00003863,26.8,32.1,29.5,11.6,0
W00003884,54.1,33.6,12.2,0,0
W00003885,35.7,38.3,22.7,3.2,0
W00003886,45.2,35.1,13.7,6,0
W00003887,41.1,40.4,15.6,2.8,0
W00003888,53.1,28.8,12.4,5.6,0
W00003889,49.4,32.5,16.9,1.3,0
W00003890,45.1,39,12.8,2.4,0.6
W00003891,26.9,44,23.4,5.7,0
W00003892,51.9,33.1,12.3,2.6,0
W00003893,13.7,34.6,40.5,11.1,0
W00003894,46.5,34.2,14.8,4.5,0
W00003895,51,32.7,14.4,2,0
W00003896,55.9,33.9,7.9,2.4,0
W00003897,48.5,38.2,8.8,2.9,1.5
W00003898,56.2,32,10.5,1.3,0
W00003899,53.7,33.6,11.2,1.5,0
W00003900,41.2,39.5,16.8,2.5,0
W00003901,37.6,36.6,20.8,5,0
W00003902,35,44.2,18.3,2.5,0
W00003903,45.3,39.1,13.3,2.3,0
W00003918,55.6,28.3,12.7,3.4,0
W00003919,43.9,34.5,17.3,3.6,0.7
W00003920,52,29.2,16.4,2.3,0
W00003921,48.2,32.5,16.7,2.6,0
W00003922,48.4,30.1,19,2.6,0
W00003923,39.4,33.8,26.1,0,0.7
W00003924,47.4,33.1,14.3,5.3,0
W00003925,23.3,42,22.7,12,0
W00003926,32.3,35.4,22.8,9.4,0
W00003927,33.8,33.1,24.7,8.4,0
W00003928,42.7,35.9,17.9,3.4,0
W00003930,46.7,32.5,15,5.8,0
W00003931,37.3,38.1,19.5,5.1,0
W00003932,43.4,33,18.9,4.7,0
W00003933,37.3,34.3,20.1,8.2,0
W00003934,33.9,28.7,25.2,12.2,0
W00003935,16.2,41.9,21.4,18.8,1.7
W00003937,33.3,39.6,18,9,0
W00003938,30.2,36,29.5,4.3,0
W00003939,23,31.7,31.7,13.5,0
W00003960,23.7,34.2,27,15.1,0
W00003961,40.9,27,27.7,4.4,0
W00003962,37.1,40.3,20.2,2.4,0
W00003963,42.4,40,16,1.6,0
W00003964,39.8,30.6,25.9,3.7,0
W00003965,25.6,40.2,23.9,10.3,0
W00003966,39.4,38.6,17.3,4.7,0
W00003967,30.7,37.6,18.8,12.9,0
W00003968,39,29.7,23.7,7.6,0
W00003969,28.9,34.4,21.9,14.8,0
W00003970,39.9,35.5,21.7,2.9,0
W00003971,38.3,36.5,18.3,6.1,0.9
W00003972,31.8,33.8,25.7,8.1,0.7
W00003973,50,32,12.3,5.7,0
W00003975,20.5,39,24,15.8,0.7
W00003976,30.8,21.2,30.8,17.3,0
W00003977,19.5,32.5,38.2,9.8,0
W00003978,39.8,34,20.4,5.8,0
W00003979,43.8,33.3,18.8,4.2,0
W00003980,15.1,33.3,34.4,17.2,0
W00003981,25.9,25,29.3,19.8,0
W00003986,26.3,31.4,23.1,18.6,0.6
W00003987,47.2,33.9,16.5,2.4,0
W00003992,24.1,28.5,27.7,16.8,2.9
W00003993,52.4,35.5,8.1,4,0
W00004001,20.2,31.6,36,12.3,0
W00004002,22.3,36.4,28.1,12.4,0.8
W00004003,27.6,35,30.1,6.5,0.8
W00004004,35.2,34.8,20,10,0
W00004005,30.4,39.2,20.6,9.8,0
W00004006,22.2,31.9,28.1,17.8,0
W00004007,39.6,42.5,13.4,4.5,0
W00004008,36.3,24.8,26.5,12.4,0
W00004010,42.6,37.4,13.9,6.1,0
W00004011,14.9,31.7,32.7,19.8,1
W00004012,33.7,29.7,19.8,16.8,0
W00004013,45.8,33.3,15.8,5,0
W00004014,22.8,25,34.6,16.9,0.7
W00004015,36.7,29.2,21.7,12.5,0
W00004016,37.5,40.1,10.5,11.2,0.7
W00004017,47.8,27.8,20.9,2.6,0.9
W00004018,41.1,33.1,19.4,6.3,0
W00004019,40.2,36.4,16.8,6.5,0
W00004020,44.9,36.2,11.8,7.1,0
W00004021,36.5,48.1,15.4,0,0
W00004022,45.5,32.7,16.8,4,1
W00004023,41.8,35.7,19.4,3.1,0
W00004025,36.9,32,18.4,12.6,0
W00004026,44.2,23.3,16.7,13.3,2.5
W00004027,35.4,38.6,19.6,6.3,0
W00004028,43.1,36.2,16.4,4.3,0
W00004030,53.3,30,13.3,3.3,0
W00004031,54,32.1,12.4,1.5,0
W00004032,49.2,33.3,10.6,6.1,0.8
W00004033,42.6,37.2,13.3,6.4,0.5
W00004034,39.7,43,15.2,2,0
W00004035,52.6,34.1,9.6,3,0.7
W00004036,38.8,34,16.3,10.9,0
W00004037,41.3,41.3,17.4,0,0
W00004038,32.7,36.4,21.8,9.1,0
W00004039,35.6,39.6,17.8,6.9,0
W00004040,28.6,26.9,28.6,16,0
W00004041,36.4,38.6,18.9,6.1,0
W00004042,34.1,30.9,26.8,6.5,1.6
W00004043,47.2,35.2,16.9,0.7,0
W00004044,40.1,33.8,21.7,4.5,0
W00004045,35,36.4,17.1,10.7,0.7
W00004046,42.6,40.7,16.7,0,0
W00004047,39.4,29.9,25.2,4.7,0.8
W00004048,30.7,40.6,23.8,5,0
W00004049,25.8,36.7,26.6,10.2,0.8
W00004050,37.1,33.6,24.1,5.2,0
W00004051,39.8,39.8,14.8,5.6,0
W00004052,67.9,25.9,5.4,0.9,0
W00004053,46.6,30.1,17.5,5.8,0
W00004054,49.3,35,13.6,2.1,0
W00004055,53.8,33.3,12.1,0.8,0
W00004056,32,36.1,18,13.9,0
W00004057,24.1,40.5,22.4,12.1,0.9
W00004058,23.6,46.3,23.6,6.5,0
W00004059,45.9,40.2,11.5,1.6,0.8
W00004060,55,36.6,7.6,0.8,0
W00004061,50.4,27.3,14.9,6.6,0.8
W00004062,34.3,38.1,20.1,7.5,0
W00004063,32.2,38.1,22.9,6.8,0
W00004064,54.5,34.1,9.8,1.6,0
W00004065,47.3,33.6,14.5,4.6,0
W00004066,28.8,32.4,31.5,7.2,0
W00004067,30.1,32.9,24.7,12.3,0
W00004068,16.2,45.5,35.4,3,0
W00004069,23.9,32.1,28.4,14.7,0.9
W00004070,47.2,30.9,17.9,4.1,0
W00004072,50.4,32.8,16.8,0,0
W00004073,57.1,29.3,11.5,2.1,0
W00004074,40.4,38.6,19.3,1.8,0
W00004075,51.9,30.8,12.2,5.1,0
W00004076,51.2,31.2,15.2,2.4,0
W00004077,44,27.2,17.6,11.2,0
W00004078,47.3,31,15.8,5.9,0
W00004079,44.3,28.2,22.8,4.7,0
W00004080,34.1,48,11.4,6.5,0
W00004081,53.4,35.9,9.2,1.5,0
W00004082,28.8,28.8,31.5,9,1.8
W00004083,26.1,43.2,22.5,8.1,0
W00004084,33.9,42.7,15.3,7.3,0.8
W00004085,45.8,37.4,16.1,0.6,0
W00004086,47.7,29.5,16.7,6.1,0
W00004087,36.8,42.7,16.2,4.3,0
W00004088,42,39.1,13.8,5.1,0
W00004089,43.9,35.1,18.4,2.6,0
W00004090,42.7,36.3,16.1,4.8,0
W00004091,24.1,45.1,26.3,4.5,0
W00004092,32.1,25.9,31.3,10.7,0
W00004093,24.2,39.5,25.8,10.5,0
W00004094,35.8,24.5,27.4,11.3,0.9
W00004095,18.8,46.1,20.3,14.8,0
W00004096,44.8,34.3,17.2,3.7,0
W00004097,48.4,33.6,15.6,2.3,0
W00004098,37.6,39.1,19.5,3,0.8
W00004099,39,39.8,17.1,4.1,0
W00004100,27.3,30,30,12.7,0
W00004101,44.5,43,11.7,0.8,0
W00004102,34.3,31.3,21.2,13.1,0
W00004103,46.5,32.5,20.2,0.9,0
W00004104,39.4,40.1,17.5,2.9,0
W00004105,48.6,35,13.6,2.9,0
W00004106,39.2,42.3,12.4,6.2,0
W00004107,39.5,42.9,13.4,4.2,0
W00004108,44.8,36.6,15.2,3.4,0
W00004109,44.1,30.1,22.4,3.5,0
W00004110,32.3,44.6,20,3.1,0
W00004111,31.3,33.7,24.1,10.8,0
W00004112,42,43.5,11.5,3.1,0
W00004113,51.2,29.5,15.5,3.9,0
W00004114,38.9,23.9,25.7,11.5,0
W00004115,44.3,31.1,14.8,9.8,0
W00004116,35.1,34.3,21.6,9,0
W00004117,56.8,30.3,10.6,2.3,0
W00004118,47.1,33.7,19.2,0,0
W00004119,29.3,35.3,23.3,11.2,0.9
W00004120,50.8,30,11.5,7.7,0
W00004121,45.9,32.4,16.2,5.4,0
W00004122,47.2,36.2,16.5,0,0
W00004123,31.1,29.5,25.4,13.9,0
W00004124,29.1,27.4,28.2,14.5,0.9
W00004125,53.8,34.2,9.4,2.6,0
W00004126,59.3,31.5,9.3,0,0
W00004127,54.3,38.8,6,0.9,0
W00004128,61.1,27.8,9.3,1.9,0
W00004129,57.9,33.1,8.3,0.8,0
