areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00100629,86.4,1.4,12.2
E00100630,87.3,3.3,9.4
E00100631,67.5,2.5,30.1
E00100632,60.2,0.9,38.8
E00100633,59.7,5.2,35.1
E00100635,81.6,1.4,17
E00100636,80,0.7,19.3
E00100637,73.4,2.1,24.5
E00100638,68,11.7,20.3
E00100639,71.2,4.6,24.2
E00100640,77.1,2.5,20.4
E00100642,75.8,5.7,18.5
E00100643,71.3,5.5,23.2
E00100644,71.2,2.8,26
E00100645,78.8,1.8,19.4
E00100646,76,0.6,23.4
E00100647,76.5,1.9,21.6
E00100648,81.4,1.1,17.5
E00100649,84.6,0.9,14.5
E00100650,79.4,2.6,18
E00100651,81.8,2.7,15.5
E00100652,65.1,2.1,32.9
E00100707,82.6,1.2,16.1
E00100708,78.2,2.3,19.5
E00100709,82.3,1.6,16.1
E00100710,83.2,1.4,15.4
E00100711,84.8,1.4,13.8
E00100712,68.1,0.9,31.1
E00100717,87.6,1.7,10.7
E00100719,81.3,1.3,17.3
E00100720,83.9,1.1,14.9
E00100722,83.7,3.2,13.2
E00100898,81.1,2,16.9
E00100899,83.9,0.7,15.4
E00100900,81.3,2,16.8
E00100901,80.9,1.5,17.6
E00100902,85.6,0.7,13.7
E00100903,69.8,1.6,28.6
E00100904,80.8,4.9,14.3
E00100905,85.1,0.6,14.3
E00100913,81.4,1.4,17.2
E00100915,76.5,2.9,20.6
E00100916,88.6,1.4,10
E00100917,84.6,0.6,14.8
E00100918,76.3,5.4,18.3
E00100919,86.4,2.4,11.2
E00101044,87.5,1.3,11.2
E00101045,89.6,2,8.4
E00101067,85.7,2.4,11.9
E00101068,86.6,1.1,12.2
E00101069,83.4,0.6,16
E00101070,85.5,0.4,14.1
E00101071,80.8,0,19.2
E00101072,85.8,2.6,11.6
E00101073,82.2,0.9,16.8
E00101074,83.1,0.4,16.5
E00101075,77.6,1.8,20.6
E00103966,80,2.4,17.5
E00103967,81.3,1.3,17.4
E00103970,75,2.3,22.7
E00104001,84.7,2.3,13
E00104002,72,1.1,26.8
E00104004,87.4,1.4,11.2
E00104005,92.7,2.8,4.4
E00104006,79.3,2.5,18.1
E00104139,84.8,1.4,13.8
E00104140,75.7,0.6,23.8
E00104141,84.7,4.4,11
E00104142,77,1.5,21.5
E00104143,85.6,0.9,13.5
E00148494,75.2,0.9,23.9
E00148495,79.2,3.8,17.1
E00148496,69.8,0.9,29.4
E00148497,79.7,3.3,17
E00148498,87.8,0.6,11.6
E00148499,80,0.9,19.1
E00148500,86.5,0.8,12.7
E00148501,89.8,0.5,9.6
E00148502,73.7,1.3,25
E00148557,85.3,3.1,11.6
E00148590,50.7,16,33.2
E00148591,66.4,11.2,22.4
E00148592,53.6,17.2,29.1
E00148593,72.9,7.8,19.4
E00148595,80.5,4,15.5
E00148596,46.1,20.1,33.8
E00148597,78,2.5,19.5
E00148598,78.2,5.8,15.9
E00148599,80.6,4.5,14.9
E00148600,69,9,22
E00148601,64.5,13.5,21.9
E00148602,76.1,8.8,15.1
E00148603,50.7,19,30.3
E00148604,55.1,8.6,36.2
E00148605,68.6,8.8,22.5
E00148606,59,13.2,27.8
E00148607,75.9,4.9,19.2
E00148608,80.6,3.8,15.6
E00148609,65.7,14.4,19.9
E00148610,80.2,3.1,16.7
E00148611,78.5,3.9,17.6
E00148612,83,3.6,13.4
E00148613,63.1,10,26.8
E00148614,49.5,21.5,29
E00148615,77.4,4.1,18.5
E00148616,49.4,18,32.6
E00148617,46,34.3,19.7
E00148619,72.8,3.3,23.8
E00148620,71.3,3,25.7
E00148621,68.4,2.7,28.9
E00148622,65.6,8.8,25.6
E00148623,82.2,3.6,14.2
E00148624,85.7,2.3,11.9
E00148625,68.6,4.4,27
E00148626,47.6,14.6,37.8
E00148627,66,5.2,28.7
E00148628,62.8,9.6,27.6
E00148629,59.8,11.7,28.4
E00148630,69.9,6.3,23.9
E00148689,88.3,0.8,10.9
E00148690,85.8,1.9,12.3
E00148707,72.3,0.7,27
E00148708,62.8,8,29.1
E00148709,78.8,0.6,20.6
E00148710,79.7,1.5,18.8
E00148711,78.6,5.3,16
E00148712,78.4,0.3,21.3
E00148713,74.1,4.5,21.4
E00148714,74.3,1,24.8
E00148715,80.3,0.4,19.4
E00148716,74.3,0.7,25
E00148717,55.9,1.9,42.2
E00148718,79.3,1.1,19.6
E00148719,78.1,0,21.9
E00148723,83.7,3.5,12.8
E00148724,84.5,2.5,13
E00148725,78.9,1.7,19.4
E00148731,83.3,1.1,15.6
E00148732,77.3,1.7,21
E00148733,71.5,1.6,26.8
E00148734,83.1,0,16.9
E00148787,79.7,2.8,17.6
E00148788,82.4,2.2,15.4
E00148789,84.5,1,14.5
E00148790,87.5,0.8,11.7
E00148791,80.2,0.6,19.1
E00148792,81.3,1.5,17.3
E00148793,84.1,1.2,14.7
E00148794,84.1,2.1,13.8
E00148795,68.7,1.4,29.9
E00148821,79.7,2.7,17.6
E00148822,84.8,1.8,13.4
E00148823,84.9,1.6,13.5
E00148824,82,0.8,17.2
E00148825,79.3,0,20.7
E00148826,87.2,0.4,12.3
E00148831,70.6,0.5,28.9
E00148835,76.1,0.7,23.2
E00148836,91.1,0.6,8.3
E00148838,74.6,3.1,22.2
E00148839,81.1,0.9,18
E00148840,81.3,2.1,16.5
E00148841,82.7,1.1,16.2
E00148842,80.8,1.5,17.7
E00148843,74.3,0.7,25.1
E00148844,77.6,2.9,19.6
E00148845,79.7,2.5,17.7
E00148898,77.7,4,18.3
E00148899,82,2,16
E00148900,88.9,1,10.1
E00148901,81.6,3.8,14.7
E00148902,83.6,0.9,15.5
E00148903,86.4,3.7,9.9
E00148904,84.3,2.4,13.3
E00148905,84.3,3.4,12.4
E00148906,74,0.9,25.1
E00149061,82.3,2,15.7
E00149062,78.6,1.4,20
E00149063,86.4,1.5,12
E00149064,88.6,3.5,7.9
E00166011,80.4,3.6,16
E00166012,81.7,0.9,17.4
E00166013,52.7,3.9,43.4
E00166014,69.9,7.3,22.8
E00166015,74.8,0,25.2
E00166016,71.7,2,26.3
E00167311,85,0.9,14.2
E00180162,73.3,4.4,22.2
E00180179,74.8,6.1,19.1
E00180190,67,5.9,27.1
E00180196,68.7,5.6,25.7
E00180224,80.8,3.4,15.9
E00180230,81,1.9,17.1
E00186529,78.8,1.9,19.2
