areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00127329,17,46.5,9.6,25.7,1.3
E00127330,14.7,38.4,8.9,35.3,2.7
E00127331,11.7,39.2,7.2,40.4,1.5
E00127332,12.9,44.9,6.3,33.8,2.1
E00127333,19.3,47.2,6,23.4,4.1
E00127334,11.9,38.3,6.6,41.6,1.6
E00127335,10.1,51.9,5.1,30.4,2.5
E00127336,17.4,39,10.6,33,0
E00127337,9.9,45.8,8.3,33.6,2.4
E00127338,15.7,46.5,5.1,30,2.8
E00127339,14.7,48.3,7.1,27.7,2.1
E00127340,14.3,42,6.9,35.9,0.8
E00127341,3.4,53,7.1,34.3,2.2
E00127342,21.1,46.3,5.7,24,2.9
E00127343,13.8,40.3,6.6,36.5,2.8
E00127344,28.7,41.5,3.8,22.3,3.8
E00127345,19.4,47.1,0,30.8,2.7
E00127346,31,39.1,2.6,25.1,2.2
E00127347,26.6,47.7,3.4,20.3,2.1
E00127348,31.2,48.2,5.1,15.4,0
E00127349,31.9,36.2,8.9,21.1,1.9
E00127350,18.1,42.8,7.6,30.3,1.3
E00127351,27.3,43.2,8.4,19.8,1.3
E00127352,25.2,42.9,5.5,23.7,2.7
E00127354,35,40.9,5.9,17.7,0.4
E00127355,9.2,43.4,1.7,41.5,4.2
E00127357,11.5,57.4,1.5,27.5,2.1
E00127358,13.6,57,1.8,24.9,2.7
E00127359,9.1,31.7,6.1,53,0
E00127360,17.4,36.2,2.8,41.8,1.9
E00127361,21.2,39.7,3.8,32.1,3.3
E00127362,8.5,28.9,3.3,58.8,0.5
E00127363,5.3,27.5,2,64.4,0.8
E00127364,5.8,30.2,3.5,58.9,1.6
E00127365,12.2,44.3,1.7,40.4,1.3
E00127366,22.8,32,8.6,30.3,6.3
E00127367,15.8,50,9.5,23.6,1.1
E00127368,18.8,45.5,6.4,29.2,0
E00127369,13.9,43.1,6.4,34.6,2
E00127370,18.6,47.3,9.7,21.5,3
E00127371,13.3,44.8,7.1,33.6,1.2
E00127372,27.2,42.6,6,19.1,5
E00127373,18.7,42.1,10.3,25.4,3.6
E00127374,37.1,36.4,9.3,14.6,2.6
E00127375,8.2,50.3,9,29.9,2.6
E00127376,24.3,51.1,5.5,16.6,2.6
E00127377,11.3,46.8,10.5,28.6,2.8
E00127378,18.8,50.4,8.6,19.9,2.3
E00127379,11.9,35,10.2,40.3,2.7
E00127380,10.4,33.5,3.3,52.4,0.4
E00127381,6.9,32.3,2.7,56.9,1.2
E00127384,14.5,34.8,3.6,44.9,2.2
E00127391,8,36.5,1,50.8,3.7
E00127392,11.1,61.3,1.1,25.3,1.1
E00127396,12.7,37.3,2.7,45,2.3
E00127399,4.7,35.2,1,56.5,2.6
E00127400,8.7,34.7,2.8,52.8,1
E00127402,9.3,37.9,4.8,46.4,1.6
E00127403,11,36,4.3,47.6,1.2
E00127406,12.7,42,2.7,40.8,1.8
E00127407,10.4,37.5,3.3,44.6,4.2
E00127408,6.5,55.3,1.2,35.8,1.2
E00127409,3.9,52.4,0,42.4,1.3
E00127410,10.2,46.6,1.3,38.1,3.8
E00127413,9.4,33.5,4.2,52.2,0.7
E00127415,8.1,33.7,3.7,52.7,1.8
E00127416,10.6,38.2,6.6,41.9,2.7
E00127417,14.7,33.9,4.5,46.9,0
E00127419,20.5,42.4,4.9,28.8,3.4
E00127420,13.5,34.5,5.3,43.1,3.6
E00127421,21.5,40.6,7.3,30.6,0
E00127422,11.7,42.3,4,39.5,2.4
E00127423,17.1,30.9,4.8,45.4,1.9
E00127426,14.3,38.1,7.9,36.5,3.2
E00127427,7.8,39.2,4.5,45.7,2.9
E00127428,14.2,46.4,4.3,33.9,1.3
E00127429,17.1,42.9,6.3,31.7,2
E00127431,9.1,37.9,5.6,44.4,3
E00127433,15.3,39.8,6.9,33.3,4.6
E00127515,16.9,40.6,4.3,36.7,1.4
E00127516,8.6,46.6,1.9,41.4,1.5
E00127517,3.6,25.5,2.9,66.9,1.1
E00127518,11.2,67.3,1.3,19.1,1.1
E00127519,10.3,48.8,3.4,36.9,0.5
