areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00049183,14,15.8,56.7,13.5
E00049184,7.5,19.7,60.1,12.7
E00049185,6.8,21.6,63.5,8.1
E00049186,11.5,19.7,61.8,7
E00049187,6.6,27.3,58.7,7.4
E00049188,9.2,21.1,61.2,8.6
E00049190,5.8,24.8,63.6,5.8
E00049191,13.1,18.5,63.1,5.4
E00049192,3,22.8,68.3,5.9
E00049193,10.1,12.4,68.5,9
E00049194,14.5,24.5,57.3,3.6
E00049195,8.9,24.7,60.1,6.3
E00049196,10.4,21.3,61.7,6.6
E00049197,4.1,22.5,61.5,11.8
E00049198,7.6,22.1,64.1,6.1
E00049199,8.3,26.4,59,6.3
E00049200,7.4,19.8,61.1,11.7
E00049201,9.4,21.7,61.6,7.2
E00049202,6.3,21.5,61.4,10.8
E00049203,5.1,24.1,62,8.8
E00049204,10.6,23.6,59.6,6.2
E00049205,8.7,22.8,59.7,8.7
E00049206,9.3,18.1,62.5,10.1
E00049207,10.7,21.3,54.3,13.7
E00049208,12.5,23.8,53.6,10.1
E00049209,8.7,22,59.3,10
E00049210,8.7,19.7,65.3,6.4
E00049211,10.6,17.9,63.6,7.9
E00049212,8.9,17.8,64.4,8.9
E00049213,8.5,14.1,69.3,8.1
E00049214,7.5,26.3,58.6,7.5
E00049215,5,20.2,63.9,10.9
E00049216,9.3,27.9,57.4,5.4
E00049217,7.5,15.6,65,11.9
E00049218,8.5,20.5,58.5,12.5
E00049219,11.6,14.3,68.7,5.4
E00049220,11.6,23.2,58.7,6.5
E00049221,5.6,24.6,62.6,7.3
E00049222,8.1,20.6,61.8,9.6
E00049223,6.8,17,66.5,9.7
E00049224,8,24.6,58.7,8.7
E00049225,4,17.8,73,5.2
E00049226,12.6,16.7,59.8,10.9
E00049227,12.7,25.3,53.2,8.9
E00049228,5.5,22.8,59.8,11.8
E00049229,8.6,18.6,62.3,10.5
E00049230,7.9,18.6,63.6,10
E00049231,12.9,22.4,58.8,5.9
E00049232,15.3,22.9,54.9,6.9
E00049233,11.3,20,61.3,7.5
E00049234,10.6,19.9,62.1,7.5
E00049235,11.1,17.8,64.4,6.7
E00049236,5,19.4,64.4,11.1
E00049237,11.7,17.8,58.9,11.7
E00049238,12.6,23.3,55.3,8.7
E00049239,11.3,21,63.7,4
E00049240,14.5,21.4,52.7,11.5
E00049241,8.1,17.3,66.5,8.1
E00049283,10.9,17.4,64.2,7.5
E00049284,13.1,18.9,54.1,13.9
E00049285,8.5,17.7,65.4,8.5
E00049287,11.4,25.8,56.1,6.8
E00049288,13.2,10.3,70.6,5.9
E00049289,15.7,24.1,58.3,1.9
E00049290,9.6,21.6,58.4,10.4
E00049291,6.9,32.8,49.6,10.7
E00049292,12.3,20.2,57.9,9.6
E00049293,5,28.1,57.6,9.4
E00049294,7.4,21.5,63.6,7.4
E00049295,12.1,20.9,59.3,7.7
E00049296,13.3,23.7,54.8,8.1
E00049297,2.9,17.1,68.6,11.4
E00049298,5.3,21.2,62.9,10.6
E00049299,8.2,13.7,72.6,5.5
E00049300,11,12.2,69.5,7.3
E00049301,6.9,20.7,65.5,6.9
E00049302,9.5,22.6,60.7,7.1
E00049303,7,22.1,61.6,9.3
E00049304,12.9,15.3,63.5,8.2
E00049305,9.6,18.5,54.8,17
E00049306,8.7,15.4,66.4,9.4
E00049307,9.7,20.9,61.2,8.2
E00049308,10.3,29.4,55.1,5.1
E00049311,5.9,23,62.2,8.9
E00049312,9.9,18.4,61.7,9.9
