areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00041473,98.6,1.4,0
E00041474,99.2,0.8,0
E00041475,99.2,0.8,0
E00041476,99,0,1
E00041479,91.3,8.8,0
E00041480,98.6,1.4,0
E00041481,99.2,0.8,0
E00041482,90.7,9.3,0
E00041491,96.1,3.9,0
E00041495,99.3,0.7,0
E00041498,97.9,2.1,0
E00041499,98.6,1.4,0
E00041500,97.6,2.4,0
E00041501,100,0,0
E00041502,80.7,19.3,0
E00041503,97.2,2.8,0
E00041505,99.2,0.8,0
E00041536,99.2,0.8,0
E00041537,96.5,3.5,0
E00041538,88.2,11.8,0
E00041539,99.1,0.9,0
E00041540,100,0,0
E00041541,99,1,0
E00041542,77.9,22.1,0
E00041543,100,0,0
E00041545,98.9,1.1,0
E00041546,100,0,0
E00041547,73.2,26.8,0
E00041549,100,0,0
E00041550,99.2,0.8,0
E00041551,99.3,0.7,0
E00041552,91.2,8.8,0
E00041553,99.3,0.7,0
E00041554,96.3,3.7,0
E00041555,92.7,7.3,0
E00041556,100,0,0
E00041557,93.7,6.3,0
E00041558,100,0,0
E00041559,98.2,1.8,0
E00041560,100,0,0
E00041561,100,0,0
E00041563,96.2,3.8,0
E00041564,98.4,1.6,0
E00041565,95.2,4.8,0
E00041566,100,0,0
E00041567,80.8,19.2,0
E00041568,86.3,13.7,0
E00041569,89.2,10.8,0
E00041570,87.8,12.2,0
E00041813,82.1,17.9,0
E00041815,98.4,1.6,0
E00041817,99.2,0.8,0
E00041820,100,0,0
E00041821,95.8,4.2,0
E00041823,90,10,0
E00041824,99.2,0.8,0
E00041825,98.4,1.6,0
E00041826,99.2,0.8,0
E00041829,92.4,7.6,0
E00041831,99.2,0.8,0
E00041832,84.7,15.3,0
E00041836,72.1,27.9,0
E00041838,98.4,1.6,0
E00041840,96.6,3.4,0
E00041844,100,0,0
E00104652,100,0,0
E00104653,87.1,12.9,0
E00104654,95,5,0
E00104655,98.3,1.7,0
E00104656,94.3,5.7,0
E00104657,100,0,0
E00104658,100,0,0
E00104659,86.3,13,0.7
E00104661,83.6,16.4,0
E00104662,94.3,5.7,0
E00104663,100,0,0
E00104664,86.4,13.6,0
E00104665,73.2,26.8,0
E00104666,100,0,0
E00104667,73,27,0
E00104668,61.5,38.5,0
E00104669,89.1,10.9,0
E00104670,100,0,0
E00104671,100,0,0
E00104672,100,0,0
E00104673,99.2,0,0.8
E00104674,99.2,0.8,0
E00104675,72.7,27.3,0
E00104676,84.1,15.9,0
E00104677,86.3,13.7,0
E00104678,100,0,0
E00104679,98.8,1.2,0
E00104680,87.6,12.4,0
E00104681,100,0,0
E00104682,99.3,0.7,0
E00104683,100,0,0
E00104705,100,0,0
E00104706,99.3,0,0.7
E00104707,99.4,0.6,0
E00104708,93.7,6.3,0
E00104709,100,0,0
E00104710,97.9,2.1,0
E00104721,91,9,0
E00104722,100,0,0
E00104723,97.8,2.2,0
E00104725,99.4,0.6,0
E00104726,100,0,0
E00104727,77.3,22.7,0
E00104729,92.8,7.2,0
E00104731,84.3,15.7,0
E00104732,91.8,8.2,0
E00104733,72.9,27.1,0
E00104734,89.1,10.9,0
E00104735,99.5,0.5,0
E00104736,99.2,0.8,0
E00104737,99.2,0.8,0
E00104738,100,0,0
E00104739,89.2,10.8,0
E00104740,95.3,4.7,0
E00104741,80.4,19.6,0
E00104742,100,0,0
E00104743,100,0,0
E00104744,85.8,14.2,0
E00104745,93.2,6.8,0
E00104746,100,0,0
E00104749,96.9,3.1,0
E00104750,99.2,0.8,0
E00104751,98.5,1.5,0
E00104752,91.5,6.3,2.1
E00104758,100,0,0
E00104775,100,0,0
E00104776,100,0,0
E00104777,95,5,0
E00104778,100,0,0
E00104779,99.1,0.9,0
E00104780,98.4,1.6,0
E00104781,81.3,18.7,0
E00104782,100,0,0
E00104785,100,0,0
E00104786,99.2,0.8,0
E00104787,97.7,2.3,0
E00104788,80.9,19.1,0
E00104789,99.2,0,0.8
E00104790,99.2,0.8,0
E00104791,98.5,1.5,0
E00104793,100,0,0
E00104794,99.2,0.8,0
E00104801,100,0,0
E00104802,97.6,1.6,0.8
E00104803,100,0,0
E00104804,100,0,0
E00104805,98,0.7,1.3
E00104806,100,0,0
E00104807,83.5,16.5,0
E00104808,100,0,0
E00104809,99.2,0.8,0
E00104810,99.2,0.8,0
E00104812,100,0,0
E00104813,100,0,0
E00104814,99.3,0.7,0
E00104815,99.3,0.7,0
E00104856,97.9,1.7,0.4
E00104864,100,0,0
E00104865,100,0,0
E00104866,100,0,0
E00104867,100,0,0
E00104868,98.7,0.7,0.7
E00104869,99.3,0.7,0
E00104870,98,2,0
E00104871,98.9,0,1.1
E00104872,94.8,5.2,0
E00104873,91.8,8.2,0
E00104874,87.3,12.7,0
E00104875,100,0,0
E00104876,82.9,17.1,0
E00104877,98.4,1.6,0
E00104878,100,0,0
E00104879,100,0,0
E00106030,97.6,2.4,0
E00106031,100,0,0
E00106037,96,4,0
E00139851,95.7,4.3,0
E00139852,93.9,6.1,0
E00139853,99.2,0.8,0
E00139854,89.6,9.6,0.8
E00139859,98.4,1.6,0
E00139860,97.1,2.1,0.7
E00139861,91.8,8.2,0
E00139866,68.4,31.6,0
E00139868,45.9,54.1,0
E00139869,73.8,26.2,0
E00139872,98.4,0.8,0.8
E00139873,100,0,0
E00139901,38.6,60.6,0.8
E00139902,48.1,51.9,0
E00139903,56.2,36.1,7.7
E00139904,67.9,32.1,0
E00139907,100,0,0
E00139908,94.2,5.8,0
E00139909,95.4,4.6,0
E00139914,51.6,48.4,0
E00139915,36.8,63.2,0
E00139927,29.9,70.1,0
E00139928,90.2,9.8,0
E00139929,99.2,0.8,0
E00139930,100,0,0
E00139931,89.9,10.1,0
E00139932,95.9,4.1,0
E00139933,93.7,6.3,0
E00139934,86.7,13.3,0
E00139935,86.8,13.2,0
E00139936,79.3,20.7,0
E00139937,97.2,2.8,0
E00139938,33.6,66.4,0
E00139942,100,0,0
E00139943,95.8,4.2,0
E00139944,76.9,22.4,0.7
E00139945,99.4,0.6,0
E00139946,99.2,0.8,0
E00139947,90.3,9.7,0
E00139948,100,0,0
E00139949,95.9,4.1,0
E00139951,100,0,0
E00139952,100,0,0
E00139953,59.5,40.5,0
E00139954,100,0,0
E00139955,92.3,7.7,0
E00139957,94.2,5.8,0
E00139958,87,13,0
E00139959,73.7,26.3,0
E00139960,100,0,0
E00139961,100,0,0
E00139962,93.1,6.9,0
E00139963,98.5,1.5,0
E00139964,100,0,0
E00139965,99.5,0.5,0
E00139966,75.4,24.6,0
E00139967,91.2,8.8,0
E00139968,92.3,7.7,0
E00139969,99.6,0.4,0
E00139970,71.4,28.6,0
E00139971,95.6,4.4,0
E00139972,94.4,5.6,0
E00139973,100,0,0
E00139974,98.3,1.7,0
E00139975,86.6,13.4,0
E00139976,92.7,7.3,0
E00139977,99.1,0.9,0
E00139978,100,0,0
E00139979,80.9,19.1,0
E00139983,86.7,13.3,0
E00139987,98.6,0.7,0.7
E00139988,98.6,1.4,0
E00139989,99.3,0.7,0
E00139990,100,0,0
E00139991,93.9,6.1,0
E00139993,95.8,3.3,0.8
E00139994,98.3,0.8,0.8
E00139995,96.2,3.8,0
E00139996,74.4,25.6,0
E00139997,92.5,7.5,0
E00139998,90.1,9.9,0
E00139999,100,0,0
E00140000,100,0,0
E00140001,99.2,0.8,0
E00140002,84.8,15.2,0
E00140003,100,0,0
E00140004,100,0,0
E00140005,100,0,0
E00140006,99.2,0.8,0
E00140007,98.5,1.5,0
E00140029,87.9,12.1,0
