areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00087782,27.5,37.6,20.1,14.8
E00087783,9.7,39.5,29,21.8
E00087784,0.7,29.7,33.1,36.6
E00087785,22.9,24.3,31.4,21.4
E00087786,8.6,21.9,29.7,39.8
E00087787,7.2,30.4,56.8,5.6
E00087788,0.8,27.7,48.7,22.7
E00087789,0.9,22.2,54.7,22.2
E00087790,4.2,43.2,40.7,11.9
E00087791,29,26.7,30.5,13.8
E00087792,3.8,21.9,47.5,26.9
E00087793,18.9,38.7,23.4,18.9
E00087794,0,3.4,44.9,51.7
E00087795,8.5,4.3,79.5,7.7
E00087796,13.3,31.7,49.2,5.8
E00087797,3.3,11.5,74.6,10.7
E00087799,23.7,57.1,14.7,4.5
E00087800,0,14.6,57.3,28.2
E00087801,17.1,33.3,42.3,7.3
E00087802,19.7,52.6,22.4,5.3
E00087803,0.8,10.3,69.8,19
E00087804,35,35,18.9,11.2
E00087805,11.3,43,36.6,9.2
E00087806,3,38.8,47.8,10.4
E00087807,30,36.9,28.5,4.6
E00087808,1.9,28.1,62.5,7.5
E00087809,7.9,20.9,41.4,29.7
E00087810,12.6,3.4,69.7,14.3
E00087811,0.8,0.8,63.2,35.2
E00087813,2.8,12.8,69.7,14.7
E00087814,0,14.5,74.8,10.7
E00087815,14.2,15.7,59.7,10.4
E00087816,5.6,7.2,80,7.2
E00087817,19,42.9,32.7,5.4
E00087818,27,48.4,19,5.6
E00087819,2.4,38.4,47.2,12
E00087820,25.7,36.4,32.9,5
E00087821,17.5,33.3,40.1,9
E00087822,13.3,16.8,23.8,46.2
E00087823,7.1,23.2,15.5,54.2
E00087824,3.3,6.5,84.6,5.7
E00087825,4.2,45.8,45,5
E00087826,0.9,19.3,71.1,8.8
E00087827,7.1,35.4,37,20.5
E00087829,22,22.8,42.5,12.6
E00087830,27.2,41.1,10.6,21.2
E00087831,0,18.3,13.7,67.9
E00087929,7.5,25.8,37.5,29.2
E00087930,8.8,15.2,24.8,51.2
E00087931,6.3,26,33.9,33.9
E00087932,7.1,38.9,32.7,21.2
E00087933,4.1,15.4,54.5,26
E00087943,4.3,21.8,43.6,30.3
E00087944,0,31.7,54.5,13.8
E00087945,9,26.9,33.6,30.6
E00087946,10.1,37.2,21.7,30.9
E00087947,4.6,15.4,29.2,50.8
E00087981,19.4,25.1,24.6,30.8
E00087982,1.5,14.8,29.6,54.1
E00087983,0.5,15.7,33.2,50.7
E00087984,5.9,20.3,47.1,26.8
E00087985,2.7,31.3,35.3,30.7
E00087986,4.5,17.4,55.3,22.7
E00087987,2.6,11.6,34.2,51.6
E00087988,3.6,13.7,39.6,43.2
E00087989,0.8,14,45.7,39.5
E00087990,0.6,21.7,47.8,29.9
E00087991,0.6,31.6,49.1,18.7
E00087992,0,4.8,38.9,56.3
E00087993,0.9,18.3,56.9,23.9
E00087994,4,14.3,38.9,42.9
E00087995,1.2,27.8,43.8,27.2
E00087996,0,16.2,25.7,58.1
E00087997,5.4,26.1,41.4,27
E00087998,0,5.8,41.3,52.9
E00087999,33.3,18.1,31.9,16.7
E00088001,3.3,16.6,49.7,30.4
E00088002,4.4,27.1,38,30.6
E00088003,3.4,4.1,57.5,34.9
E00088004,12.4,25.4,20.4,41.8
E00088005,15,15,21.3,48.8
E00088006,0,14.2,60.4,25.4
E00088007,1.5,25.4,41.5,31.5
E00088008,25.5,23.4,41.6,9.5
E00088009,9.2,21.7,37.5,31.7
E00088010,5.4,31.3,47.6,15.6
E00088011,6.5,22.5,42,29
E00088012,7.7,16.2,62,14.1
E00088013,7.3,35.8,21.8,35.2
E00088014,3,12,35.9,49.1
E00088015,0,13.8,32.9,53.3
E00088016,9.4,20.8,34,35.8
E00088017,3.1,12.3,27.7,56.9
E00088018,11.1,34.6,43.1,11.1
E00088019,0,1.5,34.1,64.4
E00088020,1.3,18.4,62.7,17.7
E00088021,4.7,7.1,22,66.1
E00088022,3.6,14.4,40.7,41.2
E00088023,9.6,39.1,24.4,26.9
E00088024,4,10.5,48.4,37.1
E00088025,15.2,41.2,28.5,15.2
E00088026,4.5,19.7,44.7,31.1
E00088027,4.8,27,54,14.3
