areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00106917,57.6,33.3,0,9.1
E00106918,54.3,39.7,0.9,5.2
E00106919,35.5,24.3,35.5,4.6
E00106920,51.8,32.8,2.2,13.1
E00106921,48.6,34.7,0,16.7
E00106922,28.9,31.3,30.1,9.6
E00106923,43.8,46.6,0,9.6
E00106924,50.4,36.4,1.7,11.6
E00107168,48.3,41.6,0.7,9.4
E00107174,49,36.8,5.8,8.4
E00107406,39,41.5,7.5,12
E00107407,51.2,41.1,1.6,6.2
E00107408,46.4,36.2,0,17.4
E00107409,60.3,35.5,0,4.1
E00107410,46.7,39.5,3.9,9.9
E00107412,54.1,34.6,0.8,10.5
E00107413,17.4,30.3,46.8,5.5
E00107414,53.2,29.2,1.3,16.2
E00107415,46.7,32.7,8,12.7
E00107416,53.8,31.4,0.6,14.2
E00107417,42.3,33.6,16.1,8.1
E00107418,47.5,38.2,7.6,6.7
E00107419,50.9,45.5,0,3.6
E00107420,63.6,30.5,0,5.8
E00107421,27.7,26.7,40.5,5.1
E00107431,38.2,40.1,7,14.6
E00107432,56.6,7.2,18.1,18.1
E00107433,67.5,31,0.8,0.8
E00107434,49.7,42.9,3.1,4.3
E00107435,21.8,44.1,21.3,12.8
E00107439,26.4,30.8,38.5,4.4
E00107440,51.3,37.6,1.7,9.4
E00107441,46.3,46.9,0.6,6.2
E00107442,44.4,42.2,1.5,11.9
E00107443,38.2,27.6,22,12.2
E00107444,50.4,45,0,4.7
E00107445,51.9,37,3.2,7.8
E00107446,37.7,35.8,16.6,9.9
E00107447,21.4,18.3,52.4,7.9
E00107449,30.8,12.5,43.3,13.3
E00107450,20,40.9,5.5,33.6
E00107451,37.1,52.4,1.6,8.9
E00107452,20.2,46.8,0.9,32.1
E00107453,40.4,42.5,2.7,14.4
E00107454,46.3,36.7,0,17
E00107455,38.1,41,3.6,17.3
E00107456,33.8,38.2,16.6,11.5
E00107457,10.5,19.5,63.2,6.8
E00107458,35.3,51.7,2.6,10.3
E00107459,25.5,29,8.3,37.2
E00107460,19.5,40.9,29.9,9.7
E00107461,33.1,45.7,0,21.3
E00107462,34.4,45.9,0,19.7
E00107463,52.1,43.7,0.8,3.4
E00107464,56.9,33.9,1.8,7.3
E00107465,26.6,30.3,37.6,5.5
E00107466,59.1,29.2,6.5,5.2
E00107467,42.5,44.9,4.7,7.9
E00107468,29.8,41.7,20.8,7.7
E00107469,66.4,29.5,0,4.1
E00107470,39.3,31,11.9,17.9
E00107471,28.7,22.8,3.5,45
E00107472,62.1,19.2,4.5,14.1
E00107473,51.2,38.4,4.7,5.8
E00107474,40.8,41.8,8.7,8.7
E00107475,39.1,47.7,4.7,8.6
E00107476,54.5,23.4,9.7,12.3
E00107477,52.1,37.5,0,10.4
E00107478,46.8,46.8,0.7,5.8
E00107479,45.2,41.7,1.8,11.3
E00107480,63.4,29.3,0,7.3
E00107481,57.9,28.6,0.7,12.9
E00107482,61.8,32.1,1.5,4.6
E00107483,60.8,23.5,0,15.7
E00107484,49.6,36.1,0,14.3
E00107485,63.1,33.3,0,3.5
E00107486,58.4,36.9,0,4.7
E00107487,44,24.1,29.8,2.1
E00107488,63.2,31.3,0,5.6
E00107489,46.7,41.1,0.9,11.2
E00107490,27.8,45.7,1.2,25.3
E00107491,68.7,20.9,0.7,9.7
E00107492,41.2,31.6,21.1,6.1
E00107493,65.7,22.6,0.7,10.9
E00107494,59.7,29.5,0,10.9
E00107495,33.6,43.2,4.8,18.4
E00107496,43.2,40.5,1.4,14.9
E00107497,34.6,40,0.8,24.6
