geography_code,disability_3a-001,disability_3a-002
E02001514,23.6,76.4
E02001522,26.3,73.7
E02001528,25,75
E02001530,23.6,76.4
E02001533,23.3,76.7
E02001534,20.9,79.1
E02001539,21.7,78.3
E02001540,21.1,78.9
E02001541,22.9,77.1
E02001542,22.6,77.4
E02001543,23.9,76.1
E02001544,21.3,78.7
E02001545,17.8,82.2
E02001546,23.8,76.2
E02001547,21.1,78.9
E02001548,23,77
E02001549,18.4,81.6
E02001550,19.7,80.3
E02001551,18.9,81.1
E02001552,19.6,80.4
E02001553,20.2,79.8
E02001554,17.5,82.5
E02001555,20,80
E02001556,20.3,79.7
E02001557,16.9,83.1
E02001558,21.2,78.8
E02001559,17.2,82.8
E02001560,18.9,81.1
E02001561,19,81
E02001562,23.2,76.8
E02001563,18,82
E02001564,15.7,84.3
E02001565,15,85
E02001566,15.5,84.5
E02001567,20.9,79.1
E02001568,21.5,78.5
E02001569,24.4,75.6
E02001570,26.5,73.5
E02001571,19.7,80.3
E02001572,22.6,77.4
E02001573,22.8,77.2
E02001574,18.1,81.9
E02001575,22.6,77.4
E02001576,15.4,84.6
E02001577,19.9,80.1
E02001578,19.8,80.2
E02001579,25,75
E02001580,22.9,77.1
E02001581,21.3,78.7
E02001582,22.2,77.8
E02001583,21.5,78.5
E02001585,25.8,74.2
E02001586,27.1,72.9
E02001587,25.8,74.2
E02001588,25.5,74.5
E02001589,18.2,81.8
E02001590,26.7,73.3
E02001591,21.3,78.7
E02001592,19.8,80.2
E02001593,21.3,78.7
E02001594,21.3,78.7
E02001595,20.2,79.8
E02001596,22.2,77.8
E02001597,23.9,76.1
E02001598,20.8,79.2
E02001600,16.4,83.6
E02001602,19.3,80.7
E02001603,22.2,77.8
E02001604,17.3,82.7
E02001605,20.5,79.5
E02001606,21.6,78.4
E02001607,20.7,79.3
E02001608,17.5,82.5
E02001609,19.3,80.7
E02001610,18.7,81.3
E02001628,17.3,82.7
E02001642,17.6,82.4
E02001647,21.1,78.9
E02001654,22.8,77.2
E02001655,22.2,77.8
E02001659,27.8,72.2
E02001666,21.9,78.1
E02001671,21.9,78.1
E02001673,15.6,84.4
E02001675,26,74
E02002330,14.2,85.8
E02002331,23.3,76.7
E02002334,15,85
E02002359,15.8,84.2
E02002403,19.6,80.4
E02002406,15.1,84.9
E02002417,17.8,82.2
E02002418,17.4,82.6
E02002432,17.1,82.9
E02002438,24.2,75.8
E02002439,21.9,78.1
E02002440,21.9,78.1
E02002441,22.8,77.2
E02002442,17.9,82.1
E02002447,21.7,78.3
E02002448,22.4,77.6
E02002449,18,82
E02002450,17.8,82.2
E02002452,22.5,77.5
E02002455,22.1,77.9
E02002460,19.3,80.7
E02002461,19.1,80.9
E02002464,21.5,78.5
E02002471,17.4,82.6
E02002476,25.7,74.3
E02002478,20.7,79.3
E02002479,26.3,73.7
E02002480,26.2,73.8
E02002481,22.1,77.9
E02002482,24.3,75.7
E02002653,25.6,74.4
E02002654,20.9,79.1
E02002655,24.1,75.9
E02002656,21.1,78.9
E02002657,18.8,81.2
E02002658,19.8,80.2
E02002659,22,78
E02002660,23.6,76.4
E02002661,22.3,77.7
E02002662,22.4,77.6
E02002663,17.2,82.8
E02002664,14.4,85.6
E02002665,17.7,82.3
E02002666,17.3,82.7
E02002667,17.1,82.9
E02002668,24.6,75.4
E02002669,16.8,83.2
E02002670,21.9,78.1
E02002671,20.7,79.3
E02002672,21.8,78.2
E02002673,18.4,81.6
E02002674,17.7,82.3
E02002675,21.8,78.2
E02002676,19.5,80.5
E02002677,21,79
E02002678,16.6,83.4
E02002679,18.6,81.4
E02002680,22.4,77.6
E02002681,20.4,79.6
E02002682,21.2,78.8
E02002684,24.6,75.4
E02002685,21.5,78.5
E02002686,28.9,71.1
E02002687,28.2,71.8
E02002688,28.4,71.6
E02002689,19.8,80.2
E02002691,17.9,82.1
E02002692,16.4,83.6
E02002693,19.3,80.7
E02002694,16.1,83.9
E02002695,25,75
E02002696,15.2,84.8
E02002697,17,83
E02002698,17,83
E02002699,15.1,84.9
E02002700,22.7,77.3
E02002701,15.3,84.7
E02002702,19.2,80.8
E02002703,14.8,85.2
E02002704,18.6,81.4
E02002705,17.7,82.3
E02002706,17.6,82.4
E02002707,15.3,84.7
E02002708,21.9,78.1
E02002709,19.5,80.5
E02002710,16.4,83.6
E02002711,15.1,84.9
E02002712,20.8,79.2
E02002714,19.6,80.4
