geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02000024,90.5,0.5,8,1.1
E02000025,89.5,0.4,9.3,0.8
E02000026,90.9,0.2,8.3,0.6
E02000027,92.2,0.3,6.8,0.7
E02000028,89.1,0.4,9.5,1.1
E02000029,90,0.3,8.4,1.3
E02000030,91.8,0.3,7.1,0.8
E02000031,89.3,0.3,9.2,1.2
E02000032,93.5,0.3,5.4,0.8
E02000033,92.1,0.2,7.1,0.6
E02000034,90.6,0.4,7.7,1.2
E02000035,85.7,0.5,11.4,2.5
E02000036,92.5,0.3,6.2,1
E02000037,91.9,0.3,6.9,0.9
E02000277,92.2,0.2,7.1,0.5
E02000278,93.2,0.3,5.9,0.6
E02000279,91.5,0.1,7.5,0.9
E02000280,92.8,0.2,6.5,0.5
E02000281,91.8,0.2,7.6,0.5
E02000282,92,0.2,6.8,1
E02000283,92.4,0.1,6.7,0.7
E02000284,90.3,0.2,8.8,0.8
E02000285,93.1,0.3,6,0.6
E02000286,88.7,0.1,10.5,0.6
E02000287,90.8,0.2,7.8,1.2
E02000288,92.2,0.2,7.1,0.6
E02000289,92.4,0.3,6.8,0.5
E02000290,90.2,0.2,8.9,0.7
E02000291,89.6,0.2,9,1.2
E02000292,91.2,0.2,8,0.7
E02000293,93.3,0.4,5.6,0.8
E02000294,90.7,0.3,8.3,0.7
E02000295,90.7,0.3,7.9,1.2
E02000296,87.9,0.2,10.3,1.6
E02000297,93.6,0.2,5.6,0.6
E02000298,90.8,0.2,8.1,0.9
E02000299,91.8,0.1,7.3,0.8
E02000300,90.5,0.1,8.5,0.9
E02000301,91.8,0.2,7.1,0.9
E02000302,91.7,0.2,6.9,1.3
E02000303,91.6,0.2,7.5,0.7
E02000304,91.7,0.4,6.9,1.1
E02000305,90.1,0.3,8.4,1.2
E02000306,93.5,0.2,5.6,0.7
E02000307,92.3,0.2,6.7,0.8
E02000433,89.4,0.3,8.7,1.5
E02000895,93.1,0.1,6.3,0.5
E02000898,92.2,0.1,7.1,0.6
