geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02003491,7.8,24.3,68
E02003492,19.5,24.5,56
E02003493,7.1,27.4,65.5
E02003494,7.2,23.5,69.3
E02003495,5.8,25.3,69
E02003496,7,27.8,65.3
E02003497,6.3,20.4,73.3
E02003498,15.2,33.8,51.1
E02003499,20.9,21.8,57.3
E02003500,11.8,19.9,68.3
E02003501,8.2,29.8,62
E02003502,7.6,28.6,63.9
E02003503,8.8,24.1,67.1
E02003504,11.5,34.5,54.1
E02003505,24.3,32.5,43.2
E02003506,8.5,27,64.5
E02003507,7.8,23.9,68.3
E02003508,23.5,24.5,52
E02003509,9.9,42.8,47.3
E02003510,10.4,37.9,51.7
E02003511,8.2,28.9,62.8
E02003512,20,32.7,47.3
E02003513,7.1,35.6,57.3
E02003514,10.4,47,42.5
E02003515,11,32.1,57
E02003516,10.6,48.5,41
E02003517,17.5,43.1,39.4
E02003518,6.9,49.6,43.5
E02003519,10.7,50.7,38.6
E02003520,13.1,47.1,39.8
E02003521,10.5,50,39.5
E02003522,9.8,42.8,47.4
E02003523,5.8,31.1,63.1
E02004380,5.4,25.9,68.8
E02004383,5.4,30.2,64.4
E02004384,6.4,30.4,63.3
E02004385,6.3,31.8,61.9
E02006373,5.6,26.9,67.5
E02006374,5.4,29.5,65
E02006391,5.2,21.3,73.5
E02006392,7.8,32.9,59.4
E02006437,4.8,27.1,68.2
E02006438,7.1,24.8,68.1
E02006448,4.2,22.5,73.3
E02006449,3.6,30.8,65.6
E02006450,4.7,23.1,72.2
E02006451,3.6,29.1,67.4
E02006453,4.7,27.6,67.7
E02006534,7.1,24.8,68.1
E02006535,4.8,25.2,70
E02006536,6.3,22.6,71.1
E02006537,7,30.3,62.7
E02006538,5.5,36.2,58.4
E02006539,6.4,29.8,63.8
E02006540,5.7,33.1,61.2
E02006541,5.6,38.3,56.2
E02006542,4.8,34,61.2
E02006543,5,27.8,67.2
E02006544,5.4,24.8,69.9
E02006545,6.5,24.9,68.6
E02006546,5.2,28,66.8
E02006547,5.7,27.2,67.2
E02006548,4.9,29.3,65.8
E02006549,3.9,31,65.1
E02006550,5.6,30.4,64
E02006551,3.2,39.4,57.4
E02006552,5.8,46.4,47.8
E02006553,6.8,25.4,67.8
E02006554,4.5,33.8,61.8
E02006555,9.7,30.7,59.5
E02006556,5.3,27.5,67.2
E02006557,10.3,26.9,62.9
E02006558,8.1,46,46
E02006562,4.4,21.7,73.9
E02006565,4.1,30.5,65.5
E02006575,15.9,22.2,61.9
E02006576,6.3,21.7,72
E02006577,9.4,28.5,62.1
E02006578,12.6,28.7,58.7
E02006579,9.9,26.3,63.8
E02006580,7.3,24.3,68.4
E02006581,11.1,30.2,58.7
E02006582,5.8,18.9,75.3
E02006583,8.3,26.2,65.4
E02006584,9.7,25,65.3
E02006585,10.5,24.9,64.6
E02006586,14.9,16.9,68.2
E02006587,8.2,29.8,62.1
E02006588,5.5,30.3,64.3
E02006589,3.4,23.1,73.5
E02006590,4.2,30.1,65.7
E02006591,4.5,33.1,62.3
E02006592,5.8,22.7,71.5
E02006593,5.3,38.7,56
E02006594,4.1,25.7,70.3
E02006595,4.7,22.3,73
E02006596,2.9,24,73.1
E02006597,4.3,26.5,69.1
E02006598,5,23.6,71.4
E02006599,4.3,23,72.7
E02006600,3.6,34.8,61.6
E02006601,4.6,30.6,64.8
E02006602,4.8,19.3,75.9
E02006603,3.8,32.5,63.8
E02006604,4.6,34.5,60.8
E02006605,7,23,70
E02006607,4.6,24.1,71.3
E02006608,4.5,24.6,70.9
E02006609,5.3,23.9,70.8
E02006610,5,25.8,69.1
E02006611,3.5,24.7,71.8
E02006612,4.8,36.4,58.8
E02006613,4.8,30.8,64.4
E02006614,4.8,24.9,70.3
E02006615,4.7,21.8,73.5
E02006616,4.4,24.3,71.3
E02006617,5.5,34.8,59.7
E02006618,4.6,22.4,73
E02006619,5,24.4,70.6
E02006620,3.5,28,68.5
E02006621,5.6,25.6,68.8
E02006622,5.5,30,64.5
E02006623,5.6,30.2,64.2
E02006624,6.4,21.5,72.1
E02006625,6.3,27.9,65.8
E02006626,6.5,23,70.5
E02006627,5.2,31,63.8
E02006628,6.3,35.8,57.9
E02006629,6.2,32.6,61.2
E02006630,4.9,50.1,45
E02006631,6,50.3,43.7
E02006632,5,36.3,58.8
E02006633,4.9,30.2,64.9
