geography_code,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02001327,98.9,1.1,0
E02001328,94.4,5.6,0
E02001329,76.8,23.2,0
E02001330,92,7.9,0.1
E02001331,94.8,5.2,0
E02001332,82.6,17.4,0
E02001334,96.3,3.7,0
E02001336,86.4,13.6,0
E02001337,94,6,0
E02001338,93.1,6.9,0
E02001340,94.4,5.6,0
E02001341,84.7,15.1,0.1
E02001342,93.1,6.9,0
E02001343,91.6,4.6,3.8
E02001344,84,16,0
E02001345,97,3,0
E02001346,85.7,14.3,0
E02001347,90.7,9.3,0
E02001348,94.5,5.5,0
E02001349,86.3,13.7,0
E02001350,88.6,11.4,0
E02001351,89.7,10.3,0
E02001352,79.8,20.2,0
E02001353,99.2,0.8,0
E02001354,90.6,9.4,0
E02001355,85.6,14.3,0.1
E02001356,96.3,3.6,0.1
E02001357,98.9,1.1,0
E02001358,93.7,6.2,0
E02001359,91.7,8.3,0
E02001360,76.6,23.4,0
E02001361,90.7,9.3,0
E02001362,91.1,8.9,0
E02001363,86.7,13.3,0
E02001364,83.5,16.5,0
E02001365,87.1,12.8,0.1
E02001366,80.7,19.2,0
E02001367,85.9,14.1,0
E02001368,73.3,26.7,0
E02001369,63.4,36.6,0
E02001370,75.6,24.4,0
E02001371,93.7,6.3,0
E02001372,77.5,22.5,0
E02001373,86.6,13.4,0
E02001374,52.2,47.7,0.1
E02001375,92.1,7.8,0
E02001376,86.8,13.1,0.1
E02001377,62.2,37.8,0
E02001378,75.1,24.9,0
E02001380,93.9,6.1,0
E02001381,87.5,12.5,0
E02001382,98.8,1.2,0
E02001383,24.1,75.8,0
E02001384,81.8,18.2,0
E02001385,71,29,0
E02001386,86.5,13.5,0
E02001387,87.9,12.1,0
E02001388,85.2,14.8,0
E02001389,26.1,73.8,0.1
E02001390,70.3,29.5,0.2
E02001391,96.9,3.1,0
E02001392,89.9,10.1,0
E02001393,88.3,11.7,0
E02001394,39.6,60.4,0
E02001395,92.5,7.4,0
E02001396,75,25,0
E02001397,67.4,32.6,0
E02001398,58.7,41.3,0
E02001399,93.3,6.7,0
E02001400,83,17,0
E02001401,87.1,12.9,0
E02001402,74.5,25.4,0
E02001403,80.3,19.6,0
E02001404,88.8,11.2,0
E02001405,89.7,10.2,0
E02001429,98.3,1.7,0
E02001430,93.5,6.5,0
E02001431,47.7,52.3,0
E02001432,22.7,77.2,0.1
E02001433,93.4,6.6,0
E02001434,87.4,12.6,0
E02001435,64.6,35.4,0
E02001436,89.8,10.1,0.1
E02001437,56.8,43.2,0
E02001438,95,5,0
E02001439,84.1,15.9,0
E02001440,94,4.8,1.2
E02001441,96.9,3,0.1
E02001442,79.4,20.5,0.1
E02001443,94.8,5.1,0
E02001444,96.4,3.6,0
E02001445,93.5,6.5,0
E02001446,93.6,6.4,0
E02001447,88.4,11.6,0
E02001448,92,8,0
E02001449,93.3,6.7,0.1
E02001450,70.7,29.3,0
E02001451,83.8,16.2,0
E02001452,78.2,21.8,0
E02001453,90,10,0
E02001454,95.9,4.1,0
E02001455,96.9,3,0
E02001456,77.7,22.2,0.1
E02001457,78.7,21.3,0
E02001458,75.5,24.5,0
E02001459,92.3,7.7,0
E02001460,57.4,42.6,0
E02001461,91.8,8.2,0
E02001462,78.9,21.1,0
E02001463,93,6.9,0.1
E02001464,86.9,13,0.1
E02001465,56.9,43.1,0
E02001466,84.7,15.3,0
E02001467,57.1,42.9,0
E02001468,70.3,29.7,0
E02001469,74.5,25.5,0
E02001470,88.4,11.6,0
E02001471,75.1,24.9,0.1
E02001472,88.8,11.1,0.1
E02001473,86.2,13.7,0.1
E02001474,80.2,19.8,0
E02001475,78.6,21.3,0
E02001476,83.8,16.2,0
E02001477,88.1,11.9,0
E02001478,90.1,9.9,0
E02001479,93.9,3.4,2.7
E02001480,73,27,0
E02001481,83.9,16.1,0
E02001482,51.5,48.5,0.1
E02001483,96.4,3.6,0
E02001484,82.2,17.8,0
E02001485,91.4,8.6,0
E02001486,43.3,56.7,0
E02001487,80.6,19.3,0
E02001488,72.5,27.5,0
E02001489,92.6,7.4,0
E02001490,96.9,3.1,0
E02001491,81.3,18.7,0
E02001492,68.6,31.3,0.1
E02001493,74.9,25.1,0
E02001494,92.9,7.1,0
E02001495,86.4,13.5,0.1
E02001496,83.8,16.2,0
E02001497,81.2,18.8,0
E02001498,89.5,10.4,0
E02001499,96.3,3.6,0.1
E02001500,93.5,6.5,0
E02001501,95.9,4.1,0
E02001502,88,12,0
E02001503,82.8,17.2,0
E02001504,95.4,4.6,0
E02001505,86.8,13.2,0
E02001506,95.6,4.4,0
E02001507,94.3,5.7,0
E02001508,91.4,8.6,0
E02002633,88.9,11,0
E02002634,79.6,20.4,0
E02002635,78.6,21.3,0
E02002636,86.8,13.2,0.1
E02002637,94.3,5.7,0
E02002638,43.6,56.3,0.1
E02002639,71.9,28,0
E02002640,71,29,0
E02002641,89.4,10.5,0.1
E02002642,46.6,53.2,0.1
E02002643,83.1,16.8,0.1
