geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E02002722,9,32.8,40.3,17.9
E02003742,5,30,43.6,21.5
E02003743,11.5,33.5,43.1,11.9
E02003744,15.8,32.3,36.4,15.5
E02003745,6.1,26.3,43.2,24.4
E02003746,5.3,30.3,49.3,15.1
E02003748,10.7,36.2,41.3,11.8
E02003750,11,32.6,34.1,22.2
E02003751,4.3,26.5,40.6,28.6
E02005417,3.3,27,48.9,20.8
E02005425,2.6,23.1,47.4,26.8
E02005426,6.8,29.2,46.4,17.5
E02005428,8.6,46,30.9,14.5
E02005429,7.5,49.7,32.2,10.5
E02005431,4.8,32.8,42.5,19.9
E02005432,2.8,22.7,42.6,32
E02005433,8,51.3,30.6,10.1
E02005435,9,43.4,35.1,12.6
E02005436,4.6,36.6,41.9,17
E02005437,28,30.1,24.2,17.7
E02005438,11.1,41.2,36.7,10.9
E02005440,5.1,31.2,46.5,17.2
E02005466,2,26.1,52.1,19.9
E02005467,7.4,36.7,42.4,13.6
E02005472,5.9,33.2,45.1,15.7
E02005474,2.1,25.3,49,23.6
E02005503,2.8,24.2,44.8,28.2
E02005504,3.1,24.9,41.7,30.2
E02005505,9.6,23.4,39.9,27.1
E02005506,3.7,26.7,41.1,28.5
E02005507,11.7,32.8,41.4,14.1
E02005508,5.4,22.2,40.6,31.8
E02005509,9,33.8,38.8,18.5
E02005510,4.1,27.3,43,25.7
E02005511,7,33.8,44.1,15.1
E02005512,2.8,20.2,45.1,31.9
E02005513,8.4,30.1,41.8,19.7
E02005514,3,28.7,44,24.4
E02005515,4.3,20,41.6,34.2
E02005520,7.1,28.3,40.7,24
E02005521,5.8,26.3,38.5,29.3
E02005522,4.3,23.7,45,27
E02005523,4.2,21.8,42.5,31.5
E02005524,5.6,24.4,47.1,22.9
E02005525,5.8,20.2,37,37
E02005526,5.9,26.5,38.9,28.7
E02005527,4.6,16.9,39.9,38.6
E02005528,4.9,23,49.5,22.6
E02005529,4.5,26.3,52.5,16.7
E02005530,6.1,25.7,50.1,18.1
E02005531,6.8,25.6,49.7,18
E02005532,5.9,31.3,46.6,16.2
E02005533,5,20.9,44.5,29.6
E02005534,8.2,27.7,46.5,17.6
E02005535,5.9,21.9,35.4,36.7
E02005536,4.9,19.7,43.4,32.1
E02005537,5.1,27.2,44.5,23.2
E02005538,3.9,29.2,42.9,23.9
E02005539,3.8,24.9,46.1,25.2
E02005540,6,36.1,43.1,14.9
E02005541,13.5,18.1,50.9,17.5
E02005542,24.3,36.6,31,8.1
E02005543,27.1,34.2,29.4,9.3
E02005544,13,35.5,42.5,9
E02005545,6.6,29,43.5,20.9
E02005546,14.2,41,37.9,6.9
E02005547,9.1,25.5,45.1,20.3
E02005548,9.1,30.2,52.4,8.3
E02005549,5.4,27.6,46.2,20.7
E02005550,7.9,31.6,41.8,18.7
E02005551,14,35.7,31.3,19.1
E02005552,3.9,24.9,43.6,27.7
E02005553,7.7,34.5,40.4,17.4
E02005554,6.2,31.6,43.4,18.8
E02005555,0.9,15.5,37,46.6
E02005556,4.8,23.5,53.4,18.2
E02005557,9,37.2,48.3,5.6
E02005558,4.7,27,44.3,24
E02005559,10.8,24.5,50,14.7
E02005560,12.3,25.7,49.4,12.6
E02005561,26,35.4,30.9,7.6
E02005562,4.8,26.7,43.6,24.9
E02005563,4.6,19.3,46.3,29.8
E02005564,2.4,23.5,43.8,30.3
E02005565,3.7,27.5,43.8,24.9
E02005566,4.4,26.1,44,25.5
E02005567,9,34.9,37.6,18.5
E02005568,3.4,27.1,43,26.5
E02005569,2.9,26.3,46.7,24.1
E02005570,10.8,28,38.1,23.2
E02005571,6.7,29.3,41.9,22.1
E02005572,17.1,39.6,30.8,12.5
E02005573,7.3,35.7,39.2,17.8
E02005574,4.3,31.5,42.8,21.4
E02005575,3.3,28.7,44,24.1
E02005576,6.5,33.5,38.3,21.7
E02005577,4.6,25.5,44.5,25.4
E02005578,4.8,30.4,45.7,19.1
E02005580,10.5,32.1,42,15.4
E02005581,2.6,31,44.1,22.3
E02005582,9,30.7,41.2,19.1
E02005583,4.5,26.1,44.8,24.6
E02005584,14.4,32.5,41.8,11.4
E02005585,13.3,30.5,48,8.1
E02005586,14.7,38.3,40.8,6.2
E02005587,7.8,25,60.3,6.8
E02005588,10.8,26.4,43.9,18.9
E02005589,10.6,26.2,48.6,14.6
E02005592,14.5,27.6,35.4,22.5
E02005593,10.7,22.6,43.6,23.1
E02005594,22.4,33,30.1,14.6
E02005595,6.8,17.5,39.2,36.5
E02005596,14,30.6,48.8,6.6
E02005598,4.7,18,37.3,40.1
E02005599,6.3,22.3,42.3,29
E02005600,5,20.9,40.8,33.4
E02005601,14,30.6,36.1,19.2
E02005602,6.4,21.8,37.9,33.9
E02005603,4,23.5,41.5,31
E02005604,6.2,20.6,42.3,30.9
E02005605,4.3,19.3,41.7,34.7
E02005606,4.3,21,45.6,29.2
E02005607,3.6,22.3,42.4,31.7
E02006302,5.5,23.1,42.6,28.8
E02006303,15.4,18.5,50.1,16.1
E02006304,6,32.4,46.6,14.9
E02006907,39.9,39.6,13.1,7.4
E02006908,19.5,45.2,26,9.3
E02007032,9.8,32.5,41.9,15.9
E02007033,10.8,34.9,40,14.2
E02007052,33.3,46.4,16.7,3.6
E02007053,40.8,40.1,11.7,7.5
E02007054,4.9,25.1,40.8,29.3
E02007055,7.4,29.7,46.3,16.6
