geography_code,sex-001,sex-002
W00007124,54.5,45.5
W00007125,47.9,52.1
W00007126,51.5,48.5
W00007127,57,43
W00007197,52,48
W00007198,46.3,53.7
W00007199,54,46
W00007200,53.6,46.4
W00007201,51.4,48.6
W00007202,55.5,44.5
W00007203,51,49
W00007204,50.8,49.2
W00007205,52.5,47.5
W00007206,52.7,47.3
W00007207,54.7,45.3
W00007208,51.9,48.1
W00007209,50.2,49.8
W00007210,50,50
W00007211,51.4,48.6
W00007212,49.1,50.9
W00007355,48.7,51.3
W00007356,44.7,55.3
W00007357,49.3,50.7
W00007358,47.5,52.5
W00007359,51.5,48.5
W00007360,51.5,48.5
W00007468,52.1,47.9
W00007469,52.3,47.7
W00007470,51.1,48.9
W00007471,52.5,47.5
W00007472,50.5,49.5
W00007473,49.7,50.3
W00007474,50.3,49.7
W00007475,51.3,48.7
W00007517,50.4,49.6
W00007518,44.7,55.3
W00007519,51.8,48.2
W00007520,52.7,47.3
W00007521,50.2,49.8
W00007522,46.8,53.2
W00007523,50.4,49.6
W00007524,49.8,50.2
W00007525,51,49
W00007526,50.4,49.6
W00007527,52.4,47.6
W00007528,51.5,48.5
W00007529,49.3,50.7
W00007530,49.8,50.2
W00007531,50.8,49.2
W00007532,52.7,47.3
W00007533,50.9,49.1
W00007534,51.1,48.9
W00007535,51,49
W00007536,53.2,46.8
W00007537,57,43
W00007538,46.5,53.5
W00007539,54.5,45.5
W00007556,47.2,52.8
W00007557,53.4,46.6
W00007558,48.5,51.5
W00007559,51.5,48.5
W00007560,52.3,47.7
W00007561,53.5,46.5
W00007562,50.8,49.2
W00007563,52.9,47.1
W00007564,49,51
W00007565,47.2,52.8
W00007566,50,50
W00007567,51.7,48.3
W00007568,50,50
W00007569,44.6,55.4
W00007570,52,48
W00007571,50.8,49.2
W00007572,46.6,53.4
W00007573,56.8,43.2
W00007574,48,52
W00007575,51.4,48.6
W00007576,51.2,48.8
W00007577,50,50
W00007578,49.1,50.9
W00007579,48.3,51.7
W00007580,47,53
W00007581,46.7,53.3
W00007582,49.6,50.4
W00007583,49.8,50.2
W00007584,50.5,49.5
W00007585,50.3,49.7
W00007586,53.1,46.9
W00007587,47.4,52.6
W00007588,48.5,51.5
W00007589,50,50
W00007606,48.8,51.3
W00007607,49.2,50.8
W00007609,47.3,52.7
W00007610,50.4,49.6
W00007611,50.5,49.5
W00007612,52.6,47.4
W00007613,53.6,46.4
W00007614,51.3,48.7
W00007615,49,51
W00007616,54.1,45.9
W00007618,55.5,44.5
W00007619,54.7,45.3
W00007620,54.7,45.3
W00007621,52.5,47.5
W00007622,50.7,49.3
W00007623,49.2,50.8
W00007624,54.5,45.5
W00007625,47.2,52.8
W00007626,49.7,50.3
W00007627,50,50
W00007628,50.2,49.8
W00007629,52.3,47.7
W00007630,50.4,49.6
W00007631,47.9,52.1
W00007632,46.1,53.9
W00007633,48.8,51.3
W00007634,49.4,50.6
W00007635,56.4,43.6
W00007636,51.9,48.1
W00007637,55.7,44.3
W00007638,53.4,46.6
W00007640,51.4,48.6
W00007641,53.3,46.7
W00007642,50.7,49.3
W00007643,52.6,47.4
W00007644,53,47
W00007645,52.4,47.6
W00007646,46.6,53.4
W00007647,53.9,46.1
W00007665,49.2,50.8
W00007666,46.4,53.6
W00007668,50.1,49.9
W00007672,47.7,52.3
W00007673,54.7,45.3
W00007674,51.9,48.1
W00007675,51.3,48.7
W00007676,49.4,50.6
W00007677,46.6,53.4
W00007678,49.7,50.3
W00007679,53.8,46.2
W00007680,55.6,44.4
W00007681,49.5,50.5
W00007682,50.7,49.3
W00007683,52.7,47.3
W00007684,52.9,47.1
W00007685,50.4,49.6
W00007686,52.5,47.5
W00007687,48.3,51.7
W00007688,52.2,47.8
W00007689,48.8,51.2
W00007690,48.7,51.3
W00007691,50.9,49.1
W00007692,49.6,50.4
W00007693,51.2,48.8
W00007694,51,49
W00007695,49.8,50.2
W00007696,55,45
W00007697,55.2,44.8
W00007698,52.5,47.5
W00007699,47.8,52.2
W00007700,48.5,51.5
W00007701,44.4,55.6
W00007702,55.7,44.3
W00007703,47.8,52.2
W00007704,47.8,52.2
W00007705,56.1,43.9
W00007706,52.9,47.1
W00007707,51.1,48.9
W00007708,54.3,45.7
W00007709,53.6,46.4
W00007719,52.5,47.5
W00007720,52.7,47.3
W00007721,48,52
W00007722,51.9,48.1
W00007723,54.1,45.9
W00007724,49.1,50.9
W00007725,50,50
W00007726,49,51
W00007727,51.5,48.5
W00007728,49.6,50.4
W00007729,52.9,47.1
W00007730,54.7,45.3
W00007731,49.6,50.4
W00007732,52.4,47.6
W00007733,48.6,51.4
W00007734,53.8,46.2
W00007735,49.6,50.4
W00007736,54.9,45.1
W00007737,55.4,44.6
W00007738,50.8,49.2
W00007739,49.4,50.6
W00007740,56.2,43.8
W00007741,53.7,46.3
W00009795,52.4,47.6
W00009796,50.8,49.2
W00010316,53.5,46.5
W00010336,54.6,45.4
W00010350,50,50
