geography_code,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E00036194,97,3,0,0
E00036198,99.3,0.7,0,0
E00036204,96.4,1.4,0,2.2
E00036205,97.6,0.8,0,1.6
E00036206,98.3,0.8,0.8,0
E00036207,99.2,0.8,0,0
E00036208,98.5,1.5,0,0
E00036209,97,2.3,0,0.8
E00036210,97.1,2.9,0,0
E00036211,98.3,0.9,0.9,0
E00036212,95.6,2.2,0,2.2
E00036214,98.2,0.9,0.9,0
E00036384,95.7,4.3,0,0
E00036385,97.7,2.3,0,0
E00036386,98.4,1.6,0,0
E00036387,100,0,0,0
E00036391,98.3,0,0,1.7
E00036392,98,1.4,0.7,0
E00036393,99.3,0.7,0,0
E00036394,96.9,2.3,0,0.8
E00036395,100,0,0,0
E00036396,99.2,0.8,0,0
E00036397,96.5,1.4,0.7,1.4
E00036398,98.9,0,0.5,0.5
E00036399,99.3,0.7,0,0
E00036400,98.2,1.8,0,0
E00036401,98.4,0.8,0,0.8
E00036402,99.2,0.8,0,0
E00036403,98.6,0.7,0.7,0
E00036404,98.6,0.7,0,0.7
E00036405,97,3,0,0
E00036427,99.2,0,0.8,0
E00036428,100,0,0,0
E00036429,96.4,2.1,0,1.4
E00036430,97.9,0.7,0.7,0.7
E00036431,95,3.1,1.2,0.6
E00036432,99.2,0.8,0,0
E00036433,100,0,0,0
E00036434,95.4,3.1,0,1.5
E00036435,98.7,0.6,0,0.6
E00036436,96.5,2.6,0,0.9
E00036437,100,0,0,0
E00092644,95.6,3.7,0,0.7
E00093444,95.3,4.7,0,0
E00093445,99.2,0.8,0,0
E00093446,97.6,1.6,0.8,0
E00093447,100,0,0,0
E00093448,100,0,0,0
E00093449,100,0,0,0
E00093510,97.7,0.8,0,1.6
E00093511,99.2,0,0,0.8
E00093512,100,0,0,0
E00093513,99.2,0.8,0,0
E00093514,100,0,0,0
E00093515,96.9,2.4,0,0.8
E00093516,99.3,0.7,0,0
E00093517,98.4,1.6,0,0
E00093518,98.2,0.9,0.9,0
E00093519,99.2,0,0,0.8
E00093520,96.9,1.6,0,1.6
E00093521,96.1,2.3,0,1.6
E00093522,96.9,1.2,0.6,1.2
E00093523,98.5,1.5,0,0
E00093524,95.9,0.7,0.7,2.8
E00093525,97,2.3,0.8,0
E00093527,89.7,4.8,2.4,3.2
E00093528,98.8,1.2,0,0
E00093529,96.8,1.3,0,1.9
E00093530,94.3,1.3,0,4.4
E00093531,98.7,0.7,0,0.7
E00093532,97.7,2.3,0,0
E00093533,93,5.5,1.6,0
E00093534,99.3,0.7,0,0
E00093535,99.4,0,0,0.6
E00093536,99.2,0.8,0,0
E00093537,99.3,0,0,0.7
E00093538,100,0,0,0
E00093539,99.1,0.9,0,0
E00093540,97.1,1.8,0,1.2
E00093541,98.7,0,0,1.3
E00093542,98.6,1.4,0,0
E00093543,100,0,0,0
E00093544,98.4,1.6,0,0
E00093545,100,0,0,0
E00093546,99.3,0,0.7,0
E00093574,100,0,0,0
E00093575,97.3,1.8,0,0.9
E00093576,95.7,3.4,0.9,0
E00093577,100,0,0,0
E00093578,98.5,0.8,0,0.8
E00093579,99.2,0.8,0,0
E00093580,99.3,0,0,0.7
E00093581,98.3,0.8,0,0.8
E00093582,100,0,0,0
E00093583,98.3,1.7,0,0
E00093584,99.1,0.9,0,0
E00093585,97.6,2.4,0,0
E00093700,99.2,0.8,0,0
E00093701,98.5,0.8,0,0.8
E00093702,99.3,0.7,0,0
E00093703,99.3,0.7,0,0
E00093704,98.5,1.5,0,0
E00093707,98.6,0,0,1.4
E00093708,98.5,1.5,0,0
E00093709,98.2,1.2,0,0.6
E00093711,97.9,1,0,1
E00188922,97.4,1.8,0,0.9
E00188929,100,0,0,0
E00188937,100,0,0,0
W00001359,94.3,1.1,0,4.5
W00001361,100,0,0,0
W00001490,98.4,0,0.8,0.8
W00001542,89.2,3.1,0,7.7
W00001543,89.1,1.1,4.3,5.4
W00001544,98,0,2,0
W00001545,91.5,2.3,0.8,5.4
W00001546,94.6,0.8,1.5,3.1
W00001547,91.4,3.1,1.6,3.9
W00001548,90.2,3.3,0.8,5.7
W00001549,82.2,3.1,1.2,13.5
W00001550,98.2,0.6,0,1.2
W00001551,98.1,0,0,1.9
W00001552,91.8,2.5,0.6,5.1
W00001553,88.7,3.2,1.6,6.5
W00001554,96.1,1,0,2.9
W00001555,94.4,2.4,0,3.2
W00001556,90.2,1.4,1.4,7
W00001557,94.7,0.9,0.9,3.5
W00001558,84.7,2.4,0.8,12.1
W00001559,97.3,1.4,0,1.4
W00001560,94.3,0.9,1.9,2.8
W00001561,95.9,0.6,0.6,3
W00001562,92.3,1.7,0,6
W00001563,98.3,0,0,1.7
W00001565,85.2,4.4,1.5,8.9
W00001566,90.7,4.7,0,4.7
W00001567,93.1,0.7,2.8,3.4
W00001568,90.8,2.3,1.5,5.3
W00001569,92.9,3.5,0.7,2.8
W00001570,95.5,0.7,1.5,2.2
W00001572,100,0,0,0
W00001573,94.4,1.9,0.9,2.8
W00001575,96.5,0,0,3.5
W00001576,98,0,0,2
W00001577,95.9,0,1.4,2.7
W00001578,95.2,0.8,1.6,2.4
W00001579,95,2.5,0,2.5
W00001580,97.9,0,0,2.1
W00001581,98.5,0,0.7,0.7
W00010463,94.6,1.8,0,3.6
W00010464,96.8,0,1.6,1.6
W00010467,92.4,3.4,0.8,3.4
W00010482,90.6,6.3,0,3.1
W00010487,96.7,3.3,0,0
W00010488,98,2,0,0
