geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00031549,43.1,20.9,0.7,35.3
E00031557,40.3,37.2,0,22.5
E00031558,63.5,32.5,1.6,2.4
E00031565,59.9,33.6,0.7,5.9
E00031569,54,37.9,0.8,7.3
E00031733,32.3,39.2,20,8.5
E00031734,43,42.2,3,11.9
E00031736,39.9,31.6,1.3,27.2
E00031737,51.8,39.7,0,8.5
E00031738,15.7,19,59.5,5.8
E00031739,62.8,21.9,0.7,14.6
E00031740,47.5,43.4,0,9.1
E00031741,68.6,22.9,1.9,6.7
E00031742,66.1,29.8,0,4
E00031743,54.2,28.3,2.5,15
E00031744,30.1,32,2.6,35.3
E00031745,17.1,25.2,39.8,17.9
E00031746,19.3,20,55.6,5.2
E00031747,34.1,32.5,24.6,8.7
E00031748,1.9,3.8,82.9,11.4
E00031749,59,37.4,0.7,2.9
E00031750,30.3,24.4,30.3,15.1
E00031751,19.4,16.7,54.6,9.3
E00031752,9,10.5,75.9,4.5
E00031753,53.7,34.3,3.7,8.2
E00031755,61.3,33.1,1.6,4
E00031756,15,17.3,60.2,7.5
E00031757,68.8,26.4,0.8,4
E00031758,33.8,36,20.9,9.4
E00031760,40.5,33.6,11.2,14.7
E00031761,42.9,33.3,0.8,23
E00031762,45.5,28.5,9.8,16.3
E00031763,68,28.1,1.6,2.3
E00031764,33.6,25,8.6,32.8
E00031765,30.8,39.3,8.5,21.4
E00031766,58.7,33.9,2.5,5
E00031767,64.8,33.6,0,1.6
E00031768,54.5,23.9,0.7,20.9
E00031769,59.3,36.6,0,4.1
E00031770,11,20,50.3,18.7
E00031771,6.7,9.2,72.3,11.8
E00031772,25.6,55.6,1.4,17.4
E00032176,26.3,23.3,9.8,40.6
E00032177,50.8,21.5,1.5,26.2
E00032178,16.9,23.1,36.9,23.1
E00032179,49.6,38.2,0.8,11.5
E00032180,21.5,26.2,32.6,19.8
E00032181,19.8,23,50,7.1
E00032182,31.1,51,0.5,17.5
E00032183,13,13,43.2,30.8
E00032184,35.3,24.4,19.3,21
E00032186,23.4,36.6,13.1,26.9
E00032187,28.9,42.8,1.8,26.5
E00032188,38,31.4,4.4,26.3
E00032189,59.8,29.1,2.4,8.7
E00032190,37.2,33.1,3.3,26.4
E00032191,38.9,33.3,0.7,27.1
E00032192,44.2,29.7,0.7,25.4
E00032193,68.3,23.3,1.7,6.7
E00032194,38.4,34.1,2.2,25.4
E00032195,25.5,38.2,0,36.3
E00032196,32.8,28.4,4.5,34.3
E00032206,14.3,29.1,18,38.6
E00032207,2.8,10.3,79.3,7.6
E00032208,9.7,13.8,49,27.6
E00032209,18,38.8,23.6,19.7
E00032210,8.9,11.9,70.4,8.9
E00032211,35.9,27.5,13.1,23.5
E00032221,25.6,16.7,7.7,50
E00032227,12.1,18.2,62.6,7.1
E00032228,9.9,27.6,54.6,7.9
E00032229,12.7,15.3,64.4,7.6
E00032230,19.6,23.2,52.7,4.5
E00032231,32.5,30.7,21.9,14.9
E00032232,31.1,21.8,16,31.1
E00032233,34.8,52.9,2,10.3
