geography_code,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E00053353,16.4,61.1,22.5,0,0
E00053357,60.3,34,5,0.7,0
E00053359,31.4,24.1,43.8,0.7,0
E00053360,49.6,31.7,18,0.7,0
E00053361,68.5,23.1,7.7,0,0.8
E00053362,70.5,23.7,5,0.7,0
E00053363,25.2,32.9,37.8,3.5,0.7
E00053364,46.4,24.5,29.1,0,0
E00053365,72.7,24,2.5,0.8,0
E00053366,56.5,26.1,16.7,0.7,0
E00053369,46,38.7,15.3,0,0
E00053370,77.9,18.8,3.4,0,0
E00053371,57.6,30.3,12.1,0,0
E00053372,33.6,48.4,14.8,1.6,1.6
E00053373,79.7,15.5,4.7,0,0
E00053374,41.2,45.9,10.1,2,0.7
E00053375,25,60.7,13.6,0.7,0
E00053376,81.3,12,6,0.7,0
E00053377,16.8,34.3,47.4,1.5,0
E00053378,19.1,30.9,47.5,2.5,0
E00053379,12.3,37.7,45.4,3.8,0.8
E00053380,31.1,49.3,19.6,0,0
E00053381,21.1,48.8,24.4,5.7,0
E00053382,32.8,33.3,32.8,1,0
E00053383,15.9,39.4,42.4,2.3,0
E00053384,23.7,40.3,33.8,2.2,0
E00053385,22.1,36.9,38.5,2.5,0
E00053386,19.6,38.6,38,3.8,0
E00053401,58.3,31.7,9.4,0.7,0
E00053403,65.6,27.3,7,0,0
E00053404,71,22.5,6.5,0,0
E00053405,63.2,27.8,8.3,0.8,0
E00053406,15.5,31.9,51.7,0.9,0
E00053407,68.1,25.5,5.7,0.7,0
E00053408,69.4,26.4,3.5,0.7,0
E00053410,33.9,44.4,20.2,1.6,0
E00053411,10,36.5,52,1.5,0
E00053412,19.8,52.7,25.2,2.3,0
E00053414,46.7,38.8,14.5,0,0
E00053415,29.4,51.1,17.8,1.7,0
E00053416,51.9,31.3,15.3,1.5,0
E00053417,20.6,48.5,29.7,1.2,0
E00053418,46.2,45.1,8.2,0.5,0
E00053419,11.3,10.5,78.2,0,0
E00053420,45.3,36.8,17.1,0.9,0
E00053421,13.5,46.9,33.3,5.2,1
E00053422,25.8,28.9,41.2,3.1,1
E00053424,8.9,17,71.4,2.7,0
E00053425,26.4,38.5,33.1,2,0
E00053426,20.6,25,52.9,1.5,0
E00053427,36.6,37.8,25.6,0,0
E00053428,18.3,49,25,5.8,1.9
E00053430,3.2,39.9,56.3,0.6,0
E00053431,43.5,36.2,19.6,0.7,0
E00053432,21.3,37,37.8,3.9,0
E00053434,48.9,39.1,11.3,0,0.8
E00053435,31.3,42.3,24.5,1.8,0
E00053436,22.5,40,33.3,3.3,0.8
E00053437,46.5,39,13.8,0.6,0
E00053438,29.7,51.4,16.9,2,0
E00053439,43.2,44.6,11.5,0.7,0
E00053451,52.2,30.4,17.4,0,0
