geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E00051471,74.8,22,3.1,0,0
E00051476,67.8,26.3,5.1,0.8,0
E00051477,70.4,20.8,8.8,0,0
E00051479,52.1,35.9,11.1,0.9,0
E00051480,67.2,28.6,4.2,0,0
E00051484,72.4,24.4,3.3,0,0
E00051485,58.4,37.6,4,0,0
E00051487,49.3,27.9,17.6,4.4,0.7
E00051501,55.2,33.7,9.2,1.8,0
E00051502,63.4,26.7,8.9,1,0
E00051503,67.7,27.4,4,0.8,0
E00051504,66,26.2,7.8,0,0
E00159066,62.9,30.9,5.2,1,0
E00159067,54,27.4,17.7,0.9,0
E00159068,49.6,40.2,9.4,0.9,0
E00159069,34.5,44.6,16.2,4.1,0.7
E00159070,55.4,31.5,10.8,2.3,0
E00159071,49.4,35.1,12.5,3,0
E00159072,60.6,30.7,6.3,2.4,0
E00159073,31.4,39,26.3,3.4,0
E00159074,47.9,35,17.1,0,0
E00159075,54.4,38.3,6.7,0.7,0
E00159076,59.4,35.7,4.9,0,0
E00159077,61.3,31.6,5.2,1.9,0
E00159078,47.2,41.7,11.1,0,0
E00159079,21.5,49.2,26.2,3.1,0
E00159081,29.6,46.5,21.8,2.1,0
E00159082,56.9,33.6,9.5,0,0
E00159134,61.3,34.9,3.8,0,0
E00159136,63.3,29.7,5.1,1.9,0
E00159137,48,30.6,20.4,1,0
E00159277,51.9,35.9,10.7,1.5,0
E00159278,44.2,34.1,14.7,7,0
E00159279,64.7,28.3,6.9,0,0
E00159280,36.8,45.6,16.7,0.9,0
E00159281,59.1,33.3,6.1,1.5,0
E00159282,54.3,34.9,8.5,2.3,0
E00159283,38.3,40.2,16.8,4.7,0
E00159284,49.5,33.9,16.1,0.5,0
E00159285,55.9,29.1,12.6,2.4,0
E00159286,55.3,28.5,16.3,0,0
E00159287,58.6,28.9,10.5,2,0
E00159288,43.4,37.2,15.5,3.9,0
E00159290,44.3,44.3,9,2.5,0
E00159294,43.3,36.7,13.3,6.7,0
E00159295,59.7,30.2,9.4,0.7,0
E00159296,50.8,34.1,14.4,0.8,0
E00159297,49.1,39.4,9.1,2.4,0
E00159298,63,30.7,5.5,0.8,0
E00159299,63.5,31,5.6,0,0
E00159300,63.3,33.3,3.3,0,0
E00159301,67.5,28.6,4,0,0
E00159302,53.8,29.1,16.2,0.9,0
E00159303,61.1,26.9,12,0,0
E00159304,57.9,36.1,6,0,0
E00159305,67.1,26.4,6.4,0,0
E00159306,68.3,26.6,4.3,0.7,0
E00159501,59.8,30.5,8.5,1.2,0
E00163860,51.5,40.8,7.8,0,0
E00163861,55.8,36.5,4.8,2.9,0
E00164121,61.4,28.6,10,0,0
E00164122,18.9,56.6,20.5,4.1,0
E00164123,61.3,31.5,6.5,0.8,0
E00164377,59.6,34.2,5.3,0,0.9
