geography_code,in_full_time_education-001,in_full_time_education-002
E00048921,24.2,75.8
E00048932,16,84
E00048936,17,83
E00048938,24.6,75.4
E00048939,19.3,80.7
E00158772,12.6,87.4
E00158773,19.5,80.5
E00158938,17.4,82.6
E00158939,14.8,85.2
E00158940,14.5,85.5
E00158941,20.4,79.6
E00158942,17.3,82.7
E00159358,19.7,80.3
E00159359,18.2,81.8
E00159360,23.7,76.3
E00159362,20.8,79.2
E00159368,22,78
E00159369,22.6,77.4
E00159372,22.5,77.5
E00159373,25.4,74.6
E00159374,16.3,83.7
E00159375,18.1,81.9
E00159376,16.4,83.6
E00159377,16.9,83.1
E00159378,15.6,84.4
E00159390,44.1,55.9
E00159391,29.1,70.9
E00159392,35.5,64.5
E00159393,45.2,54.8
E00159394,12.6,87.4
E00159395,48.5,51.5
E00159396,24.6,75.4
E00159397,24.5,75.5
E00159398,37.1,62.9
E00159399,53.4,46.6
E00159400,26.8,73.2
E00159401,33.1,66.9
E00159402,29.6,70.4
E00159403,24.8,75.2
E00159404,27.1,72.9
E00159405,26.8,73.2
E00159406,23.3,76.7
E00159407,17.6,82.4
E00159408,25.7,74.3
E00159409,51.6,48.4
E00159410,68.9,31.1
E00159411,29.9,70.1
E00159413,24.3,75.7
E00159414,30.7,69.3
E00159415,26.1,73.9
E00159416,48.8,51.2
E00159417,15.6,84.4
E00159418,34.8,65.2
E00159419,37.9,62.1
E00159439,19,81
E00159440,28.2,71.8
E00159441,34.7,65.3
E00159442,22.1,77.9
E00159443,15.2,84.8
E00159444,19,81
E00159445,15.8,84.2
E00159446,50.8,49.2
E00159447,12,88
E00159449,24.5,75.5
E00159450,13.2,86.8
E00159451,24.3,75.7
E00159453,23.1,76.9
E00159454,27.3,72.7
E00159455,13.4,86.6
E00159456,18,82
E00159457,20.4,79.6
E00159458,28.4,71.6
E00159459,15.7,84.3
E00159460,15.9,84.1
E00159461,16.9,83.1
E00159462,15.9,84.1
E00159463,21,79
E00159464,20.1,79.9
E00159465,22.2,77.8
E00159466,25.3,74.7
E00159467,22.7,77.3
E00159468,22.4,77.6
E00159469,18.3,81.7
E00159470,13.6,86.4
E00159471,23.6,76.4
E00159472,14.1,85.9
E00159473,21.8,78.2
E00159474,16.2,83.8
E00159475,16.7,83.3
E00159476,19.5,80.5
E00159477,14.7,85.3
E00159478,22.4,77.6
E00159479,13.6,86.4
E00159480,18.3,81.7
E00159481,13.1,86.9
E00159482,15.9,84.1
E00159483,20.5,79.5
E00159484,19.6,80.4
E00159485,21.8,78.2
E00159486,22.5,77.5
E00159487,20.2,79.8
E00159488,14,86
E00159489,17.6,82.4
E00159490,18.8,81.2
E00159491,16.8,83.2
E00159492,9.7,90.3
E00159493,17.4,82.6
E00159494,15.4,84.6
E00159495,21.4,78.6
E00159496,18.4,81.6
E00159497,16.3,83.7
E00159510,12.4,87.6
E00159511,22,78
E00159512,21.6,78.4
E00159517,6.9,93.1
E00159518,15.9,84.1
E00159519,15.3,84.7
E00159520,13.9,86.1
E00159521,10.9,89.1
E00159522,8.7,91.3
E00159523,10,90
E00159524,23.8,76.2
E00159525,19.4,80.6
E00159526,28.7,71.3
E00159527,17.5,82.5
E00159528,22.4,77.6
E00159529,19.8,80.2
E00159530,18.6,81.4
E00159531,25.8,74.2
E00159532,22.1,77.9
E00159533,26.5,73.5
E00159534,19.3,80.7
E00159535,27.4,72.6
E00159536,21.9,78.1
E00159537,24.5,75.5
E00159538,20.4,79.6
E00159539,19.9,80.1
E00159540,11.4,88.6
E00159541,9.3,90.7
E00159542,14.9,85.1
E00159543,15.3,84.7
E00159544,14.6,85.4
E00159545,13.1,86.9
E00159546,21,79
E00159547,18.4,81.6
