geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00089506,23.3,26.7,20,30
E00089507,17,37,18.8,27.3
E00089508,13.6,45.6,20.8,20
E00089509,18.3,39.2,18.3,24.2
E00089510,32.8,28,15.2,24
E00089511,27.1,31.8,14,27.1
E00089512,19.5,35.2,18.8,26.6
E00089513,16.9,21.1,26.1,35.9
E00089514,28.9,28.3,16.4,26.4
E00089515,20.7,28.1,17.8,33.3
E00089516,23.2,33.5,16.1,27.1
E00089517,44.7,27.6,9.8,17.9
E00089518,33.8,27.7,18.5,20
E00089519,14.6,32.6,18.1,34.7
E00089520,20,33.8,16.9,29.2
E00089521,38.4,36.7,12.2,12.7
E00089522,29.7,26.8,15.2,28.3
E00089523,17.7,31.9,16.3,34
E00089524,21.4,31,18.3,29.4
E00089525,40.4,30.5,11.9,17.2
E00089526,13.3,43.4,18.9,24.5
E00089527,19.1,35.4,18.5,27
E00089528,43,36.4,5.6,15
E00089529,50.4,23,10.4,16.3
E00089530,26.4,43.1,20.8,9.7
E00089531,48.6,30.5,11.9,9
E00089532,9.4,31.8,23.5,35.3
E00089533,23.8,28.6,14.3,33.3
E00089534,23.3,32.8,17.2,26.7
E00089535,14.3,34.3,26.7,24.8
E00089536,20.7,36,22.5,20.7
E00089537,21.1,34.9,11.9,32.1
E00089538,26,28.3,18.9,26.8
E00089539,26.1,49.6,8.7,15.7
E00089540,19,28.6,16.7,35.7
E00089541,17.3,35.3,20.3,27.1
E00089542,51.8,29.1,9.1,10
E00089543,21.1,32.1,13.8,33
E00089544,21.6,29.7,26.1,22.5
E00089545,56.5,22.6,11.9,8.9
E00089546,18.5,33.3,12.6,35.6
E00089547,28.6,30,17.1,24.3
E00089548,15.5,38.7,14.8,31
E00089549,25,43.3,17.1,14.6
E00089550,31.3,30,17.5,21.3
E00089551,27.7,32.6,17,22.7
E00089552,20,36.5,18.3,25.2
E00089553,17.1,38,14.7,30.2
E00089554,27.2,39,17.9,15.9
E00089555,61.2,18.4,8.8,11.6
E00089556,36.4,18.9,11.4,33.3
E00089557,25.2,30.7,19.7,24.4
E00089558,18.1,21,23.2,37.7
E00089559,26.4,27.4,15.2,31
E00089563,18.9,40.5,19.8,20.7
E00089564,18.1,41,19.4,21.5
E00089565,22.7,36.1,14.4,26.8
E00089566,8.5,42.4,18.6,30.5
E00089567,30.8,34.1,18.7,16.5
E00089574,23.2,35.2,18.4,23.2
E00089575,19.6,38.6,15.2,26.6
E00089576,20.8,33.3,23.6,22.2
E00089577,58.1,32.4,4.1,5.4
E00089578,21.5,41.9,18.3,18.3
E00089579,22,39.6,14.6,23.8
E00089580,18.6,31.9,26.5,23
E00089581,10.8,39.6,12.6,36.9
