geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00025605,12.4,22.5,59.6,5.6
E00025607,13.3,34.2,42.5,10
E00025608,11.7,22.4,57.7,8.2
E00025611,15.5,26.8,53.6,4.2
E00025612,10.5,22.8,59.6,7
E00025613,21.4,23.1,47.9,7.7
E00025614,10.5,31.6,55.8,2.1
E00025615,11,20.7,60.4,7.9
E00025616,8,21.6,62.5,8
E00025617,15.7,20.4,57.1,6.8
E00025618,9.5,25.7,61,3.8
E00025619,12.3,30.1,54.8,2.7
E00025622,11.8,28.9,53.9,5.3
E00025623,18.8,17.8,58.6,4.7
E00025625,13.8,30.3,50.5,5.5
E00025626,17.2,24.1,58.6,0
E00025628,12.5,29.2,50,8.3
E00025629,14.4,19.3,60.5,5.8
E00025630,12.7,27.4,56.1,3.8
E00025631,10.6,23,62.4,4
E00025632,12.1,25.7,55.7,6.4
E00025633,20.9,20.9,51.9,6.2
E00025634,11.6,33.1,51.2,4.1
E00025635,8.5,33,54.7,3.8
E00025636,13.7,31.6,49.5,5.2
E00025765,6.3,28.8,60.4,4.5
E00025772,7.8,23.4,59.4,9.4
E00025787,5,29.4,60.5,5
E00025788,9.5,26.6,58.8,5
E00025790,10.2,34.3,51.9,3.7
E00025791,7.5,25.2,57.9,9.3
E00025833,13.5,32.6,48.3,5.6
E00025842,10.9,23.5,57.8,7.8
E00025930,16.1,17.5,54.7,11.7
E00025948,8,29.5,53.6,8.9
E00025949,9.1,54.5,34.7,1.7
E00025968,13.5,31.5,49.4,5.6
E00025969,8.3,14,71.2,6.6
E00025970,10.9,30.7,53.5,5
E00025976,5,14.1,75.4,5.5
E00025988,13.2,3.3,74.7,8.8
E00025989,6.2,15.4,73.8,4.6
E00026078,10.9,9.1,67.3,12.7
E00026079,7.9,15.9,65.6,10.6
E00026081,4.7,11.8,67.7,15.7
E00026082,8.1,13.4,67.4,11
E00026083,3.1,10.7,69.2,17
E00026085,13.2,10.4,64.2,12.3
E00026086,5.2,11.1,74.8,8.9
E00026087,5.7,17.4,64.4,12.6
E00026088,7.9,10.7,71,10.3
E00026089,3.8,19.6,61.4,15.2
E00026090,10.2,10.2,66,13.7
E00026097,8.4,14.7,62.1,14.7
E00026098,8.6,16.2,65.2,10.1
E00026099,7.2,15.8,66.9,10.1
E00026100,7.7,8.7,74.7,9
E00026101,14.3,20.3,56.4,9
E00026103,5.4,21,62.3,11.4
E00026104,6.3,10.7,75.9,7.1
