geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00025651,76.8,9.3,13.8
E00025654,66,20.1,13.8
E00025727,64.3,10.1,25.6
E00025730,61.1,13.6,25.3
E00025756,64.5,12.6,22.8
E00025758,73.6,11.7,14.6
E00025759,66,13.6,20.3
E00026788,72.1,11.3,16.6
E00026789,78,13.3,8.6
E00026790,78.2,10.4,11.4
E00026791,78.1,5.7,16.2
E00026792,66.7,10,23.3
E00026793,62.8,11.2,26
E00026795,70.2,12.7,17.2
E00026796,71.6,5.7,22.8
E00026797,83.6,5.2,11.2
E00026798,71.1,8.6,20.3
E00026799,57.1,9.6,33.3
E00026800,82.4,5.4,12.1
E00026801,89.2,6.7,4.1
E00026802,79.8,8.7,11.5
E00026803,86.7,3.9,9.3
E00026804,87.3,3.8,8.9
E00026812,73.5,5.9,20.7
E00026818,67.5,13.6,19
E00026819,67,13.8,19.1
E00026906,75.9,10.7,13.4
E00026907,71.1,8.8,20.1
E00026909,66.3,11.9,21.8
E00026910,65.1,20.7,14.2
E00026912,72.3,11.4,16.3
E00026913,69.2,6.4,24.4
E00026914,75.7,7.4,16.9
E00026915,71,9.6,19.4
E00026916,58.2,38.1,3.8
E00026917,60.6,20.5,18.9
E00026918,65.9,10.6,23.4
E00026919,70.6,13.2,16.2
E00026920,59.8,28.6,11.6
E00026921,59.7,27,13.3
E00026922,78.3,9.3,12.4
E00026923,70.2,10.9,18.9
E00026924,75.5,7.6,16.9
E00026925,64.5,13.8,21.7
E00026926,76.4,6.8,16.8
E00026927,69.6,10.4,20.1
E00026928,65.3,18.3,16.4
E00026929,73,9.4,17.6
E00026930,79.5,6.9,13.5
E00026931,80.6,7.7,11.7
E00026932,75.9,13.3,10.8
E00026934,76.7,6.8,16.5
E00026935,73,12.6,14.3
E00026936,60.3,7.4,32.4
E00026937,74.5,13.8,11.8
E00026938,81.4,4,14.6
E00026939,72.1,13.3,14.6
E00026940,63.3,15.1,21.5
E00026941,70,8.3,21.7
E00026942,70.5,9.7,19.8
E00026943,62.4,16.1,21.4
E00029219,89.7,6.1,4.2
E00029220,89.8,6.9,3.3
E00029258,91,6.3,2.7
E00029266,90.1,2,7.9
E00029268,85.1,6.1,8.7
E00029276,82.1,5,12.8
E00029278,84.2,3,12.9
E00029279,85.5,3.9,10.6
E00029280,84.5,5.4,10.1
E00029282,83.8,6.1,10
E00029307,88.7,6.8,4.5
E00029316,80.3,6.6,13.1
E00029320,92.9,2.8,4.3
E00029335,85.2,4.8,10
E00029338,77.9,4.4,17.7
E00029341,94.9,1.3,3.8
E00029343,73.1,7.7,19.2
E00029344,92.6,4.6,2.8
E00029347,87.6,5.6,6.8
E00029350,92.5,5,2.5
E00029353,93.2,2.6,4.2
E00029591,90.4,3.8,5.8
E00029592,85.1,7.5,7.5
E00029593,85.8,4.3,9.9
E00029594,88.5,4.8,6.8
E00029595,91,5,4
E00029596,86.6,6.6,6.9
E00029597,90,6,4.1
E00029598,89.8,2.6,7.6
E00029599,90.2,4,5.8
E00029600,88.1,5.2,6.7
E00029601,88.2,5.9,5.9
E00029602,81,3.7,15.3
