geography_code,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00049363,99.1,0.9,0
E00049365,100,0,0
E00049366,93.1,6.9,0
E00049368,100,0,0
E00049369,99.1,0.9,0
E00049370,100,0,0
E00049374,89.7,10.3,0
E00049375,99.3,0.7,0
E00049376,94.8,5.2,0
E00049378,95.5,4.5,0
E00049379,100,0,0
E00049380,98.3,1.7,0
E00049381,100,0,0
E00049382,99.2,0.8,0
E00049383,76.5,23.5,0
E00049384,98.4,1.6,0
E00049385,99.3,0.7,0
E00049386,100,0,0
E00049387,100,0,0
E00049388,99.5,0.5,0
E00049389,94.5,5.5,0
E00049390,100,0,0
E00049391,94.6,5.4,0
E00049392,96.1,3.9,0
E00049393,99.2,0.8,0
E00049394,100,0,0
E00049395,92.5,7.5,0
E00049396,100,0,0
E00049397,99.2,0.8,0
E00049444,100,0,0
E00049446,43.7,56.3,0
E00049447,100,0,0
E00049448,98.5,1.5,0
E00049449,98.6,1.4,0
E00049466,98.1,1.9,0
E00049468,92.6,6.5,0.9
E00049469,100,0,0
E00049470,84.3,15.7,0
E00049471,99.1,0,0.9
E00049473,100,0,0
E00049474,80.5,19.5,0
E00049475,81.4,18.6,0
E00049476,100,0,0
E00049482,83.7,15.8,0.5
E00049512,100,0,0
E00049775,97.3,2,0.7
E00049776,96.6,3.4,0
E00049777,63.5,32.7,3.8
E00049778,99.2,0.8,0
E00049779,98.3,1.7,0
E00049780,96.2,3.8,0
E00049782,44.8,55.2,0
E00049785,78,22,0
E00049786,90.3,9.7,0
E00049787,87.7,12.3,0
E00049788,94.8,5.2,0
E00049789,100,0,0
E00049791,60.2,39.8,0
E00049793,34.8,65.2,0
E00049794,84.6,15.4,0
E00049795,100,0,0
E00049796,77,23,0
E00049797,80.6,19.4,0
E00049798,97.7,2.3,0
E00049799,43.7,56.3,0
E00049800,80.7,19.3,0
E00049801,82.1,17.9,0
E00049803,96.1,3.9,0
E00049936,94.7,5.3,0
E00049942,88.5,11.5,0
E00049943,96.8,3.2,0
E00049944,93,7,0
E00049945,87,13,0
E00049946,100,0,0
E00049947,97.8,2.2,0
E00049948,94.2,5.8,0
E00049949,82,18,0
E00049950,99.2,0.8,0
E00049951,100,0,0
E00049952,68.3,31.7,0
E00049953,87.8,12.2,0
E00049954,99.2,0.8,0
E00049967,93,7,0
E00049968,92.7,7.3,0
E00049969,74.6,25.4,0
E00049973,60.1,39.9,0
E00049974,100,0,0
E00049975,63.2,36.8,0
E00049977,91.4,8.6,0
E00049980,99.2,0.8,0
E00049981,68.8,31.3,0
E00049982,67.2,32.8,0
E00049983,30.5,69.5,0
E00049989,5.1,94.9,0
E00049990,74.4,25.6,0
E00049992,45.1,54.9,0
E00049993,47.6,52.4,0
E00049994,63.4,36.6,0
E00049996,67.9,32.1,0
E00049997,78.3,21.7,0
E00049999,59.5,40.5,0
E00050000,66.4,33.6,0
E00050002,100,0,0
E00050005,95,5,0
E00050010,100,0,0
E00050011,91.3,8.7,0
E00050013,97.9,2.1,0
E00050014,86.5,13.5,0
E00050015,99.2,0.8,0
E00050016,96.6,2.5,0.8
E00050017,64.1,35.9,0
E00050018,96.9,3.1,0
E00050019,100,0,0
E00050020,81.5,18.5,0
E00050021,77.3,22.7,0
E00050022,82,18,0
E00050023,90.1,9.9,0
E00050024,93.4,6.6,0
E00050025,100,0,0
E00050026,95.9,4.1,0
E00050027,90.8,9.2,0
E00050028,80.3,19.7,0
E00050029,98.1,1,1
E00050030,75.8,24.2,0
E00050031,92.4,7.6,0
E00050032,84.8,15.2,0
E00050033,100,0,0
E00050034,100,0,0
E00050035,99.3,0.7,0
E00050036,63.2,36.8,0
E00050037,85,15,0
E00050038,91,9,0
E00050039,94.2,5.8,0
E00050040,90.4,9.6,0
E00050041,98.3,1.7,0
E00050042,62.5,37.5,0
E00050043,85.9,14.1,0
E00050044,78,22,0
E00050046,79.1,20.9,0
E00050047,39.1,60.9,0
E00050048,99.2,0.8,0
E00050049,98.3,1.7,0
E00050051,92.4,7.6,0
E00050052,100,0,0
E00050053,21.8,78.2,0
E00050054,100,0,0
E00050055,100,0,0
E00050224,99.1,0.9,0
E00050225,94.1,5.9,0
E00050227,64.9,35.1,0
E00050228,46.4,53.6,0
E00050229,64.3,35.7,0
E00050230,86.7,13.3,0
E00050231,100,0,0
E00050232,100,0,0
E00050233,100,0,0
E00050234,97.7,2.3,0
E00050235,84.9,15.1,0
E00050261,100,0,0
E00050262,64.6,35.4,0
E00050264,2.2,97.8,0
E00050265,82.4,17.6,0
E00050266,56.4,43.6,0
E00050464,99.2,0.8,0
E00050465,99.1,0.9,0
E00050466,100,0,0
E00050468,69.7,30.3,0
E00050469,96.7,3.3,0
E00050470,99.2,0.8,0
E00050471,13.9,86.1,0
E00050473,84.3,15.7,0
E00050474,96,4,0
E00050475,56.2,43.8,0
E00050476,84.6,15.4,0
E00050477,100,0,0
E00050478,88.6,11.4,0
E00050479,72.1,27.9,0
E00050480,100,0,0
E00050488,99.3,0.7,0
E00050493,94.1,5.9,0
E00050494,51.6,48.4,0
E00050495,67.6,32.4,0
E00050496,88.2,11.8,0
E00050497,91.4,8.6,0
E00050499,100,0,0
E00050501,44.7,55.3,0
E00050502,99.2,0.8,0
E00050503,60,40,0
E00050504,0.7,99.3,0
E00050593,76,24,0
E00050608,51.9,48.1,0
E00050609,3.4,95.7,0.9
E00050616,85.6,14.4,0
E00050617,86.5,13.5,0
E00050657,100,0,0
E00050658,79.8,20.2,0
E00050659,97.7,2.3,0
E00050662,53.9,46.1,0
E00050664,90,10,0
E00050665,68.1,31.9,0
E00050668,99.2,0.8,0
E00050670,98.4,1.6,0
E00050686,82.1,17.9,0
E00050687,92.9,6.4,0.6
E00050688,100,0,0
E00050689,23.9,76.1,0
E00050690,100,0,0
E00050691,80,20,0
E00050730,20,80,0
E00050770,80,20,0
E00050771,98.3,1.7,0
E00050773,87.5,12.5,0
E00050774,98.7,1.3,0
E00050775,82.9,17.1,0
E00050776,99.3,0.7,0
E00050777,100,0,0
E00050778,96.9,3.1,0
E00050779,97.8,2.2,0
E00050780,95.7,4.3,0
E00050781,93.8,6.2,0
E00050782,99,1,0
E00050783,100,0,0
E00050786,51.2,48.8,0
E00050787,98.3,1.7,0
E00050788,76.5,23.5,0
E00050789,33.6,66.4,0
E00050790,98.4,1.6,0
E00050791,81.3,18.7,0
E00050792,100,0,0
E00050793,100,0,0
E00050801,99.1,0.9,0
E00050802,96.7,3.3,0
E00050803,88.2,11.8,0
E00050804,91.4,8.6,0
E00050805,98.4,1.6,0
E00050806,79.4,19.6,1
E00050807,90.4,9.6,0
E00050808,100,0,0
E00050809,100,0,0
E00050810,74.4,25.6,0
E00050811,76.7,23.3,0
E00050903,49.1,50.3,0.6
E00050904,99.2,0.8,0
E00050905,76.7,22.6,0.8
E00050906,100,0,0
E00050907,85.8,14.2,0
E00050910,97.5,2.5,0
E00050911,100,0,0
E00050912,47.2,52.8,0
E00050913,90.5,9.5,0
E00050914,78,22,0
E00050915,93.7,6.3,0
E00050916,87.7,12.3,0
E00050917,96.7,3.3,0
E00050918,48.3,51.7,0
E00050919,88.1,11.9,0
E00050920,4.7,95.3,0
E00050921,13,87,0
E00050922,81.1,18.9,0
E00050923,100,0,0
E00050924,97.6,2.4,0
E00050925,21.1,78.9,0
E00050926,62.3,37.7,0
E00050927,85.7,14.3,0
E00050928,69.1,30.9,0
E00050929,82,18,0
E00050930,73.4,26.6,0
E00050932,71.4,28.6,0
E00050933,100,0,0
E00050934,92.5,7.5,0
E00050935,89.6,10.4,0
E00050936,39.2,60.8,0
E00050937,85.2,14.8,0
E00050938,83.9,16.1,0
E00050939,84,16,0
E00050941,90.3,9.7,0
E00050942,100,0,0
E00050943,95.1,4.9,0
E00050944,82.8,17.2,0
E00050945,45.9,54.1,0
E00050946,85.7,11.8,2.5
E00050947,70.5,29.5,0
E00050948,39.8,60.2,0
E00050951,99.3,0.7,0
E00050952,57.3,42.7,0
E00050953,47.1,52.9,0
E00050954,93.9,6.1,0
E00050955,54.4,45.6,0
E00050956,99.2,0.8,0
E00050957,56,44,0
E00050959,100,0,0
E00050960,83.3,16.7,0
E00050961,93.8,6.2,0
E00050962,86.8,13.2,0
E00050963,74.8,25.2,0
E00050964,100,0,0
E00050965,92.6,7.4,0
E00050966,98.5,1.5,0
