geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E00050306,81.1,18.9
E00050307,81.7,18.3
E00050308,79.9,20.1
E00050309,86,14
E00050310,84.1,15.9
E00050320,84.7,15.3
E00050321,81.4,18.6
E00050322,88.7,11.3
E00050323,88.5,11.5
E00050324,84.8,15.2
E00050325,77.1,22.9
E00050326,94.2,5.8
E00050327,67.9,32.1
E00050328,65.4,34.6
E00050329,77.7,22.3
E00050330,82.4,17.6
E00050331,64.4,35.6
E00050332,72.2,27.8
E00050333,81.2,18.8
E00050334,86,14
E00050335,77.7,22.3
E00050336,88.3,11.7
E00050337,80.5,19.5
E00050338,89.9,10.1
E00050339,88.5,11.5
E00050341,81.3,18.7
E00050342,84.8,15.2
E00050343,78.5,21.5
E00050386,89,11
E00050387,91.5,8.5
E00050388,91.9,8.1
E00050389,93.2,6.8
E00050390,95.2,4.8
E00050391,93.3,6.7
E00050392,86.4,13.6
E00050393,95.1,4.9
E00050394,91,9
E00050395,86.5,13.5
E00050396,92.5,7.5
E00050397,96.6,3.4
E00050398,91.8,8.2
E00050399,94.9,5.1
E00050400,90.5,9.5
E00050401,91.4,8.6
E00050402,83.6,16.4
E00050403,90.3,9.7
E00050404,91.4,8.6
E00050405,89.3,10.7
E00050406,86.6,13.4
E00050407,91.3,8.7
E00050408,85.1,14.9
E00050409,89.7,10.3
E00050410,89.9,10.1
E00050411,78.7,21.3
E00050412,88.7,11.3
E00050413,86,14
E00050414,86.8,13.2
E00050415,93.3,6.7
E00050416,83.3,16.8
E00050417,92.4,7.6
E00050418,90.6,9.4
E00050419,93.9,6.1
E00050420,88.2,11.8
E00050423,80,20
E00050424,80.3,19.7
E00050427,79,21
E00050428,92.3,7.7
E00050429,80.4,19.6
E00050431,88.6,11.4
E00050432,85.4,14.6
E00050433,79.5,20.5
E00050434,82.3,17.7
E00050436,86.9,13.1
E00050438,81,19
E00050440,73.8,26.2
E00050442,90.6,9.4
E00050443,89.1,10.9
E00050444,86.2,13.8
E00050445,84.3,15.7
E00050446,88.7,11.3
E00050447,83.2,16.8
E00050448,80.1,19.9
E00050449,81.6,18.4
E00050450,64.7,35.3
E00050451,80.9,19.1
E00050452,88.3,11.7
E00050453,88.8,11.2
E00050454,83.4,16.6
E00050455,89,11
E00050456,88.2,11.8
E00050457,89.8,10.2
E00050458,70.3,29.7
E00050459,72.6,27.4
E00050460,89.1,10.9
E00050461,78.4,21.6
E00050543,77.6,22.4
E00050544,79.1,20.9
E00050545,86.4,13.6
E00050559,82.1,17.9
E00050560,69.6,30.4
E00050561,93,7
E00050562,93,7
E00050563,83,17
E00050564,87.5,12.5
E00050565,85,15
E00050566,72.2,27.8
E00050567,79.5,20.5
E00050568,86,14
E00050569,83.6,16.4
E00050570,80.9,19.1
E00050571,85.6,14.4
E00050572,82.6,17.4
E00050573,75.6,24.4
E00050574,85.4,14.6
E00050575,70.3,29.7
E00050577,73.5,26.5
E00050620,78.4,21.6
E00050621,78.5,21.5
E00050629,68.9,31.1
E00050630,85.8,14.2
E00050631,84.7,15.3
E00050632,83.5,16.5
E00050634,78.9,21.1
E00050635,82.3,17.7
E00050636,87.6,12.4
E00050637,89.8,10.2
E00050638,79.6,20.4
E00050639,81.2,18.8
E00050640,83.1,16.9
E00050641,79.5,20.5
E00050642,87.1,12.9
E00050643,84.5,15.5
E00050644,85.5,14.5
E00050645,78.7,21.3
E00050646,78.7,21.3
E00050647,77,23
E00050649,85.2,14.8
E00050650,67.6,32.4
E00050651,81.5,18.5
E00050652,74.5,25.5
E00050653,66.9,33.1
E00050654,81.3,18.7
E00050655,75.9,24.1
E00050656,73.7,26.3
E00050995,86.2,13.8
E00050996,89.6,10.4
E00050997,86.6,13.4
E00050998,93.1,6.9
E00050999,94.6,5.4
E00051000,90,10
E00051001,88.4,11.6
E00051002,91.5,8.5
E00051003,84.1,15.9
E00051004,93.8,6.3
E00051005,80.2,19.8
E00051007,85.1,14.9
E00051008,89.9,10.1
E00051009,88.2,11.8
E00051012,93.5,6.5
E00051013,97.2,2.8
E00051015,74.6,25.4
E00051017,81,19
E00051018,90.9,9.1
E00051021,78.2,21.8
E00051022,68.8,31.2
E00051024,86.4,13.6
E00051026,82.6,17.4
E00051027,84.5,15.5
E00051028,85.8,14.2
E00051029,91.4,8.6
E00051030,93.4,6.6
E00051031,80.4,19.6
E00051033,91.7,8.3
E00051034,91.3,8.7
E00051036,57.4,42.6
E00051037,85.9,14.1
E00051038,86.5,13.5
E00051039,68.9,31.1
E00051040,60.9,39.1
E00051041,81.3,18.7
E00051042,97.8,2.2
E00051045,76.7,23.3
E00051047,64.4,35.6
E00051055,86.6,13.4
E00051056,76.8,23.2
E00051057,92.1,7.9
E00051058,95.8,4.2
E00051060,84.1,15.9
E00051065,90.1,9.9
E00051066,85.4,14.6
E00051067,74.7,25.3
E00051069,88,12
E00051070,60.4,39.6
E00051071,49.7,50.3
E00051072,76.4,23.6
E00051073,74.2,25.8
E00051849,89,11
E00051854,77.9,22.1
E00051866,85.7,14.3
E00051872,82.5,17.5
E00051885,77,23
E00051924,74.6,25.4
E00051925,57.8,42.2
E00051926,60.4,39.6
E00051927,56.7,43.3
E00051928,65.3,34.7
E00052155,86.1,13.9
E00052159,84.2,15.8
E00052180,64.4,35.6
E00052181,89.4,10.6
E00052182,89,11
E00052183,67.5,32.5
E00052184,91.2,8.8
E00052185,75.3,24.7
E00052186,83.3,16.7
E00052187,87.2,12.8
E00052188,78.5,21.5
E00052189,76,24
E00052190,87.1,12.9
E00052191,74.8,25.2
E00052192,69.9,30.1
E00052193,73,27
E00052194,73.1,26.9
E00052195,81.3,18.7
E00052196,82.2,17.8
E00052197,72.7,27.3
E00052198,80.1,19.9
E00052199,70.6,29.4
E00052200,75.8,24.2
E00052201,76.7,23.3
E00052202,76.4,23.6
E00052203,79.1,20.9
E00052204,75.2,24.8
E00052205,67.1,32.9
E00052206,77.2,22.8
E00052207,82.3,17.7
E00052208,75.8,24.2
E00052209,81.6,18.4
E00052210,82.4,17.6
E00052211,81.8,18.2
E00052212,84.9,15.1
E00052213,81.1,18.9
E00052214,73.3,26.7
E00052215,72.3,27.7
E00052216,77.9,22.1
E00052217,73.3,26.7
E00052218,81.9,18.1
E00052219,63.1,36.9
E00052220,88.5,11.5
E00052221,78.4,21.6
E00052222,53.6,46.4
E00052223,50.8,49.2
E00052224,68.6,31.4
E00052225,67,33
E00052226,78.5,21.5
E00052227,68.8,31.2
E00052228,54,46
E00052229,62.9,37.1
E00052230,52.5,47.5
E00052231,71,29
E00052232,65.4,34.6
E00052233,63.8,36.2
E00052234,64.4,35.6
E00052235,66.5,33.5
E00052236,67.5,32.5
E00052237,66.5,33.5
E00052238,79.9,20.1
E00052239,80,20
E00052240,78.4,21.6
E00052241,76,24
E00052242,79.3,20.7
E00052243,82.4,17.6
E00052244,79.8,20.2
E00052245,76.3,23.7
E00052246,76.3,23.7
E00052247,76,24
E00052248,74.1,25.9
E00052249,59.1,40.9
E00052250,51.6,48.4
E00052251,53.9,46.1
E00052252,57.3,42.7
E00052253,54,46
E00052254,61.3,38.7
E00052255,55.3,44.7
E00052256,62.3,37.7
E00052257,58.3,41.7
E00052258,59.5,40.5
E00052259,60.6,39.4
E00052260,65.8,34.2
E00052261,59,41
E00052262,65.9,34.1
E00052340,53.7,46.3
E00052341,69.6,30.4
E00052342,66.7,33.3
E00052343,58,42
E00052344,70.8,29.2
E00052345,63.6,36.4
E00052346,69.9,30.1
E00052347,71.2,28.8
E00052349,71.7,28.3
E00052350,68.7,31.3
E00052351,62.9,37.1
E00052352,69.2,30.8
E00052353,62.9,37.1
E00052354,71,29
E00052355,45.3,54.7
E00052356,61.7,38.3
E00052357,65.3,34.7
E00052358,69.9,30.1
E00052359,63.5,36.5
E00052360,50.5,49.5
E00052361,62.8,37.2
E00052362,60.5,39.5
E00052363,73,27
E00052364,51.7,48.3
E00052365,61.1,38.9
E00052366,59,41
E00052367,73.8,26.2
E00052368,55.4,44.6
E00052369,72.3,27.7
E00052370,78.1,21.9
E00052371,79.4,20.6
E00052372,72.5,27.5
E00052373,72.9,27.1
E00052374,67.7,32.3
E00052375,52.9,47.1
E00052376,76.5,23.5
E00052377,69,31
E00052378,57.2,42.8
E00052379,65.5,34.5
E00052393,84.1,15.9
E00052395,70.2,29.8
E00052396,72.1,27.9
E00052397,81.3,18.8
E00052399,54,46
E00052400,70,30
E00052401,61.9,38.1
E00052402,53.9,46.1
E00052404,67.6,32.4
E00052406,74.5,25.5
E00052407,82.4,17.6
E00052408,59.8,40.2
E00052409,72.3,27.7
E00052410,90.1,9.9
E00052411,79.5,20.5
E00165818,80.3,19.7
E00168229,62.3,37.7
E00168230,84.2,15.8
E00168231,65.8,34.2
E00168232,69.2,30.8
E00168233,64.1,35.9
E00168239,78.6,21.4
E00168240,58.6,41.4
E00168241,83.8,16.2
E00168243,58.9,41.1
E00168255,56.9,43.1
E00168256,55.1,44.9
E00168257,54.6,45.4
E00168258,74.9,25.1
E00177371,90.4,9.6
E00177374,85.6,14.4
E00177376,78.4,21.6
E00177392,57.1,42.9
E00177398,80.5,19.5
E00177402,65.5,34.5
E00177409,59.3,40.7
E00177411,76.9,23.1
E00177418,50,50
E00177434,59.2,40.8
E00177435,89,11
E00177441,64.6,35.4
E00177456,63,37
E00177475,59.3,40.7
E00177479,87.2,12.8
