geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00045166,24.5,13.3,19.4,42.9
E00045167,18.9,28,30.1,23.1
E00045168,7.3,32.5,43.1,17.1
E00045169,3.6,35.7,47.1,13.6
E00045171,11.3,23.2,54.8,10.7
E00045172,5.6,22.6,59.7,12.1
E00045173,0,9.3,64.3,26.4
E00045174,32,16.6,37.3,14.2
E00045175,33.5,22.9,32.4,11.2
E00045176,7.1,17,47.3,28.6
E00045178,3.4,24.1,41.4,31
E00045180,0,50.5,41.1,8.4
E00045181,9.5,22.9,47.6,20
E00045182,35.6,15.2,37.9,11.4
E00045183,3.3,20.7,57.9,18.2
E00045184,40.9,27,23.4,8.8
E00045186,25.6,21.5,36.4,16.5
E00045187,9.6,24.5,46.8,19.1
E00045188,58.7,38.5,2.8,0
E00045189,25.8,47,10.6,16.7
E00045190,4.1,28.8,40.4,26.7
E00045191,24.5,13.2,49.1,13.2
E00045193,9.6,20.5,52.1,17.8
E00045196,4.4,30.9,42.6,22.1
E00045197,1,11.9,40.6,46.5
E00045198,72.5,15.4,7.7,4.4
E00045199,25.1,44.5,18.3,12
E00045200,25.6,37.6,28.1,8.7
E00045201,29.7,32.4,33.1,4.8
E00045202,27.5,25.5,38.9,8.1
E00045204,11.8,75.5,12.3,0.5
E00045205,38.8,37.4,17.7,6.1
E00045206,11.4,7.6,53,28
E00045207,39,35.8,25.2,0
E00045208,7.3,33.3,55.8,3.6
E00045210,39.7,39.7,5.8,14.9
E00045212,29.3,26.8,39.6,4.3
E00045213,3.2,13.5,69.2,14.1
E00045214,22.1,53.4,22.1,2.3
E00045215,2.7,30.6,58.5,8.2
E00045216,11.6,33,48.2,7.1
E00045217,31.2,17.6,42.4,8.8
E00045218,9.7,36.8,45.1,8.3
E00045219,2.1,33.3,61,3.5
E00045220,9.6,20,50.4,20
E00045221,2.8,23.6,59.4,14.2
E00045222,62.9,28.6,8.6,0
E00045223,19.2,23.2,45.5,12.1
E00045224,3.4,33.3,44.8,18.4
E00045225,7.1,22.4,42.4,28.2
E00045226,43.5,17.4,26.1,13
E00045227,1.1,6.3,65.3,27.4
E00045228,0,2.2,77.5,20.2
E00045231,0,2.8,65.3,31.9
E00045232,8.5,9.4,32.5,49.6
E00045233,20.5,7.2,56.6,15.7
E00045234,0.9,4.7,71,23.4
E00045235,0,3.3,56.5,40.2
E00045236,27.4,14,40.1,18.5
E00045237,44.5,7,13.3,35.2
E00045238,7.6,22.9,60,9.5
E00045239,13.6,17.8,33.1,35.6
E00045240,50.5,8.7,14.6,26.2
E00045241,5,17.9,44.3,32.9
E00045242,27.5,34.9,26.6,11
E00045244,15.9,24.8,39.8,19.5
E00045245,12.3,42.2,35.7,9.7
E00045247,1.3,50,29.5,19.2
E00045704,25,48.2,17.9,8.9
E00045707,38.8,39.7,3.3,18.2
E00045709,65,19.6,11.9,3.5
E00045730,3.2,32.6,52.9,11.2
E00045901,2.2,6.7,49.6,41.5
E00045902,1,26.2,53.4,19.4
E00045904,1.6,18.8,57,22.7
E00045905,3.2,23.8,56.3,16.7
