geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00045825,9.9,46.1,1.8,41.2,1.1
E00045827,16.8,38.8,3.4,39.9,1.1
E00045829,20.8,39.6,4.2,35.4,0
E00045830,17.2,39.4,6.6,34.1,2.6
E00045831,16.4,49.8,2.3,28.4,3
E00045833,15.7,42,4.7,35.3,2.4
E00045835,18.9,44.3,4.5,29.2,3
E00045837,15.4,40.7,6.5,35.8,1.6
E00045873,21.5,37,2.2,34.5,4.7
E00045874,15.6,39.6,6.5,35.7,2.6
E00045875,23.9,49.5,2.3,21,3.2
E00045876,24.6,51.3,0.4,20.4,3.3
E00045877,18.9,36.8,2.5,39.6,2.1
E00045879,19.4,47.9,4.9,25.5,2.3
E00045880,24.3,45.3,5.8,22.1,2.5
E00045882,20.6,38.3,3.4,34.7,3.1
E00045883,21.4,42.3,1.6,31.5,3.2
E00045884,28.5,41.1,6.9,20.3,3.3
E00045886,26.7,40,5.6,24.9,2.8
E00045887,21.9,41.7,2.1,31.4,3
E00045888,18.2,44.2,7.1,27.1,3.3
E00045889,20.4,36,2.5,39.7,1.4
E00045892,21.9,33.3,2.3,40.5,2
E00045893,19.5,43,1.4,35.1,1.1
E00045895,22.8,27.4,5.6,42.8,1.4
E00045897,21.8,37,5.9,32.7,2.6
E00045898,21.4,40.3,4.5,31.7,2.1
E00045900,24.2,36.9,3.4,33.9,1.7
E00051109,12.4,40.7,7.3,36.7,2.9
E00051114,11.9,30.4,3.1,52.2,2.4
E00051334,15.3,30.6,5.5,44.3,4.3
E00051336,9.5,32.4,2.9,52.4,2.9
E00051424,17.7,41.6,5.5,31.4,3.8
E00051436,9.7,37.3,3.4,49.6,0
E00051437,28.3,24.5,6.9,33.3,6.9
E00051438,7,28.2,3,58.4,3.4
E00051439,14.5,26.6,3.3,53.6,2
E00051440,9.9,34.3,4.5,49.6,1.7
E00051441,12.6,35.7,2.8,46.2,2.8
E00051442,19.9,38.5,5.4,34.8,1.4
E00051443,10.3,34.8,5.5,43.9,5.5
E00051444,10,34.9,4.6,48.5,2.1
E00051445,6.2,39.7,2.9,48.3,2.9
E00051461,15.3,40,4.7,38.3,1.7
E00051463,12.6,37.5,6.6,40.9,2.3
E00051466,8.1,36.6,3.4,49.7,2.2
E00051467,17.6,39.1,2.2,37.7,3.3
E00051472,9.1,43.3,2.9,43.8,1
E00051473,10.6,33.9,2.3,49.5,3.7
E00051490,9.3,38.7,4.9,46.2,0.9
E00051492,15.4,36,4.5,40.1,4.1
E00051494,14.4,39.6,2.8,41.2,2
E00051495,16.5,38.7,8,33.3,3.4
E00051498,14.1,43.8,4.7,35.9,1.4
E00051500,13.7,35.9,6.5,40.7,3.2
E00051507,10.6,47.2,3.2,38.4,0.5
E00051508,6.7,33.9,2.9,55.2,1.3
E00051509,6.9,39.1,4.6,46,3.4
E00051510,8.8,35.3,3.8,50.5,1.6
E00051511,7.6,31.9,3.8,53.8,2.9
E00051512,8,38.2,3,48.2,2.5
E00051513,8.3,39.8,4.6,45.6,1.7
E00051514,8.4,27,2.3,61.6,0.8
E00051515,7.9,36.5,2.3,51,2.3
E00051516,7.2,37,3.4,51,1.4
E00051517,10,35.7,3.6,48.2,2.4
E00051518,12.9,42.3,2.9,39,2.9
E00051519,7.6,34.1,6.7,51.1,0.4
E00051520,11.8,34.1,3.8,47.6,2.7
E00051521,7.4,35.4,2.6,54.5,0
E00051522,10.6,36.8,3.5,47.1,1.9
E00051523,7.4,38.2,2.9,49.6,1.8
E00051524,9.8,28.3,3,56.6,2.3
E00051525,6.5,33.9,3.4,54.5,1.7
E00051526,9.8,34.9,3.6,50.2,1.6
E00051527,11.3,25.2,2.3,58.6,2.6
E00051528,6,32.1,3,57.9,1
E00051529,4.8,33.7,2.7,57,1.7
E00051530,8.2,32.7,1.3,56.9,0.9
E00051531,8.5,34.7,1.5,51,4.2
E00051532,10.6,31.3,2.6,54.6,0.9
E00051533,6.6,29.4,3.7,56.6,3.7
