geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00045825,95.3,1.6,3
E00045827,86.4,1.4,12.1
E00045829,89.8,5.6,4.6
E00045830,92.1,3.7,4.2
E00045831,89.6,1.9,8.5
E00045833,90.3,1.6,8.2
E00045835,90.6,0.3,9.1
E00045837,94.8,1.3,3.9
E00045873,84.3,5.5,10.2
E00045874,85.2,4.9,9.9
E00045875,80.2,3.1,16.6
E00045876,84.3,1.4,14.3
E00045877,87.4,2.2,10.4
E00045879,82.9,2.4,14.7
E00045880,86.4,2.7,10.9
E00045882,90.5,2.1,7.4
E00045883,82.7,2,15.2
E00045884,89.4,2,8.7
E00045886,89.3,0.7,10
E00045887,88.7,3.3,8
E00045888,84.7,3.2,12.1
E00045889,86.1,2.7,11.2
E00045892,85.9,1.8,12.2
E00045893,82.8,6.9,10.3
E00045895,94.7,0,5.3
E00045897,85.8,6.1,8.1
E00045898,88.3,0.5,11.1
E00045900,90.1,2.6,7.3
E00051109,89.9,2.1,7.9
E00051114,91.9,2.2,5.9
E00051334,96.9,1.2,1.9
E00051336,93.8,0.8,5.4
E00051424,91.4,2.5,6.1
E00051436,93.2,2.4,4.5
E00051437,94.4,0,5.6
E00051438,93.8,1.7,4.5
E00051439,92.5,1,6.4
E00051440,92.3,2.5,5.2
E00051441,94.6,1.2,4.2
E00051442,95.5,0.7,3.7
E00051443,93.6,1,5.4
E00051444,94.6,0.7,4.7
E00051445,92.8,3.4,3.8
E00051461,96.2,0.6,3.1
E00051463,95.2,2.4,2.4
E00051466,90.1,2.9,7
E00051467,94.4,1.4,4.1
E00051472,93.3,2.5,4.2
E00051473,92,2.3,5.7
E00051490,91.9,1.8,6.3
E00051492,93.7,0.6,5.7
E00051494,98.5,0,1.5
E00051495,97,1,2
E00051498,98.2,0.9,0.9
E00051500,97.3,1.3,1.3
E00051507,95.8,2.5,1.8
E00051508,96.4,2.5,1.1
E00051509,94.1,2,3.9
E00051510,94.1,1.1,4.9
E00051511,95.2,1.4,3.5
E00051512,90.6,1.3,8.2
E00051513,88.7,3.1,8.2
E00051514,97.2,1.2,1.5
E00051515,91.6,2.2,6.3
E00051516,91.3,3,5.7
E00051517,92.6,2,5.4
E00051518,92.4,2.4,5.2
E00051519,93.4,1.8,4.8
E00051520,93.7,2,4.3
E00051521,90.3,4.5,5.2
E00051522,94.4,2,3.5
E00051523,93.2,2.1,4.7
E00051524,93.8,0.3,5.9
E00051525,94.1,2.7,3.2
E00051526,93.2,1.4,5.5
E00051527,89.5,2.5,8
E00051528,93.8,2.9,3.4
E00051529,92.1,1.4,6.5
E00051530,91.5,5.1,3.3
E00051531,92.1,3.8,4.1
E00051532,58.7,5.1,36.2
E00051533,89.4,5.8,4.8
E00051534,92.9,3.3,3.9
E00051535,81.5,3.1,15.4
E00051536,87.6,2,10.4
E00051537,72.3,4.8,22.9
E00051538,94.8,1.4,3.7
E00051539,91.2,3.3,5.6
E00051540,79.4,3.4,17.3
E00051541,90.7,1.2,8.1
E00051542,80.8,4.2,15
E00051543,89.8,0.9,9.3
E00051544,87.5,2.1,10.3
E00051545,94.6,0.6,4.8
E00051546,92.9,2.4,4.7
E00051547,92,1.9,6.1
E00051548,93.6,1.3,5.1
E00051549,92.6,1.8,5.6
E00051550,83.2,3.3,13.5
E00051551,84.4,3.4,12.1
E00051552,89.9,3.4,6.8
E00051553,94.6,1.6,3.8
E00051554,85.2,4.1,10.7
E00051555,96.2,1.2,2.7
E00051556,92.2,2.7,5.1
E00051557,88.1,4.5,7.3
E00051558,91.6,2.7,5.7
E00051559,91.4,2.5,6.1
E00051560,95.8,0.6,3.5
E00051561,88.7,4,7.2
E00051562,92.7,1.8,5.5
E00051563,91.1,2.1,6.7
E00051564,93.9,1.8,4.3
E00051565,93.8,1.9,4.3
E00051566,95.9,0.6,3.6
E00051567,92,2.8,5.3
E00051568,94.1,0,5.9
E00051569,88.9,1,10.1
E00051570,95.2,0,4.8
E00051571,95.2,0,4.8
E00051572,90.7,3.3,6.1
E00051573,92.4,1.5,6.2
E00051574,84.2,3.7,12.1
E00051575,93.7,0,6.3
E00051576,89.1,3.9,7
E00051577,91.4,1.3,7.3
E00051578,91.2,5.4,3.4
E00051579,93.5,1.9,4.6
E00051580,92.7,3.2,4.1
E00051581,88.1,3,8.8
E00051582,93.6,2.7,3.6
E00051583,93.8,1.4,4.9
E00051584,95.6,0,4.4
E00051585,89.7,0.3,10
E00051586,93.8,1.7,4.5
E00051587,92.2,3.2,4.5
E00051588,94,1.7,4.3
E00051589,88.2,3.2,8.6
E00051590,93.4,1.2,5.4
E00051591,89.9,4.2,5.9
E00051592,97.3,0,2.7
E00051593,92.8,3.1,4.1
E00051594,94.1,0.4,5.5
E00051595,92.9,2.3,4.8
E00051596,94.1,3.5,2.4
E00051597,93.4,2.1,4.5
E00051598,87.6,1.1,11.3
E00051599,89.6,2.9,7.6
E00051600,96,1.3,2.7
E00051601,95.9,1,3.1
E00051602,92.4,3.3,4.4
E00051603,91.9,0.8,7.2
E00051604,90.1,3.5,6.4
E00051605,96.8,0,3.2
E00051606,92.3,1.1,6.6
E00051607,94.4,1.9,3.7
E00051608,90.4,3.3,6.3
E00051609,90.3,3.2,6.5
E00051610,91.3,2.9,5.8
E00051611,93.9,0,6.1
E00051612,90.7,4.5,4.8
E00051613,96.2,1.6,2.2
E00051614,94.7,0.7,4.6
E00051615,92.6,3.1,4.3
E00051616,92.6,1.9,5.4
E00051617,95.9,1.9,2.2
E00051618,90.6,2.8,6.6
E00051619,97.4,0,2.6
E00051620,96.1,0.6,3.3
E00051621,91.6,2.3,6.1
E00051622,94.5,2.6,2.9
E00051623,85.2,3,11.8
E00051624,95.1,0.9,4
E00051625,91,2,7
E00051626,89.2,2.7,8.1
E00051627,92.3,1.2,6.5
E00051628,95.8,3.5,0.7
E00051629,91.2,4.4,4.4
E00051630,93,1.9,5.1
E00051631,97.2,0.9,1.9
E00051632,96.4,0.8,2.8
E00051633,96,1,3
E00051634,91.9,2.5,5.6
E00051635,92.1,1.5,6.4
E00051636,90.2,5.4,4.3
E00051637,93.1,0.7,6.2
E00051638,94.2,0.4,5.3
E00051639,95,1.5,3.4
E00051640,92.5,1.6,6
E00051641,95.6,1.7,2.7
E00051642,92.7,0.6,6.7
E00051643,91.6,2.2,6.3
E00051645,93.4,0.8,5.8
E00051647,93.8,0,6.2
E00051649,89.7,3.3,7
E00051654,95.1,1.1,3.8
E00051658,93.9,0,6.1
E00051660,93.8,2.7,3.4
E00051661,91.3,2.7,6
E00051662,87.4,2.4,10.2
E00051663,91.8,2.5,5.7
E00051664,96.5,0,3.5
E00051666,94.2,0.7,5.1
E00051667,93.8,1.5,4.7
E00051668,95,0.9,4.1
E00051669,94.6,0.3,5.1
E00051671,93.2,2.3,4.5
E00051674,93.3,1,5.8
E00051675,95,0.3,4.7
E00051680,97,0.7,2.3
E00051682,96.8,0,3.2
E00051683,96.5,2.2,1.3
E00051684,95.8,1,3.1
E00051686,93.1,1.4,5.5
E00051687,92.4,1.7,5.9
E00051688,92.4,1.7,6
E00051689,86.2,0.8,13
E00051691,98.9,0,1.1
E00051692,91.4,3.7,5
E00051693,88.7,1.8,9.5
E00051694,93.9,4.5,1.6
E00051695,86.3,1.9,11.8
E00051696,90.4,2.3,7.3
E00051699,93.3,1.5,5.2
E00051700,91.1,1.6,7.3
E00051701,91,0.6,8.4
E00051702,95,1.3,3.7
E00051703,88,0.9,11.1
E00051704,93.2,0.4,6.4
E00051705,90.7,2.4,6.9
E00051706,91.2,1.8,6.9
E00051707,88.2,2.7,9.1
E00051708,89,1.4,9.6
