geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00048425,38.9,16.5,2.4,38.4,3.7
E00048429,42.5,11.7,3.2,36.5,6
E00048431,27.4,7.4,2,55.8,7.4
E00048434,31.4,16.9,3,42.5,6.1
E00048435,29.3,18.8,4.4,37.8,9.8
E00048447,36.7,12.4,6.3,36.2,8.4
E00048471,30.7,5.5,3.7,58,2
E00048472,19.5,4.1,3.4,71.7,1.4
E00048473,3.1,13.4,2.8,78.3,2.4
E00048474,13.7,3.6,1.3,77.3,4
E00048478,4.1,0.4,1.2,94.3,0
E00048479,2.5,19.1,9.2,67.2,2
E00048480,8,14.7,4.3,71.6,1.3
E00048481,4.2,23.3,4,65,3.5
E00048482,2,2.7,4.3,90.7,0.3
E00048485,12,28.6,2.6,55.2,1.6
E00048486,7.6,20.1,8.8,58.2,5.2
E00048487,6,11.8,3.6,74.4,4.1
E00048488,6.5,2.4,1.7,89.4,0
E00048489,7.5,3.1,1.2,88.2,0
E00048491,5.5,7.6,1.8,85,0
E00048492,3.7,21.4,4.7,67.1,3.1
E00048494,5,3.1,1.3,89.3,1.3
E00048495,7,18.8,7.5,65.3,1.5
E00048496,9.9,6.2,3.4,80.3,0.3
E00048497,2.4,20.4,5.1,64.5,7.5
E00048498,10,5.9,2.2,78.9,3
E00048499,6.6,19.7,7.4,63.9,2.5
E00048500,3.3,28.3,9,59.4,0
E00048501,7,8.5,3.5,78.9,2
E00048502,5.7,5.1,3.4,83.7,2
E00048503,24.8,0,2.8,70.3,2.1
E00048504,22.3,1.7,0.9,72.8,2.3
E00048505,8.7,14.9,6.6,67.6,2.2
E00048506,0,17.9,6.3,75.8,0
E00048507,7.2,8.5,1,83.4,0
E00048508,3.9,33.6,3.9,58,0.6
E00048509,9.9,26.3,3.2,58.8,1.8
E00048510,5,19.5,6.4,69.1,0
E00048511,12.3,4.8,4,74.5,4.3
E00048514,6.6,26.2,3.6,61.7,1.8
E00048517,12,20.2,10.1,55,2.7
E00048519,13.5,9.7,6.2,70.5,0
