geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00000622,43.4,7.1,49.6
E00000624,65.9,7.2,26.9
E00000626,50.2,5.4,44.4
E00000628,59.5,6.2,34.3
E00000629,60.4,0.6,39.1
E00000630,59,4.6,36.4
E00000631,64.4,6.8,28.8
E00000632,58.1,2.2,39.7
E00000633,60.3,6.6,33.1
E00000634,58.5,8.2,33.3
E00000635,60.5,5.2,34.3
E00000637,60.7,6.7,32.6
E00000638,57.8,7.6,34.6
E00000640,58.5,5,36.5
E00000641,60,4.3,35.7
E00000642,58.4,3.4,38.2
E00000644,51.5,4.9,43.6
E00000645,51.9,3.4,44.7
E00000647,55.3,7.1,37.6
E00000648,54.7,9.4,35.9
E00000650,58.3,4.7,37.1
E00000651,54.2,14.4,31.4
E00000653,57.5,3.5,39
E00000654,62.6,5.2,32.2
E00000655,71.6,4.2,24.2
E00000656,62,6.6,31.4
E00000657,51.4,7.7,40.9
E00000659,49.2,2.9,47.9
E00000660,51.6,2.8,45.7
E00000661,62.6,4.5,32.9
E00000662,56.7,6.3,36.9
E00000667,53.1,4.3,42.5
E00000687,67.7,6,26.3
E00000688,56.3,4.8,38.9
E00000689,59.9,8.1,32
E00000690,49.5,2.3,48.2
E00000691,66.3,4.7,29
E00000692,54.8,4.6,40.6
E00000693,57.4,5.5,37.1
E00000694,57.4,5.2,37.4
E00000695,55.5,2.5,42
E00000697,57.2,2.1,40.8
E00000698,55.3,4.1,40.6
E00000699,66.9,2,31.1
E00000700,63.8,1.9,34.2
E00000701,58.8,2.8,38.4
E00000702,65.8,5.6,28.6
E00000703,46.6,2,51.4
E00000704,63.9,3.5,32.6
E00000705,60,4.6,35.4
E00000706,55.4,1.1,43.5
E00000707,58.2,2.7,39.1
E00000708,57.6,4,38.4
E00000709,50.9,8.6,40.5
E00000710,53.8,7.3,38.9
E00000711,62,3.7,34.3
E00000712,58.3,3.6,38.2
E00000713,57.4,4,38.6
E00000714,53.9,3.9,42.2
E00000716,62.1,3.8,34.1
E00000717,56.9,3.8,39.3
E00000720,58.8,4.3,36.9
E00000723,60.5,2.9,36.6
E00000724,69.7,1.8,28.5
E00000725,58.6,2.4,39.1
E00000726,58.9,3.3,37.8
E00000727,52.7,3.7,43.6
E00000728,64.7,3.7,31.6
E00000730,62.8,2,35.2
E00000732,59.2,2.6,38.2
E00000737,56.7,10,33.3
E00000738,51.1,4.8,44.1
E00000739,51.6,5,43.4
E00000740,48.6,8.5,42.9
E00000742,47.9,8.4,43.7
E00000743,45.5,4.5,50
E00000745,42.7,5.4,51.9
E00000746,64.3,7.6,28
E00000747,39,5.5,55.5
E00000748,55.1,5.9,39.1
E00000749,56.3,8.5,35.2
E00000750,47.5,8.6,43.9
E00000751,53.3,9.9,36.8
E00000752,58.4,8.6,33
E00000754,59.3,8.3,32.4
E00000755,69.9,5.7,24.4
E00000756,58.9,5.8,35.3
E00000757,63.4,5.6,31
E00000758,70.3,1.6,28
E00000761,34.8,8,57.2
E00000763,52.9,7.6,39.6
E00000767,52.2,6,41.9
E00000768,50,1.6,48.4
E00000870,75.4,0.5,24.1
E00000875,61.3,4.7,34
E00000880,45.3,7.5,47.2
E00000888,72.7,3.5,23.7
E00000890,61.6,9.5,28.8
E00000894,55.7,6.9,37.4
E00000897,40.2,7.1,52.7
E00000900,73.9,4.5,21.6
E00000904,40.3,7,52.7
E00000906,78.9,2.2,18.9
E00000908,68.4,5.2,26.4
E00000914,61,3.1,35.9
E00000966,57.1,3.3,39.6
E00000967,56,6.4,37.6
E00000968,64.5,5.9,29.6
E00000969,49.8,3.2,47
E00000970,64.2,1.5,34.3
E00000971,55,2.9,42.1
E00000972,57.3,3,39.7
E00000973,65.2,5.1,29.7
E00000974,76,6.9,17.1
E00000975,62.2,3.1,34.6
E00000976,47.5,16.8,35.8
E00000977,57.3,8,34.7
E00000978,67.1,2.1,30.9
E00000979,55.9,0.7,43.4
E00000980,46.2,10.1,43.7
E00000981,57.2,2.1,40.7
E00000982,60,2.5,37.5
E00000983,63.2,1.4,35.5
E00000984,70.5,4.8,24.7
E00000985,55.6,1.5,43
E00000986,65.6,4.7,29.8
E00000987,58.2,2.1,39.7
E00000988,62.4,2.4,35.3
E00000990,45.5,3,51.5
E00000991,45.8,20.3,33.9
E00000992,72,6.2,21.8
E00000993,58.5,1.8,39.7
E00000994,42,4.4,53.7
E00000995,71.5,3.1,25.4
E00000996,74.7,2.7,22.6
E00000997,58.7,5,36.3
E00000998,51.4,5.4,43.2
E00000999,52.8,2.3,44.9
E00001000,49.4,2.5,48.1
E00001001,45.7,4.6,49.8
E00001002,62.9,3.1,34
E00001003,56,4.8,39.2
E00001004,65.4,3.2,31.4
E00001005,69.2,4.4,26.4
E00001006,60.3,3.2,36.5
E00001007,59.8,3.4,36.8
E00001008,53.9,4.2,41.8
E00001009,50.5,5.3,44.1
E00001010,60.9,3.3,35.9
E00001011,57.7,0.7,41.6
E00001012,51.7,6.6,41.7
E00001013,68.2,2.9,28.9
E00001014,55,2.3,42.7
E00001015,56.2,1.9,42
E00001016,75.9,3.8,20.3
E00001017,55.3,2.4,42.3
E00001018,59.6,3.8,36.6
E00001019,66.8,3.5,29.6
E00001020,62,2.9,35
E00001021,58.5,3.5,38
E00001022,71.2,2.7,26.1
E00001023,67,0,33
E00001024,69.7,1.2,29
E00001025,66,3.2,30.9
E00001026,60.1,6.2,33.6
E00001027,68.6,5,26.4
E00001029,57.5,3.3,39.2
E00001032,58.9,3.6,37.5
E00001033,52.6,4.8,42.6
E00001034,55.6,4.6,39.8
E00001036,62.7,1.5,35.8
E00001037,48,2.7,49.3
E00001039,54.9,4,41.1
E00001040,59,2.8,38.2
E00001041,27.2,1.5,71.3
E00001042,56.6,3,40.4
E00001043,59.1,2.6,38.3
E00001044,55.6,1.3,43.2
E00001045,50.8,2.4,46.8
E00001047,64.4,2,33.6
E00001048,66.1,4.9,28.9
E00001049,54.7,4,41.3
E00001050,59.6,3.2,37.2
E00001051,49.8,1.2,49
E00001052,51.5,3.3,45.2
E00001053,55.8,0,44.2
E00001054,52.2,0,47.8
E00001055,65.2,4.5,30.4
E00001056,66,4,30
E00001058,57.8,4.1,38.1
E00001059,62.1,1.8,36.1
E00001060,63.2,4.9,31.9
E00001061,50.3,6.1,43.6
E00001062,62.5,4.3,33.2
E00001063,59.8,4.2,35.9
E00001064,59.8,4.2,36
E00001065,58.3,1.8,39.9
E00001066,60.1,3.4,36.5
E00001067,54.4,3.2,42.3
E00001068,59.9,1.9,38.2
