geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00000577,34.9,11.3,34.9,18.9
E00000609,23.2,20.7,33.6,22.4
E00000769,17.8,14,56.7,11.5
E00000770,24.1,19.3,40.1,16.5
E00000771,17.7,14.1,52.2,16.1
E00000772,35.5,14.5,26.6,23.4
E00000773,47.3,10.7,26,16
E00000774,36.2,11.2,29.6,23
E00000775,20.2,10.6,52.5,16.7
E00000776,30,16.8,40,13.2
E00000777,27.6,9.2,48.7,14.5
E00000778,28.1,18,31.7,22.2
E00000779,22.3,16,45.2,16.5
E00000780,34.8,12.3,44.5,8.4
E00000781,40.2,14.2,32.5,13
E00000782,31.9,12.4,29.7,25.9
E00000783,32.3,9.8,30.1,27.8
E00000785,27.5,9.3,50.3,13
E00000786,23.9,22,40.7,13.4
E00000787,28.5,12.8,42.4,16.3
E00000788,39.2,10.8,32.3,17.7
E00000789,41,9.5,22.9,26.7
E00000790,41.2,17.5,22.7,18.6
E00000791,27.7,16,31.9,24.4
E00000792,35,12.1,30.6,22.3
E00000793,31.9,8,43.6,16.6
E00000794,38,12.7,30.1,19.3
E00000795,31.4,13.1,40.3,15.2
E00000796,44,17.6,18.9,19.5
E00000797,28.4,6.8,51.9,13
E00000798,35.5,10.2,41,13.3
E00000799,25.5,11.5,49.7,13.3
E00000800,27.4,9.1,43,20.4
E00000801,32.7,12.7,43,11.5
E00000802,36.4,12.1,38.6,12.9
E00000803,25.7,8.1,50.7,15.5
E00000804,21.6,11.2,58.6,8.6
E00000805,30.2,7.6,36.9,25.3
E00000806,23.4,16.3,45.1,15.2
E00000810,25.9,14.3,38.1,21.8
E00000813,27.2,18.3,30.7,23.8
E00000814,18.4,13.6,51,17
E00000815,31,11.3,42.3,15.5
E00000816,21.4,17.9,50.9,9.8
E00000817,25.7,9.8,48.1,16.4
E00000818,30.8,17.5,35.7,16.1
E00000871,18.6,7.6,65.7,8.1
E00000872,42.2,15.7,30.1,12
E00000873,19,8,65.5,7.5
E00000874,29.6,3.7,61.7,4.9
E00000876,22.3,12.2,63.3,2.2
E00000877,21.8,4.8,70.7,2.7
E00000878,26.5,7.3,50.6,15.5
E00000881,35.8,11.5,31.5,21.2
E00000882,36.9,11.7,28.5,22.9
E00000883,20.5,8.2,62,9.4
E00000884,25.7,11.4,56.2,6.7
E00000885,38.3,14.3,25.6,21.8
E00000886,33.5,4,51.1,11.4
E00000887,33.1,16.5,32.3,18
E00000889,36.8,15.8,34.2,13.2
E00000891,31.8,13.5,45.3,9.4
E00000892,27.3,8.2,54.6,9.8
E00000893,23.3,5.8,62.2,8.7
E00000895,26.4,6.7,57.5,9.3
E00000896,38.6,9.1,29.5,22.7
E00000898,19,7.5,67.3,6.1
E00000899,27.7,8.1,53.2,11
E00000901,23.8,8.8,58.8,8.8
E00000902,35.8,8.8,35.8,19.6
E00000903,23.4,7,54.7,14.8
E00000905,21.7,5,63.4,9.9
E00000907,26.6,3.2,62.3,7.8
E00000909,25.6,6.4,64,3.9
E00000910,19.2,8.8,64.8,7.1
E00000911,33.5,8.3,47.2,11
E00000912,31.1,11.5,40.5,16.9
E00000913,35.5,7.5,43.9,13.1
E00000915,21.5,5.8,62.2,10.5
E00000916,23.8,8.1,59.4,8.8
E00000917,29.2,6.7,46.1,18
E00000918,22.7,9.2,52.1,16
E00000919,23.6,5.5,64.3,6.5
E00000920,28.4,5.8,58.2,7.7
E00000921,31.4,13,33.7,21.9
E00001028,24.7,6.6,62.6,6
E00001030,23.8,7.3,61.6,7.3
E00001031,16,3.6,72.8,7.7
E00001035,30.6,2.2,49.5,17.7
E00001038,21.2,3.4,67.8,7.5
E00001046,24,5.6,66.5,3.9
E00001057,29.1,5,60.3,5.6
E00001540,30.8,17.3,29.6,22.3
E00001543,26.8,12.1,42.7,18.5
E00001544,24,21.4,42.2,12.3
E00001545,30.8,10.6,42.9,15.7
E00001546,37.6,10.6,37.6,14.3
E00001547,21.7,15.2,42.9,20.2
E00001548,47,10.6,25,17.4
E00001549,32.6,15.4,27.4,24.6
E00001550,23.8,20.6,39.7,15.9
E00001551,25.5,14.2,41.7,18.6
E00001552,41.9,16.2,28.4,13.5
E00001553,34.2,12.6,32.1,21.1
E00001555,38.1,16.8,27.7,17.3
E00001556,25.9,8.6,53.2,12.2
E00001557,24.3,14.2,40.8,20.7
E00001559,42.6,12.4,25.4,19.5
E00001562,33.6,9.9,31.3,25.2
E00001580,26.7,19.3,46.7,7.4
E00001582,28.7,17.4,32.9,21
E00001583,31.1,17,34.8,17
E00001584,17.5,19.4,43.1,20
E00001585,24.4,17.3,45.5,12.8
E00001586,25.7,10.8,38.5,25
E00001587,34.7,17,29.3,19
E00001588,23,13.5,49.3,14.2
E00001589,23.9,17.2,41.7,17.2
E00001590,23.8,17.6,44.8,13.8
E00004492,15.4,3.1,74.1,7.4
E00004493,22.2,4.9,60.5,12.3
E00004494,24.4,1.8,64.5,9.2
E00004495,15.4,3.8,77.9,2.9
E00004496,21.7,5.8,69.6,2.9
E00004497,34.5,4.3,46.6,14.7
E00004498,38.2,3.5,43.1,15.3
E00004499,15.8,2.3,76.8,5.1
E00004500,25.7,2.7,63.5,8.1
E00004501,33.3,10.4,52.1,4.2
E00004502,32.1,2.5,56.8,8.6
E00004503,27,7.2,50.5,15.3
E00004504,19.6,0.7,76.1,3.6
E00004505,34.9,7.5,51.4,6.2
E00004506,34.5,6.8,49.3,9.5
E00006910,24.4,14.8,42.1,18.7
E00006911,37,11.1,27.2,24.7
E00006912,28.8,17.1,27.1,27.1
E00006913,31.3,16.9,24.1,27.7
E00006914,17.5,17.5,43.4,21.7
E00006915,32.3,18.1,33.1,16.5
E00006916,20.9,10.5,40.1,28.5
E00006917,25,16,35.5,23.5
E00006918,34.4,13.3,29.2,23.1
E00006920,32.2,19.3,26.9,21.6
E00006921,37.1,15.3,29.4,18.2
E00006922,25,15.4,51.1,8.5
E00006923,21.6,18.3,42.8,17.3
E00006924,27.7,16.8,22.6,32.9
E00006925,32,17.7,27.9,22.4
E00006926,22.7,9.9,56.9,10.5
E00006927,28.2,17.6,28.2,25.9
E00006928,38.8,19.7,21.1,20.4
E00006929,31.6,17.7,18.2,32.5
E00006930,20.2,19.8,39.7,20.2
E00006931,46.5,11.1,17.4,25
E00006932,22,14.1,48.2,15.7
E00006933,26.3,14.9,39.4,19.4
E00006934,23.2,15.7,44.9,16.2
E00006935,26.2,17.3,37.1,19.3
E00006936,26.7,8.6,40.1,24.6
E00006937,27.9,15,27,30
E00006938,22,17,45,16.1
E00006939,37.6,16.8,28.7,16.8
E00006940,39,25.6,15.3,20.1
E00006941,25.9,22.2,32.4,19.4
E00006942,27.6,13.6,45.2,13.6
E00006943,23.1,15.6,41.3,20
E00006944,32.8,18,27.9,21.3
E00006945,31.6,14.4,26.7,27.3
E00006946,18.3,18.3,48.4,15
E00006947,31.3,15.7,26.5,26.5
